ASIMFieldName, ASIMFieldType, ProductFieldName, ProductFieldType, ProductFieldDescription, ProductSampleValue, Logic
AdditionalFields,dynamic,,,,,direct mapping
DnsFlags,string,,,,,direct mapping
DnsFlagsAuthenticated,bool,,,,,direct mapping
DnsFlagsAuthoritative,bool,,,,,direct mapping
DnsFlagsCheckingDisabled,bool,,,,,direct mapping
DnsFlagsRecursionAvailable,bool,,,,,direct mapping
DnsFlagsRecursionDesired,bool,,,,,direct mapping
DnsFlagsTruncated,bool,,,,,direct mapping
DnsFlagsZ,bool,,,,,direct mapping
DnsNetworkDuration,int,,,,,direct mapping
DnsQuery,string,,,,,direct mapping
DnsQueryClass,int,,,,,direct mapping
DnsQueryClassName,string,,,,,direct mapping
DnsQueryType,int,,,,,direct mapping
DnsQueryTypeName,string,,,,,direct mapping
DnsResponseCode,int,,,,,direct mapping
DnsResponseCodeName,string,,,,,direct mapping
DnsResponseIpCity,string,,,,,direct mapping
DnsResponseIpCountry,string,,,,,direct mapping
DnsResponseIpLatitude,real,,,,,direct mapping
DnsResponseIpLongitude,real,,,,,direct mapping
DnsResponseIpRegion,string,,,,,direct mapping
DnsResponseName,string,,,,,direct mapping
DnsSessionId,string,,,,,direct mapping
Domain,string,,,,,direct mapping
DomainCategory,string,,,,,direct mapping
Dst,string,,,,,direct mapping
DstDescription,string,,,,,direct mapping
DstDeviceType,string,,,,,direct mapping
DstDomain,string,,,,,direct mapping
DstDomainType,string,,,,,direct mapping
DstDvcId,string,,,,,direct mapping
DstDvcIdType,string,,,,,direct mapping
DstDvcScope,string,,,,,direct mapping
DstDvcScopeId,string,,,,,direct mapping
DstFQDN,string,,,,,direct mapping
DstGeoCity,string,,,,,direct mapping
DstGeoCountry,string,,,,,direct mapping
DstGeoLatitude,real,,,,,direct mapping
DstGeoLongitude,real,,,,,direct mapping
DstGeoRegion,string,,,,,direct mapping
DstHostname,string,,,,,direct mapping
DstIpAddr,string,,,,,direct mapping
DstOriginalRiskLevel,string,,,,,direct mapping
DstPortNumber,int,,,,,direct mapping
DstRiskLevel,int,,,,,direct mapping
Duration,int,,,,,direct mapping
Dvc,string,,,,,direct mapping
DvcAction,string,,,,,direct mapping
DvcDescription,string,,,,,direct mapping
DvcDomain,string,,,,,direct mapping
DvcDomainType,string,,,,,direct mapping
DvcFQDN,string,,,,,direct mapping
DvcHostname,string,,,,,direct mapping
DvcId,string,,,,,direct mapping
DvcIdType,string,,,,,direct mapping
DvcInterface,string,,,,,direct mapping
DvcIpAddr,string,,,,,direct mapping
DvcMacAddr,string,,,,,direct mapping
DvcOriginalAction,string,,,,,direct mapping
DvcOs,string,,,,,direct mapping
DvcOsVersion,string,,,,,direct mapping
DvcScope,string,,,,,direct mapping
DvcScopeId,string,,,,,direct mapping
DvcZone,string,,,,,direct mapping
EventCount,int,,,,,direct mapping
EventEndTime,datetime,,,,,direct mapping
EventMessage,string,,,,,direct mapping
EventOriginalResultDetails,string,,,,,direct mapping
EventOriginalSeverity,string,,,,,direct mapping
EventOriginalSubType,string,,,,,direct mapping
EventOriginalType,string,,,,,direct mapping
EventOriginalUid,string,,,,,direct mapping
EventOwner,string,,,,,direct mapping
EventProduct,string,,,,,direct mapping
EventProductVersion,string,,,,,direct mapping
EventReportUrl,string,,,,,direct mapping
EventResult,string,,,,,direct mapping
EventResultDetails,string,,,,,direct mapping
EventSchema,string,,,,,direct mapping
EventSchemaVersion,string,,,,,direct mapping
EventSeverity,string,,,,,direct mapping
EventStartTime,datetime,,,,,direct mapping
EventSubType,string,,,,,direct mapping
EventType,string,,,,,direct mapping
EventUid,string,,,,,direct mapping
EventVendor,string,,,,,direct mapping
Hostname,string,,,,,direct mapping
IpAddr,string,,,,,direct mapping
NetworkProtocol,string,,,,,direct mapping
NetworkProtocolVersion,string,,,,,direct mapping
Process,string,,,,,direct mapping
Rule,string,,,,,direct mapping
RuleName,string,,,,,direct mapping
RuleNumber,int,,,,,direct mapping
SessionId,string,,,,,direct mapping
Src,string,,,,,direct mapping
SrcDescription,string,,,,,direct mapping
SrcDeviceType,string,,,,,direct mapping
SrcDomain,string,,,,,direct mapping
SrcDomainType,string,,,,,direct mapping
SrcDvcId,string,,,,,direct mapping
SrcDvcIdType,string,,,,,direct mapping
SrcDvcScope,string,,,,,direct mapping
SrcDvcScopeId,string,,,,,direct mapping
SrcFQDN,string,,,,,direct mapping
SrcGeoCity,string,,,,,direct mapping
SrcGeoCountry,string,,,,,direct mapping
SrcGeoLatitude,real,,,,,direct mapping
SrcGeoLongitude,real,,,,,direct mapping
SrcGeoRegion,string,,,,,direct mapping
SrcHostname,string,,,,,direct mapping
