ClientID,SpoolRequestNumber,SpoolRequestName,SpoolRequestSuffix1,SpoolRequestSuffix2,User,ExternalMode,TemseReadProtectionRule,TemseNumDeleteProtectionRule,TemseNumAddProtectionRule,TemseNumChangeProtectionRule,PrintImmediately,DeleteSpoolRequestAuto,AutoRereoute,OutputDevice,NumofCopies,Priority,FormatType,TemSeGeneralcounter,SpoolErrorStatus,TemSeObjectName,TemSeObjectPart,SpoolRequestTitle,DelFlag,PrintSAPCoverPage,PrintOSCoverPage,RecipientofSpoolRequest,ArchiveType,ArchiveStatus,TelecommunicationsPartnerE,DocumentType,DeletedAt [Jerusalem],SystemID,SystemNumber,Instance,Host
1,18600,LIST1S,,RSLDAGDS_DEV,DEVELOPER,1,0,0,1,0,H,K,D,LP01,1,5,X_PAPER,0,0,SPOOL0000018600,0,,.,D,D,DEVELOPER,1,0,               L0500041,LIST,"7/16/2021, 3:55:11.000 PM",a4h,0,vhcala4hci_A4H_00,vhcala4hci
1,18601,LIST1S,,RSLDAGDS_DEV,DEVELOPER,1,0,0,1,0,H,K,D,LP01,1,5,X_PAPER,0,0,SPOOL0000018601,0,,.,D,D,DEVELOPER,1,0,               L0500041,LIST,"7/16/2021, 3:55:11.000 PM",a4h,0,vhcala4hci_A4H_00,vhcala4hci
1,18700,LIST1S,,RSLDAGDS_DEV,DEVELOPER,1,0,0,1,0,H,K,D,LP01,1,5,X_PAPER,0,0,SPOOL0000018700,0,,.,D,D,DEVELOPER,1,0,               L0500041,LIST,"7/16/2021, 9:27:51.000 PM",a4h,0,vhcala4hci_A4H_00,vhcala4hci
1,18803,LIST1S,,RSLDAGDS_DEV,DEVELOPER,1,0,0,1,0,H,K,D,LP01,1,5,X_PAPER,0,0,SPOOL0000018803,0,,.,D,D,DEVELOPER,1,0,               L0500041,LIST,"8/4/2021, 12:00:27.000 AM",a4h,0,vhcala4hci_A4H_00,vhcala4hci
1,18804,LIST1S,,RSLDAGDS_DEV,DEVELOPER,1,0,0,1,0,H,K,D,LP01,1,5,X_PAPER,0,0,SPOOL0000018804,0,,.,D,D,DEVELOPER,1,0,               L0500041,LIST,"8/4/2021, 12:00:26.000 PM",a4h,0,vhcala4hci_A4H_00,vhcala4hci
0,16700,LIST1S,LP01,/1BCDWB/DTES,TEST02,1,0,0,4,0,H,K,D,LP01,1,5,X_65_255,0,0,SPOOL0000016700,0,,.,D,D,TEST02,1,0,               L0F70041,LIST,"7/1/2021, 4:01:28.000 AM",NPL,0,vhcalnplci_NPL_00,wdflbmd16697
1,18513,LIST1S,,RSLDAGDS_DEV,DEVELOPER,1,0,0,1,0,H,K,D,LP01,1,5,X_PAPER,0,0,SPOOL0000018513,0,,.,D,D,DEVELOPER,1,0,               L0500041,LIST,"6/30/2021, 5:42:04.000 PM",a4h,0,vhcala4hci_A4H_00,vhcala4hci
0,16701,LIST1S,LP01,/1BCDWB/DTES,TEST02,1,0,0,4,0,H,K,D,LP01,1,5,X_65_255,0,0,SPOOL0000016701,0,,.,D,D,TEST02,1,0,               L0F70041,LIST,"7/1/2021, 4:39:00.000 AM",NPL,0,vhcalnplci_NPL_00,wdflbmd16697
1,18515,LIST1S,,RSLDAGDS_DEV,DEVELOPER,1,0,0,1,0,H,K,D,LP01,1,5,X_PAPER,0,0,SPOOL0000018515,0,,.,D,D,DEVELOPER,1,0,               L0500041,LIST,"7/1/2021, 5:44:02.000 PM",a4h,0,vhcala4hci_A4H_00,vhcala4hci
1,18514,LIST1S,,RSLDAGDS_DEV,DEVELOPER,1,0,0,1,0,H,K,D,LP01,1,5,X_PAPER,0,0,SPOOL0000018514,0,,.,D,D,DEVELOPER,1,0,               L0500041,LIST,"7/1/2021, 5:43:02.000 AM",a4h,0,vhcala4hci_A4H_00,vhcala4hci
