Instance,UserReleaseInstance,JobName,JobCount,MessageText,SchedulingDateTime [Jerusalem],StartDateTime [Jerusalem],SchedulingUser,LastChangeByUser,ReleaseUser,ClientID,WorkProcessNumber,WorkProcessID,BgdProcessingEvent,JobClassification,JobPriority,MessageClass,MessageNumber,MessageType,SystemID,SystemNumber,Host
vhcala4hci_A4H_00,,SAP_SLD_DATA_COLLECT,6314100,Job SAP_SLD_DATA_COLLECT 06314100 started,"7/13/2021, 9:31:41.000 AM","7/13/2021, 9:32:39.000 PM",DEVELOPER,DEVELOPER,DEVELOPER,1,10,13540,,C,0,0,516,S,a4h,0,vhcala4hci
vhcala4hci_A4H_00,,SAP_SLD_DATA_COLLECT,6314100,"Step 001 started (program RSLDAGDS, variant , user ID DEVELOPER)","7/13/2021, 9:31:41.000 AM","7/13/2021, 9:32:39.000 PM",DEVELOPER,DEVELOPER,DEVELOPER,1,10,13540,,C,0,0,550,S,a4h,0,vhcala4hci
vhcala4hci_A4H_00,,SAP_SLD_DATA_COLLECT,6314100,Job finished,"7/13/2021, 9:31:41.000 AM","7/13/2021, 9:32:39.000 PM",DEVELOPER,DEVELOPER,DEVELOPER,1,10,13540,,C,0,0,517,S,a4h,0,vhcala4hci
vhcala4hci_A4H_00,,EU_REORG,1403800,Job EU_REORG 01403800 started,"7/13/2021, 4:40:38.000 AM","7/14/2021, 4:40:39.000 AM",DEVELOPER,DEVELOPER,SAPSYS,1,12,23414,,C,0,0,516,S,a4h,0,vhcala4hci
vhcala4hci_A4H_00,,EU_REORG,1403800,"Step 001 started (program SAPRSLOG, variant , user ID DEVELOPER)","7/13/2021, 4:40:38.000 AM","7/14/2021, 4:40:39.000 AM",DEVELOPER,DEVELOPER,SAPSYS,1,12,23414,,C,0,0,550,S,a4h,0,vhcala4hci
vhcala4hci_A4H_00,,EU_REORG,1403800,Start von Schritt 01 Datum 20210714 - 014039,"7/13/2021, 4:40:38.000 AM","7/14/2021, 4:40:39.000 AM",DEVELOPER,DEVELOPER,SAPSYS,1,12,23414,,C,0,OO,0,S,a4h,0,vhcala4hci
vhcala4hci_A4H_00,,EU_REORG,1403800,Ende  von Schritt 01 Datum 20210714 - 014039 Dauer  000000 s,"7/13/2021, 4:40:38.000 AM","7/14/2021, 4:40:39.000 AM",DEVELOPER,DEVELOPER,SAPSYS,1,12,23414,,C,0,OO,0,S,a4h,0,vhcala4hci
vhcala4hci_A4H_00,,EU_REORG,1403800,Start von Schritt 02 Datum 20210714 - 014039,"7/13/2021, 4:40:38.000 AM","7/14/2021, 4:40:39.000 AM",DEVELOPER,DEVELOPER,SAPSYS,1,12,23414,,C,0,OO,0,S,a4h,0,vhcala4hci
vhcala4hci_A4H_00,,EU_REORG,1403800,Ende  von Schritt 02 Datum 20210714 - 014039 Dauer  000000 s,"7/13/2021, 4:40:38.000 AM","7/14/2021, 4:40:39.000 AM",DEVELOPER,DEVELOPER,SAPSYS,1,12,23414,,C,0,OO,0,S,a4h,0,vhcala4hci
vhcala4hci_A4H_00,,EU_REORG,1403800,Start von Schritt 03 Datum 20210714 - 014039,"7/13/2021, 4:40:38.000 AM","7/14/2021, 4:40:39.000 AM",DEVELOPER,DEVELOPER,SAPSYS,1,12,23414,,C,0,OO,0,S,a4h,0,vhcala4hci
