Request,Description,Category,ClientID,Owner,Status,ObjectType,ObjectName,TableName,SystemID,SystemNumber,Instance,Host
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,MERG,NPLK900141 20210720 072101 SENTINEL,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,DEVC,/MSFTSEN/SENTINEL,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,DEVC,/MSFTSEN/SENTINEL_SERVICES,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,DTEL,/MSFTSEN/USER_DELTA_DATE,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/APPLOG,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/AUDITLOG,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/CHANGEREQ,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/CHANGE_DOCS,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/GENERAL,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/JOBLOG,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/SPOOL,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/TABDATA,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/USER_DATA,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/WORKFLOW,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,MSAG,/MSFTSEN/SENTINEL,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TABL,/MSFTSEN/CR_STATUS_RANGE,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TABL,/MSFTSEN/TABDATA_LOG,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TABL,/MSFTSEN/TABNAME,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TABL,/MSFTSEN/USER_DATA,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TABL,/MSFTSEN/USER_GROUPS,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TABL,/MSFTSEN/USER_PROFILES,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TABL,/MSFTSEN/USER_ROLES,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TABL,/MSFTSEN/WFITEM_HIST,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TTYP,/MSFTSEN/T_CR_STATUS_RANGE,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TTYP,/MSFTSEN/T_TABDATA_LOG,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TTYP,/MSFTSEN/T_TABNAME,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TTYP,/MSFTSEN/T_WFITEM_HIST,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,MERG,NPLK900141 20210720 072101 SENTINEL,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,DEVC,/MSFTSEN/SENTINEL,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,DEVC,/MSFTSEN/SENTINEL_SERVICES,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,DTEL,/MSFTSEN/USER_DELTA_DATE,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/APPLOG,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/AUDITLOG,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/CHANGEREQ,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/CHANGE_DOCS,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/GENERAL,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/JOBLOG,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/SPOOL,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/TABDATA,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/USER_DATA,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/WORKFLOW,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,MSAG,/MSFTSEN/SENTINEL,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TABL,/MSFTSEN/CR_STATUS_RANGE,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TABL,/MSFTSEN/TABDATA_LOG,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TABL,/MSFTSEN/TABNAME,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TABL,/MSFTSEN/USER_DATA,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TABL,/MSFTSEN/USER_GROUPS,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TABL,/MSFTSEN/USER_PROFILES,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TABL,/MSFTSEN/USER_ROLES,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TABL,/MSFTSEN/WFITEM_HIST,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TTYP,/MSFTSEN/T_CR_STATUS_RANGE,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TTYP,/MSFTSEN/T_TABDATA_LOG,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TTYP,/MSFTSEN/T_TABNAME,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900144,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,TTYP,/MSFTSEN/T_WFITEM_HIST,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900141,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,DEVC,/MSFTSEN/SENTINEL,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900141,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,DEVC,/MSFTSEN/SENTINEL_SERVICES,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900141,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,DTEL,/MSFTSEN/USER_DELTA_DATE,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900141,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/APPLOG,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900141,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/AUDITLOG,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900141,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/CHANGEREQ,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
NPLK900141,Sentinel Services - V0.0.23 - Package 7.5 (SAL),T,1,SENTINEL,R,FUGR,/MSFTSEN/CHANGE_DOCS,,a4h,0,vhcala4hci_A4H_00,vhcala4hci
