"Time","Message","Severity"
"6/14/2022 10:39 AM","Clearing existing Azure connection","Information"
"6/14/2022 10:39 AM","Clearing existing Azure context 
","Information"
"6/14/2022 10:39 AM","Clearing of existing connection and context completed.","Information"
"6/14/2022 10:42 AM","Working in Subscription: MAG Dev Sub","Information"
"6/14/2022 10:42 AM","Listing Log Analytics workspace","Information"
"6/14/2022 10:42 AM","Retrieving tables from NewLogA","Information"
"6/14/2022 10:42 AM","Get-AllTables The remote name could not be resolved: 'azureusgovernment'","Error"
"6/14/2022 10:45 AM","Importing module Az.Accounts with version 2.8.0","Information"
"6/14/2022 10:45 AM","Importing module Az.OperationalInsights with version 3.1.0","Information"
"6/14/2022 10:49 AM","Checking updates for module Az.Accounts","Information"
"6/14/2022 10:49 AM","Importing module Az.Accounts with version 2.8.0","Information"
"6/14/2022 10:49 AM","Checking updates for module Az.OperationalInsights","Information"
"6/14/2022 10:49 AM","Importing module Az.OperationalInsights with version 3.1.0","Information"
"6/14/2022 10:50 AM","Importing module Az.Accounts with version 2.8.0","Information"
"6/14/2022 10:50 AM","Importing module Az.OperationalInsights with version 3.1.0","Information"
"6/14/2022 10:55 AM","Importing module Az.Accounts with version 2.8.0","Information"
"6/14/2022 10:55 AM","Importing module Az.OperationalInsights with version 3.1.0","Information"
