count,count_period,average_duration_days,risk_vector,Company_name,TimeGenerated [UTC],TenantId,Type,_ResourceId
105,year,"2.2","botnet_infections","360 TCS, LLC","24/07/2025, 09:15:11.321","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightIndustrial_statistics_CL",
1,year,"2.8","spam_propagation","360 TCS, LLC","24/07/2025, 09:15:11.321","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightIndustrial_statistics_CL",
0,,0,"malware_servers","360 TCS, LLC","24/07/2025, 09:15:11.321","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightIndustrial_statistics_CL",
2,year,"7.1","unsolicited_comm","360 TCS, LLC","24/07/2025, 09:15:11.321","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightIndustrial_statistics_CL",
45,year,"2.1","potentially_exploited","360 TCS, LLC","24/07/2025, 09:15:11.321","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightIndustrial_statistics_CL",
105,year,"2.2","botnet_infections","ABC-Test","24/07/2025, 09:15:25.744","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightIndustrial_statistics_CL",
1,year,"2.8","spam_propagation","ABC-Test","24/07/2025, 09:15:25.744","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightIndustrial_statistics_CL",
0,,0,"malware_servers","ABC-Test","24/07/2025, 09:15:25.744","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightIndustrial_statistics_CL",
2,year,"7.1","unsolicited_comm","ABC-Test","24/07/2025, 09:15:25.744","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightIndustrial_statistics_CL",
45,year,"2.1","potentially_exploited","ABC-Test","24/07/2025, 09:15:25.744","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightIndustrial_statistics_CL",
