TimeGenerated [UTC],guid_d,alert_type_s,alert_date_s,start_date_s,company_name_s,company_guid_g,company_url_s,folder_guid_g,folder_name_s,severity_s,trigger_s
"2/5/2023, 12:00:40.047 AM",253090875,INFORMATIONAL,2023-02-02,2023-02-01,HCL Group,eb097813-4c0e-4efb-bbc7-6b04e4ff5a45,/company/eb097813-4c0e-4efb-bbc7-6b04e4ff5a45/,25f7d4ee-b48d-47f4-a803-70babe8f0e6e,My Company,INFORMATIONAL,Exposed Credentials
"2/1/2023, 9:25:13.522 AM",186258535,INFORMATIONAL,2022-08-18,2022-08-17,HCL Group,eb097813-4c0e-4efb-bbc7-6b04e4ff5a45,/company/eb097813-4c0e-4efb-bbc7-6b04e4ff5a45/,25f7d4ee-b48d-47f4-a803-70babe8f0e6e,My Company,INFORMATIONAL,Exposed Credentials
"2/1/2023, 9:25:13.522 AM",187078698,PERCENT_CHANGE,2022-08-23,2022-08-22,HCL Group,eb097813-4c0e-4efb-bbc7-6b04e4ff5a45,/company/eb097813-4c0e-4efb-bbc7-6b04e4ff5a45/,25f7d4ee-b48d-47f4-a803-70babe8f0e6e,My Company,WARN,Percent Change
"2/1/2023, 9:25:13.522 AM",187078699,RISK_CATEGORY,2022-08-23,2022-08-22,HCL Group,eb097813-4c0e-4efb-bbc7-6b04e4ff5a45,/company/eb097813-4c0e-4efb-bbc7-6b04e4ff5a45/,25f7d4ee-b48d-47f4-a803-70babe8f0e6e,My Company,WARN,File Sharing
"2/1/2023, 9:25:13.522 AM",187230650,INFORMATIONAL,2022-08-24,2022-08-23,HCL Group,eb097813-4c0e-4efb-bbc7-6b04e4ff5a45,/company/eb097813-4c0e-4efb-bbc7-6b04e4ff5a45/,25f7d4ee-b48d-47f4-a803-70babe8f0e6e,My Company,INFORMATIONAL,Exposed Credentials
"2/1/2023, 9:25:13.522 AM",189873557,PERCENT_CHANGE,2022-09-08,2022-09-07,HCL Group,eb097813-4c0e-4efb-bbc7-6b04e4ff5a45,/company/eb097813-4c0e-4efb-bbc7-6b04e4ff5a45/,25f7d4ee-b48d-47f4-a803-70babe8f0e6e,My Company,INCREASE,Percent Change
"2/1/2023, 9:25:13.522 AM",191200597,PERCENT_CHANGE,2022-09-14,2022-09-13,HCL Group,eb097813-4c0e-4efb-bbc7-6b04e4ff5a45,/company/eb097813-4c0e-4efb-bbc7-6b04e4ff5a45/,25f7d4ee-b48d-47f4-a803-70babe8f0e6e,My Company,WARN,Percent Change
"2/1/2023, 9:25:13.522 AM",191200598,RISK_CATEGORY,2022-09-14,2022-09-13,HCL Group,eb097813-4c0e-4efb-bbc7-6b04e4ff5a45,/company/eb097813-4c0e-4efb-bbc7-6b04e4ff5a45/,25f7d4ee-b48d-47f4-a803-70babe8f0e6e,My Company,WARN,Web Application Headers
"2/1/2023, 9:25:13.522 AM",192352949,PERCENT_CHANGE,2022-09-20,2022-09-19,HCL Group,eb097813-4c0e-4efb-bbc7-6b04e4ff5a45,/company/eb097813-4c0e-4efb-bbc7-6b04e4ff5a45/,25f7d4ee-b48d-47f4-a803-70babe8f0e6e,My Company,WARN,Percent Change
"2/1/2023, 9:25:13.522 AM",192352950,VULNERABILITY,2022-09-20,2022-09-19,HCL Group,eb097813-4c0e-4efb-bbc7-6b04e4ff5a45,/company/eb097813-4c0e-4efb-bbc7-6b04e4ff5a45/,25f7d4ee-b48d-47f4-a803-70babe8f0e6e,My Company,INFORMATIONAL,Infection
