TimeGenerated [UTC],guid_g,date_s,Severity,text_s,date_created_s,preview_url_s,event_type_s,event_type_description_s,breached_companies_s,dependent_companies_s,company_name_s,company_guid_g
"2/19/2023, 12:00:03.074 AM",45b7901e-e64c-409f-aa2f-12cf46be507b,2023-02-17,0,An Atlassian employee’s credentials were mistakenly posted in a public repository by the employee.,2023-02-17,https://techcrunch.com/2023/02/17/atlassian-and-envoy-briefly-blame-each-other-for-data-breach/,Human Error,An incident involving unintentional actions that directly compromise a sensitive asset,"[ { ""guid"": ""1579f0f8-5bc5-4e4c-8cdf-bbb702908220"", ""name"": ""Atlassian Corporation Pty Ltd."" } ]","[ { ""guid"": ""eb097813-4c0e-4efb-bbc7-6b04e4ff5a45"", ""name"": ""HCL Group"", ""products"": [ { ""guid"": ""3816b79e-33e8-31a6-a786-44b9f46244dc"", ""name"": ""Atlassian (N/A)"", ""types"": [ ""Application Management"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""8f56df5f-7029-374b-9c49-e9f57245f462"", ""name"": ""Atlassian Bamboo"", ""types"": [ ""Database"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""5f514aef-7842-39e5-bc7f-c2bb62ca5eed"", ""name"": ""Atlassian Bitbucket"", ""types"": [ ""CMS (Content Management System)"", ""Change Management"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""c94fd866-a85b-3546-b6e1-56a76c0dd22b"", ""name"": ""Atlassian Cloud"", ""types"": [ ""CMS (Content Management System)"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""9e36ec84-5861-31ec-bfbc-aa1803587f61"", ""name"": ""Atlassian Confluence"", ""types"": [ ""CMS (Content Management System)"", ""Productivity Solutions"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""8d5003b5-cdd1-3411-8015-ab37b921270f"", ""name"": ""Jira Software"", ""types"": [ ""Application Management"" ], ""relationship_source"": ""bitsight"" } ], ""relationship_source"": ""bitsight"" } ]",HCL Group,eb097813-4c0e-4efb-bbc7-6b04e4ff5a45
"2/1/2023, 9:25:13.949 AM",f8e51027-3c1c-4e8b-837a-cbcf8112c1e1,2019-05-21,0,A bug left enterprise G Suite passwords stored incorrectly for the last 14 years so that they were encrypted but unhashed. This bug that could have allowed Google employees to access credentials.,2019-05-22,https://gizmodo.com/google-failed-to-fully-secure-g-suite-passwords-for-14-1834932513,Human Error,An incident involving unintentional actions that directly compromise a sensitive asset,"[ { ""guid"": ""bbf80a16-8e69-4b52-91e1-614d26d2c5d2"", ""name"": ""Google Corporation"" }, { ""guid"": ""15bf2064-7066-450a-acac-31135ea4ab8c"", ""name"": ""Alphabet Corporation"" }, { ""guid"": ""00be6d61-6f47-4aba-830b-02e3c732eacf"", ""name"": ""Google Workspace"" } ]","[ { ""guid"": ""941a8d35-bbd3-41bc-9cf4-bbf1d6578988"", ""name"": ""World Movers"", ""products"": [ { ""guid"": ""6b8c4e78-1bc8-3e23-a5fc-969285c9bdfe"", ""name"": ""Global Site Tag"", ""types"": [ ""Analytics"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""038c19ca-fdeb-30bb-8013-158f65b05bf1"", ""name"": ""Google Analytics"", ""types"": [ ""Analytics"", ""Marketing Performance Management"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""4bb9e885-10fd-370c-bcd1-9826967db0ad"", ""name"": ""Google Universal Analytics"", ""types"": [ ""Analytics"" ], ""relationship_source"": ""bitsight"" } ], ""relationship_source"": ""bitsight"" } ]",World Movers,941a8d35-bbd3-41bc-9cf4-bbf1d6578988
"2/1/2023, 9:25:13.949 AM",7fcee673-9573-4390-b031-dd07bd4b1002,2018-04-10,0,Two individuals going by the online handles of “Kuroi’sh & Prosox” hacked the official YouTube account of Vevo and defaced several videos.,2018-04-11,https://www.hackread.com/vevo-youtube-account-hacked-despacito-video-deleted/,Intrusion (No Records),Unauthorized access which does not involve exfiltration of records or other resources,"[ { ""guid"": ""bbf80a16-8e69-4b52-91e1-614d26d2c5d2"", ""name"": ""Google Corporation"" }, { ""guid"": ""15bf2064-7066-450a-acac-31135ea4ab8c"", ""name"": ""Alphabet Corporation"" }, { ""guid"": ""17cc71bf-3b8b-410e-be5f-b3c6bc450393"", ""name"": ""YouTube LLC"" } ]","[ { ""guid"": ""941a8d35-bbd3-41bc-9cf4-bbf1d6578988"", ""name"": ""World Movers"", ""products"": [ { ""guid"": ""6b8c4e78-1bc8-3e23-a5fc-969285c9bdfe"", ""name"": ""Global Site Tag"", ""types"": [ ""Analytics"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""038c19ca-fdeb-30bb-8013-158f65b05bf1"", ""name"": ""Google Analytics"", ""types"": [ ""Analytics"", ""Marketing Performance Management"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""4bb9e885-10fd-370c-bcd1-9826967db0ad"", ""name"": ""Google Universal Analytics"", ""types"": [ ""Analytics"" ], ""relationship_source"": ""bitsight"" } ], ""relationship_source"": ""bitsight"" } ]",World Movers,941a8d35-bbd3-41bc-9cf4-bbf1d6578988
"2/1/2023, 9:25:13.949 AM",61742b50-c2bb-4c0a-ae2d-3ddf95682307,2020-05-04,2,"An unauthorized party used customer web hosting account credentials to connect to their hosting account via SSH. This incident affected 28,000 customers.",2020-05-05,https://www.bleepingcomputer.com/news/security/godaddy-notifies-users-of-breached-hosting-accounts/,Incident Type Undisclosed,A security incident where certain classification details pertaining to the event are unknown,"[ { ""guid"": ""c530148c-5816-4d9a-99e7-e0f696795363"", ""name"": ""GoDaddy Operating Company, LLC."" }, { ""guid"": ""ba88eacb-2577-46a7-9744-43830e06a690"", ""name"": ""GoDaddy Hosting"" } ]","[ { ""guid"": ""941a8d35-bbd3-41bc-9cf4-bbf1d6578988"", ""name"": ""World Movers"", ""products"": [ { ""guid"": ""c1a22c04-80d7-33dc-b878-4c3a6c32342b"", ""name"": ""Afternic"", ""types"": [ ""Hosting"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""f1994c69-c40d-3c5f-b169-71d9f9da331e"", ""name"": ""GoDaddy CDN"", ""types"": [ ""CDN (Content Delivery Network)"" ], ""relationship_source"": ""bitsight"" } ], ""relationship_source"": ""bitsight"" } ]",World Movers,941a8d35-bbd3-41bc-9cf4-bbf1d6578988
"2/1/2023, 9:25:13.949 AM",50835ece-bdf4-472e-b051-5b75d47eed73,2020-04-01,1,An employee account was accessed following a phishing incident. This action allowed the hacker to access and change customers ' domain settings.,2020-04-02,https://krebsonsecurity.com/2020/03/phish-of-godaddy-employee-jeopardized-escrow-com-among-others/,Phishing,An attack in which fraudulent email is used to mimic the access of an authorized employee or legitimate contact,"[ { ""guid"": ""c530148c-5816-4d9a-99e7-e0f696795363"", ""name"": ""GoDaddy Operating Company, LLC."" }, { ""guid"": ""6553fc67-d3ef-45a1-a804-ca2b0aa2dbce"", ""name"": ""GoDaddy, Inc."" } ]","[ { ""guid"": ""941a8d35-bbd3-41bc-9cf4-bbf1d6578988"", ""name"": ""World Movers"", ""products"": [ { ""guid"": ""c1a22c04-80d7-33dc-b878-4c3a6c32342b"", ""name"": ""Afternic"", ""types"": [ ""Hosting"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""f1994c69-c40d-3c5f-b169-71d9f9da331e"", ""name"": ""GoDaddy CDN"", ""types"": [ ""CDN (Content Delivery Network)"" ], ""relationship_source"": ""bitsight"" } ], ""relationship_source"": ""bitsight"" } ]",World Movers,941a8d35-bbd3-41bc-9cf4-bbf1d6578988
"2/1/2023, 9:25:13.949 AM",2c3f1b45-40f7-4e58-9600-bfa0d74b05cd,2016-01-08,2,Attackers accessed fitbit account credentials online and used them to perpetrate a fraudulent warranty return scam against the company.,2016-01-08,http://www.scmagazine.com/fitbit-warranty-fraud-bombards-and-fools-customer-service/article/464063/,Social Engineering,An attack which uses deception to trick individuals into divulging unauthorized information or access,"[ { ""guid"": ""bbf80a16-8e69-4b52-91e1-614d26d2c5d2"", ""name"": ""Google Corporation"" }, { ""guid"": ""16103db1-fc48-4a70-91fa-2cf48ad13d2c"", ""name"": ""Fitbit LLC"" }, { ""guid"": ""15bf2064-7066-450a-acac-31135ea4ab8c"", ""name"": ""Alphabet Corporation"" } ]","[ { ""guid"": ""941a8d35-bbd3-41bc-9cf4-bbf1d6578988"", ""name"": ""World Movers"", ""products"": [ { ""guid"": ""6b8c4e78-1bc8-3e23-a5fc-969285c9bdfe"", ""name"": ""Global Site Tag"", ""types"": [ ""Analytics"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""038c19ca-fdeb-30bb-8013-158f65b05bf1"", ""name"": ""Google Analytics"", ""types"": [ ""Analytics"", ""Marketing Performance Management"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""4bb9e885-10fd-370c-bcd1-9826967db0ad"", ""name"": ""Google Universal Analytics"", ""types"": [ ""Analytics"" ], ""relationship_source"": ""bitsight"" } ], ""relationship_source"": ""bitsight"" } ]",World Movers,941a8d35-bbd3-41bc-9cf4-bbf1d6578988
"2/1/2023, 9:25:13.949 AM",03519c8b-3905-49a8-9ce9-2465940a3386,2017-01-06,0,The google Brazil website was defaced and users were rerouted to another domain.,2017-01-10,http://anonhq.com/google-hacked/,Intrusion (No Records),Unauthorized access which does not involve exfiltration of records or other resources,"[ { ""guid"": ""bbf80a16-8e69-4b52-91e1-614d26d2c5d2"", ""name"": ""Google Corporation"" }, { ""guid"": ""c2e7f4a5-fcab-4ea9-987a-ba0f446288da"", ""name"": ""Google, LLC"" }, { ""guid"": ""15bf2064-7066-450a-acac-31135ea4ab8c"", ""name"": ""Alphabet Corporation"" } ]","[ { ""guid"": ""941a8d35-bbd3-41bc-9cf4-bbf1d6578988"", ""name"": ""World Movers"", ""products"": [ { ""guid"": ""6b8c4e78-1bc8-3e23-a5fc-969285c9bdfe"", ""name"": ""Global Site Tag"", ""types"": [ ""Analytics"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""038c19ca-fdeb-30bb-8013-158f65b05bf1"", ""name"": ""Google Analytics"", ""types"": [ ""Analytics"", ""Marketing Performance Management"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""4bb9e885-10fd-370c-bcd1-9826967db0ad"", ""name"": ""Google Universal Analytics"", ""types"": [ ""Analytics"" ], ""relationship_source"": ""bitsight"" } ], ""relationship_source"": ""bitsight"" } ]",World Movers,941a8d35-bbd3-41bc-9cf4-bbf1d6578988
"2/1/2023, 9:25:13.949 AM",3046d620-db4a-4843-8b4e-151f2ce5dc14,2017-05-04,2,"A phishing campaign targeted Gmail users, seeking to gain control of their entire email histories and spread itself to all of their contacts. The personal information of an unknown number of individuals was compromised.",2017-10-19,https://www.nbcnews.com/tech/security/massive-phishing-attack-targets-millions-gmail-users-n754501,Social Engineering,An attack which uses deception to trick individuals into divulging unauthorized information or access,"[ { ""guid"": ""bbf80a16-8e69-4b52-91e1-614d26d2c5d2"", ""name"": ""Google Corporation"" }, { ""guid"": ""c2e7f4a5-fcab-4ea9-987a-ba0f446288da"", ""name"": ""Google, LLC"" }, { ""guid"": ""15bf2064-7066-450a-acac-31135ea4ab8c"", ""name"": ""Alphabet Corporation"" } ]","[ { ""guid"": ""941a8d35-bbd3-41bc-9cf4-bbf1d6578988"", ""name"": ""World Movers"", ""products"": [ { ""guid"": ""6b8c4e78-1bc8-3e23-a5fc-969285c9bdfe"", ""name"": ""Global Site Tag"", ""types"": [ ""Analytics"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""038c19ca-fdeb-30bb-8013-158f65b05bf1"", ""name"": ""Google Analytics"", ""types"": [ ""Analytics"", ""Marketing Performance Management"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""4bb9e885-10fd-370c-bcd1-9826967db0ad"", ""name"": ""Google Universal Analytics"", ""types"": [ ""Analytics"" ], ""relationship_source"": ""bitsight"" } ], ""relationship_source"": ""bitsight"" } ]",World Movers,941a8d35-bbd3-41bc-9cf4-bbf1d6578988
"2/1/2023, 9:25:13.949 AM",3e0e0092-122a-4ed4-8f86-3b1de38c7b4a,2015-04-01,0,"Attackers have ""hit at least 114 Akamai customers with ddDoS attacks""",2015-04-01,http://www.darkreading.com/attacks-breaches/cybercriminal-gang-extorts-businesses-via-ddDoS-attacks/d/d-id/1322121?_mc=RSS_DR_EDT,DoS,An attack intended to compromise the availability of networks and systems,"[ { ""guid"": ""7d273e1c-2aa9-4267-827d-b9ff8b623fb7"", ""name"": ""Akamai Technologies, Inc."" }, { ""guid"": ""8d02643b-a1fa-478e-8bcf-a5539997bf68"", ""name"": ""Akamai Technologies Corporation"" } ]","[ { ""guid"": ""941a8d35-bbd3-41bc-9cf4-bbf1d6578988"", ""name"": ""World Movers"", ""products"": [ { ""guid"": ""717c1cf9-9905-352a-947c-53ddd1f30f68"", ""name"": ""Akamai"", ""types"": [ ""CDN (Content Delivery Network)"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""320b073e-755a-38fe-8470-322a13285c2b"", ""name"": ""Akamai Bot Manager"", ""types"": [ ""Enterprise Applications"", ""Operating Systems and Languages"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""7561c253-74b6-3524-97c8-8d96fda633fa"", ""name"": ""Akamai mPulse"", ""types"": [ ""Analytics"", ""Application Management"" ], ""relationship_source"": ""bitsight"" } ], ""relationship_source"": ""bitsight"" } ]",World Movers,941a8d35-bbd3-41bc-9cf4-bbf1d6578988
"2/1/2023, 9:25:13.949 AM",01b63241-eabd-43f5-b0ad-f8adfa2a3ce5,2021-01-25,0,An employee accessed and shared sensible information with no valid reason to do so.,2021-01-26,https://www.axios.com/scoop-google-is-investigating-the-actions-of-another-top-ai-ethicist-50030739-ea3d-4ea2-b452-c228b4fc9773.html,Privilege Abuse,An unapproved or malicious use of organizational resources beyond what is authorized,"[ { ""guid"": ""bbf80a16-8e69-4b52-91e1-614d26d2c5d2"", ""name"": ""Google Corporation"" }, { ""guid"": ""c2e7f4a5-fcab-4ea9-987a-ba0f446288da"", ""name"": ""Google, LLC"" }, { ""guid"": ""15bf2064-7066-450a-acac-31135ea4ab8c"", ""name"": ""Alphabet Corporation"" } ]","[ { ""guid"": ""941a8d35-bbd3-41bc-9cf4-bbf1d6578988"", ""name"": ""World Movers"", ""products"": [ { ""guid"": ""6b8c4e78-1bc8-3e23-a5fc-969285c9bdfe"", ""name"": ""Global Site Tag"", ""types"": [ ""Analytics"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""038c19ca-fdeb-30bb-8013-158f65b05bf1"", ""name"": ""Google Analytics"", ""types"": [ ""Analytics"", ""Marketing Performance Management"" ], ""relationship_source"": ""bitsight"" }, { ""guid"": ""4bb9e885-10fd-370c-bcd1-9826967db0ad"", ""name"": ""Google Universal Analytics"", ""types"": [ ""Analytics"" ], ""relationship_source"": ""bitsight"" } ], ""relationship_source"": ""bitsight"" } ]",World Movers,941a8d35-bbd3-41bc-9cf4-bbf1d6578988
