Company,confidence,description,end_date [UTC],event_count,first_seen [UTC],host_count,id,name,severity,severity_category,start_date [UTC],TimeGenerated [UTC],TenantId,Type,_ResourceId
"Amazon Europe Core SARL Group",LOW,"In Apache httpd 2.2.x before 2.2.33 and 2.4.x before 2.4.26, mod_mime can read one byte past the end of a buffer when sending a malicious Content-Type response header.","24/07/2025, 00:00:00.000",1,"15/05/2024, 00:00:00.000",1,"CVE-2017-7679","CVE-2017-7679","9.80",,"17/07/2025, 00:00:00.000","24/07/2025, 09:01:08.496","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightFindings_summary_CL",
"Amazon Europe Core SARL Group",LOW,"Vulnerability in the MySQL Server component of Oracle MySQL (subcomponent: Server: DML). Supported versions that are affected are 5.7.17 and earlier. Easily ""exploitable"" vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.0 Base Score 4.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H).","24/07/2025, 00:00:00.000",1,"10/06/2025, 00:00:00.000",1,"CVE-2017-3457","CVE-2017-3457","4.90",,"17/07/2025, 00:00:00.000","24/07/2025, 09:00:55.705","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightFindings_summary_CL",
"Amazon Europe Core SARL Group",LOW,"Vulnerability in the MySQL Server component of Oracle MySQL (subcomponent: Server: Optimizer). Supported versions that are affected are 5.7.18 and earlier. Easily exploitable vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.0 Base Score 4.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H).","24/07/2025, 00:00:00.000",1,"10/06/2025, 00:00:00.000",1,"CVE-2017-3638","CVE-2017-3638","4.90",,"17/07/2025, 00:00:00.000","24/07/2025, 09:01:00.727","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightFindings_summary_CL",
"Amazon Europe Core SARL Group",LOW,"In Apache httpd 2.4.0 to 2.4.29, the expression specified in <FilesMatch> could match '$' to a newline character in a malicious filename, rather than matching only the end of the filename. This could be exploited in environments where uploads of some files are are externally blocked, but only by matching the trailing portion of the filename.","24/07/2025, 00:00:00.000",1,"15/05/2024, 00:00:00.000",1,"CVE-2017-15715","CVE-2017-15715","8.10",,"17/07/2025, 00:00:00.000","24/07/2025, 09:00:49.089","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightFindings_summary_CL",
"Amazon Europe Core SARL Group",LOW,"Vulnerability in the MySQL Server component of Oracle MySQL (subcomponent: Server: Optimizer). Supported versions that are affected are 5.7.17 and earlier. Easily ""exploitable"" vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.0 Base Score 4.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H).","24/07/2025, 00:00:00.000",1,"10/06/2025, 00:00:00.000",1,"CVE-2017-3459","CVE-2017-3459","4.90",,"17/07/2025, 00:00:00.000","24/07/2025, 09:00:57.672","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightFindings_summary_CL",
"Amazon Europe Core SARL Group",LOW,"Vulnerability in the MySQL Server component of Oracle MySQL (subcomponent: Client programs). Supported versions that are affected are 5.5.59 and prior, 5.6.39 and prior and 5.7.21 and prior. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.0 Base Score 5.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H).","24/07/2025, 00:00:00.000",1,"10/06/2025, 00:00:00.000",1,"CVE-2018-2761","CVE-2018-2761","5.90",,"17/07/2025, 00:00:00.000","24/07/2025, 09:01:19.094","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightFindings_summary_CL",
"Amazon Europe Core SARL Group",LOW,"Microsoft IIS 5.0 and 6.0 allows remote attackers to poison the web cache, bypass web application firewall protection, and conduct XSS attacks via an HTTP request with both a ""Transfer-Encoding: chunked"" header and a Content-Length header, which causes IIS to incorrectly handle and forward the body of the request in a way that causes the receiving server to process it as a separate HTTP request, aka ""HTTP Request Smuggling.""","24/07/2025, 00:00:00.000",1,"23/06/2025, 00:00:00.000",1,"CVE-2005-2089","CVE-2005-2089","4.30",,"17/07/2025, 00:00:00.000","24/07/2025, 09:00:23.427","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightFindings_summary_CL",
"Amazon Europe Core SARL Group",LOW,"Stack consumption vulnerability in the FTP Service in Microsoft Internet Information Services (IIS) 5.0 through 7.0 allows remote authenticated users to cause a denial of service (daemon crash) via a list (ls) -R command containing a wildcard that references a subdirectory, followed by a .. (dot dot), aka ""IIS FTP Service DoS Vulnerability.""","24/07/2025, 00:00:00.000",1,"23/06/2025, 00:00:00.000",1,"CVE-2009-2521","CVE-2009-2521","5.00",,"17/07/2025, 00:00:00.000","24/07/2025, 09:00:26.861","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightFindings_summary_CL",
"Amazon Europe Core SARL Group",LOW,"A carefully crafted If: request header can cause a memory read, or write of a single zero byte, in a pool (heap) memory location beyond the header value sent. This could cause the process to crash. This issue affects Apache HTTP Server 2.4.54 and earlier.","24/07/2025, 00:00:00.000",1,"15/05/2024, 00:00:00.000",1,"CVE-2006-20001","CVE-2006-20001","7.50",,"17/07/2025, 00:00:00.000","24/07/2025, 09:00:24.181","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightFindings_summary_CL",
"Amazon Europe Core SARL Group",LOW,"Integer overflow in the Internet Printing Protocol (IPP) ISAPI extension in Microsoft Internet Information Services (IIS) 5.0 through 7.0 on Windows 2000 SP4, XP SP2 and SP3, Server 2003 SP1 and SP2, and Server 2008 allows remote authenticated users to execute arbitrary code via an HTTP POST request that triggers an outbound IPP connection from a web server to a machine operated by the attacker, aka ""Integer Overflow in IPP Service Vulnerability.""","24/07/2025, 00:00:00.000",1,"23/06/2025, 00:00:00.000",1,"CVE-2008-1446","CVE-2008-1446","9.00",,"17/07/2025, 00:00:00.000","24/07/2025, 09:00:24.904","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightFindings_summary_CL",
