unknown,bad,warn,neutral,fair,good,risk_vector,Company_name,spear_phishing,bit_flip,typographical_errors,tld_variant,total_count,TimeGenerated [UTC],TenantId,Type,_ResourceId
0,0,0,0,0,1,dkim,"AMAZONE S.A.",,,,,,"24/07/2025, 09:03:28.363","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightDiligence_statistics_CL",
0,0,0,0,0,1,dmarc,"AMAZONE S.A.",,,,,,"24/07/2025, 09:03:28.363","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightDiligence_statistics_CL",
0,0,0,1,0,0,dnssec,"AMAZONE S.A.",,,,,,"24/07/2025, 09:03:28.363","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightDiligence_statistics_CL",
0,0,0,0,0,1,spf,"AMAZONE S.A.",,,,,,"24/07/2025, 09:03:28.363","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightDiligence_statistics_CL",
0,0,0,0,0,2,"ssl_certificates","AMAZONE S.A.",,,,,,"24/07/2025, 09:03:28.363","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightDiligence_statistics_CL",
0,0,0,0,0,2,"ssl_configurations","AMAZONE S.A.",,,,,,"24/07/2025, 09:03:28.363","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightDiligence_statistics_CL",
0,0,0,2,1,0,"application_security","AMAZONE S.A.",,,,,,"24/07/2025, 09:03:28.363","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightDiligence_statistics_CL",
0,0,1,1,2,0,"web_appsec","AMAZONE S.A.",,,,,,"24/07/2025, 09:03:28.363","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightDiligence_statistics_CL",
0,0,0,0,0,0,"open_ports","AMAZONE S.A.",,,,,,"24/07/2025, 09:03:28.363","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightDiligence_statistics_CL",
0,0,0,0,0,0,"patching_cadence","AMAZONE S.A.",,,,,,"24/07/2025, 09:03:28.363","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightDiligence_statistics_CL",
