guid,alert_type,alert_date [UTC],start_date [UTC],company_name,company_guid,company_url,folder_guid,folder_name,severity,trigger,alert_set_name,alert_set_guid,TimeGenerated [UTC],TenantId,Type,_ResourceId
558933992,"RATING_THRESHOLD","14/12/2024, 00:00:00.000","13/12/2024, 00:00:00.000","Alamos Gold Inc.","cc0f6960-c8b0-4b39-b043-b638d9a74c6c","/company/cc0f6960-c8b0-4b39-b043-b638d9a74c6c/","b52f83a8-d49b-4d94-b778-4c5aba07ecab","All Companies",WARN,Threshold,Basic,"42be027e-6161-4059-a4ee-44aebeffdfff","24/07/2025, 09:04:14.583","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightAlerts_data_CL",
569751121,"RATING_THRESHOLD","06/01/2025, 00:00:00.000","05/01/2025, 00:00:00.000","Alamos Gold Inc.","cc0f6960-c8b0-4b39-b043-b638d9a74c6c","/company/cc0f6960-c8b0-4b39-b043-b638d9a74c6c/","b52f83a8-d49b-4d94-b778-4c5aba07ecab","All Companies",WARN,Threshold,Basic,"42be027e-6161-4059-a4ee-44aebeffdfff","24/07/2025, 09:04:14.583","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightAlerts_data_CL",
570139147,"RATING_THRESHOLD","07/01/2025, 00:00:00.000","06/01/2025, 00:00:00.000","Alamos Gold Inc.","cc0f6960-c8b0-4b39-b043-b638d9a74c6c","/company/cc0f6960-c8b0-4b39-b043-b638d9a74c6c/","b52f83a8-d49b-4d94-b778-4c5aba07ecab","All Companies",INCREASE,Threshold,Basic,"42be027e-6161-4059-a4ee-44aebeffdfff","24/07/2025, 09:04:14.583","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightAlerts_data_CL",
626039861,"RATING_THRESHOLD","13/04/2025, 00:00:00.000","12/04/2025, 00:00:00.000","Alamos Gold Inc.","cc0f6960-c8b0-4b39-b043-b638d9a74c6c","/company/cc0f6960-c8b0-4b39-b043-b638d9a74c6c/","b52f83a8-d49b-4d94-b778-4c5aba07ecab","All Companies",WARN,Threshold,Basic,"42be027e-6161-4059-a4ee-44aebeffdfff","24/07/2025, 09:04:14.583","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightAlerts_data_CL",
661908820,"RATING_THRESHOLD","05/06/2025, 00:00:00.000","04/06/2025, 00:00:00.000","Alamos Gold Inc.","cc0f6960-c8b0-4b39-b043-b638d9a74c6c","/company/cc0f6960-c8b0-4b39-b043-b638d9a74c6c/","b52f83a8-d49b-4d94-b778-4c5aba07ecab","All Companies",WARN,Threshold,Basic,"42be027e-6161-4059-a4ee-44aebeffdfff","24/07/2025, 09:04:14.583","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightAlerts_data_CL",
694793046,"RATING_THRESHOLD","09/07/2025, 00:00:00.000","08/07/2025, 00:00:00.000","360 TCS, LLC","14c797bd-7e0a-4e20-b59b-cb87daefbe0a","/company/14c797bd-7e0a-4e20-b59b-cb87daefbe0a/","b52f83a8-d49b-4d94-b778-4c5aba07ecab","All Companies",WARN,Threshold,Basic,"42be027e-6161-4059-a4ee-44aebeffdfff","24/07/2025, 09:00:14.182","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightAlerts_data_CL",
635403562,"RATING_THRESHOLD","27/04/2025, 00:00:00.000","26/04/2025, 00:00:00.000","4C - SP","0d658907-fe56-4c99-8c05-4abf861d24fd","/company/0d658907-fe56-4c99-8c05-4abf861d24fd/","b52f83a8-d49b-4d94-b778-4c5aba07ecab","All Companies",WARN,Threshold,Basic,"42be027e-6161-4059-a4ee-44aebeffdfff","24/07/2025, 09:00:18.834","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightAlerts_data_CL",
667751548,"RATING_THRESHOLD","13/06/2025, 00:00:00.000","12/06/2025, 00:00:00.000","AC Tesla","b8b02bb3-2a0b-451d-b78d-40b3dd794726","/company/b8b02bb3-2a0b-451d-b78d-40b3dd794726/","b52f83a8-d49b-4d94-b778-4c5aba07ecab","All Companies",WARN,Threshold,Basic,"42be027e-6161-4059-a4ee-44aebeffdfff","24/07/2025, 09:00:26.760","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightAlerts_data_CL",
566505704,"RATING_THRESHOLD","30/12/2024, 00:00:00.000","29/12/2024, 00:00:00.000","Amazon Care","384417c2-3e19-432e-8999-358d2fc27e60","/company/384417c2-3e19-432e-8999-358d2fc27e60/","b52f83a8-d49b-4d94-b778-4c5aba07ecab","All Companies",WARN,Threshold,Basic,"42be027e-6161-4059-a4ee-44aebeffdfff","24/07/2025, 09:04:26.332","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightAlerts_data_CL",
566505705,"RATING_THRESHOLD","30/12/2024, 00:00:00.000","29/12/2024, 00:00:00.000","Amazon Care Corporation","1e8c5437-7bef-438f-b956-ede7f5f14da1","/company/1e8c5437-7bef-438f-b956-ede7f5f14da1/","b52f83a8-d49b-4d94-b778-4c5aba07ecab","All Companies",WARN,Threshold,Basic,"42be027e-6161-4059-a4ee-44aebeffdfff","24/07/2025, 09:04:30.542","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightAlerts_data_CL",
