Company_name,beta,category,category_order,display_url,grade,grade_color,name,order,percentile,rating,TimeGenerated [UTC],TenantId,Type,_ResourceId
"Asia Pacific (Seoul) - ap-northeast-2",false,"Compromised Systems",0,"https://service.bitsighttech.com/app/tprm/company/460a6521-0eff-43f7-bfea-6cdb0539a31c/findings/?affects_rating=true&risk_vector=botnet_infections",A,"#239563","Botnet Infections",0,,,"24/07/2025, 09:15:53.720","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightCompany_rating_details_CL",
"Asia Pacific (Seoul) - ap-northeast-2",false,"Compromised Systems",0,"https://service.bitsighttech.com/app/tprm/company/460a6521-0eff-43f7-bfea-6cdb0539a31c/findings/?affects_rating=true&risk_vector=spam_propagation",A,"#239563","Spam Propagation",1,,,"24/07/2025, 09:15:53.720","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightCompany_rating_details_CL",
"Asia Pacific (Seoul) - ap-northeast-2",false,"Compromised Systems",0,"https://service.bitsighttech.com/app/tprm/company/460a6521-0eff-43f7-bfea-6cdb0539a31c/findings/?affects_rating=true&risk_vector=malware_servers",A,"#239563","Malware Servers",2,,,"24/07/2025, 09:15:53.720","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightCompany_rating_details_CL",
"Asia Pacific (Seoul) - ap-northeast-2",false,"Compromised Systems",0,"https://service.bitsighttech.com/app/tprm/company/460a6521-0eff-43f7-bfea-6cdb0539a31c/findings/?affects_rating=true&risk_vector=unsolicited_comm",A,"#239563","Unsolicited Communications",3,,,"24/07/2025, 09:15:53.720","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightCompany_rating_details_CL",
"Asia Pacific (Seoul) - ap-northeast-2",false,"Compromised Systems",0,"https://service.bitsighttech.com/app/tprm/company/460a6521-0eff-43f7-bfea-6cdb0539a31c/findings/?affects_rating=true&risk_vector=potentially_exploited",A,"#239563","Potentially Exploited",4,,,"24/07/2025, 09:15:53.720","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightCompany_rating_details_CL",
"Asia Pacific (Seoul) - ap-northeast-2",false,Diligence,1,"https://service.bitsighttech.com/app/tprm/company/460a6521-0eff-43f7-bfea-6cdb0539a31c/findings/?affects_rating=true&risk_vector=spf",F,"#C23024",SPF,5,,,"24/07/2025, 09:15:53.720","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightCompany_rating_details_CL",
"Asia Pacific (Seoul) - ap-northeast-2",false,Diligence,1,"https://service.bitsighttech.com/app/tprm/company/460a6521-0eff-43f7-bfea-6cdb0539a31c/findings/?affects_rating=true&risk_vector=dkim",C,"#DDA92A",DKIM,6,,,"24/07/2025, 09:15:53.720","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightCompany_rating_details_CL",
"Asia Pacific (Seoul) - ap-northeast-2",false,Diligence,1,"https://service.bitsighttech.com/app/tprm/company/460a6521-0eff-43f7-bfea-6cdb0539a31c/findings/?affects_rating=true&risk_vector=ssl_certificates",C,"#DDA92A","SSL Certificates",7,,,"24/07/2025, 09:15:53.720","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightCompany_rating_details_CL",
"Asia Pacific (Seoul) - ap-northeast-2",false,Diligence,1,"https://service.bitsighttech.com/app/tprm/company/460a6521-0eff-43f7-bfea-6cdb0539a31c/findings/?affects_rating=true&risk_vector=ssl_configurations",C,"#DDA92A","SSL Configurations",8,,,"24/07/2025, 09:15:53.720","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightCompany_rating_details_CL",
"Asia Pacific (Seoul) - ap-northeast-2",false,Diligence,1,"https://service.bitsighttech.com/app/tprm/company/460a6521-0eff-43f7-bfea-6cdb0539a31c/findings/?affects_rating=true&risk_vector=open_ports",A,"#239563","Open Ports",9,,,"24/07/2025, 09:15:53.720","4b6d9927-87e7-49ea-830f-bcbc5a3fa358","BitsightCompany_rating_details_CL",
