TimeGenerated [UTC],unknown_d,bad_d,warn_d,neutral_d,fair_d,good_d,risk_vector_s,Company_name_s,spear_phishing_d,bit_flip_d,typographical_errors_d,tld_variant_d,total_count_d
"2/1/2023, 9:26:05.959 AM",0,7,10,0,8,169,desktop_software,HCL Group,,,,,
"2/1/2023, 9:26:05.959 AM",0,0,7,8,0,51,dkim,HCL Group,,,,,
"2/1/2023, 9:26:05.959 AM",0,1,0,241,0,4,dnssec,HCL Group,,,,,
"2/1/2023, 9:26:05.959 AM",643,0,0,0,0,0,mobile_application_security,HCL Group,,,,,
"2/1/2023, 9:26:05.959 AM",0,0,4,0,5,23,mobile_software,HCL Group,,,,,
"2/1/2023, 9:26:05.959 AM",0,3,3,409,0,501,open_ports,HCL Group,,,,,
"2/1/2023, 9:26:05.959 AM",0,1,2,189,1,13,server_software,HCL Group,,,,,
"2/1/2023, 9:26:05.959 AM",0,0,0,0,0,156,spf,HCL Group,,,,,
"2/1/2023, 9:26:05.959 AM",0,12,11,0,0,998,ssl_certificates,HCL Group,,,,,
"2/1/2023, 9:26:05.959 AM",0,28,29,0,0,765,ssl_configurations,HCL Group,,,,,
"2/1/2023, 9:26:05.959 AM",0,12,13,83,110,0,application_security,HCL Group,,,,,
"2/1/2023, 9:26:05.959 AM",0,0,0,0,0,0,mobile_app_publications,HCL Group,,,,,
"2/1/2023, 9:26:05.959 AM",0,0,0,0,0,0,patching_cadence,HCL Group,,,,,
"2/1/2023, 9:26:05.959 AM",0,0,0,0,0,0,insecure_systems,HCL Group,,,,,
"2/1/2023, 9:26:05.959 AM",,,,,,,domain_squatting,HCL Group,3890,2357,9143,119,15509
"2/1/2023, 9:26:10.637 AM",0,1,2,0,1,12,desktop_software,Nibra Insurance,,,,,
"2/1/2023, 9:26:10.637 AM",0,0,0,6,0,0,dnssec,Nibra Insurance,,,,,
"2/1/2023, 9:26:10.637 AM",0,1,0,0,0,0,mobile_software,Nibra Insurance,,,,,
"2/1/2023, 9:26:10.637 AM",0,0,1,7,0,4,open_ports,Nibra Insurance,,,,,
