Branch,Occurrences
origin/250521-Yanivsh-Parser-Update,0
origin/3PNetworkDetections,0
origin/4R9UN--Private-Ip-Address-exclusion,0
origin/4R9UN-patch-1,0
origin/5973,0
origin/AADIP_Rule_Fix,0
origin/AKS-Enrichment,0
origin/ASIM-Parser-Changes-found-during-LA-Deployment,0
origin/ASIM-Parser-Updates,0
origin/ASIM-Schema,0
origin/ASIM-Schema-changes,0
origin/ASIMParsersDeploymentTest,0
origin/ASIM_DNS_Infoblox_Parser,0
origin/ASimDnsActivityLogs-CustomTable-Adding-Fields,0
origin/ASimDnsActivityLogs-parser-bug-fix,0
origin/AWS-CloudTrail-AzFunc,0
origin/AWSS3WorkbookDescription,0
origin/AbnormatFix27_10_2021,0
origin/ActiniumIOC,0
origin/Add-YAML-file-for-DHCP-and-Registry,0
origin/Add-tables,0
origin/Adding-lastUpdateTime-for-playbook,2
origin/Adding-new-fields-to-ASIM-schemas,0
origin/AddingNewSkips,2
origin/AddingRegistryNativeParser,0
origin/AddingSkipValidationsList,2
origin/AlcWebCtrl-DataTypeChange,0
origin/Amazon-Web-Services,1
origin/Amitbergman-patch-1,0
origin/Amitbergman-patch-10,0
origin/Amitbergman-patch-12,0
origin/Amitbergman-patch-13,0
origin/Amitbergman-patch-14,0
origin/Amitbergman-patch-15,0
origin/Amitbergman-patch-16,0
origin/Amitbergman-patch-17,0
origin/Amitbergman-patch-18,0
origin/Amitbergman-patch-19,0
origin/Amitbergman-patch-2,0
origin/Amitbergman-patch-20,0
origin/Amitbergman-patch-21,0
origin/Amitbergman-patch-22,0
origin/Amitbergman-patch-23,0
origin/Amitbergman-patch-24,0
origin/Amitbergman-patch-25,0
origin/Amitbergman-patch-26,0
origin/Amitbergman-patch-27,0
origin/Amitbergman-patch-28,0
origin/Amitbergman-patch-2s8,0
origin/Amitbergman-patch-3,0
origin/Amitbergman-patch-4,0
origin/Amitbergman-patch-41,0
origin/Amitbergman-patch-42,0
origin/Amitbergman-patch-5,0
origin/Amitbergman-patch-6,0
origin/Amitbergman-patch-7,0
origin/Amitbergman-patch-8,0
origin/Amitbergman-patch-9,0
origin/AnalyticRules-Entity-Updates,0
origin/AnkASIM,0
origin/ApplyRegistryParsers,0
origin/Applying-File-Filters,0
origin/ArmorBoxTestBranch,0
origin/Authentication-Parser-Filter-Update,0
origin/Authentication-Parser-Filter-Updates,0
origin/Azure-Storage,0
origin/AzureAD_ContentTesting_1,0
origin/AzureActivity_ContentTesting_1,0
origin/AzureActivity_ContentTesting_2,0
origin/AzureActivity_ContentTesting_3,0
origin/AzureActivity_ContentTesting_4,
origin/AzureActivity_ContentTesting_5,0
origin/AzureActivity_RuleFix,
origin/AzureDiagnosticsSupportInDataConnectors,
origin/AzureKeyVaultWorkbook,
origin/AzureSecurityBenchmarkSolution,
origin/AzureWAF_Matching_log4j,0
origin/Azure_WAF_Content_Testing1,
origin/Azure_WAF_Content_Testing2,
