EventOriginalType,EventOriginalSeverity,Dvc,DstIpAddr,DstPortNumber,EventMessage,SrcIpAddr,SrcPortNumber,EventProductVersion,NetworkRuleName,DvcAction,EventResult,TimeGenerated,DvcOriginalAction,ASimMatchingIpAddr,DstInterfaceName,SrcInterfaceName,NetworkIcmpType,NetworkIcmpCode,SrcUsername,NetworkDirection,NetworkSessionId,SrcNatIpAddr,SrcNatPortNumber,DstNatIpAddr,DstNatPortNumber,DstUsername,SessionId,EventSubType,NetworkDuration,NetworkBytes,EventResultDetails,EventOriginalResultDetails,SrcUsernameType,DstAppName,ThreatName,EventCount,EventStartTime,EventEndTime,EventVendor,EventProduct,EventType,EventSchema,EventSchemaVersion,DstUsernameType,NetworkProtocol,EventSeverity,Src,Dst,Duration,IpAddr,Rule,User
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/65530 to 192.168.1.1/53 due to DNS Query,172.18.27.50,65530,-,-,Deny,Failure,10/29/2024 4:31:48 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 4:31:48 AM,10/29/2024 4:31:48 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/65530 to 192.168.1.1/53 due to DNS Query,172.18.27.50,65530,-,-,Deny,Failure,10/29/2024 4:31:48 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 4:31:48 AM,10/29/2024 4:31:48 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/65530 to 192.168.1.1/53 due to DNS Query,172.18.27.50,65530,-,-,Deny,Failure,10/29/2024 4:31:50 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 4:31:50 AM,10/29/2024 4:31:50 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/65530 to 192.168.1.1/53 due to DNS Query,172.18.27.50,65530,-,-,Deny,Failure,10/29/2024 4:31:54 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 4:31:54 AM,10/29/2024 4:31:54 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/58534 to 192.168.1.1/53 due to DNS Query,172.18.27.50,58534,-,-,Deny,Failure,10/29/2024 4:31:58 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 4:31:58 AM,10/29/2024 4:31:58 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/58534 to 192.168.1.1/53 due to DNS Query,172.18.27.50,58534,-,-,Deny,Failure,10/29/2024 4:31:58 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 4:31:58 AM,10/29/2024 4:31:58 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/58534 to 192.168.1.1/53 due to DNS Query,172.18.27.50,58534,-,-,Deny,Failure,10/29/2024 4:32:00 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 4:32:00 AM,10/29/2024 4:32:00 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/58534 to 192.168.1.1/53 due to DNS Query,172.18.27.50,58534,-,-,Deny,Failure,10/29/2024 4:32:04 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 4:32:04 AM,10/29/2024 4:32:04 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/54865 to 192.168.1.1/53 due to DNS Query,172.18.27.50,54865,-,-,Deny,Failure,10/29/2024 4:47:28 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 4:47:28 AM,10/29/2024 4:47:28 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/54865 to 192.168.1.1/53 due to DNS Query,172.18.27.50,54865,-,-,Deny,Failure,10/29/2024 4:47:29 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 4:47:29 AM,10/29/2024 4:47:29 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/54865 to 192.168.1.1/53 due to DNS Query,172.18.27.50,54865,-,-,Deny,Failure,10/29/2024 4:47:31 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 4:47:31 AM,10/29/2024 4:47:31 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/54865 to 192.168.1.1/53 due to DNS Query,172.18.27.50,54865,-,-,Deny,Failure,10/29/2024 4:47:35 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 4:47:35 AM,10/29/2024 4:47:35 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/60821 to 192.168.1.1/53 due to DNS Query,172.18.27.50,60821,-,-,Deny,Failure,10/29/2024 4:47:39 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 4:47:39 AM,10/29/2024 4:47:39 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/60821 to 192.168.1.1/53 due to DNS Query,172.18.27.50,60821,-,-,Deny,Failure,10/29/2024 4:47:39 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 4:47:39 AM,10/29/2024 4:47:39 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/60821 to 192.168.1.1/53 due to DNS Query,172.18.27.50,60821,-,-,Deny,Failure,10/29/2024 4:47:41 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 4:47:41 AM,10/29/2024 4:47:41 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/60821 to 192.168.1.1/53 due to DNS Query,172.18.27.50,60821,-,-,Deny,Failure,10/29/2024 4:47:45 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 4:47:45 AM,10/29/2024 4:47:45 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/51943 to 192.168.1.1/53 due to DNS Query,172.18.27.50,51943,-,-,Deny,Failure,10/29/2024 6:37:08 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 6:37:08 AM,10/29/2024 6:37:08 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/51943 to 192.168.1.1/53 due to DNS Query,172.18.27.50,51943,-,-,Deny,Failure,10/29/2024 6:37:08 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 6:37:08 AM,10/29/2024 6:37:08 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/51943 to 192.168.1.1/53 due to DNS Query,172.18.27.50,51943,-,-,Deny,Failure,10/29/2024 6:37:10 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 6:37:10 AM,10/29/2024 6:37:10 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/51943 to 192.168.1.1/53 due to DNS Query,172.18.27.50,51943,-,-,Deny,Failure,10/29/2024 6:37:14 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 6:37:14 AM,10/29/2024 6:37:14 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/58409 to 192.168.1.1/53 due to DNS Query,172.18.27.50,58409,-,-,Deny,Failure,10/29/2024 6:37:19 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 6:37:19 AM,10/29/2024 6:37:19 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/58409 to 192.168.1.1/53 due to DNS Query,172.18.27.50,58409,-,-,Deny,Failure,10/29/2024 6:37:19 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 6:37:19 AM,10/29/2024 6:37:19 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/58409 to 192.168.1.1/53 due to DNS Query,172.18.27.50,58409,-,-,Deny,Failure,10/29/2024 6:37:21 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 6:37:21 AM,10/29/2024 6:37:21 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106007,2,FWL-VPN-MN,192.168.1.1,53,%ASA-2-106007:  Deny inbound UDP from 172.18.27.50/58409 to 192.168.1.1/53 due to DNS Query,172.18.27.50,58409,-,-,Deny,Failure,10/29/2024 6:37:25 AM,Deny,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,DNS Query,-,DNS,-,1,10/29/2024 6:37:25 AM,10/29/2024 6:37:25 AM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,UDP,Low,172.18.27.50,192.168.1.1,-,172.18.27.50,-,-
106001,2,FWL-VPN-MN,192.168.1.3,8008,%ASA-2-106001:  Inbound TCP connection denied from 172.18.27.212/51062 to 192.168.1.3/8008 flags SYN  on interface outside,172.18.27.212,51062,-,-,Deny,Failure,11/1/2024 1:07:47 PM,denied,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11/1/2024 1:07:47 PM,11/1/2024 1:07:47 PM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,TCP,Low,172.18.27.212,192.168.1.3,-,172.18.27.212,-,-
106001,2,FWL-VPN-MN,192.168.1.3,8008,%ASA-2-106001:  Inbound TCP connection denied from 172.18.27.212/51062 to 192.168.1.3/8008 flags SYN  on interface outside,172.18.27.212,51062,-,-,Deny,Failure,11/1/2024 1:07:48 PM,denied,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11/1/2024 1:07:48 PM,11/1/2024 1:07:48 PM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,TCP,Low,172.18.27.212,192.168.1.3,-,172.18.27.212,-,-
106001,2,FWL-VPN-MN,192.168.1.3,8008,%ASA-2-106001:  Inbound TCP connection denied from 172.18.27.212/51062 to 192.168.1.3/8008 flags SYN  on interface outside,172.18.27.212,51062,-,-,Deny,Failure,11/1/2024 1:07:50 PM,denied,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11/1/2024 1:07:50 PM,11/1/2024 1:07:50 PM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,TCP,Low,172.18.27.212,192.168.1.3,-,172.18.27.212,-,-
106001,2,FWL-VPN-MN,192.168.1.3,8008,%ASA-2-106001:  Inbound TCP connection denied from 172.18.27.212/51079 to 192.168.1.3/8008 flags SYN  on interface outside,172.18.27.212,51079,-,-,Deny,Failure,11/1/2024 1:07:51 PM,denied,-,-,-,-,-,-,Inbound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11/1/2024 1:07:51 PM,11/1/2024 1:07:51 PM,Cisco,ASA,NetworkSession,NetworkSession,0.2.4,-,TCP,Low,172.18.27.212,192.168.1.3,-,172.18.27.212,-,-
