Publish time,Attribute keys,Message body,Body JSON keys,Ordering key,body.httpRequest.latency,body.httpRequest.remoteIp,body.httpRequest.requestMethod,body.httpRequest.requestSize,body.httpRequest.requestUrl,body.httpRequest.responseSize,body.httpRequest.serverIp,body.httpRequest.status,body.insertId,body.jsonPayload.@type,body.jsonPayload.backendTargetProjectNumber,body.jsonPayload.cacheDecision[0],body.jsonPayload.cacheDecision[1],body.jsonPayload.cacheDecision[2],body.jsonPayload.enforcedSecurityPolicy.configuredAction,body.jsonPayload.enforcedSecurityPolicy.name,body.jsonPayload.enforcedSecurityPolicy.outcome,body.jsonPayload.enforcedSecurityPolicy.priority,body.jsonPayload.remoteIp,body.jsonPayload.securityPolicyRequestData.remoteIpInfo.asn,Ack
"Oct 8, 2024, 11:18:42 AM",logging.googleapis.com/timestamp,"{""httpRequest"":{""latency"":""0.023447s"",""remoteIp"":""106.195.72.238"",""requestMethod"":""GET"",""requestSize"":""74"",""requestUrl"":""https://kornea.techmahindra.com/CS_INIS/CorneaService.svc"",""responseSize"":""3714"",""serverIp"":""10.90.1.2"",""status"":200},""insertId"":""118cn2jf6pc5bk"",""jsonPayload"":{""@type"":""type.googleapis.com/google.cloud.loadbalancing.type.LoadBalancerLogEntry"",""backendTargetProjectNumber"":""projects/316259834507"",""cacheDecision"":[""RESPONSE_HAS_CACHE_CONTROL"",""RESPONSE_HAS_CONTENT_TYPE"",""CACHE_MODE_USE_ORIGIN_HEADERS""],""enforcedSecurityPolicy"":{""configuredAction"":""ALLOW"",""name"":""korneagoogle-glb-waf"",""outcome"":""ACCEPT"",""priority"":2147483647},""remoteIp"":""106.195.72.238"",""securityPolicyRequestData"":{""remoteIpInfo"":{""asn"":45609,""regionCode"":""IN""},""tlsJa3Fingerprint"":""6a5d235ee78c6aede6a61448b4e9ff1e""},""statusDetails"":""response_sent_by_backend""},""logName"":""projects/landing-zone-prod/logs/requests"",""receiveTimestamp"":""2024-10-08T05:48:42.267258649Z"",""resource"":{""labels"":{""backend_service_name"":""kornea-backend"",""forwarding_rule_name"":""kornea-frontend"",""project_id"":""landing-zone-prod"",""target_proxy_name"":""gcpin-mu-glb-01-target-proxy-12"",""url_map_name"":""gcpin-mu-glb-01"",""zone"":""global""},""type"":""http_load_balancer""},""severity"":""INFO"",""spanId"":""fde86eedb6f802b3"",""timestamp"":""2024-10-08T05:48:40.595253Z"",""trace"":""projects/landing-zone-prod/traces/c13f201f1e4d5c787c7074e1e644599f""}",httpRequest.latency,—,0.023447s,106.195.72.238,GET,74,https://kornea.techmahindra.com/CS_INIS/CorneaService.svc,3714,10.90.1.2,200,118cn2jf6pc5bk,type.googleapis.com/google.cloud.loadbalancing.type.LoadBalancerLogEntry,projects/316259834507,RESPONSE_HAS_CACHE_CONTROL,RESPONSE_HAS_CONTENT_TYPE,CACHE_MODE_USE_ORIGIN_HEADERS,ALLOW,korneagoogle-glb-waf,ACCEPT,2147483647,106.195.72.238,45609,Deadline exceeded
,,,httpRequest.remoteIp,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.requestMethod,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.requestSize,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.requestUrl,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.responseSize,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.serverIp,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.status,,,,,,,,,,,,,,,,,,,,,,
,,,insertId,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.@type,,,,,,,,,,,,,,,,,,,,,,
