DateChangedOrAdded,ADObject,AllRows
1/13/2022, msExchMalwareFilterConfig,*MalwareFilterPolicy
1/13/2022,group / Domain Partition,*-RoleGroup
1/13/2022,msExchAcceptedDomain,*-AcceptedDomain
1/13/2022,msExchAdminAuditLogConfig,*-AdminAuditLogConfig
1/13/2022,msExchAutoDiscoverVirtualDirectory,*-AutodiscoverVirtualDirectory
1/13/2022,msExchCoexistenceRelationship,*-HybridConfiguration
1/13/2022,msExchConfigSettings,*-SettingOverride
1/13/2022,msExchContentConfigContainer,*-RemoteDomain
1/13/2022,msExchECPVirtualDirectory,*-EcpVirtualDirectory
1/13/2022,msExchELCFolder,*-RetentionPolicyTag
1/13/2022,msExchExchangeServer,*-TransportService
1/13/2022,msExchFedSharingRelationship,*-OrganizationRelationship
1/13/2022,msExchIntraOrganizationConnector,*-IntraOrganizationConnector
1/13/2022,msExchMailboxRecipientTemplate,*-RetentionPolicy
1/13/2022,msExchMapiVirtualDirectory,*-MapiVirtualDirectory
1/13/2022,msExchMDBAvailabilityGroup,*-DatabaseAvailabilityGroup
1/13/2022,msExchMDBContainer,#Ignored#
1/13/2022,msExchMessageHygieneContentFilterConfig,*-ContentFilterConfig
1/13/2022,msExchMessageHygieneIPAllowListConfig,*-IPAllowListConfig
1/13/2022,msExchMessageHygieneIPAllowListProviderConfig,*-IPAllowListProvidersConfig
1/13/2022,msExchMessageHygieneIPBlockListConfig,*-IPBlockListConfig
1/13/2022,msExchMessageHygieneIPBlockListProviderConfig,*-IPBlockListProvidersConfig
1/13/2022,msExchMessageHygieneRecipientFilterConfig,*-RecipientFilterConfig
1/13/2022,msExchMessageHygieneSenderFilterConfig,*-SenderFilterConfig
1/13/2022,msExchMessageHygieneSenderIDConfig,*-SenderIdConfig
1/13/2022,msExchMobileMailboxPolicy,*-MobileDeviceMailboxPolicy
1/13/2022,msExchMobileMailboxSettings,*-ActiveSyncMailboxPolicy
1/13/2022,msExchMobileVirtualDirectory,*-ActiveSyncVirtualDirectory
1/13/2022,msExchMRSRequest,*-MailboxExportRequest;*-MoveMailboxRequest;*-MailboxRestoreRequest
1/13/2022,msExchOABVirtualDirectory,*-OabVirtualDirectory
1/13/2022,msExchOWAMailboxPolicy,*-OwaMailboxPolicy
1/13/2022,msExchOWAVirtualDirectory,*-OwaVirtualDirectory
1/13/2022,msExchPowerShellVirtualDirectory,*-PowerShellVirtualDirectory
1/13/2022,msExchPrivateMDB,*-MailboxDatabase
1/13/2022,msExchProtocolCfgIMAPContainer,*-ImapSettings
1/13/2022,msExchRecipientPolicyContainer,*-EmailAddressPolicy
1/13/2022,msExchRole,*-ManagementRole
1/13/2022,msExchRoleAssignment,*-ManagementRoleAssignment
1/13/2022,msExchRoutingSMTPConnector,*-SendConnector
1/13/2022,msExchRpcHttpVirtualDirectory,*-OutlookAnywhere
1/13/2022,msExchSenderReputation,*-SenderReputationConfig
1/13/2022,msExchSmtpReceiveConnector,*-ReceiveConnector
1/13/2022,msExchTransportRuleCollection,*-TransportRule;*-JournalRule
1/13/2022,msExchTransportSettings,*-TransportConfig
1/13/2022,msExchWebServicesVirtualDirectory,*-WebServicesVirtualDirectory
1/13/2022,protocolCfgPOPServer,*-PopSettings
