ASIMFieldName, ASIMFieldType, ProductFieldName, ProductFieldType, ProductFieldDescription, ProductSampleValue, Logic
ActingProcessGuid,string,,,,,direct mapping
ActingProcessId,string,,,,,direct mapping
ActingProcessName,string,,,,,direct mapping
ActorSessionId,string,,,,,direct mapping
ActorUserId,string,,,,,direct mapping
ActorUserIdType,string,,,,,direct mapping
ActorUsername,string,,,,,direct mapping
ActorUsernameType,string,,,,,direct mapping
AdditionalFields,dynamic,,,,,direct mapping
DstDescription,string,,,,,direct mapping
Dvc,string,,,,,direct mapping
DvcDescription,string,,,,,direct mapping
DvcHostname,string,,,,,direct mapping
DvcId,string,,,,,direct mapping
DvcIpAddr,string,,,,,direct mapping
DvcMacAddr,string,,,,,direct mapping
DvcOs,string,,,,,direct mapping
DvcOsVersion,string,,,,,direct mapping
DvcScope,string,,,,,direct mapping
DvcScopeId,string,,,,,direct mapping
EventCount,int,,,,,direct mapping
EventEndTime,datetime,,,,,direct mapping
EventMessage,string,,,,,direct mapping
EventOriginalSeverity,string,,,,,direct mapping
EventOriginalSubType,string,,,,,direct mapping
EventOriginalType,string,,,,,direct mapping
EventOriginalUid,string,,,,,direct mapping
EventOwner,string,,,,,direct mapping
EventProduct,string,,,,,direct mapping
EventProductVersion,string,,,,,direct mapping
EventReportUrl,string,,,,,direct mapping
EventResult,string,,,,,direct mapping
EventSchema,string,,,,,direct mapping
EventSchemaVersion,string,,,,,direct mapping
EventSeverity,string,,,,,direct mapping
EventStartTime,datetime,,,,,direct mapping
EventType,string,,,,,direct mapping
EventUid,string,,,,,direct mapping
EventVendor,string,,,,,direct mapping
ParentProcessGuid,string,,,,,direct mapping
ParentProcessId,string,,,,,direct mapping
ParentProcessName,string,,,,,direct mapping
Process,string,,,,,direct mapping
RegistryKey,string,,,,,direct mapping
RegistryPreviousKey,string,,,,,direct mapping
RegistryPreviousValue,string,,,,,direct mapping
RegistryPreviousValueData,string,,,,,direct mapping
RegistryPreviousValueType,string,,,,,direct mapping
RegistryValue,string,,,,,direct mapping
RegistryValueData,string,,,,,direct mapping
RegistryValueType,string,,,,,direct mapping
Rule,string,,,,,direct mapping
RuleName,string,,,,,direct mapping
RuleNumber,int,,,,,direct mapping
SrcDescription,string,,,,,direct mapping
ThreatCategory,string,,,,,direct mapping
ThreatConfidence,int,,,,,direct mapping
ThreatField,string,,,,,direct mapping
ThreatFirstReportedTime,datetime,,,,,direct mapping
ThreatId,string,,,,,direct mapping
ThreatIsActive,bool,,,,,direct mapping
ThreatLastReportedTime,datetime,,,,,direct mapping
ThreatName,string,,,,,direct mapping
ThreatOriginalConfidence,string,,,,,direct mapping
ThreatOriginalRiskLevel,string,,,,,direct mapping
ThreatRiskLevel,int,,,,,direct mapping
TimeGenerated,datetime,,,,,direct mapping
Type,string,,,,,direct mapping
User,string,,,,,direct mapping
