task_id,params,params_type,params_target,params_source,status,time_value,v_value,status_message_for_dossier,data,data_actor_description,data_actor_id,data_actor_name,data_customer_first_dns_query,data_customer_last_dns_query,data_display_name,data_ikb_submitted,data_purpose,data_related_count,data_reports,data_ttp,data_ikb_first_classified_malicious,data_external_references,TimeGenerated,RowData,TenantId,Type,_ResourceId
e413603f-88eb-4511-bd8a-acbec806d31b,None,host,gmail.com,threat_actor,success,20,3.0.0,Click here to view the data,None,Gmail is Google's email service.,17e00059-45db-4eef-ad6d-2ae9c58fe853,Google Gmail,2021-07-01T00:00:00Z,2026-08-05T00:00:00Z,Google Gmail,2022-06-17T21:38:48.295Z,"[""legitimate""]",4,None,"[""other""]",None,None,2026-08-18T05:45:28.8428658Z,"{""actor_description"":""Gmail is Google's email service."",""actor_id"":""17e00059-45db-4eef-ad6d-2ae9c58fe853"",""actor_name"":""Google Gmail"",""customer_first_dns_query"":""2021-07-01T00:00:00.0000000Z"",""customer_last_dns_query"":""2026-08-05T00:00:00.0000000Z"",""display_name"":""Google Gmail"",""ikb_submitted"":""2022-06-17T21:38:48.2950000Z"",""purpose"":[""legitimate""],""related_count"":4,""ttp"":[""other""]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_threat_actor_CL,
aebdd7af-8d80-4ef3-96bd-a95d6c57e773,None,host,google.com,threat_actor,success,24,3.0.0,Click here to view the data,None,Google Search is a fully-automated search engine that uses software known as web crawlers that explore the web on a regular basis to find sites.,ca3db41a-9419-4a23-a179-f8661d4548a1,Google Search,2021-07-01T00:00:00Z,2026-08-05T00:00:00Z,Google Search,2022-03-22T11:25:55Z,"[""legitimate""]",190,"[{""document_id"":""BLG-2026-09"",""infoblox_reference"":""https://www.infoblox.com/blog/threat-intelligence/parked-domains-become-weapons-with-direct-search-advertising/"",""keyword"":[""parkeddomains"",""directsearch"",""zeroclick"",""malvertising"",""typosquatting"",""fastflux"",""TDS"",""devicefingerprinting"",""lookalikedomains"",""threatintelligence"",""chatterjamtagbirdfile[.]monster"",""colaureat[.]icu"",""digesttech[.]com"",""safezonefirewall[.]com"",""sportswear[.]homes"",""velixnero[.]co[.]in"",""drizzledrape[.]co"",""installupdate[.]online"",""domaincntrol[.]com"",""torresdns[.]com"",""koaladns[.]com"",""weaponizedcow[.]com"",""numbatdns[.]com"",""quokkadns[.]com"",""emu-dns[.]com"",""echidns[.]com"",""magpiedns[.]com"",""kirklanddc[.]com"",""hastydns[.]com"",""milesmx[.]com""],""overview"":""Parked domains, once considered harmless placeholders, have evolved into a major cybersecurity threat due to the adoption of direct search (zero-click) advertising models. These domains often redirect users through complex traffic distribution systems, enabling malicious actors to deliver scams, malware, and spyware instead of legitimate ads. Infoblox researchers discovered that over 90% of visits to parked domains resulted in harmful content, with actors using techniques like device fingerprinting, cloaking, and even double fast flux DNS to evade detection. Large domain portfolio owners play a critical role in this ecosystem, leveraging lookalike domains and typosquats to capture traffic and monetize it through risky advertising networks. The report warns that recent changes in Google�s advertising policies may inadvertently increase the adoption of direct search, amplifying threats to users and enterprises."",""publish_date"":""2025-12-16T19:47:41.0000000Z"",""report_id"":""35f94bff-6d94-49b4-a46b-557560f2b4ec"",""title"":""Parked Domains Become Weapons with Direct Search Advertising""}]","[""other""]",None,None,2026-08-18T06:00:15.5089175Z,"{""actor_description"":""Google Search is a fully-automated search engine that uses software known as web crawlers that explore the web on a regular basis to find sites."",""actor_id"":""ca3db41a-9419-4a23-a179-f8661d4548a1"",""actor_name"":""Google Search"",""customer_first_dns_query"":""2021-07-01T00:00:00.0000000Z"",""customer_last_dns_query"":""2026-08-05T00:00:00.0000000Z"",""display_name"":""Google Search"",""ikb_submitted"":""2022-03-22T11:25:55.0000000Z"",""purpose"":[""legitimate""],""related_count"":190,""ttp"":[""other""],""reports"":[{""document_id"":""BLG-2026-09"",""infoblox_reference"":""https://www.infoblox.com/blog/threat-intelligence/parked-domains-become-weapons-with-direct-search-advertising/"",""keyword"":[""parkeddomains"",""directsearch"",""zeroclick"",""malvertising"",""typosquatting"",""fastflux"",""TDS"",""devicefingerprinting"",""lookalikedomains"",""threatintelligence"",""chatterjamtagbirdfile[.]monster"",""colaureat[.]icu"",""digesttech[.]com"",""safezonefirewall[.]com"",""sportswear[.]homes"",""velixnero[.]co[.]in"",""drizzledrape[.]co"",""installupdate[.]online"",""domaincntrol[.]com"",""torresdns[.]com"",""koaladns[.]com"",""weaponizedcow[.]com"",""numbatdns[.]com"",""quokkadns[.]com"",""emu-dns[.]com"",""echidns[.]com"",""magpiedns[.]com"",""kirklanddc[.]com"",""hastydns[.]com"",""milesmx[.]com""],""overview"":""Parked domains, once considered harmless placeholders, have evolved into a major cybersecurity threat due to the adoption of direct search (zero-click) advertising models. These domains often redirect users through complex traffic distribution systems, enabling malicious actors to deliver scams, malware, and spyware instead of legitimate ads. Infoblox researchers discovered that over 90% of visits to parked domains resulted in harmful content, with actors using techniques like device fingerprinting, cloaking, and even double fast flux DNS to evade detection. Large domain portfolio owners play a critical role in this ecosystem, leveraging lookalike domains and typosquats to capture traffic and monetize it through risky advertising networks. The report warns that recent changes in Google�s advertising policies may inadvertently increase the adoption of direct search, amplifying threats to users and enterprises."",""publish_date"":""2025-12-16T19:47:41.0000000Z"",""report_id"":""35f94bff-6d94-49b4-a46b-557560f2b4ec"",""title"":""Parked Domains Become Weapons with Direct Search Advertising""}]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_threat_actor_CL,
c332ad53-77ee-4bad-aa29-75dd47b66a5e,None,host,6wt8kvp.hair,threat_actor,success,2,3.0.0,Click here to view the data,None,,,,None,None,,None,None,None,None,None,None,None,2026-08-18T13:05:51.5841306Z,None,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_threat_actor_CL,
5bb22625-4a53-407f-9503-2c26f5b92ac3,None,host,zuxiswabobb.pro,threat_actor,success,3,3.0.0,Click here to view the data,None,,,,None,None,,None,None,None,None,None,None,None,2026-08-18T13:05:51.6673221Z,None,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_threat_actor_CL,
576330e2-d228-4a71-ada2-8d55a37f1849,None,host,amazon.com,threat_actor,success,10,3.0.0,Click here to view the data,None,Amazon shopping application,d07cc8a3-47f4-4d44-a451-93010a00623c,Amazon Shopping,2021-07-01T00:00:00Z,2026-08-05T00:00:00Z,Amazon Shopping,2021-12-17T17:47:12Z,"[""legitimate""]",8,None,"[""other""]",None,None,2026-08-18T12:53:48.6033107Z,"{""actor_description"":""Amazon shopping application"",""actor_id"":""d07cc8a3-47f4-4d44-a451-93010a00623c"",""actor_name"":""Amazon Shopping"",""customer_first_dns_query"":""2021-07-01T00:00:00.0000000Z"",""customer_last_dns_query"":""2026-08-05T00:00:00.0000000Z"",""display_name"":""Amazon Shopping"",""ikb_submitted"":""2021-12-17T17:47:12.0000000Z"",""purpose"":[""legitimate""],""related_count"":8,""ttp"":[""other""]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_threat_actor_CL,
6dcc9888-dcdc-4041-8005-4ec1e14521e8,None,host,yahoo.com,threat_actor,success,14,3.0.0,Click here to view the data,None,Yahoo Search is a service used to search the Internet,ced9c52b-7698-4104-b46c-2d061f204636,Yahoo Search,2021-07-01T00:00:00Z,2026-08-05T00:00:00Z,Yahoo Search,2022-03-22T11:25:55Z,"[""legitimate""]",5,None,"[""other""]",None,None,2026-08-18T06:24:45.8866441Z,"{""actor_description"":""Yahoo Search is a service used to search the Internet"",""actor_id"":""ced9c52b-7698-4104-b46c-2d061f204636"",""actor_name"":""Yahoo Search"",""customer_first_dns_query"":""2021-07-01T00:00:00.0000000Z"",""customer_last_dns_query"":""2026-08-05T00:00:00.0000000Z"",""display_name"":""Yahoo Search"",""ikb_submitted"":""2022-03-22T11:25:55.0000000Z"",""purpose"":[""legitimate""],""related_count"":5,""ttp"":[""other""]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_threat_actor_CL,
5b0f8a07-f440-4ee6-a49c-a48bcf4f4d10,None,host,whitepanda.info,threat_actor,success,100,3.0.0,Click here to view the data,None,"Cluster of domains all either redirecting visitors to, or hosting, scam web pages which claim to give rewards for completing customer surveys. These domains harvest personal information which is later used for phishing.",fb27cf39-2be2-4cba-a084-393c085b79f0,Scam Dino,2026-06-06T00:00:00Z,2026-08-03T00:00:00Z,Scam Dino,2026-06-06T13:31:57.213Z,"[""phishing""]",353,None,"[""other""]",2026-06-06T13:31:57.213Z,None,2026-08-18T06:25:14.5767244Z,"{""actor_description"":""Cluster of domains all either redirecting visitors to, or hosting, scam web pages which claim to give rewards for completing customer surveys. These domains harvest personal information which is later used for phishing."",""actor_id"":""fb27cf39-2be2-4cba-a084-393c085b79f0"",""actor_name"":""Scam Dino"",""customer_first_dns_query"":""2026-06-06T00:00:00.0000000Z"",""customer_last_dns_query"":""2026-08-03T00:00:00.0000000Z"",""display_name"":""Scam Dino"",""ikb_submitted"":""2026-06-06T13:31:57.2130000Z"",""purpose"":[""phishing""],""related_count"":353,""ttp"":[""other""],""ikb_first_classified_malicious"":""2026-06-06T13:31:57.2130000Z""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_threat_actor_CL,
5511a0c7-ac2d-4f6e-84fd-5e36b41115b7,None,host,zelmuoraki.info,threat_actor,success,87,3.0.0,Click here to view the data,None,"Threat actor using Keitaro tracker to cloak malicious activity. The cloaking from this actor is very good and it is difficult to trigger the true content. The information we have indicates that the actor is spreading disinformation campaigns, but it is quite possible they are delivering malware and other content based on the sophistication. When the actor rejects the user, they will redirect to a site like Amazon or a legitimate news site. These campaigns appear to be active since late 2024. ",8af6ec2d-31ce-4c0a-b6a0-d05b413c1569,unnamed_viper_50f2c,2026-06-21T00:00:00Z,2026-08-03T00:00:00Z,,2026-06-20T20:07:08.442Z,"[""phishing""]",1071,None,"[""tracker"",""tds""]",2026-06-20T20:07:08.442Z,"[""https://urlscan.io/result/019d5e5f-af66-7640-8715-d8c238c0c277/""]",2026-08-18T06:27:20.6924125Z,"{""actor_description"":""Threat actor using Keitaro tracker to cloak malicious activity. The cloaking from this actor is very good and it is difficult to trigger the true content. The information we have indicates that the actor is spreading disinformation campaigns, but it is quite possible they are delivering malware and other content based on the sophistication. When the actor rejects the user, they will redirect to a site like Amazon or a legitimate news site. These campaigns appear to be active since late 2024. "",""actor_id"":""8af6ec2d-31ce-4c0a-b6a0-d05b413c1569"",""actor_name"":""unnamed_viper_50f2c"",""customer_first_dns_query"":""2026-06-21T00:00:00.0000000Z"",""customer_last_dns_query"":""2026-08-03T00:00:00.0000000Z"",""ikb_submitted"":""2026-06-20T20:07:08.4420000Z"",""purpose"":[""phishing""],""related_count"":1071,""ttp"":[""tracker"",""tds""],""ikb_first_classified_malicious"":""2026-06-20T20:07:08.4420000Z"",""external_references"":[""https://urlscan.io/result/019d5e5f-af66-7640-8715-d8c238c0c277/""]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_threat_actor_CL,
cb0f1c70-08c1-44f6-8a2f-d8816b9ad1ba,None,host,microsoft.com,threat_actor,success,6,3.0.0,Click here to view the data,None,,,,None,None,,None,None,None,None,None,None,None,2026-08-19T05:27:38.842598Z,None,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_threat_actor_CL,
f3987baf-68a4-415b-985f-0f03e92ff98e,None,host,github.com,threat_actor,success,7,3.0.0,Click here to view the data,None,,,,None,None,,None,None,None,None,None,None,None,2026-08-19T05:29:01.7705507Z,None,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_threat_actor_CL,
