task_id,params,params_type,params_target,params_source,status,time_value,v_value,data,status_message_for_dossier,TimeGenerated,TenantId,Type,_ResourceId
5a22de86-2970-480c-8f16-d1c28399af3b,None,host,google.com,rpz_feeds,success,164,3.0.0,{},Click here to view the data,2026-08-18T05:38:37.2816191Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_CL,
3aa348eb-a45b-424c-9d73-b2700b098851,None,host,gmail.com,rpz_feeds,success,111,3.0.0,{},Click here to view the data,2026-08-18T05:45:28.576868Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_CL,
579d24f8-bed8-489e-b63e-652331cdf118,None,ip,9.9.9.9,rpz_feeds,success,68,3.0.0,{},Click here to view the data,2026-08-18T12:59:18.1815471Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_CL,
3c18af02-9284-46b2-9869-03b9b1c5aac8,None,ip,208.67.222.222,rpz_feeds,success,4164,3.0.0,{},Click here to view the data,2026-08-18T12:59:49.830901Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_CL,
f67af420-c420-4e63-a341-02a8cd3b01e2,None,host,topotop.top,rpz_feeds,success,98,3.0.0,{},Click here to view the data,2026-08-18T13:00:12.5089288Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_CL,
9057bff3-d0fd-4989-a83c-577d6bb23c1f,None,host,sheetop.com,rpz_feeds,success,99,3.0.0,{},Click here to view the data,2026-08-18T13:01:12.5892707Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_CL,
e3eaf651-dcef-40a1-b97b-ff361a7a5ceb,None,host,ns.abc.com,rpz_feeds,success,144,3.0.0,{},Click here to view the data,2026-08-18T13:03:06.4314716Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_CL,
7eae3b82-ea14-4489-ae03-b677caf1cd1d,None,ip,8.8.8.8,rpz_feeds,success,206,3.0.0,{},Click here to view the data,2026-08-18T06:21:42.6097937Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_CL,
faa26c2c-9f82-43f3-915c-d22a5afa5b6d,None,ip,172.253.132.207,rpz_feeds,success,3260,3.0.0,{},Click here to view the data,2026-08-18T06:23:30.1909804Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_CL,
f6754686-666e-4682-812b-0ba735b0a3b9,None,host,whitepanda.info,rpz_feeds,success,102,3.0.0,{},Click here to view the data,2026-08-18T06:25:14.3201742Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_CL,
