task_id,params,params_type,params_target,params_source,status,time_value,v_value,data,data_ptr_record,data_reason,data_status,status_message_for_dossier,TimeGenerated,RowData,TenantId,Type,_ResourceId
4b1ab463-8c4b-4adb-afb0-967ee6b06b97,None,ip,172.253.132.207,ptr,success,14,3.0.0,None,yufwakf-in-f207.1e100.net,,,Click here to view the data,2026-08-18T06:23:30.7615799Z,"{""ptr_record"":""yufwakf-in-f207.1e100.net""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_ptr_CL,
a0cfc788-d20b-4de6-82fb-5ffc0ef7cf24,None,ip,8.8.8.8,ptr,success,21,3.0.0,None,dns.google,,,Click here to view the data,2026-08-18T06:21:43.892037Z,"{""ptr_record"":""dns.google""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_ptr_CL,
92d0cfaf-692b-4fdc-b322-8ee84433b248,None,ip,8.8.8.8,ptr,success,10,3.0.0,None,dns.google,,,Click here to view the data,2026-08-18T06:22:33.996866Z,"{""ptr_record"":""dns.google""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_ptr_CL,
98e6dd2b-b123-4cc7-8c92-24b5c77be7a1,None,ip,104.21.38.127,ptr,success,8,3.0.0,None,,NXDOMAIN,error,Click here to view the data,2026-08-18T06:22:53.2340649Z,"{""ptr_record"":"""",""reason"":""NXDOMAIN"",""status"":""error""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_ptr_CL,
110e5ef1-153f-4070-911a-f7851903ef40,None,ip,91.238.104.219,ptr,success,129,3.0.0,None,,NXDOMAIN,error,Click here to view the data,2026-08-18T06:23:58.8407377Z,"{""ptr_record"":"""",""reason"":""NXDOMAIN"",""status"":""error""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_ptr_CL,
9e048444-bdce-47e5-a61d-8f627cd65e05,None,ip,1.1.1.1,ptr,success,12,3.0.0,None,one.one.one.one,,,Click here to view the data,2026-08-19T05:30:43.8835437Z,"{""ptr_record"":""one.one.one.one""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_ptr_CL,
8ea29187-8b66-4db5-aa44-5a23545192a6,None,ip,9.9.9.9,ptr,success,9,3.0.0,None,dns9.quad9.net,,,Click here to view the data,2026-08-19T05:31:16.1222346Z,"{""ptr_record"":""dns9.quad9.net""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_ptr_CL,
a1dd1952-0ca5-4cdd-96de-a3003cfa4fbf,None,ip,34.102.13.1,ptr,success,57,3.0.0,None,1.13.102.34.bc.googleusercontent.com,,,Click here to view the data,2026-08-19T05:36:21.9515005Z,"{""ptr_record"":""1.13.102.34.bc.googleusercontent.com""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_ptr_CL,
c48f6600-5242-4ff0-866d-c833a1c8d4db,None,ip,10.0.7.83,ptr,success,5,3.0.0,None,,NXDOMAIN,error,Click here to view the data,2026-08-19T05:38:34.4546065Z,"{""ptr_record"":"""",""reason"":""NXDOMAIN"",""status"":""error""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_ptr_CL,
ff89995a-834a-4639-a5c2-da30be856ca9,None,ip,80.4.92.16,ptr,success,183,3.0.0,None,bmly-12-b2-v4wan-168087-cust3087.vm4.cable.virginm.net,,,Click here to view the data,2026-08-19T05:36:49.4264744Z,"{""ptr_record"":""bmly-12-b2-v4wan-168087-cust3087.vm4.cable.virginm.net""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_ptr_CL,
