TimeGenerated [UTC],configs_s,created_at_t [UTC],desired_state_s,destinations_s,id_s,name_s,pool_id_s,service_type_s,source_interfaces_s,updated_at_t [UTC]
"6/16/2024, 2:07:38 PM","[{""host_id"":""test/host/jbeuiwrwgvsdenbxmvrdkyrxhe2wcnbtgy4dmnjvmqzdgnrygjsgkojwhbqwiobseaqcabcd"",""id"":""test/service_host/7566a8af-66ee-4381-8361-f785c02712354"",""service_id"":""test/service/4zyyyhkz4nzer72j5pklqvt3ckczabcd""}]","4/17/2024, 11:10:07 AM",start,[],test/service/4zyyyhkz4nzer72j5pklqvt3ckczabcd,test1,test/pool/qsjvfu5m673udtfcsnpxlyqeceuabcd,service1,[],"4/17/2024, 11:10:07 AM"
"6/16/2024, 2:07:38 PM","[{""current_version"":""v3.5.7"",""host_id"":""test/host/jbeuiwrwgvsdenbxmvrdkyrxhe2wcnbtgy4dmnjvmqzdgnrygjsgkojwhbqwiobseaqcabcd"",""id"":""test/service_host/d8a53762-4b0c-4bf3-a071-f5d2f94c732a"",""service_id"":""test/service/6je7wvsabcsaqkoej2dj7662zruqabcd"",""upgraded_at"":""2024-05-04T17:17:18Z""}]","4/24/2024, 10:07:51 AM",start,[],test/service/6je7wvsabcsaqkoej2dj7662zruqabcd,test2,test/pool/qsjvfu5m673udtfcsnpxlyqeceuabcd,service2,[],"4/24/2024, 10:07:51 AM"
"6/16/2024, 2:07:38 PM","[{""host_id"":""test/host/jbeuiwrzgi2teyjyg5rgiyjwgjstknbtmu3deyjwmezdgodcmq4tonbzmu3dkzdceaqcaiba"",""id"":""test/service_host/d388cb5a-dcb1-4070-94c5-cf33b0b16f77"",""service_id"":""test/service/74uq6wvescb7xe72kgadrkqmpea5abcd""}]","4/26/2024, 12:00:13 AM",start,[],test/service/74uq6wvescb7xe72kgadrkqmpea5abcd,test3,test/pool/rg74zfqiiuo2nrhh6l7zcuj5zbguabcd,service3,[],"4/26/2024, 12:00:13 AM"
"6/16/2024, 2:07:38 PM","[{""current_version"":""v4.1.2"",""host_id"":""test/host/jbeuiwrzgi2teyjyg5rgiyjwgjstknbtmu3deyjwmezdgodcmq4tonbzmu3dkzdceaqcabcd"",""id"":""test/service_host/76f76f09-369a-4083-a109-5067ea4b1c21"",""service_id"":""test/service/awenmzc4jg3hgzw2mrjmzzgv6gbancd"",""upgraded_at"":""2024-04-26T00:02:33Z""}]","4/26/2024, 12:00:13 AM",start,[],test/service/awenmzc4jg3hgzw2mrjmzzgv6gbancd,test4,test/pool/rg74zfqiiuo2nrhh6l7zcuj5zbguabcd,service4,[],"4/26/2024, 12:00:13 AM"
"6/16/2024, 2:07:38 PM","[{""host_id"":""test/host/jbeuiwrzgrrgkytbg44dezbvhfqtinzthe2dqmtfgrstgmrymi3gknlegq4tmzbweaqcabcd"",""id"":""test/service_host/8442aa2a-3784-4654-9065-2a5b1101aab41"",""service_id"":""test/service/dwjn3aohe3nmzid6jzzmrf25kdeeabcd""}]","4/15/2024, 12:31:40 PM",start,[],test/service/dwjn3aohe3nmzid6jzzmrf25kdeeabcd,test5,test/pool/zr4foyncx5764ccpzgq4hymy7rwdabcd,service5,[],"4/15/2024, 12:31:40 PM"
"6/16/2024, 2:07:38 PM","[{""current_version"":""v4.1.1"",""host_id"":""test/host/jbeuiwrzgrrgkytbg44dezbvhfqtinzthe2dqmtfgrstgmrymi3gknlegq4tmzbweaqabcd"",""id"":""test/service_host/07d55c75-39a3-4512-a375-7cddca0e111"",""service_id"":""test/service/g5g3jiiydmj2kw3fh6cnowwfhyqqabcd4""}]","4/15/2024, 12:31:40 PM",start,[],test/service/g5g3jiiydmj2kw3fh6cnowwfhyqqabcd4,test6,test/pool/zr4foyncx5764ccpzgq4hymy7rwdabcd,service6,[],"4/15/2024, 12:31:40 PM"
"6/16/2024, 2:07:38 PM","[{""host_id"":""test/host/jbeuiwrwgvsdenbxmvrdkyrxhe2wcnbtgy4dmnlcgzstgnrygjsgkojwhbqwiobseaqcabcd"",""id"":""test/service_host/1215f7af-3005-4017-afe1-f617a593ab21"",""service_id"":""test/service/kk2q6vub7qk5gk77ncmffy3kulrnxabcd""}]","4/15/2024, 7:47:35 AM",start,[],test/service/kk2q6vub7qk5gk77ncmffy3kulrnxabcd,test7,test/pool/prgfvenkivqyth4ibdwdljldh7twabcd,service7,[],"4/15/2024, 7:47:35 AM"
"6/16/2024, 2:07:38 PM","[{""current_version"":""v2.1.1"",""host_id"":""test/host/jbeuiwruguzdqnbxhfqtmmrvmjqtoobtgu4denjumvrdgolfgrsdmmtcmrstkzbzeaqcccd"",""id"":""test/service_host/387e5b01-43c3-4c7b-9332-2ab291411234"",""service_id"":""test/service/ko47eun6oqpwj65lz3o2gtlznewwabcd"",""upgraded_at"":""2024-05-22T10:28:46Z""}]","5/22/2024, 10:27:57 AM",start,[],test/service/ko47eun6oqpwj65lz3o2gtlznewwabcd,test8,test/pool/hz7xkduhqhbrotplxy6y5pslkggsabcd,service8,[],"5/22/2024, 10:27:57 AM"
"6/16/2024, 2:07:38 PM","[{""host_id"":""test/host/jbeuiwruguzdqnbxhfqtmmrvmjqtoobtgu4denjumvrdgolfgrsdmmtcmrstkzbzeaqabcd"",""id"":""test/service_host/ae21a5bc-71e9-450c-8f1a-1b3196a61612"",""service_id"":""test/service/o6vku65j7unqdcv7gcze6yo6i3zmabcd""}]","5/21/2024, 9:16:49 AM",start,[],test/service/o6vku65j7unqdcv7gcze6yo6i3zmabcd,test9,test/pool/hz7xkduhqhbrotplxy6y5pslkggsfabcd,service9,[],"5/21/2024, 9:16:49 AM"
"6/16/2024, 2:07:38 PM","[{""current_version"":""v2.1.1"",""host_id"":""test/host/jbeuiwrwgvsdenbxmvrdkyrxhe2wcnbtgy4dmnjvmqzdgnrygjsgkojwhbqwiobseaqabcd"",""id"":""test/service_host/2f6491f0-f6f6-45c9-8e0a-e48a87a51234"",""service_id"":""test/service/riep7efxh52ewvwxfd7pq6jf3cadrabcdd"",""upgraded_at"":""2024-05-04T17:36:44Z""}]","4/17/2024, 11:19:57 AM",start,[],test/service/riep7efxh52ewvwxfd7pq6jf3cadrabcdd,test10,testfra/pool/qsjvfu5m673udtfcsnpxlyqeceuzabcd,service10,[],"4/17/2024, 11:19:57 AM"
