task_id,params,params_type,params_target,params_source,status,time_value,v_value,data,data_message,data_domain,data_interval,data_rank,status_message_for_dossier,TimeGenerated,RowData,TenantId,Type,_ResourceId
c3c6a296-2137-431b-831a-2d35ffb80f65,None,host,6wt8kvp.hair,inforank,success,15,3.0.0,None,domain not found in list,,,None,Click here to view the data,2026-08-18T13:05:51.4044264Z,"{""message"":""domain not found in list""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_inforank_CL,
7d0f6ff2-ae48-49ac-93b0-2d130aa9f4e1,None,host,topopo.top,inforank,success,18,3.0.0,None,domain not found in list,,,None,Click here to view the data,2026-08-19T05:35:08.8613022Z,"{""message"":""domain not found in list""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_inforank_CL,
fce05444-45ad-4a16-9054-a52943622bf4,None,host,ser-gate.cc,inforank,success,25,3.0.0,None,domain not found in list,,,None,Click here to view the data,2026-08-19T05:35:51.5581653Z,"{""message"":""domain not found in list""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_inforank_CL,
86db5fe3-632e-4b1f-9839-271aba2d70e7,None,host,microsoft.com,inforank,success,15,3.0.0,None,,microsoft.com,"[39, 44]",41,Click here to view the data,2026-08-19T05:27:38.2892482Z,"{""domain"":""microsoft.com"",""interval"":""[39, 44]"",""rank"":41}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_inforank_CL,
fd59ec77-a982-410f-86f5-aba076252afd,None,host,github.com,inforank,success,12,3.0.0,None,,github.com,"[532, 550]",542,Click here to view the data,2026-08-19T05:29:01.6274529Z,"{""domain"":""github.com"",""interval"":""[532, 550]"",""rank"":542}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_inforank_CL,
bb10c0fe-a9eb-41fe-bfbc-c84ef0da39ee,None,host,shee.com,inforank,success,17,3.0.0,None,domain not found in list,,,None,Click here to view the data,2026-08-19T05:33:00.4233369Z,"{""message"":""domain not found in list""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_inforank_CL,
447d70c9-35f5-4896-b179-da14878e360b,None,host,example.com,inforank,success,15,3.0.0,None,,example.com,"[3117, 3868]",3654,Click here to view the data,2026-08-19T05:33:47.0922746Z,"{""domain"":""example.com"",""interval"":""[3117, 3868]"",""rank"":3654}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_inforank_CL,
ecd17555-6c28-4117-bcf9-911b24c47c69,None,host,ns.abc.com,inforank,success,14,3.0.0,None,domain not found in list,,,None,Click here to view the data,2026-08-19T05:34:04.9545357Z,"{""message"":""domain not found in list""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_inforank_CL,
0671d901-c9e9-45a7-a85b-a0928177e093,None,host,gmxx.com,inforank,success,13,3.0.0,None,domain not found in list,,,None,Click here to view the data,2026-08-19T05:34:36.6521059Z,"{""message"":""domain not found in list""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_inforank_CL,
f4df0b37-0a40-4312-ac92-041ee6ad7019,None,host,crexx.ai,inforank,success,16,3.0.0,None,domain not found in list,,,None,Click here to view the data,2026-08-19T05:35:35.7491647Z,"{""message"":""domain not found in list""}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_inforank_CL,
