id_s,revoked_b,labels_s,description_s,indicator_types_s,pattern_s,pattern_version_s,valid_from_t [UTC],valid_until_t [UTC]
indicator--bb8cdcf8-1e2c-11ef-ae91-5ffd6f51234,TRUE,"[""HOST"",""Domain : test-com.top"",""TLD : top"",""Imported : 2024-05-30T02:31:34.497Z"",""Profile : IID"",""Property : Phishing_Lookalike"",""Dga: False"",""Threat Level : 100"",""Threat Score : -"",""Threat Score Rating : -"",""Confidence Score : -"",""Confidence Score Rating : -"",""Risk Score : -"",""Risk Score Rating : -"",""Notes : Domain is a typosquat to test.com and likely used for phishing. The creation date is 2024-05-29.""]",Infoblox - HOST - Phishing,"[""Phishing""]",[domain-name:value = 'test-com.top'],2.1,"5/30/2024, 2:31:34 AM","9/27/2024, 2:26:50 AM"
indicator--f1d0ccd9-1e29-11ef-abac-f1ea1d091234,TRUE,"[""HOST"",""Domain : check-mobile.online"",""TLD : online"",""Imported : 2024-05-30T02:11:37.050Z"",""Profile : IID"",""Property : Phishing_Lookalike"",""Dga: False"",""Threat Level : 100"",""Threat Score : -"",""Threat Score Rating : -"",""Confidence Score : -"",""Confidence Score Rating : -"",""Risk Score : -"",""Risk Score Rating : -"",""Notes : Domain is a lookalike to check-mobile.com and likely used for phishing. The creation or first seen date is 2024-01-27.""]",Infoblox - HOST - Phishing,"[""Phishing""]",[domain-name:value = 'check-mobile.online'],2.1,"5/30/2024, 2:11:37 AM","9/27/2024, 2:09:36 AM"
indicator--bb8c68d2-1e2c-11ef-ae91-5ffd6f511234,TRUE,"[""HOST"",""Domain : expressmail.com"",""TLD : com"",""Imported : 2024-05-30T02:31:34.497Z"",""Profile : IID"",""Property : Phishing_Lookalike"",""Dga: False"",""Threat Level : 100"",""Threat Score : -"",""Threat Score Rating : -"",""Confidence Score : -"",""Confidence Score Rating : -"",""Risk Score : -"",""Risk Score Rating : -"",""Notes : Domain is a typosquat to keyword express and likely used for phishing. The creation date is 2024-05-28.""]",Infoblox - HOST - Phishing,"[""Phishing""]",[domain-name:value = 'expressmail.com'],2.1,"5/30/2024, 2:31:34 AM","9/27/2024, 2:26:50 AM"
indicator--f166c0d9-1e29-11ef-abac-f1ea1d091234,TRUE,"[""HOST"",""Domain : accounting-jobs-jp-ja-12345.live"",""TLD : live"",""Imported : 2024-05-30T02:11:36.311Z"",""Profile : IID"",""Property : Phishing_Lookalike"",""Dga: False"",""Threat Level : 100"",""Threat Score : -"",""Threat Score Rating : -"",""Confidence Score : -"",""Confidence Score Rating : -"",""Risk Score : -"",""Risk Score Rating : -"",""Notes : Domain is a lookalike to accounting.com and likely used for phishing. The creation or first seen date is 2024-01-29.""]",Infoblox - HOST - Phishing,"[""Phishing""]",[domain-name:value = 'accounting-jobs-jp-ja-12345.live'],2.1,"5/30/2024, 2:11:36 AM","9/27/2024, 2:09:36 AM"
indicator--f1d057bd-1e29-11ef-abac-f1ea1d091234,TRUE,"[""HOST"",""Domain : bag.com"",""TLD : com"",""Imported : 2024-05-30T02:11:37.050Z"",""Profile : IID"",""Property : Phishing_Generic"",""Dga: False"",""Threat Level : 100"",""Threat Score : -"",""Threat Score Rating : -"",""Confidence Score : -"",""Confidence Score Rating : -"",""Risk Score : -"",""Risk Score Rating : -"",""Notes : ""]",Infoblox - HOST - Phishing,"[""Phishing""]",[domain-name:value = 'webdisk.bag.com'],2.1,"5/30/2024, 2:11:37 AM","9/27/2024, 2:09:36 AM"
indicator--0c09d60a-1e2c-11ef-ae91-5ffd6f5121234,TRUE,"[""HOST"",""Domain : maiwaiwei.com"",""TLD : com"",""Imported : 2024-05-30T02:26:40.104Z"",""Profile : IID"",""Property : Suspicious_Lookalike"",""Dga: False"",""Threat Level : 80"",""Threat Score : -"",""Threat Score Rating : -"",""Confidence Score : -"",""Confidence Score Rating : -"",""Risk Score : -"",""Risk Score Rating : -"",""Notes : Domain is a typosquat to maiwaiwei.com and likely distributed via spam. The creation date is 2024-05-27.""]",Infoblox - HOST - Suspicious,"[""Suspicious""]",[domain-name:value = 'maiwaiwei.com'],2.1,"5/30/2024, 2:26:40 AM","8/13/2024, 2:26:29 AM"
indicator--f1669999-1e29-11ef-abac-f1ea1d091234,TRUE,"[""HOST"",""Domain : teresi.com"",""TLD : com"",""Imported : 2024-05-30T02:11:36.311Z"",""Profile : IID"",""Property : Phishing_Generic"",""Dga: False"",""Threat Level : 100"",""Threat Score : -"",""Threat Score Rating : -"",""Confidence Score : -"",""Confidence Score Rating : -"",""Risk Score : -"",""Risk Score Rating : -"",""Notes : ""]",Infoblox - HOST - Phishing,"[""Phishing""]",[domain-name:value = 'topsoil.teresi.com'],2.1,"5/30/2024, 2:11:36 AM","9/27/2024, 2:09:36 AM"
indicator--f1658879-1e29-11ef-abac-f1ea1d091234,TRUE,"[""HOST"",""Domain : usc.shop"",""TLD : shop"",""Imported : 2024-05-30T02:11:36.311Z"",""Profile : IID"",""Property : Phishing_Generic"",""Dga: False"",""Threat Level : 100"",""Threat Score : -"",""Threat Score Rating : -"",""Confidence Score : -"",""Confidence Score Rating : -"",""Risk Score : -"",""Risk Score Rating : -"",""Notes : ""]",Infoblox - HOST - Phishing,"[""Phishing""]",[domain-name:value = 'usc.shop'],2.1,"5/30/2024, 2:11:36 AM","9/27/2024, 2:09:36 AM"
indicator--f165d650-1e29-11ef-abac-f1ea1d091234,TRUE,"[""HOST"",""Domain : priceless.com"",""TLD : com"",""Imported : 2024-05-30T02:11:36.311Z"",""Profile : IID"",""Property : Phishing_Generic"",""Dga: False"",""Threat Level : 100"",""Threat Score : -"",""Threat Score Rating : -"",""Confidence Score : -"",""Confidence Score Rating : -"",""Risk Score : -"",""Risk Score Rating : -"",""Notes : Identified as phishing by analysts.""]",Infoblox - HOST - Phishing,"[""Phishing""]",[domain-name:value = 'priceless.com'],2.1,"5/30/2024, 2:11:36 AM","9/27/2024, 2:09:36 AM"
indicator--bb8c40f1-1e2c-11ef-ae91-5ffd6f5121234,TRUE,"[""HOST"",""Domain : support.online"",""TLD : online"",""Imported : 2024-05-30T02:31:34.497Z"",""Profile : IID"",""Property : Phishing_Lookalike"",""Dga: False"",""Threat Level : 100"",""Threat Score : -"",""Threat Score Rating : -"",""Confidence Score : -"",""Confidence Score Rating : -"",""Risk Score : -"",""Risk Score Rating : -"",""Notes : Domain is a typosquat to keyword support and likely used for phishing. The creation date is 2024-05-27.""]",Infoblox - HOST - Phishing,"[""Phishing""]",[domain-name:value = 'support.online'],2.1,"5/30/2024, 2:31:34 AM","9/27/2024, 2:26:50 AM"
