task_id,params,params_type,params_target,params_source,status,time_value,v_value,data,status_message_for_dossier,TimeGenerated,TenantId,Type,_ResourceId
81ec5160-00f4-40a8-8756-6361db852d99,None,host,whitepanda.info,nameserver,success,20,3.0.0,{},Click here to view the data,2026-08-18T06:25:13.9912776Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_nameserver_CL,
2ca834c3-0536-464e-8ea4-40f2c067a0e4,None,host,zuxiswabobb.pro,nameserver,success,36,3.0.0,{},Click here to view the data,2026-08-18T06:26:53.9774134Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_nameserver_CL,
047b50d9-c942-4f0c-9683-2db2d305c4d4,None,host,microsoft.com,nameserver,success,16,3.0.0,{},Click here to view the data,2026-08-19T05:27:38.0992375Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_nameserver_CL,
1bc36623-59a5-4349-8ac5-6f7feb2453e3,None,host,shee.com,nameserver,success,50,3.0.0,{},Click here to view the data,2026-08-19T05:32:59.4163749Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_nameserver_CL,
dd861f5c-f825-4f33-9c60-2d8b6b523d8a,None,host,example.com,nameserver,success,16,3.0.0,{},Click here to view the data,2026-08-19T05:33:46.907537Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_nameserver_CL,
2e94ba94-0f6a-4f13-bbc3-96d6aaa992f2,None,host,gmxx.com,nameserver,success,28,3.0.0,{},Click here to view the data,2026-08-19T05:34:37.02632Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_nameserver_CL,
3cbb78ee-7d84-4da3-807d-4268ad94371b,None,host,topopo.top,nameserver,success,31,3.0.0,{},Click here to view the data,2026-08-19T05:35:09.4208121Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_nameserver_CL,
3447a688-322c-43b9-bbb4-e33ffeec382c,None,host,crexx.ai,nameserver,success,33,3.0.0,{},Click here to view the data,2026-08-19T05:35:35.6073404Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_nameserver_CL,
4e720407-1b6d-40d2-a364-6f545f8446b7,None,host,ser-gate.cc,nameserver,success,14,3.0.0,{},Click here to view the data,2026-08-19T05:35:51.8832905Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_nameserver_CL,
c0506307-9998-4847-add9-43b88f271bed,None,host,amazon.com,nameserver,success,14,3.0.0,{},Click here to view the data,2026-08-18T12:53:49.3188229Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_nameserver_CL,
