TimeGenerated [UTC],extended_ais_consent_s,extended_no_whitelist_s,extended_original_profile_s,email_s,extended_confidence_score_s,extended_risk_score_s,extended_threat_score_s,ip_s,hash_s,hash_type_s,threat_score_d,threat_score_rating_s,threat_score_vector_s,confidence_score_d,confidence_score_rating_s,confidence_score_vector_s,risk_score_d,risk_score_rating_s,risk_score_vector_s,extended_sample_sha256_s,confidence_d,extended_notes_s,target_s,extended_reason_s,extended_registration_date_s,extended_references_s,extended_attack_chain_s,id_g,type_s,host_s,domain_s,tld_s,profile_s,property_s,class_s,threat_level_d,detected_t [UTC],received_t [UTC],imported_t [UTC],expiration_t [UTC],dga_s,up_s,batch_id_g,extended_cyberint_guid_g,url_s,extended_url_hash_g
"6/13/2024, 12:34:57 PM",,,,,,,,1.1.1.1,,,,,,,,,,,,,100,Published as TOR exit node by the TOR project.,,,,,,6c52b708-115f-11ef-885a-fb00b077c4c2,IP,,,,IID,Proxy_TorExitNode,Proxy,50,"5/13/2024, 7:30:43 PM","5/13/2024, 7:31:41 PM","5/13/2024, 7:31:41 PM","5/27/2024, 7:30:43 PM",,TRUE,,ee701e35-ec8f-7984-80b7-b3aaac6788ab,,
"6/13/2024, 12:34:57 PM",,,,,,,,1.1.1.1,,,,,,,,,,,,,100,Published as TOR exit node by the TOR project.,,,,,,95336391-fe9c-11ee-8d97-e72a02aeb08c,IP,,,,IID,Proxy_TorExitNode,Proxy,50,"4/19/2024, 10:30:43 PM","4/19/2024, 10:31:37 PM","4/19/2024, 10:31:37 PM","5/3/2024, 10:30:43 PM",,TRUE,,6ac1fa1e-95d3-f0f0-d30b-91f1bdadabcd,,
"6/13/2024, 12:34:57 PM",,,,,,,,1.1.1.1,,,,,,,,,,,,,100,Published as TOR exit node by the TOR project.,,,,,,0868d63a-f416-11ee-a9b9-416f1a2f1ccb,IP,,,,IID,Proxy_TorExitNode,Proxy,50,"4/6/2024, 8:30:43 AM","4/6/2024, 1:03:03 PM","4/6/2024, 1:03:03 PM","4/20/2024, 8:30:43 AM",,TRUE,,06c70435-ff15-efe2-3c63-02bdfb7ac548,,
"6/13/2024, 12:34:57 PM",,FALSE,,,,,,1.1.1.1,,,,,,,,,,,,,100,,,,,,,a9526c04-4826-11eb-aad7-9f7c1af0b24e,IP,,,,IID,Proxy_TorExitNode,Proxy,50,"12/27/2020, 9:30:43 AM","12/27/2020, 9:34:05 AM","12/27/2020, 9:34:05 AM","1/10/2021, 9:30:43 AM",,TRUE,,5d9ebbc5-242a-07b7-bec4-8bed817bc6e0,,
"6/13/2024, 12:34:57 PM",,,,,,,,1.1.1.1,,,,,,,,,,,,,100,Published as TOR exit node by the TOR project.,,,,,,d0f03097-23d6-11ef-9d27-fd4c80262154,IP,,,,IID,Proxy_TorExitNode,Proxy,50,"6/6/2024, 7:30:44 AM","6/6/2024, 7:31:41 AM","6/6/2024, 7:31:41 AM","6/20/2024, 7:30:44 AM",,TRUE,,ad45ae1d-2674-7cfc-762d-e7997c6babc2,,
"6/13/2024, 12:34:57 PM",,,,,,,,1.1.1.1,,,,,,,,,,,,,100,Published as TOR exit node by the TOR project.,,,,,,68f0baf7-0938-11ef-89f0-656d657921f8,IP,,,,IID,Proxy_TorExitNode,Proxy,50,"5/3/2024, 10:30:42 AM","5/3/2024, 10:32:15 AM","5/3/2024, 10:32:15 AM","5/17/2024, 10:30:42 AM",,TRUE,,f9c82718-9363-f6f3-f80d-80e74302bc40,,
"6/13/2024, 12:34:57 PM",,FALSE,,,,,,1.1.1.1,,,,,,,,,,,,,100,,,,,,,db6c7751-4d6b-11eb-9c8e-05123cd42648,IP,,,,IID,Proxy_TorExitNode,Proxy,50,"1/3/2021, 2:30:43 AM","1/3/2021, 2:32:00 AM","1/3/2021, 2:32:00 AM","1/17/2021, 2:30:43 AM",,TRUE,,b33c654f-4083-605e-c4a0-97a086198acd,,
"6/13/2024, 12:34:57 PM",,FALSE,,,,,,1.1.1.1,,,,,,,,,,,,,100,,,,,,,23427011-41b3-11eb-9c8e-05123cd42184,IP,,,,IID,Proxy_TorExitNode,Proxy,50,"12/19/2020, 4:30:42 AM","12/19/2020, 4:32:00 AM","12/19/2020, 4:32:00 AM","1/2/2021, 4:30:42 AM",,TRUE,,81122e86-ab30-f8a5-23d1-aac1cbac1234,,
"6/13/2024, 12:34:57 PM",,,,,,,,1.1.1.1,,,,,,,,,,,,,100,Published as TOR exit node by the TOR project.,,,,,,270c08c4-fe51-11ee-8a87-fd43f12b25f5,IP,,,,IID,Proxy_TorExitNode,Proxy,50,"4/19/2024, 1:30:42 PM","4/19/2024, 1:31:40 PM","4/19/2024, 1:31:40 PM","5/3/2024, 1:30:42 PM",,TRUE,,85ded201-ed4a-d3c4-ed8e-c35085ed1ab7,,
"6/13/2024, 12:34:57 PM",,FALSE,,,,,,1.1.1.1,,,,,,,,,,,,,100,,,,,,,a7802e8f-473b-11eb-aad7-9f7c1af0b21c,IP,,,,IID,Proxy_TorExitNode,Proxy,50,"12/26/2020, 5:30:44 AM","12/26/2020, 5:31:50 AM","12/26/2020, 5:31:50 AM","1/9/2021, 5:30:44 AM",,TRUE,,0fa1c4bc-8c6c-3bd8-7701-4fdea841b6cc,,
