task_id,params,params_type,params_target,params_source,status,time_value,v_value,data,data_value,data_whitelisted,data_code,data_reason,status_message_for_dossier,TimeGenerated,RowData,TenantId,Type,_ResourceId
fc041bf3-e9f9-48fc-b7b7-7ac5c6fd2ac0,None,ip,172.253.132.207,whitelist,success,51,3.0.0,None,172.253.132.207,False,,,Click here to view the data,2026-08-18T06:23:30.3680808Z,"{""value"":""172.253.132.207"",""whitelisted"":false}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_whitelist_CL,
10e4b3f1-d8ac-4b70-8e68-287ff87c12fb,None,ip,91.238.104.219,whitelist,success,49,3.0.0,None,91.238.104.219,False,,,Click here to view the data,2026-08-18T06:23:59.4592391Z,"{""value"":""91.238.104.219"",""whitelisted"":false}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_whitelist_CL,
0de01073-f270-4b0c-8290-9233befeb43a,None,host,yahoo.com,whitelist,success,8,3.0.0,None,yahoo.com,True,,,Click here to view the data,2026-08-18T06:24:46.5196556Z,"{""value"":""yahoo.com"",""whitelisted"":true}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_whitelist_CL,
ca49c699-07a5-469d-b3b1-10953dd8d020,None,host,whitepanda.info,whitelist,success,13,3.0.0,None,whitepanda.info,False,,,Click here to view the data,2026-08-18T06:25:14.4628387Z,"{""value"":""whitepanda.info"",""whitelisted"":false}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_whitelist_CL,
9235c53f-bc85-4cda-a5ef-20252b61729a,None,host,zuxiswabobb.pro,whitelist,success,11,3.0.0,None,zuxiswabobb.pro,False,,,Click here to view the data,2026-08-18T06:26:53.8482126Z,"{""value"":""zuxiswabobb.pro"",""whitelisted"":false}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_whitelist_CL,
f0b99ae2-e046-4f74-b0c6-7140f6e79a88,None,host,zelmuoraki.info,whitelist,success,11,3.0.0,None,zelmuoraki.info,False,,,Click here to view the data,2026-08-18T06:27:20.5800621Z,"{""value"":""zelmuoraki.info"",""whitelisted"":false}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_whitelist_CL,
7826bf4d-a75b-4ae1-88b3-b87b275a3fb0,None,url,http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,whitelist,success,14,3.0.0,None,http://www.824555.com/app/member/sportoption.php?uid=guest&langx=gb,False,,,Click here to view the data,2026-08-18T12:49:42.989213Z,"{""value"":""http://www.824555.com/app/member/sportoption.php?uid=guest&langx=gb"",""whitelisted"":false}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_whitelist_CL,
88e2d1ed-5c0b-4103-b8f2-d56cd7a7986d,None,url,http://www.vilagnomad.com/tables/payday-loans-direct-lenders-only.php,whitelist,success,13,3.0.0,None,http://www.vilagnomad.com/tables/payday-loans-direct-lenders-only.php,False,,,Click here to view the data,2026-08-18T12:50:19.4231349Z,"{""value"":""http://www.vilagnomad.com/tables/payday-loans-direct-lenders-only.php"",""whitelisted"":false}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_whitelist_CL,
80593791-3ebd-41a8-8f14-3f7fb72bf032,None,url,http://style.org.hc360.com/css/detail/mysite/siteconfig/pro_control.css,whitelist,success,21,3.0.0,None,http://style.org.hc360.com/css/detail/mysite/siteconfig/pro_control.css,False,,,Click here to view the data,2026-08-18T12:53:21.064938Z,"{""value"":""http://style.org.hc360.com/css/detail/mysite/siteconfig/pro_control.css"",""whitelisted"":false}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_whitelist_CL,
eafd6f79-07d4-4364-b0c5-52c750665824,None,host,amazon.com,whitelist,success,12,3.0.0,None,amazon.com,True,,,Click here to view the data,2026-08-18T12:53:48.3393229Z,"{""value"":""amazon.com"",""whitelisted"":true}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_whitelist_CL,
