task_id,params,params_type,params_target,params_source,status,time_value,v_value,data,data_matches,status_message_for_dossier,TimeGenerated,RowData,TenantId,Type,_ResourceId
6d0677bf-a959-4953-8834-300a367bb6c7,None,url,www.currently-com-fastweb-webser-srv-service-xfvdj94zboj-webserv.trustable.co.za,tld_risk,success,8,3.0.0,None,"[{""confidence"":""high"",""malicious_counts"":""180"",""popular"":""True"",""rare"":""False"",""raw_score"":""-6.8315159773293965"",""score"":""4"",""score_label"":""Moderate Risk"",""tld"":""co.za"",""total_counts"":""166967""}]",Click here to view the data,2026-08-18T06:28:47.8601993Z,"{""matches"":[{""confidence"":""high"",""malicious_counts"":""180"",""popular"":""True"",""rare"":""False"",""raw_score"":""-6.8315159773293965"",""score"":""4"",""score_label"":""Moderate Risk"",""tld"":""co.za"",""total_counts"":""166967""}]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_tld_risk_CL,
56dfc688-0a54-41d0-9161-f9ba355e6fd1,None,host,yahoo.com,tld_risk,success,7,3.0.0,None,"[{""confidence"":""high"",""malicious_counts"":""240783"",""popular"":""True"",""rare"":""False"",""raw_score"":""-4.439731901980607"",""score"":""5"",""score_label"":""Moderate Risk"",""tld"":""com"",""total_counts"":""20647676""}]",Click here to view the data,2026-08-18T06:24:45.2654346Z,"{""matches"":[{""confidence"":""high"",""malicious_counts"":""240783"",""popular"":""True"",""rare"":""False"",""raw_score"":""-4.439731901980607"",""score"":""5"",""score_label"":""Moderate Risk"",""tld"":""com"",""total_counts"":""20647676""}]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_tld_risk_CL,
cf1c00df-a52e-4f64-b1eb-aae7076dd624,None,host,whitepanda.info,tld_risk,success,7,3.0.0,None,"[{""confidence"":""high"",""malicious_counts"":""45497"",""popular"":""True"",""rare"":""False"",""raw_score"":""-2.4899455483133863"",""score"":""7"",""score_label"":""High Risk"",""tld"":""info"",""total_counts"":""594219""}]",Click here to view the data,2026-08-18T06:25:14.6174121Z,"{""matches"":[{""confidence"":""high"",""malicious_counts"":""45497"",""popular"":""True"",""rare"":""False"",""raw_score"":""-2.4899455483133863"",""score"":""7"",""score_label"":""High Risk"",""tld"":""info"",""total_counts"":""594219""}]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_tld_risk_CL,
9b7dd2dc-4754-4e20-a334-c42f5c11dbff,None,host,microsoft.com,tld_risk,success,7,3.0.0,None,"[{""confidence"":""high"",""malicious_counts"":""240783"",""popular"":""True"",""rare"":""False"",""raw_score"":""-4.439731901980607"",""score"":""5"",""score_label"":""Moderate Risk"",""tld"":""com"",""total_counts"":""20647676""}]",Click here to view the data,2026-08-18T06:25:49.7559058Z,"{""matches"":[{""confidence"":""high"",""malicious_counts"":""240783"",""popular"":""True"",""rare"":""False"",""raw_score"":""-4.439731901980607"",""score"":""5"",""score_label"":""Moderate Risk"",""tld"":""com"",""total_counts"":""20647676""}]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_tld_risk_CL,
920258f1-5932-4473-992e-0de920cfbbbc,None,host,zuxiswabobb.pro,tld_risk,success,10,3.0.0,None,"[{""confidence"":""high"",""malicious_counts"":""17562"",""popular"":""True"",""rare"":""False"",""raw_score"":""-2.1481259345098773"",""score"":""7"",""score_label"":""High Risk"",""tld"":""pro"",""total_counts"":""168047""}]",Click here to view the data,2026-08-18T06:26:54.6382556Z,"{""matches"":[{""confidence"":""high"",""malicious_counts"":""17562"",""popular"":""True"",""rare"":""False"",""raw_score"":""-2.1481259345098773"",""score"":""7"",""score_label"":""High Risk"",""tld"":""pro"",""total_counts"":""168047""}]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_tld_risk_CL,
abd35594-5096-4c74-ba0c-5c16bec26d13,None,host,zelmuoraki.info,tld_risk,success,8,3.0.0,None,"[{""confidence"":""high"",""malicious_counts"":""45497"",""popular"":""True"",""rare"":""False"",""raw_score"":""-2.4899455483133863"",""score"":""7"",""score_label"":""High Risk"",""tld"":""info"",""total_counts"":""594219""}]",Click here to view the data,2026-08-18T06:27:20.9876538Z,"{""matches"":[{""confidence"":""high"",""malicious_counts"":""45497"",""popular"":""True"",""rare"":""False"",""raw_score"":""-2.4899455483133863"",""score"":""7"",""score_label"":""High Risk"",""tld"":""info"",""total_counts"":""594219""}]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_tld_risk_CL,
32416de0-ca65-4954-9685-39c31207238a,None,url,http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,tld_risk,success,6,3.0.0,None,[],Click here to view the data,2026-08-18T12:49:42.8128802Z,"{""matches"":[]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_tld_risk_CL,
5cf99fe2-e715-472a-87c8-e232d2e6e94b,None,host,github.com,tld_risk,success,7,3.0.0,None,"[{""confidence"":""high"",""malicious_counts"":""240783"",""popular"":""True"",""rare"":""False"",""raw_score"":""-4.439731901980607"",""score"":""5"",""score_label"":""Moderate Risk"",""tld"":""com"",""total_counts"":""20647676""}]",Click here to view the data,2026-08-19T05:29:01.9414647Z,"{""matches"":[{""confidence"":""high"",""malicious_counts"":""240783"",""popular"":""True"",""rare"":""False"",""raw_score"":""-4.439731901980607"",""score"":""5"",""score_label"":""Moderate Risk"",""tld"":""com"",""total_counts"":""20647676""}]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_tld_risk_CL,
5dd082cc-6059-4422-88c3-809a576e4ee1,None,url,http://www.vilagnomad.com/tables/payday-loans-direct-lenders-only.php,tld_risk,success,7,3.0.0,None,[],Click here to view the data,2026-08-18T12:50:19.3565461Z,"{""matches"":[]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_tld_risk_CL,
cdab9196-5f76-436a-9903-c1b3672cd7ff,None,host,ser-gate.cc,tld_risk,success,9,3.0.0,None,"[{""confidence"":""high"",""malicious_counts"":""21026"",""popular"":""True"",""rare"":""False"",""raw_score"":""-2.3577055924708996"",""score"":""7"",""score_label"":""High Risk"",""tld"":""cc"",""total_counts"":""243201""}]",Click here to view the data,2026-08-19T05:35:51.2320118Z,"{""matches"":[{""confidence"":""high"",""malicious_counts"":""21026"",""popular"":""True"",""rare"":""False"",""raw_score"":""-2.3577055924708996"",""score"":""7"",""score_label"":""High Risk"",""tld"":""cc"",""total_counts"":""243201""}]}",8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_tld_risk_CL,
