Provider,Product,Domain,Category,Sanctioned,RiskType,SourceURL,ProcessName,ProcessProductName,ProcessPublisher
OpenAI,ChatGPT,chatgpt.com,Web,FALSE,Chat,https://chatgpt.com/,,,
OpenAI,OpenAI API,api.openai.com,API,FALSE,API,https://platform.openai.com/,,,
OpenAI,Codex,,Developer,FALSE,Developer,https://openai.com/codex/,,,
Anthropic,Claude,claude.ai,Web,FALSE,Chat,https://claude.ai/,,,
Anthropic,Anthropic API,api.anthropic.com,API,FALSE,API,https://docs.anthropic.com/,,,
Anthropic,Claude Code,,Developer,FALSE,Developer,https://docs.anthropic.com/en/docs/claude-code/getting-started,claude.exe,Claude Code,Anthropic PBC
Google,Gemini,gemini.google.com,Web,FALSE,Chat,https://gemini.google.com/,,,
Google,Google AI Studio,aistudio.google.com,Developer,FALSE,Developer,https://aistudio.google.com/,,,
Google,NotebookLM,notebooklm.google.com,Web,FALSE,Document,https://notebooklm.google.com/,,,
Perplexity,Perplexity,perplexity.ai,Web,FALSE,Chat,https://www.perplexity.ai/,,,
Quora,Poe,poe.com,Web,FALSE,Chat,https://poe.com/,,,
Character.AI,Character.AI,character.ai,Web,FALSE,Chat,https://character.ai/,,,
Hugging Face,Hugging Face,huggingface.co,Developer,FALSE,Developer,https://huggingface.co/,,,
Mistral AI,Le Chat,chat.mistral.ai,Web,FALSE,Chat,https://chat.mistral.ai/,,,
Mistral AI,Mistral API,api.mistral.ai,API,FALSE,API,https://docs.mistral.ai/,,,
DeepSeek,DeepSeek,chat.deepseek.com,Web,FALSE,Chat,https://chat.deepseek.com/,,,
DeepSeek,DeepSeek API,api.deepseek.com,API,FALSE,API,https://api-docs.deepseek.com/,,,
xAI,Grok,grok.com,Web,FALSE,Chat,https://grok.com/,,,
Microsoft,Microsoft Copilot,copilot.microsoft.com,Web,FALSE,Chat,https://copilot.microsoft.com/,,,
Microsoft,Microsoft Copilot,copilot.com,Web,FALSE,Chat,https://www.copilot.com/,,,
Microsoft,Microsoft 365 Copilot,m365.cloud.microsoft,Web,FALSE,Chat,https://support.microsoft.com/en-us/microsoft-365-copilot/what-is-microsoft-copilot-app,,,
Microsoft,Microsoft Foundry,ai.azure.com,Developer,FALSE,Developer,https://learn.microsoft.com/en-us/azure/foundry/,,,
GitHub,GitHub Copilot,githubcopilot.com,Developer,FALSE,Developer,https://docs.github.com/en/copilot/reference/copilot-allowlist-reference,,,
GitHub,GitHub Copilot Business,business.githubcopilot.com,Developer,FALSE,Developer,https://docs.github.com/en/copilot/reference/copilot-allowlist-reference,,,
GitHub,GitHub Copilot Enterprise,enterprise.githubcopilot.com,Developer,FALSE,Developer,https://docs.github.com/en/copilot/reference/copilot-allowlist-reference,,,
Meta,Meta AI,meta.ai,Web,FALSE,Chat,https://www.meta.ai/,,,
Cohere,Cohere,cohere.com,API,FALSE,API,https://cohere.com/,,,
Together AI,Together AI,together.ai,API,FALSE,API,https://www.together.ai/,,,
Groq,GroqCloud,console.groq.com,API,FALSE,API,https://console.groq.com/,,,
OpenRouter,OpenRouter,openrouter.ai,API,FALSE,API,https://openrouter.ai/,,,
Cerebras,Cerebras Inference,inference.cerebras.ai,API,FALSE,API,https://inference.cerebras.ai/,,,
Stability AI,Stability AI,stability.ai,Image,FALSE,Image,https://stability.ai/,,,
Midjourney,Midjourney,midjourney.com,Image,FALSE,Image,https://www.midjourney.com/,,,
Black Forest Labs,FLUX,blackforestlabs.ai,Image,FALSE,Image,https://blackforestlabs.ai/,,,
Runway,Runway,runwayml.com,Video,FALSE,Video,https://runwayml.com/,,,
ElevenLabs,ElevenLabs,elevenlabs.io,Audio,FALSE,Audio,https://elevenlabs.io/,,,
Suno,Suno,suno.com,Audio,FALSE,Audio,https://suno.com/,,,
Replit,Replit AI,replit.com,Developer,FALSE,Developer,https://replit.com/,,,
Cursor,Cursor,cursor.com,Developer,FALSE,Developer,https://www.cursor.com/,,,
Windsurf,Windsurf,windsurf.com,Developer,FALSE,Developer,https://windsurf.com/,,,
Phind,Phind,phind.com,Developer,FALSE,Developer,https://www.phind.com/,,,
You.com,You.com,you.com,Web,FALSE,Chat,https://you.com/,,,
OpenAI,ChatGPT Classic,,Desktop,FALSE,Chat,https://help.openai.com/en/articles/20001276/,ChatGPT Classic.exe,ChatGPT Classic,OpenAI
