TenantId,"TimeGenerated [UTC]",DeviceVendor,DeviceProduct,DeviceVersion,DeviceEventClassID,Activity,LogSeverity,OriginalLogSeverity,AdditionalExtensions,DeviceAction,ApplicationProtocol,EventCount,DestinationDnsDomain,DestinationServiceName,DestinationTranslatedAddress,DestinationTranslatedPort,CommunicationDirection,DeviceDnsDomain,DeviceExternalID,DeviceFacility,DeviceInboundInterface,DeviceNtDomain,DeviceOutboundInterface,DevicePayloadId,ProcessName,DeviceTranslatedAddress,DestinationHostName,DestinationMACAddress,DestinationNTDomain,DestinationProcessId,DestinationUserPrivileges,DestinationProcessName,DestinationPort,DestinationIP,DeviceTimeZone,DestinationUserID,DestinationUserName,DeviceAddress,DeviceName,DeviceMacAddress,ProcessID,"EndTime [UTC]",ExternalID,ExtID,FileCreateTime,FileHash,FileID,FileModificationTime,FilePath,FilePermission,FileType,FileName,FileSize,ReceivedBytes,Message,OldFileCreateTime,OldFileHash,OldFileID,OldFileModificationTime,OldFileName,OldFilePath,OldFilePermission,OldFileSize,OldFileType,SentBytes,EventOutcome,Protocol,Reason,RequestURL,RequestClientApplication,RequestContext,RequestCookies,RequestMethod,ReceiptTime,SourceHostName,SourceMACAddress,SourceNTDomain,SourceDnsDomain,SourceServiceName,SourceTranslatedAddress,SourceTranslatedPort,SourceProcessId,SourceUserPrivileges,SourceProcessName,SourcePort,SourceIP,"StartTime [UTC]",SourceUserID,SourceUserName,EventType,DeviceEventCategory,DeviceCustomIPv6Address1,DeviceCustomIPv6Address1Label,DeviceCustomIPv6Address2,DeviceCustomIPv6Address2Label,DeviceCustomIPv6Address3,DeviceCustomIPv6Address3Label,DeviceCustomIPv6Address4,DeviceCustomIPv6Address4Label,DeviceCustomFloatingPoint1,DeviceCustomFloatingPoint1Label,DeviceCustomFloatingPoint2,DeviceCustomFloatingPoint2Label,DeviceCustomFloatingPoint3,DeviceCustomFloatingPoint3Label,DeviceCustomFloatingPoint4,DeviceCustomFloatingPoint4Label,DeviceCustomNumber1,FieldDeviceCustomNumber1,DeviceCustomNumber1Label,DeviceCustomNumber2,FieldDeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomNumber3,FieldDeviceCustomNumber3,DeviceCustomNumber3Label,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString2,DeviceCustomString2Label,DeviceCustomString3,DeviceCustomString3Label,DeviceCustomString4,DeviceCustomString4Label,DeviceCustomString5,DeviceCustomString5Label,DeviceCustomString6,DeviceCustomString6Label,DeviceCustomDate1,DeviceCustomDate1Label,DeviceCustomDate2,DeviceCustomDate2Label,FlexDate1,FlexDate1Label,FlexNumber1,FlexNumber1Label,FlexNumber2,FlexNumber2Label,FlexString1,FlexString1Label,FlexString2,FlexString2Label,RemoteIP,RemotePort,MaliciousIP,ThreatSeverity,IndicatorThreatType,ThreatDescription,ThreatConfidence,ReportReferenceLink,MaliciousIPLongitude,MaliciousIPLatitude,MaliciousIPCountry,Computer,SourceSystem,SimplifiedDeviceAction,CollectorHostName,Type,"_ResourceId",gcat,snpt,dnpt,susr,appName,appcat,appid,sid,catid,ipscat,ipspri,spycat,spypri,"fw_action",dpi,bid,"af_action","af_polid","af_policy","af_type","af_service","af_object",contentObject,fileid,uuid
"","1/31/2024, 6:30:24.725 PM",SonicWall,"NSA 3700","7.1.1-7044-R2918-HF46333",14,"Website Blocked",7,,"gcat=3;appName='General HTTPS';fw_action=""drop"";uuid=""00000000-0000-0009-1100-18CAA1A5A8AA""",,49177,87474,,,,,,,,,X0,,X1,,,,,"a1:51:61:d1:12:f1",,,,,443,1.2.3.4,,,,,,,,,,,,,,,,,,,,569,,,,,,,,,,,,,"tcp/https","102 Category-""Suspicious""","firehose.us-west-2.amazonaws.com/",,,,,,,"a1:51:61:d1:12:f1",,,,,,,,,61653,1.2.3.4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAN,,WAN,,,"""Reputation: 40(Suspicious), Host: firehose.us-west-2.amazonaws.com, Command: Other HTTP Command Policy: My Content Filter, Info: 7685 """,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,,3,,,,"'General HTTPS'",,,,,,,,,"""drop""",,,,,,,,,,,"""00000000-0000-0009-1100-18CAA1A5A8AA"""
"","1/31/2024, 6:30:24.745 PM",SonicWall,"NSA 3700","7.1.1-7044-R2918-HF46333",14,"Website Blocked",7,,"gcat=3;appName='General HTTPS';fw_action=""drop"";uuid=""00000000-0000-0009-1100-18CAA1A5A8AA""",,49177,87475,,,,,,,,,X0,,X1,,,,,"a1:51:61:d1:12:f1",,,,,443,1.2.3.4,,,,,,,,,,,,,,,,,,,,569,,,,,,,,,,,,,"tcp/https","102 Category-""Suspicious""","firehose.us-west-2.amazonaws.com/",,,,,,,"a1:51:61:d1:12:f1",,,,,,,,,61654,1.2.3.4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAN,,WAN,,,"""Reputation: 40(Suspicious), Host: firehose.us-west-2.amazonaws.com, Command: Other HTTP Command Policy: My Content Filter, Info: 7685 """,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,,3,,,,"'General HTTPS'",,,,,,,,,"""drop""",,,,,,,,,,,"""00000000-0000-0009-1100-18CAA1A5A8AA"""
"","1/31/2024, 6:30:24.808 PM",SonicWall,"NSA 3700","7.1.1-7044-R2918-HF46333",14,"Website Blocked",7,,"gcat=3;appName='General HTTPS';fw_action=""drop"";uuid=""00000000-0000-0009-1100-18CAA1A5A8AA""",,49177,87476,,,,,,,,,X0,,X1,,,,,"a1:51:61:d1:12:f1",,,,,443,1.2.3.4,,,,,,,,,,,,,,,,,,,,569,,,,,,,,,,,,,"tcp/https","102 Category-""Suspicious""","firehose.us-west-2.amazonaws.com/",,,,,,,"a1:51:61:d1:12:f1",,,,,,,,,61655,1.2.3.4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAN,,WAN,,,"""Reputation: 40(Suspicious), Host: firehose.us-west-2.amazonaws.com, Command: Other HTTP Command Policy: My Content Filter, Info: 7685 """,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,,3,,,,"'General HTTPS'",,,,,,,,,"""drop""",,,,,,,,,,,"""00000000-0000-0009-1100-18CAA1A5A8AA"""
"","1/31/2024, 6:30:24.808 PM",SonicWall,"NSA 3700","7.1.1-7044-R2918-HF46333",14,"Website Blocked",7,,"gcat=3;appName='General HTTPS';fw_action=""drop"";uuid=""00000000-0000-0009-1100-18CAA1A5A8AA""",,49177,87477,,,,,,,,,X0,,X1,,,,,"a1:51:61:d1:12:f1",,,,,443,1.2.3.4,,,,,,,,,,,,,,,,,,,,569,,,,,,,,,,,,,"tcp/https","102 Category-""Suspicious""","firehose.us-west-2.amazonaws.com/",,,,,,,"a1:51:61:d1:12:f1",,,,,,,,,61656,1.2.3.4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAN,,WAN,,,"""Reputation: 40(Suspicious), Host: firehose.us-west-2.amazonaws.com, Command: Other HTTP Command Policy: My Content Filter, Info: 7685 """,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,,3,,,,"'General HTTPS'",,,,,,,,,"""drop""",,,,,,,,,,,"""00000000-0000-0009-1100-18CAA1A5A8AA"""
"","1/31/2024, 6:30:25.636 PM",SonicWall,"NSA 3700","7.1.1-7044-R2918-HF46333",14,"Website Blocked",7,,"gcat=3;appName='General HTTPS';fw_action=""drop"";uuid=""00000000-0000-0009-1100-18CAA1A5A8AA""",,49177,87479,,,,,,,,,X0,,X1,,,,,"a1:51:61:d1:12:f1",,,,,443,1.2.3.4,,,,,,,,,,,,,,,,,,,,569,,,,,,,,,,,,,"tcp/https","102 Category-""Suspicious""","firehose.us-west-2.amazonaws.com/",,,,,,,"a1:51:61:d1:12:f1",,,,,,,,,61657,1.2.3.4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAN,,WAN,,,"""Reputation: 40(Suspicious), Host: firehose.us-west-2.amazonaws.com, Command: Other HTTP Command Policy: My Content Filter, Info: 7685 """,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,,3,,,,"'General HTTPS'",,,,,,,,,"""drop""",,,,,,,,,,,"""00000000-0000-0009-1100-18CAA1A5A8AA"""
"","1/31/2024, 6:30:25.636 PM",SonicWall,"NSA 3700","7.1.1-7044-R2918-HF46333",14,"Website Blocked",7,,"gcat=3;appName='General HTTPS';fw_action=""drop"";uuid=""00000000-0000-0009-1100-18CAA1A5A8AA""",,49177,87478,,,,,,,,,X0,,X1,,,,,"a1:51:61:d1:12:f1",,,,,443,1.2.3.4,,,,,,,,,,,,,,,,,,,,569,,,,,,,,,,,,,"tcp/https","102 Category-""Suspicious""","firehose.us-west-2.amazonaws.com/",,,,,,,"a1:51:61:d1:12:f1",,,,,,,,,61658,1.2.3.4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAN,,WAN,,,"""Reputation: 40(Suspicious), Host: firehose.us-west-2.amazonaws.com, Command: Other HTTP Command Policy: My Content Filter, Info: 7685 """,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,,3,,,,"'General HTTPS'",,,,,,,,,"""drop""",,,,,,,,,,,"""00000000-0000-0009-1100-18CAA1A5A8AA"""
"","1/31/2024, 6:30:25.708 PM",SonicWall,"NSA 3700","7.1.1-7044-R2918-HF46333",14,"Website Blocked",7,,"gcat=3;appName='General HTTPS';fw_action=""drop"";uuid=""00000000-0000-0009-1100-18CAA1A5A8AA""",,49177,87480,,,,,,,,,X0,,X1,,,,,"a1:51:61:d1:12:f1",,,,,443,1.2.3.4,,,,,,,,,,,,,,,,,,,,569,,,,,,,,,,,,,"tcp/https","102 Category-""Suspicious""","firehose.us-west-2.amazonaws.com/",,,,,,,"a1:51:61:d1:12:f1",,,,,,,,,61660,1.2.3.4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAN,,WAN,,,"""Reputation: 40(Suspicious), Host: firehose.us-west-2.amazonaws.com, Command: Other HTTP Command Policy: My Content Filter, Info: 7685 """,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,,3,,,,"'General HTTPS'",,,,,,,,,"""drop""",,,,,,,,,,,"""00000000-0000-0009-1100-18CAA1A5A8AA"""
"","1/31/2024, 6:30:25.708 PM",SonicWall,"NSA 3700","7.1.1-7044-R2918-HF46333",14,"Website Blocked",7,,"gcat=3;appName='General HTTPS';fw_action=""drop"";uuid=""00000000-0000-0009-1100-18CAA1A5A8AA""",,49177,87481,,,,,,,,,X0,,X1,,,,,"a1:51:61:d1:12:f1",,,,,443,1.2.3.4,,,,,,,,,,,,,,,,,,,,569,,,,,,,,,,,,,"tcp/https","102 Category-""Suspicious""","firehose.us-west-2.amazonaws.com/",,,,,,,"a1:51:61:d1:12:f1",,,,,,,,,61659,1.2.3.4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAN,,WAN,,,"""Reputation: 40(Suspicious), Host: firehose.us-west-2.amazonaws.com, Command: Other HTTP Command Policy: My Content Filter, Info: 7685 """,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,,3,,,,"'General HTTPS'",,,,,,,,,"""drop""",,,,,,,,,,,"""00000000-0000-0009-1100-18CAA1A5A8AA"""
"","1/31/2024, 6:30:25.806 PM",SonicWall,"NSA 3700","7.1.1-7044-R2918-HF46333",97,"Syslog Website Accessed",4,,"gcat=2;snpt=7321;dnpt=443;fw_action=""forward"";dpi=1",,7927,284556,,,,,,,,,X0,,X1,,,,,"a1:51:61:d1:12:f1",,,,,443,1.2.3.4,,,,,,,,,,,,,,,,,,,,5727,,,,,,,,,,,3338,,"tcp/https","102 Category-""Trustworthy""","c2shb.pubgw.yahoo.com/",,,,,,,"a1:51:61:d1:12:f1",,,,,,,,,54323,1.2.3.4,,,,,1024,,,,,,,,,,,,,,,,,,,,,,,,,,"""Default Access Rule LAN->WAN 5ef63db0e1fcbb87""",1.2.3.4,,1.2.3.4,,LAN,,WAN,,,"""Policy: My Content Filter, Info: 7428 , Reputation Type: Trustworthy""",,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,,2,7321,443,,,,,,,,,,,"""forward""",1,,,,,,,,,,
"","1/31/2024, 6:30:26.619 PM",SonicWall,"NSA 3700","7.1.1-7044-R2918-HF46333",14,"Website Blocked",7,,"gcat=3;appName='General HTTPS';fw_action=""drop"";uuid=""00000000-0000-0009-1100-18CAA1A5A8AA""",,49177,87482,,,,,,,,,X0,,X1,,,,,"a1:51:61:d1:12:f1",,,,,443,1.2.3.4,,,,,,,,,,,,,,,,,,,,569,,,,,,,,,,,,,"tcp/https","102 Category-""Suspicious""","firehose.us-west-2.amazonaws.com/",,,,,,,"a1:51:61:d1:12:f1",,,,,,,,,61661,1.2.3.4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAN,,WAN,,,"""Reputation: 40(Suspicious), Host: firehose.us-west-2.amazonaws.com, Command: Other HTTP Command Policy: My Content Filter, Info: 7685 """,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,,3,,,,"'General HTTPS'",,,,,,,,,"""drop""",,,,,,,,,,,"""00000000-0000-0009-1100-18CAA1A5A8AA"""
