TenantId,SourceSystem,"TimeGenerated [UTC]",Source,EventLog,Computer,EventLevel,EventLevelName,ParameterXml,EventData,EventID,RenderedDescription,AzureDeploymentID,Role,EventCategory,UserName,Message,MG,ManagementGroupName,Type,"_ResourceId"
"00000000-0000-0000-0000-000000000000",OpsManager,"6/26/2023, 2:20:18.523 PM","Service Control Manager",System,"DC1.kustoworks.com",4,Information,"<Param>Network Setup Service</Param><Param>running</Param><Param>-</Param>","<DataItem type=""System.XmlData"" time=""2023-06-05T23:04:13.2663517+02:00"" sourceHealthServiceId=""144FD06D-CBB1-6BFC-0973-346D88401B8F""><EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><Data Name=""param1"">Network Setup Service</Data><Data Name=""param2"">running</Data><Binary>4E0065007400530065007400750070005300760063002F0034000000</Binary></EventData></DataItem>",7036,"The Network Setup Service service entered the running state. ",,,0,"N/A",,"00000000-0000-0000-0000-000000000001","AOI-00000000-0000-0000-0000-000000000000",Event,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"00000000-0000-0000-0000-000000000000",OpsManager,"6/26/2023, 2:16:42.191 PM","Service Control Manager",System,"DC1.kustoworks.com",4,Information,"<Param>AppX Deployment Service (AppXSVC)</Param><Param>stopped</Param><Param>-</Param>","<DataItem type=""System.XmlData"" time=""2023-06-05T23:02:27.3294459+02:00"" sourceHealthServiceId=""144FD06D-CBB1-6BFC-0973-346D88401B8F""><EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><Data Name=""param1"">AppX Deployment Service (AppXSVC)</Data><Data Name=""param2"">stopped</Data><Binary>41007000700058005300760063002F0031000000</Binary></EventData></DataItem>",7036,"The AppX Deployment Service (AppXSVC) service entered the stopped state. ",,,0,"N/A",,"00000000-0000-0000-0000-000000000001","AOI-00000000-0000-0000-0000-000000000000",Event,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"00000000-0000-0000-0000-000000000000",OpsManager,"6/26/2023, 1:09:12.833 PM","Service Control Manager",System,"DC1.kustoworks.com",4,Information,"<Param>Device Management Wireless Application Protocol (WAP) Push message Routing Service</Param><Param>running</Param><Param>-</Param>","<DataItem type=""System.XmlData"" time=""2023-06-05T23:01:06.7688113+02:00"" sourceHealthServiceId=""144FD06D-CBB1-6BFC-0973-346D88401B8F""><EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><Data Name=""param1"">Device Management Wireless Application Protocol (WAP) Push message Routing Service</Data><Data Name=""param2"">running</Data><Binary>64006D00770061007000700075007300680073006500720076006900630065002F0034000000</Binary></EventData></DataItem>",7036,"The Device Management Wireless Application Protocol (WAP) Push message Routing Service service entered the running state. ",,,0,"N/A",,"00000000-0000-0000-0000-000000000001","AOI-00000000-0000-0000-0000-000000000000",Event,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"00000000-0000-0000-0000-000000000000",OpsManager,"6/26/2023, 2:16:57.554 PM","Service Control Manager",System,"DC1.kustoworks.com",4,Information,"<Param>AppX Deployment Service (AppXSVC)</Param><Param>running</Param><Param>-</Param>","<DataItem type=""System.XmlData"" time=""2023-06-05T23:02:33.8451487+02:00"" sourceHealthServiceId=""144FD06D-CBB1-6BFC-0973-346D88401B8F""><EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><Data Name=""param1"">AppX Deployment Service (AppXSVC)</Data><Data Name=""param2"">running</Data><Binary>41007000700058005300760063002F0034000000</Binary></EventData></DataItem>",7036,"The AppX Deployment Service (AppXSVC) service entered the running state. ",,,0,"N/A",,"00000000-0000-0000-0000-000000000001","AOI-00000000-0000-0000-0000-000000000000",Event,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"00000000-0000-0000-0000-000000000000",OpsManager,"6/26/2023, 12:00:00.156 PM","Service Control Manager",System,"DC1.kustoworks.com",4,Information,"<Param>Network Setup Service</Param><Param>running</Param><Param>-</Param>","<DataItem type=""System.XmlData"" time=""2023-06-05T22:54:12.3690030+02:00"" sourceHealthServiceId=""144FD06D-CBB1-6BFC-0973-346D88401B8F""><EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><Data Name=""param1"">Network Setup Service</Data><Data Name=""param2"">running</Data><Binary>4E0065007400530065007400750070005300760063002F0034000000</Binary></EventData></DataItem>",7036,"The Network Setup Service service entered the running state. ",,,0,"N/A",,"00000000-0000-0000-0000-000000000001","AOI-00000000-0000-0000-0000-000000000000",Event,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"00000000-0000-0000-0000-000000000000",OpsManager,"6/26/2023, 12:00:05.671 PM","Service Control Manager",System,"DC1.kustoworks.com",4,Information,"<Param>Device Management Wireless Application Protocol (WAP) Push message Routing Service</Param><Param>running</Param><Param>-</Param>","<DataItem type=""System.XmlData"" time=""2023-06-05T22:54:21.4965294+02:00"" sourceHealthServiceId=""144FD06D-CBB1-6BFC-0973-346D88401B8F""><EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><Data Name=""param1"">Device Management Wireless Application Protocol (WAP) Push message Routing Service</Data><Data Name=""param2"">running</Data><Binary>64006D00770061007000700075007300680073006500720076006900630065002F0034000000</Binary></EventData></DataItem>",7036,"The Device Management Wireless Application Protocol (WAP) Push message Routing Service service entered the running state. ",,,0,"N/A",,"00000000-0000-0000-0000-000000000001","AOI-00000000-0000-0000-0000-000000000000",Event,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"00000000-0000-0000-0000-000000000000",OpsManager,"6/26/2023, 11:59:43.562 AM","Service Control Manager",System,"DC1.kustoworks.com",4,Information,"<Param>Software Protection</Param><Param>stopped</Param><Param>-</Param>","<DataItem type=""System.XmlData"" time=""2023-06-05T22:53:48.0407717+02:00"" sourceHealthServiceId=""144FD06D-CBB1-6BFC-0973-346D88401B8F""><EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><Data Name=""param1"">Software Protection</Data><Data Name=""param2"">stopped</Data><Binary>7300700070007300760063002F0031000000</Binary></EventData></DataItem>",7036,"The Software Protection service entered the stopped state. ",,,0,"N/A",,"00000000-0000-0000-0000-000000000001","AOI-00000000-0000-0000-0000-000000000000",Event,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"00000000-0000-0000-0000-000000000000",OpsManager,"6/26/2023, 12:03:34.098 PM","Service Control Manager",System,"DC1.kustoworks.com",4,Information,"<Param>Windows Modules Installer</Param><Param>stopped</Param><Param>-</Param>","<DataItem type=""System.XmlData"" time=""2023-06-05T22:58:59.9027355+02:00"" sourceHealthServiceId=""144FD06D-CBB1-6BFC-0973-346D88401B8F""><EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><Data Name=""param1"">Windows Modules Installer</Data><Data Name=""param2"">stopped</Data><Binary>540072007500730074006500640049006E007300740061006C006C00650072002F0031000000</Binary></EventData></DataItem>",7036,"The Windows Modules Installer service entered the stopped state. ",,,0,"N/A",,"00000000-0000-0000-0000-000000000001","AOI-00000000-0000-0000-0000-000000000000",Event,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"00000000-0000-0000-0000-000000000000",OpsManager,"6/26/2023, 12:03:04.679 PM","Service Control Manager",System,"DC1.kustoworks.com",4,Information,"<Param>Device Management Wireless Application Protocol (WAP) Push message Routing Service</Param><Param>stopped</Param><Param>-</Param>","<DataItem type=""System.XmlData"" time=""2023-06-05T22:58:21.5377483+02:00"" sourceHealthServiceId=""144FD06D-CBB1-6BFC-0973-346D88401B8F""><EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><Data Name=""param1"">Device Management Wireless Application Protocol (WAP) Push message Routing Service</Data><Data Name=""param2"">stopped</Data><Binary>64006D00770061007000700075007300680073006500720076006900630065002F0031000000</Binary></EventData></DataItem>",7036,"The Device Management Wireless Application Protocol (WAP) Push message Routing Service service entered the stopped state. ",,,0,"N/A",,"00000000-0000-0000-0000-000000000001","AOI-00000000-0000-0000-0000-000000000000",Event,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"00000000-0000-0000-0000-000000000000",OpsManager,"6/26/2023, 12:02:22.550 PM","Service Control Manager",System,"DC1.kustoworks.com",4,Information,"<Param>AppX Deployment Service (AppXSVC)</Param><Param>stopped</Param><Param>-</Param>","<DataItem type=""System.XmlData"" time=""2023-06-05T22:57:22.0670643+02:00"" sourceHealthServiceId=""144FD06D-CBB1-6BFC-0973-346D88401B8F""><EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event""><Data Name=""param1"">AppX Deployment Service (AppXSVC)</Data><Data Name=""param2"">stopped</Data><Binary>41007000700058005300760063002F0031000000</Binary></EventData></DataItem>",7036,"The AppX Deployment Service (AppXSVC) service entered the stopped state. ",,,0,"N/A",,"00000000-0000-0000-0000-000000000001","AOI-00000000-0000-0000-0000-000000000000",Event,"/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
