ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
Action,1,"System.String",string
Args,2,"System.String",string
CaptchaResponse,3,"System.Object",dynamic
ChallengeResponse,4,"System.Object",dynamic
ClientIp,5,"System.String",string
Country,6,"System.String",string
ExcludedRules,7,"System.Object",dynamic
FormatVersion,8,"System.String",string
Headers,9,"System.Object",dynamic
HttpMethod,10,"System.String",string
HttpRequest,11,"System.Object",dynamic
HttpSourceId,12,"System.String",string
HttpSourceName,13,"System.String",string
HttpVersion,14,"System.String",string
Ja3Fingerprint,15,"System.String",string
Labels,16,"System.Object",dynamic
NonTerminatingMatchingRules,17,"System.Object",dynamic
OversizeFields,18,"System.Object",dynamic
RateBasedRuleList,19,"System.Object",dynamic
RequestHeadersInserted,20,"System.Object",dynamic
RequestId,21,"System.String",string
ResponseCodeSent,22,"System.Int32",int
RuleGroupId,23,"System.String",string
RuleGroupList,24,"System.Object",dynamic
TerminatingRule,25,"System.Object",dynamic
TerminatingRuleId,26,"System.String",string
TerminatingRuleMatchDetails,27,"System.Object",dynamic
TerminatingRuleType,28,"System.String",string
TimeGenerated,29,"System.DateTime",datetime
Uri,30,"System.String",string
WebAclId,31,"System.String",string
SourceSystem,32,"System.String",string
Type,33,"System.String",string
