"TimeGenerated [Local Time]",Type,"_ResourceId",Operation,ObjectType,Object,EventType,EventSeverity,EventResult,NewValue,EventMessage,SrcIpAddr,ActorUsername,ActorUsernameType,EventCount,"EventStartTime [Local Time]","EventEndTime [Local Time]",EventProduct,EventVendor,EventSchemaVersion,EventSchema,Dvc,EventOriginalUid,IpAddr,User,Value
"9/24/2024, 7:12:06.301 PM","Illumio_Auditable_Events_CL",,"Agent firewall tampered","Cloud Resource",Agent,Other,High,Success,,,Unknown,"self-serve-mnc-1-vm01",Simple,1,"9/24/2024, 7:12:06.301 PM","9/24/2024, 7:12:06.301 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/d165f609-50c0-4968-ae36-20d61a70b299",Unknown,"self-serve-mnc-1-vm01",
"9/24/2024, 7:12:06.301 PM","Illumio_Auditable_Events_CL",,"Agent firewall tampered","Cloud Resource",Agent,Other,High,Success,,,"10.2.20.240","self-serve-mnc-1-vm01",Simple,1,"9/24/2024, 7:12:06.301 PM","9/24/2024, 7:12:06.301 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/d165f609-50c0-4968-ae36-20d61a70b299","10.2.20.240","self-serve-mnc-1-vm01",
"9/24/2024, 7:12:55.693 PM","Illumio_Auditable_Events_CL",,"API request authentication failed",Other,Request,Other,High,Failure,,,Unknown,System,Simple,1,"9/24/2024, 7:12:55.693 PM","9/24/2024, 7:12:55.693 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/95f339cd-9250-4b11-9bbc-673b813684f4",Unknown,System,
"9/24/2024, 7:17:42.171 PM","Illumio_Auditable_Events_CL",,"API request authentication failed",Other,Request,Other,High,Failure,,,Unknown,System,Simple,1,"9/24/2024, 7:17:42.171 PM","9/24/2024, 7:17:42.171 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/6923476f-8e51-4472-839f-3d54870be035",Unknown,System,
"9/24/2024, 7:22:16.874 PM","Illumio_Auditable_Events_CL",,"Agent firewall tampered","Cloud Resource",Agent,Other,High,Success,,,Unknown,"self-serve-mnc-1-vm01",Simple,1,"9/24/2024, 7:22:16.874 PM","9/24/2024, 7:22:16.874 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/0235e102-47be-4ce7-a546-f8b6e756d292",Unknown,"self-serve-mnc-1-vm01",
"9/24/2024, 7:22:16.874 PM","Illumio_Auditable_Events_CL",,"Agent firewall tampered","Cloud Resource",Agent,Other,High,Success,,,"10.2.20.240","self-serve-mnc-1-vm01",Simple,1,"9/24/2024, 7:22:16.874 PM","9/24/2024, 7:22:16.874 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/0235e102-47be-4ce7-a546-f8b6e756d292","10.2.20.240","self-serve-mnc-1-vm01",
"9/24/2024, 7:27:56.414 PM","Illumio_Auditable_Events_CL",,"API request authentication failed",Other,Request,Other,High,Failure,,,Unknown,System,Simple,1,"9/24/2024, 7:27:56.414 PM","9/24/2024, 7:27:56.414 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/2c83585f-28f1-45e3-be77-3a251ca216e4",Unknown,System,
"9/24/2024, 7:32:34.948 PM","Illumio_Auditable_Events_CL",,"Agent firewall tampered","Cloud Resource",Agent,Other,High,Success,,,Unknown,"self-serve-mnc-1-vm01",Simple,1,"9/24/2024, 7:32:34.948 PM","9/24/2024, 7:32:34.948 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/213ea8e3-efcb-4511-92cb-512627917916",Unknown,"self-serve-mnc-1-vm01",
"9/24/2024, 7:32:34.948 PM","Illumio_Auditable_Events_CL",,"Agent firewall tampered","Cloud Resource",Agent,Other,High,Success,,,"10.2.20.240","self-serve-mnc-1-vm01",Simple,1,"9/24/2024, 7:32:34.948 PM","9/24/2024, 7:32:34.948 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/213ea8e3-efcb-4511-92cb-512627917916","10.2.20.240","self-serve-mnc-1-vm01",
"9/24/2024, 7:32:58.377 PM","Illumio_Auditable_Events_CL",,"API request authentication failed",Other,Request,Other,High,Failure,,,Unknown,System,Simple,1,"9/24/2024, 7:32:58.377 PM","9/24/2024, 7:32:58.377 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/6d11f9a7-0ece-4ff0-8ba7-78df88423d85",Unknown,System,
