TimeGenerated [UTC],eventId,eventName,eventType,eventVersion,eventCategory,eventRW,eventSource,serviceName,sourceIpAddress,userAgent,userIdentity,requestId,requestParameters,requestParameterJson,responseElements,additionalEventData,eventAttributes,referencedResources,resourceName,resourceType,errorCode,errorMessage,apiVersion,acsRegion,isGlobal,Type
2026-09-01T08:15:00Z,aud-evt-0001,RunInstances,ApiCall,1,Management,Write,ecs.aliyuncs.com,Ecs,203.0.113.10,AlibabaCloud CLI,"{""type"": ""ram-user"", ""principalId"": ""30000000000"", ""accountId"": ""188888888088"", ""userName"": ""svc-user-1"", ""accessKeyId"": """"}",req-000001,"{""RegionId"": ""cn-hangzhou""}",,"{""RequestId"": ""req-000001""}",{},"{""SensitiveAction"": ""true""}","{""ACS::ECS::Instance"": [""i-bp1abcdef00001""]}",i-bp1abcdef00001,ACS::ECS::Instance,,,2014-05-26,cn-hangzhou,false,AliCloudActionTrailLogs_CL
2026-09-02T09:15:00Z,aud-evt-0002,DescribeInstances,ApiCall,1,Management,Read,ecs.aliyuncs.com,Ecs,203.0.113.11,AlibabaCloud CLI,"{""type"": ""ram-user"", ""principalId"": ""30000000001"", ""accountId"": ""188888888188"", ""userName"": ""svc-user-2"", ""accessKeyId"": """"}",req-000002,"{""RegionId"": ""cn-hangzhou""}",,"{""RequestId"": ""req-000002""}",{},{},{},,ACS::ECS::Instance,,,2014-05-26,cn-hangzhou,false,AliCloudActionTrailLogs_CL
2026-09-03T10:15:00Z,aud-evt-0003,PutBucketAcl,ApiCall,1,Management,Write,oss.aliyuncs.com,Oss,203.0.113.12,AlibabaCloud CLI,"{""type"": ""ram-user"", ""principalId"": ""30000000002"", ""accountId"": ""188888888288"", ""userName"": ""svc-user-3"", ""accessKeyId"": """"}",req-000003,"{""RegionId"": ""cn-hangzhou""}",,"{""RequestId"": ""req-000003""}",{},"{""SensitiveAction"": ""true""}","{""ACS::OSS::Bucket"": [""bv-prod-logs""]}",bv-prod-logs,ACS::OSS::Bucket,,,2014-05-26,cn-hangzhou,false,AliCloudActionTrailLogs_CL
2026-09-04T11:15:00Z,aud-evt-0004,GetBucketPolicy,ApiCall,1,Management,Read,oss.aliyuncs.com,Oss,203.0.113.13,AlibabaCloud CLI,"{""type"": ""ram-user"", ""principalId"": ""30000000003"", ""accountId"": ""188888888388"", ""userName"": ""svc-user-4"", ""accessKeyId"": """"}",req-000004,"{""RegionId"": ""cn-hangzhou""}",,"{""RequestId"": ""req-000004""}",{},{},"{""ACS::OSS::Bucket"": [""bv-prod-logs""]}",bv-prod-logs,ACS::OSS::Bucket,,,2014-05-26,cn-hangzhou,false,AliCloudActionTrailLogs_CL
2026-09-05T12:15:00Z,aud-evt-0005,DeleteSecurityGroup,ApiCall,1,Management,Write,vpc.aliyuncs.com,Vpc,203.0.113.14,AlibabaCloud CLI,"{""type"": ""ram-user"", ""principalId"": ""30000000004"", ""accountId"": ""188888888488"", ""userName"": ""svc-user-5"", ""accessKeyId"": """"}",req-000005,"{""RegionId"": ""cn-hangzhou""}",,{},{},"{""SensitiveAction"": ""true""}","{""ACS::VPC::SecurityGroup"": [""sg-bp1abcdef00001""]}",sg-bp1abcdef00001,ACS::VPC::SecurityGroup,Forbidden.RAM,You are not authorized to do this action.,2014-05-26,cn-hangzhou,false,AliCloudActionTrailLogs_CL
2026-09-06T13:15:00Z,aud-evt-0006,CreateDBInstance,ApiCall,1,Management,Write,rds.aliyuncs.com,Rds,198.51.100.1,AlibabaCloud CLI,"{""type"": ""ram-user"", ""principalId"": ""30000000005"", ""accountId"": ""188888888588"", ""userName"": ""svc-user-6"", ""accessKeyId"": """"}",req-000006,"{""RegionId"": ""cn-hangzhou""}",,"{""RequestId"": ""req-000006""}",{},{},"{""ACS::RDS::DBInstance"": [""rm-bp1abcdef00001""]}",rm-bp1abcdef00001,ACS::RDS::DBInstance,,,2014-05-26,cn-hangzhou,false,AliCloudActionTrailLogs_CL
2026-09-07T14:15:00Z,aud-evt-0007,DescribeVpcFirewallList,ApiCall,1,Management,Read,cloudfw.aliyuncs.com,Cloudfw,198.51.100.2,AlibabaCloud CLI,"{""type"": ""ram-user"", ""principalId"": ""30000000006"", ""accountId"": ""188888888688"", ""userName"": ""svc-user-7"", ""accessKeyId"": """"}",req-000007,"{""RegionId"": ""cn-hangzhou""}",,{},{},{},{},,ACS::Cloudfw::VpcFirewall,202,not buy user,2014-05-26,cn-hangzhou,false,AliCloudActionTrailLogs_CL
2026-09-01T15:15:00Z,aud-evt-0008,DescribeKey,ApiCall,1,Management,Read,kms.aliyuncs.com,Kms,198.51.100.3,AlibabaCloud CLI,"{""type"": ""ram-user"", ""principalId"": ""30000000007"", ""accountId"": ""188888888788"", ""userName"": ""svc-user-8"", ""accessKeyId"": """"}",req-000008,"{""RegionId"": ""cn-hangzhou""}",,"{""RequestId"": ""req-000008""}",{},{},"{""ACS::KMS::Key"": [""key-bp1abcdef00001""]}",key-bp1abcdef00001,ACS::KMS::Key,,,2014-05-26,cn-hangzhou,false,AliCloudActionTrailLogs_CL
2026-09-02T16:15:00Z,aud-evt-0009,DeleteLoadBalancer,ApiCall,1,Management,Write,slb.aliyuncs.com,Slb,198.51.100.4,AlibabaCloud CLI,"{""type"": ""ram-user"", ""principalId"": ""30000000008"", ""accountId"": ""188888888888"", ""userName"": ""svc-user-9"", ""accessKeyId"": """"}",req-000009,"{""RegionId"": ""cn-hangzhou""}",,"{""RequestId"": ""req-000009""}",{},"{""SensitiveAction"": ""true""}","{""ACS::SLB::LoadBalancer"": [""lb-bp1abcdef00001""]}",lb-bp1abcdef00001,ACS::SLB::LoadBalancer,,,2014-05-26,cn-hangzhou,false,AliCloudActionTrailLogs_CL
2026-09-03T17:15:00Z,aud-evt-0010,LookupEvents,ApiCall,1,Management,Read,actiontrail.aliyuncs.com,Actiontrail,198.51.100.5,AlibabaCloud CLI,"{""type"": ""ram-user"", ""principalId"": ""30000000009"", ""accountId"": ""188888888988"", ""userName"": ""svc-user-10"", ""accessKeyId"": """"}",req-000010,"{""RegionId"": ""cn-hangzhou""}",,"{""RequestId"": ""req-000010""}",{},{},{},,ACS::ActionTrail::Trail,,,2014-05-26,cn-hangzhou,false,AliCloudActionTrailLogs_CL
