ColumnName,ColumnOrdinal,DataType,ColumnType
TimeGenerated,0,"System.DateTime",datetime
href,1,"System.String",string
"pce_fqdn",2,"System.String",string
"created_by",3,"System.Object",dynamic
"event_type",4,"System.String",string
status,5,"System.String",string
severity,6,"System.String",string
action,7,"System.Object",dynamic
"resource_changes",8,"System.Object",dynamic
notifications,9,"System.Object",dynamic
version,10,"System.Int32",int
TenantId,11,"System.String",string
Type,12,"System.String",string
"_ResourceId",13,"System.String",string
