"TimeGenerated [UTC]",EventCount,EventVendor,EventProduct,EventSchema,EventSchemaVersion,EventUid,"EventStartTime [UTC]","EventEndTime [UTC]",TargetUsername,TargetUserId,DvcFQDN,DvcIpAddr,DvcDomainType,DvcId,DvcAction,EventMessage,EventOriginalResultDetails,EventProductVersion,EventOriginalType,TargetIpAddr,HttpUserAgent,TargetAppName,TargetAppType,Type,EventResult,EventType,EventResultDetails,EventSeverity,EventSubType,TargetUsernameType,TargetUserType,Dvc,DvcHostname,Dst,SrcIpAddr,Src,IpAddr,DvcDomain,Application
"4/11/2024, 9:55:00.835 AM",1,Okta,Auth0,Authentication,"0.1.3","8e0885d6-f7e9-11ee-97a7-a88c3ef9fb2b","4/11/2024, 9:50:00.356 AM","4/11/2024, 9:55:00.835 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.212.25.189",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.212.25.189","172.212.25.189","172.212.25.189","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/11/2024, 10:00:03.250 AM",1,Okta,Auth0,Authentication,"0.1.3","4375ab8f-f7ea-11ee-97a7-14cb652f0be0","4/11/2024, 9:55:00.334 AM","4/11/2024, 10:00:03.250 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.212.25.189",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.212.25.189","172.212.25.189","172.212.25.189","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/11/2024, 10:05:00.976 AM",1,Okta,Auth0,Authentication,"0.1.3","f4f972a3-f7ea-11ee-97a7-0050f2595ced","4/11/2024, 10:00:00.375 AM","4/11/2024, 10:05:00.976 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.214.124.253",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.214.124.253","172.214.124.253","172.214.124.253","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/11/2024, 10:35:00.810 AM",1,Okta,Auth0,Authentication,"0.1.3","25a5a5a6-f7ef-11ee-97a7-0050f2599b0f","4/11/2024, 10:30:00.312 AM","4/11/2024, 10:35:00.810 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.212.12.200",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.212.12.200","172.212.12.200","172.212.12.200","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/11/2024, 11:00:01.011 AM",1,Okta,Auth0,Authentication,"0.1.3","a3dd43e6-f7f2-11ee-97a7-14cb652f4653","4/11/2024, 10:55:00.365 AM","4/11/2024, 11:00:01.011 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.214.119.24",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.214.119.24","172.214.119.24","172.214.119.24","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/11/2024, 11:05:02.446 AM",1,Okta,Auth0,Authentication,"0.1.3","57818699-f7f3-11ee-97a7-14cb652f41db","4/11/2024, 11:00:00.324 AM","4/11/2024, 11:05:02.446 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","57.151.19.191",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"57.151.19.191","57.151.19.191","57.151.19.191","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/11/2024, 11:20:01.287 AM",1,Okta,Auth0,Authentication,"0.1.3","6f60b6e5-f7f5-11ee-97a7-501ac58da419","4/11/2024, 11:15:00.330 AM","4/11/2024, 11:20:01.287 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.156.13.60",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.156.13.60","4.156.13.60","4.156.13.60","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/11/2024, 11:35:00.764 AM",1,Okta,Auth0,Authentication,"0.1.3","8773bca8-f7f7-11ee-97a7-cc60c88d959c","4/11/2024, 11:30:00.450 AM","4/11/2024, 11:35:00.764 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.156.60.141",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.156.60.141","4.156.60.141","4.156.60.141","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/11/2024, 12:10:02.021 PM",1,Okta,Auth0,Authentication,"0.1.3","6bf46569-f7fc-11ee-97a7-a88c3ef9f6a0","4/11/2024, 12:05:00.298 PM","4/11/2024, 12:10:02.021 PM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","57.151.38.99",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"57.151.38.99","57.151.38.99","57.151.38.99","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/11/2024, 12:50:01.072 PM",1,Okta,Auth0,Authentication,"0.1.3","01e1c028-f802-11ee-97a7-cc60c89a0d84","4/11/2024, 12:45:00.287 PM","4/11/2024, 12:50:01.072 PM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.246.240.164",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.246.240.164","4.246.240.164","4.246.240.164","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
