"TenantId","TimeGenerated","SourceIp","SourcePort","QueryId","QueryType","QueryClass","QueryName","Protocol","RequestSize","DnssecOkBit","EDNS0BufferSize","ResponseCode","ResponseFlags","ResponseSize","RequestDurationSecs","ErrorNumber","ErrorMessage","SourceSystem","Type","_ResourceId"
"11111111-2222-3333-4444-555555555555","2025-11-21 19:45:18.0766240","192.168.0.5","62241","65237","AAAA","IN","test-workspace-001.ods.opinsights.azure.com.","udp","90","0","1232","NOERROR","qr,aa,rd,ra","380","0.000133101","0","","","AZFWDnsQuery","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus2/providers/microsoft.network/azurefirewalls/test-lab-wus2-fw-01"
"11111111-2222-3333-4444-555555555555","2025-11-21 19:46:34.1401810","192.168.97.145","21241","2197","A","IN","testblobprod001.blob.core.windows.net.","udp","71","0","1232","NOERROR","qr,rd,ra","420","0.006580868","0","","","AZFWDnsQuery","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 19:52:32.6243100","192.168.97.146","33522","54603","AAAA","IN","login.example.com.","udp","49","0","1232","REFUSED","qr,rd,ra","38","0.007330847","0","","","AZFWDnsQuery","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 19:53:42.7451680","192.168.97.134","30200","64379","A","IN","gcs.prod.monitoring.core.windows.net.","udp","65","0","1232","NOERROR","qr,aa,rd,ra","198","0.000154401","0","","","AZFWDnsQuery","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 19:56:41.9585100","192.168.100.13","48344","51796","AAAA","IN","testblobprod002.vsblob.visualstudio.com.","udp","69","0","1232","NOERROR","qr,aa,rd,ra","335","0.000207402","0","","","AZFWDnsQuery","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-05"
"11111111-2222-3333-4444-555555555555","2025-11-21 19:50:21.6230770","192.168.7.134","5054","27109","AAAA","IN","westus-0.in.applicationinsights.azure.com.","udp","70","0","1232","NOERROR","qr,rd,ra","400","0.001638935","0","","","AZFWDnsQuery","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus2/providers/microsoft.network/azurefirewalls/test-lab-wus2-fw-06"
"11111111-2222-3333-4444-555555555555","2025-11-21 19:56:27.7707470","192.168.229.14","55339","24116","AAAA","IN","test-ssd-001.z4.blob.storage.azure.net.","udp","74","0","1232","NOERROR","qr,rd,ra","275","0.03294848","0","","","AZFWDnsQuery","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/swedencentral/providers/microsoft.network/azurefirewalls/test-lab-swc-fw-01"
"11111111-2222-3333-4444-555555555555","2025-11-21 19:58:09.0698260","192.168.0.10","39843","42747","A","IN","westus2-shared.prod.warm.ingest.monitor.core.windows.net.","udp","85","0","1232","NOERROR","qr,aa,rd,ra","254","0.000105003","0","","","AZFWDnsQuery","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus2/providers/microsoft.network/azurefirewalls/test-lab-wus2-fw-01"
"11111111-2222-3333-4444-555555555555","2025-11-21 19:56:44.7448530","10.1.129.13","41487","31400","A","IN","test-db-001.public.test123456789.database.windows.net.","udp","86","0","1232","NOERROR","qr,aa,rd,ra","266","3.4899E-05","0","","","AZFWDnsQuery","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus3/providers/microsoft.network/azurefirewalls/test-lab-wus3-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 19:53:06.0887770","192.168.100.17","12004","43597","A","IN","testblobprod003.blob.core.windows.net.","udp","74","0","1232","NOERROR","qr,aa,rd,ra","426","6.6001E-05","0","","","AZFWDnsQuery","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-05"
