TenantId,"TimeGenerated [UTC]",SourceSystem,Account,AccountType,Computer,EventSourceName,Channel,Task,Level,EventData,EventID,Activity,SourceComputerId,EventOriginId,MG,"TimeCollected [UTC]",ManagementGroupName,AccessList,AccessMask,AccessReason,AccountDomain,AccountExpires,AccountName,AccountSessionIdentifier,AdditionalInfo,AdditionalInfo2,AllowedToDelegateTo,Attributes,AuditPolicyChanges,AuditsDiscarded,AuthenticationLevel,AuthenticationPackageName,AuthenticationProvider,AuthenticationServer,AuthenticationService,AuthenticationType,CACertificateHash,CalledStationID,CallerProcessId,CallerProcessName,CallingStationID,CAPublicKeyHash,CategoryId,CertificateDatabaseHash,ClassId,ClassName,ClientAddress,ClientIPAddress,ClientName,CommandLine,CompatibleIds,DCDNSName,DeviceDescription,DeviceId,DisplayName,Disposition,DomainBehaviorVersion,DomainName,DomainPolicyChanged,DomainSid,EAPType,ElevatedToken,ErrorCode,ExtendedQuarantineState,FailureReason,FileHash,FilePath,FilePathNoUser,Filter,ForceLogoff,Fqbn,FullyQualifiedSubjectMachineName,FullyQualifiedSubjectUserName,GroupMembership,HandleId,HardwareIds,HomeDirectory,HomePath,ImpersonationLevel,InterfaceUuid,IpAddress,IpPort,KeyLength,LmPackageName,LocationInformation,LockoutDuration,LockoutObservationWindow,LockoutThreshold,LoggingResult,LogonGuid,LogonHours,LogonID,LogonProcessName,LogonType,LogonTypeName,MachineAccountQuota,MachineInventory,MachineLogon,MandatoryLabel,MaxPasswordAge,MemberName,MemberSid,MinPasswordAge,MinPasswordLength,MixedDomainMode,NASIdentifier,NASIPv4Address,NASIPv6Address,NASPort,NASPortType,NetworkPolicyName,NewDate,NewMaxUsers,NewProcessId,NewProcessName,NewRemark,NewShareFlags,NewTime,NewUacValue,NewValue,NewValueType,ObjectName,ObjectServer,ObjectType,ObjectValueName,OemInformation,OldMaxUsers,OldRemark,OldShareFlags,OldUacValue,OldValue,OldValueType,OperationType,PackageName,ParentProcessName,PasswordHistoryLength,PasswordLastSet,PasswordProperties,PreviousDate,PreviousTime,PrimaryGroupId,PrivateKeyUsageCount,PrivilegeList,Process,ProcessId,ProcessName,Properties,ProfilePath,ProtocolSequence,ProxyPolicyName,QuarantineHelpURL,QuarantineSessionID,QuarantineSessionIdentifier,QuarantineState,QuarantineSystemHealthResult,RelativeTargetName,RemoteIpAddress,RemotePort,Requester,RequestId,RestrictedAdminMode,RowsDeleted,SamAccountName,ScriptPath,SecurityDescriptor,ServiceAccount,ServiceFileName,ServiceName,ServiceStartType,ServiceType,SessionName,ShareLocalPath,ShareName,SidHistory,Status,SubjectAccount,SubcategoryGuid,SubcategoryId,Subject,SubjectDomainName,SubjectKeyIdentifier,SubjectLogonId,SubjectMachineName,SubjectMachineSID,SubjectUserName,SubjectUserSid,SubStatus,TableId,TargetAccount,TargetDomainName,TargetInfo,TargetLinkedLogonId,TargetLogonGuid,TargetLogonId,TargetOutboundDomainName,TargetOutboundUserName,TargetServerName,TargetSid,TargetUser,TargetUserName,TargetUserSid,TemplateContent,TemplateDSObjectFQDN,TemplateInternalName,TemplateOID,TemplateSchemaVersion,TemplateVersion,TokenElevationType,TransmittedServices,UserAccountControl,UserParameters,UserPrincipalName,UserWorkstations,VirtualAccount,VendorIds,Workstation,WorkstationName,PartitionKey,RowKey,StorageAccount,AzureDeploymentID,AzureTableName,Type,"_ResourceId"
"01680ad8-1090-4dec-a395-f77b161a9051","7/8/2023, 9:54:32.103 PM",OpsManager,,,"DC1.kustoworks.com","Microsoft-Windows-Security-Auditing",Security,13827,0,"<EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <Data Name=""TargetUserName"">Global Distribution Group</Data>
  <Data Name=""TargetDomainName"">KUSTOWORKS</Data>
  <Data Name=""TargetSid"">S-1-5-21-2496762881-1366215883-1809657155-1132</Data>
  <Data Name=""SubjectUserSid"">S-1-5-21-2496762881-1366215883-1809657155-500</Data>
  <Data Name=""SubjectUserName"">Administrator</Data>
  <Data Name=""SubjectDomainName"">KUSTOWORKS</Data>
  <Data Name=""SubjectLogonId"">0xa6a86b</Data>
  <Data Name=""PrivilegeList"">-</Data>
  <Data Name=""SamAccountName"">Global Distribution Group</Data>
  <Data Name=""SidHistory"">-</Data>
</EventData>",4749,"4749 - A security-disabled global group was created.","cc046e6c-795c-47b2-a5ae-c9a0645e6d32","cc046e6c-795c-47b2-a5ae-c9a0645e6d33","00000000-0000-0000-0000-000000000001","7/8/2023, 9:55:00.946 PM","AOI-01680ad8-1090-4dec-a395-f77b161a9051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SecurityEvent,"/subscriptions/e174f759-39db-49b8-b8bc-15cf9abca0f3/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"01680ad8-1090-4dec-a395-f77b161a9051","7/8/2023, 9:53:24.078 PM",OpsManager,"KUSTOWORKS\Administrator",User,"DC1.kustoworks.com","Microsoft-Windows-Security-Auditing",Security,13826,0,"<EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <Data Name=""TargetUserName"">Universal Security Group123</Data>
  <Data Name=""TargetDomainName"">KUSTOWORKS</Data>
  <Data Name=""TargetSid"">S-1-5-21-2496762881-1366215883-1809657155-1131</Data>
  <Data Name=""SubjectUserSid"">S-1-5-21-2496762881-1366215883-1809657155-500</Data>
  <Data Name=""SubjectUserName"">Administrator</Data>
  <Data Name=""SubjectDomainName"">KUSTOWORKS</Data>
  <Data Name=""SubjectLogonId"">0xa6a86b</Data>
  <Data Name=""PrivilegeList"">-</Data>
</EventData>",4758,"4758 - A security-enabled universal group was deleted.","cc046e6c-795c-47b2-a5ae-c9a0645e6d32","cc046e6c-795c-47b2-a5ae-c9a0645e6d33","00000000-0000-0000-0000-000000000001","7/8/2023, 9:54:00.934 PM","AOI-01680ad8-1090-4dec-a395-f77b161a9051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KUSTOWORKS\Administrator",,,,KUSTOWORKS,,0xa6a86b,,,Administrator,"S-1-5-21-2496762881-1366215883-1809657155-500",,,"KUSTOWORKS\Universal Security Group123",KUSTOWORKS,,,,,,,,"S-1-5-21-2496762881-1366215883-1809657155-1131",,"Universal Security Group123",,,,,,,,,,,,,,,,,,,,,,,SecurityEvent,"/subscriptions/e174f759-39db-49b8-b8bc-15cf9abca0f3/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"01680ad8-1090-4dec-a395-f77b161a9051","7/8/2023, 9:53:32.979 PM",OpsManager,"KUSTOWORKS\Administrator",User,"DC1.kustoworks.com","Microsoft-Windows-Security-Auditing",Security,13826,0,"<EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <Data Name=""TargetUserName"">Global Security Group123</Data>
  <Data Name=""TargetDomainName"">KUSTOWORKS</Data>
  <Data Name=""TargetSid"">S-1-5-21-2496762881-1366215883-1809657155-1129</Data>
  <Data Name=""SubjectUserSid"">S-1-5-21-2496762881-1366215883-1809657155-500</Data>
  <Data Name=""SubjectUserName"">Administrator</Data>
  <Data Name=""SubjectDomainName"">KUSTOWORKS</Data>
  <Data Name=""SubjectLogonId"">0xa6a86b</Data>
  <Data Name=""PrivilegeList"">-</Data>
</EventData>",4730,"4730 - A security-enabled global group was deleted.","cc046e6c-795c-47b2-a5ae-c9a0645e6d32","cc046e6c-795c-47b2-a5ae-c9a0645e6d33","00000000-0000-0000-0000-000000000001","7/8/2023, 9:54:00.934 PM","AOI-01680ad8-1090-4dec-a395-f77b161a9051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KUSTOWORKS\Administrator",,,,KUSTOWORKS,,0xa6a86b,,,Administrator,"S-1-5-21-2496762881-1366215883-1809657155-500",,,"KUSTOWORKS\Global Security Group123",KUSTOWORKS,,,,,,,,"S-1-5-21-2496762881-1366215883-1809657155-1129",,"Global Security Group123",,,,,,,,,,,,,,,,,,,,,,,SecurityEvent,"/subscriptions/e174f759-39db-49b8-b8bc-15cf9abca0f3/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"01680ad8-1090-4dec-a395-f77b161a9051","7/8/2023, 9:53:37.641 PM",OpsManager,"KUSTOWORKS\Administrator",User,"DC1.kustoworks.com","Microsoft-Windows-Security-Auditing",Security,13826,0,"<EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <Data Name=""TargetUserName"">Domain Local Security Group123</Data>
  <Data Name=""TargetDomainName"">KUSTOWORKS</Data>
  <Data Name=""TargetSid"">S-1-5-21-2496762881-1366215883-1809657155-1130</Data>
  <Data Name=""SubjectUserSid"">S-1-5-21-2496762881-1366215883-1809657155-500</Data>
  <Data Name=""SubjectUserName"">Administrator</Data>
  <Data Name=""SubjectDomainName"">KUSTOWORKS</Data>
  <Data Name=""SubjectLogonId"">0xa6a86b</Data>
  <Data Name=""PrivilegeList"">-</Data>
</EventData>",4734,"4734 - A security-enabled local group was deleted.","cc046e6c-795c-47b2-a5ae-c9a0645e6d32","cc046e6c-795c-47b2-a5ae-c9a0645e6d33","00000000-0000-0000-0000-000000000001","7/8/2023, 9:54:00.934 PM","AOI-01680ad8-1090-4dec-a395-f77b161a9051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KUSTOWORKS\Administrator",,,,KUSTOWORKS,,0xa6a86b,,,Administrator,"S-1-5-21-2496762881-1366215883-1809657155-500",,,"KUSTOWORKS\Domain Local Security Group123",KUSTOWORKS,,,,,,,,"S-1-5-21-2496762881-1366215883-1809657155-1130",,"Domain Local Security Group123",,,,,,,,,,,,,,,,,,,,,,,SecurityEvent,"/subscriptions/e174f759-39db-49b8-b8bc-15cf9abca0f3/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"01680ad8-1090-4dec-a395-f77b161a9051","7/8/2023, 9:55:06.584 PM",OpsManager,,,"DC1.kustoworks.com","Microsoft-Windows-Security-Auditing",Security,13827,0,"<EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <Data Name=""TargetUserName"">Domain Local Distribution Group</Data>
  <Data Name=""TargetDomainName"">KUSTOWORKS</Data>
  <Data Name=""TargetSid"">S-1-5-21-2496762881-1366215883-1809657155-1133</Data>
  <Data Name=""SubjectUserSid"">S-1-5-21-2496762881-1366215883-1809657155-500</Data>
  <Data Name=""SubjectUserName"">Administrator</Data>
  <Data Name=""SubjectDomainName"">KUSTOWORKS</Data>
  <Data Name=""SubjectLogonId"">0xa6a86b</Data>
  <Data Name=""PrivilegeList"">-</Data>
  <Data Name=""SamAccountName"">Domain Local Distribution Group</Data>
  <Data Name=""SidHistory"">-</Data>
</EventData>",4744,"4744 - A security-disabled local group was created.","cc046e6c-795c-47b2-a5ae-c9a0645e6d32","cc046e6c-795c-47b2-a5ae-c9a0645e6d33","00000000-0000-0000-0000-000000000001","7/8/2023, 9:55:40.696 PM","AOI-01680ad8-1090-4dec-a395-f77b161a9051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SecurityEvent,"/subscriptions/e174f759-39db-49b8-b8bc-15cf9abca0f3/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"01680ad8-1090-4dec-a395-f77b161a9051","7/8/2023, 9:55:27.233 PM",OpsManager,,,"DC1.kustoworks.com","Microsoft-Windows-Security-Auditing",Security,13827,0,"<EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <Data Name=""TargetUserName"">Universal Distribution Group</Data>
  <Data Name=""TargetDomainName"">KUSTOWORKS</Data>
  <Data Name=""TargetSid"">S-1-5-21-2496762881-1366215883-1809657155-1134</Data>
  <Data Name=""SubjectUserSid"">S-1-5-21-2496762881-1366215883-1809657155-500</Data>
  <Data Name=""SubjectUserName"">Administrator</Data>
  <Data Name=""SubjectDomainName"">KUSTOWORKS</Data>
  <Data Name=""SubjectLogonId"">0xa6a86b</Data>
  <Data Name=""PrivilegeList"">-</Data>
  <Data Name=""SamAccountName"">Universal Distribution Group</Data>
  <Data Name=""SidHistory"">-</Data>
</EventData>",4759,"4759 - A security-disabled universal group was created.","cc046e6c-795c-47b2-a5ae-c9a0645e6d32","cc046e6c-795c-47b2-a5ae-c9a0645e6d33","00000000-0000-0000-0000-000000000001","7/8/2023, 9:56:00.765 PM","AOI-01680ad8-1090-4dec-a395-f77b161a9051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SecurityEvent,"/subscriptions/e174f759-39db-49b8-b8bc-15cf9abca0f3/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"01680ad8-1090-4dec-a395-f77b161a9051","7/8/2023, 9:56:38.773 PM",OpsManager,,,"DC1.kustoworks.com","Microsoft-Windows-Security-Auditing",Security,13827,0,"<EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <Data Name=""TargetUserName"">Universal Distribution Group</Data>
  <Data Name=""TargetDomainName"">KUSTOWORKS</Data>
  <Data Name=""TargetSid"">S-1-5-21-2496762881-1366215883-1809657155-1134</Data>
  <Data Name=""SubjectUserSid"">S-1-5-21-2496762881-1366215883-1809657155-500</Data>
  <Data Name=""SubjectUserName"">Administrator</Data>
  <Data Name=""SubjectDomainName"">KUSTOWORKS</Data>
  <Data Name=""SubjectLogonId"">0xa6a86b</Data>
  <Data Name=""PrivilegeList"">-</Data>
</EventData>",4763,4763,"cc046e6c-795c-47b2-a5ae-c9a0645e6d32","cc046e6c-795c-47b2-a5ae-c9a0645e6d33","00000000-0000-0000-0000-000000000001","7/8/2023, 9:57:01.215 PM","AOI-01680ad8-1090-4dec-a395-f77b161a9051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SecurityEvent,"/subscriptions/e174f759-39db-49b8-b8bc-15cf9abca0f3/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"01680ad8-1090-4dec-a395-f77b161a9051","7/8/2023, 9:56:53.397 PM",OpsManager,,,"DC1.kustoworks.com","Microsoft-Windows-Security-Auditing",Security,13827,0,"<EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <Data Name=""TargetUserName"">Global Distribution Group</Data>
  <Data Name=""TargetDomainName"">KUSTOWORKS</Data>
  <Data Name=""TargetSid"">S-1-5-21-2496762881-1366215883-1809657155-1132</Data>
  <Data Name=""SubjectUserSid"">S-1-5-21-2496762881-1366215883-1809657155-500</Data>
  <Data Name=""SubjectUserName"">Administrator</Data>
  <Data Name=""SubjectDomainName"">KUSTOWORKS</Data>
  <Data Name=""SubjectLogonId"">0xa6a86b</Data>
  <Data Name=""PrivilegeList"">-</Data>
</EventData>",4753,"4753 - A security-disabled global group was deleted.","cc046e6c-795c-47b2-a5ae-c9a0645e6d32","cc046e6c-795c-47b2-a5ae-c9a0645e6d33","00000000-0000-0000-0000-000000000001","7/8/2023, 9:57:20.666 PM","AOI-01680ad8-1090-4dec-a395-f77b161a9051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SecurityEvent,"/subscriptions/e174f759-39db-49b8-b8bc-15cf9abca0f3/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"01680ad8-1090-4dec-a395-f77b161a9051","7/8/2023, 10:21:05.504 PM",OpsManager,"CL01\KustoKing",,"DC1.kustoworks.com","Microsoft-Windows-Security-Auditing",Security,13824,0,"<EventData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <Data Name=""TargetUserName"">KustoKing</Data>
  <Data Name=""TargetDomainName"">CL01</Data>
  <Data Name=""TargetSid"">S-1-5-21-2496762881-1366215883-1809657155-1128</Data>
  <Data Name=""SubjectUserSid"">S-1-5-18</Data>
  <Data Name=""SubjectUserName"">DC1$</Data>
  <Data Name=""SubjectDomainName"">KUSTOWORKS</Data>
  <Data Name=""SubjectLogonId"">0x3e7</Data>
</EventData>",4740,"4740 - A user account was locked out.","cc046e6c-795c-47b2-a5ae-c9a0645e6d32","cc046e6c-795c-47b2-a5ae-c9a0645e6d33","00000000-0000-0000-0000-000000000001","7/8/2023, 10:21:40.877 PM","AOI-01680ad8-1090-4dec-a395-f77b161a9051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KUSTOWORKS\DC1$",,,,KUSTOWORKS,,0x3e7,,,"DC1$","S-1-5-18",,,"CL01\KustoKing",CL01,,,,,,,,"S-1-5-21-2496762881-1366215883-1809657155-1128",,KustoKing,,,,,,,,,,,,,,,,,,,,,,,SecurityEvent,"/subscriptions/e174f759-39db-49b8-b8bc-15cf9abca0f3/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
"01680ad8-1090-4dec-a395-f77b161a9051","7/8/2023, 10:21:35.353 PM",OpsManager,"KUSTOWORKS\Administrator",User,"DC1.kustoworks.com","Microsoft-Windows-Security-Auditing",Security,13824,0,,4767,"4767 - A user account was unlocked.","cc046e6c-795c-47b2-a5ae-c9a0645e6d32","cc046e6c-795c-47b2-a5ae-c9a0645e6d33","00000000-0000-0000-0000-000000000001","7/8/2023, 10:22:00.754 PM","AOI-01680ad8-1090-4dec-a395-f77b161a9051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KUSTOWORKS\Administrator",,,,KUSTOWORKS,,0xa6a86b,,,Administrator,"S-1-5-21-2496762881-1366215883-1809657155-500",,,"KUSTOWORKS\KustoKing",KUSTOWORKS,,,,,,,,"S-1-5-21-2496762881-1366215883-1809657155-1128",,KustoKing,,,,,,,,,,,,,,,,,,,,,,,SecurityEvent,"/subscriptions/e174f759-39db-49b8-b8bc-15cf9abca0f3/resourcegroups/kustoworksarc/providers/microsoft.hybridcompute/machines/dc1"
