projects,dueAt,statusChangedAt,sourceURL,createdAt,status,updatedAt,sourceRule,notes,severity,entitySnapshot,evidence,resolvedAt,issueType,issueId,serviceTickets,TimeGenerated,TenantId,Type,_ResourceId
"[{""id"": ""proj-100"", ""name"": ""production""}]",2026-08-24T00:00:00Z,2026-08-20T09:15:00Z,https://app.wiz.io/issues#~(issue~'issue-9000),2026-08-20T09:10:00Z,IN_PROGRESS,2026-08-20T09:15:00Z,"{""id"": ""rule-700"", ""name"": ""Confirmed malware execution on production VM"", ""description"": ""Wiz Sensor detected a known malware signature executing on a production virtual machine."", ""resolutionRecommendation"": ""Isolate the VM, run a full malware scan, and rotate any credentials the workload had access to."", ""sourceType"": ""THREAT_INTEL""}",[],CRITICAL,"{""id"": ""ent-8000"", ""name"": ""web-prod-vm-05"", ""type"": ""VIRTUAL_MACHINE"", ""nativeType"": ""Microsoft.Compute/virtualMachines"", ""externalId"": ""/subscriptions/11111111-2222-3333-4444-555555555555/resourcegroups/rg-demo/providers/microsoft.compute/virtualmachines/web-prod-vm-05"", ""providerId"": """", ""cloudPlatform"": ""Azure"", ""subscriptionExternalId"": ""11111111-2222-3333-4444-555555555555"", ""subscriptionName"": ""demo-subscription""}","{""malwareName"": ""Trojan.GenericKD"", ""scanEngine"": ""Wiz Sensor""}",,THREAT_DETECTION,issue-9000,[],2026-08-20T09:15:10Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,WizIssuesV3_CL,/subscriptions/11111111-2222-3333-4444-555555555555/resourcegroups/rg-demo/providers/microsoft.operationalinsights/workspaces/demo-la-workspace
"[{""id"": ""proj-101"", ""name"": ""production""}]",2026-08-25T00:00:00Z,2026-08-21T10:20:00Z,https://app.wiz.io/issues#~(issue~'issue-9001),2026-08-21T10:15:00Z,OPEN,2026-08-21T10:20:00Z,"{""id"": ""rule-701"", ""name"": ""Publicly exposed container with data exfiltration path to the internet"", ""description"": ""A toxic combination correlating a publicly exposed container with an attached role that can read sensitive storage."", ""resolutionRecommendation"": ""Remove public network exposure and scope down the attached role."", ""sourceType"": ""TOXIC_COMBINATION_RULE""}",[],HIGH,"{""id"": ""ent-8001"", ""name"": ""api-worker.prod.internal"", ""type"": ""CONTAINER"", ""nativeType"": ""AWS::ECS::Task"", ""externalId"": ""arn:aws:ecs:us-east-1:123456789012:task/api-worker-7f9c"", ""providerId"": """", ""cloudPlatform"": ""AWS"", ""subscriptionExternalId"": """", ""subscriptionName"": """"}",{},,TOXIC_COMBINATION,issue-9001,[],2026-08-21T10:20:10Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,WizIssuesV3_CL,/subscriptions/11111111-2222-3333-4444-555555555555/resourcegroups/rg-demo/providers/microsoft.operationalinsights/workspaces/demo-la-workspace
"[{""id"": ""proj-102"", ""name"": ""production""}]",,2026-08-22T12:05:00Z,https://app.wiz.io/issues#~(issue~'issue-9002),2026-08-22T11:00:00Z,RESOLVED,2026-08-22T12:05:00Z,"{""id"": ""rule-702"", ""name"": ""Publicly exposed storage bucket combined with excessive IAM permissions"", ""description"": ""A toxic combination correlating a publicly readable bucket with an over-permissioned IAM role attached."", ""resolutionRecommendation"": ""Restrict bucket ACLs to private and scope down the attached IAM role."", ""sourceType"": ""TOXIC_COMBINATION_RULE""}","[{""author"": ""jsmith@example-corp.com"", ""text"": ""Bucket ACL corrected, closing as resolved.""}]",MEDIUM,"{""id"": ""ent-8002"", ""name"": ""corp-data-bucket-02"", ""type"": ""BUCKET"", ""nativeType"": ""AWS::S3::Bucket"", ""externalId"": ""arn:aws:s3:::corp-data-bucket-02"", ""providerId"": """", ""cloudPlatform"": ""AWS"", ""subscriptionExternalId"": """", ""subscriptionName"": """"}",{},2026-08-22T12:05:00Z,TOXIC_COMBINATION,issue-9002,[],2026-08-22T12:05:10Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,WizIssuesV3_CL,/subscriptions/11111111-2222-3333-4444-555555555555/resourcegroups/rg-demo/providers/microsoft.operationalinsights/workspaces/demo-la-workspace
[],,2026-08-23T08:40:00Z,https://app.wiz.io/issues#~(issue~'issue-9003),2026-08-23T08:30:00Z,REJECTED,2026-08-23T08:40:00Z,"{""id"": ""rule-703"", ""name"": ""MFA not enforced for privileged user account"", ""description"": ""This rule flags privileged user accounts that do not have multi-factor authentication enforced."", ""resolutionRecommendation"": ""Enable and enforce MFA for the affected account."", ""sourceType"": ""CONFIGURATION_RULE""}","[{""author"": ""tlee@example-corp.com"", ""text"": ""Account is a break-glass account exempted by policy; rejecting.""}]",LOW,"{""id"": ""ent-8003"", ""name"": ""tlee@example-corp.com"", ""type"": ""USER_ACCOUNT"", ""nativeType"": ""AAD_USER"", ""externalId"": ""3a1b2c3d-4e5f-6789-a0b1-c2d3e4f56789"", ""providerId"": """", ""cloudPlatform"": ""Azure"", ""subscriptionExternalId"": """", ""subscriptionName"": """"}",{},,CLOUD_CONFIGURATION,issue-9003,[],2026-08-23T08:40:10Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,WizIssuesV3_CL,/subscriptions/11111111-2222-3333-4444-555555555555/resourcegroups/rg-demo/providers/microsoft.operationalinsights/workspaces/demo-la-workspace
"[{""id"": ""proj-104"", ""name"": ""data-platform""}]",2026-08-30T00:00:00Z,2026-08-24T14:10:00Z,https://app.wiz.io/issues#~(issue~'issue-9004),2026-08-24T14:00:00Z,OPEN,2026-08-24T14:10:00Z,"{""id"": ""rule-704"", ""name"": ""Service account has unused excessive permissions"", ""description"": ""This rule flags service accounts with IAM permissions that have not been used in the last 90 days."", ""resolutionRecommendation"": ""Remove unused permissions to enforce least privilege."", ""sourceType"": ""CONFIGURATION_RULE""}",[],INFORMATIONAL,"{""id"": ""ent-8004"", ""name"": ""svc-analytics-etl"", ""type"": ""SERVICE_ACCOUNT"", ""nativeType"": ""GCP_SERVICE_ACCOUNT"", ""externalId"": ""//iam.googleapis.com/projects/proj-104/serviceAccounts/svc-analytics-etl@proj-104.iam.gserviceaccount.com"", ""providerId"": """", ""cloudPlatform"": ""GCP"", ""subscriptionExternalId"": """", ""subscriptionName"": """"}",{},,CLOUD_CONFIGURATION,issue-9004,[],2026-08-24T14:10:10Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,WizIssuesV3_CL,/subscriptions/11111111-2222-3333-4444-555555555555/resourcegroups/rg-demo/providers/microsoft.operationalinsights/workspaces/demo-la-workspace
"[{""id"": ""proj-105"", ""name"": ""production""}]",2026-08-27T00:00:00Z,2026-08-25T16:50:00Z,https://app.wiz.io/issues#~(issue~'issue-9005),2026-08-25T16:45:00Z,IN_PROGRESS,2026-08-25T16:50:00Z,"{""id"": ""rule-705"", ""name"": ""Database server allows unencrypted connections"", ""description"": ""This rule checks whether the database server enforces TLS for client connections."", ""resolutionRecommendation"": ""Enforce TLS-only connections on the database server."", ""sourceType"": ""CONFIGURATION_RULE""}",[],HIGH,"{""id"": ""ent-8005"", ""name"": ""db-replica-02"", ""type"": ""DB_SERVER"", ""nativeType"": ""Microsoft.DBforPostgreSQL/servers"", ""externalId"": ""/subscriptions/11111111-2222-3333-4444-555555555555/resourcegroups/rg-demo/providers/microsoft.dbforpostgresql/servers/db-replica-02"", ""providerId"": """", ""cloudPlatform"": ""Azure"", ""subscriptionExternalId"": ""11111111-2222-3333-4444-555555555555"", ""subscriptionName"": ""demo-subscription""}",{},,CLOUD_CONFIGURATION,issue-9005,[],2026-08-25T16:50:10Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,WizIssuesV3_CL,/subscriptions/11111111-2222-3333-4444-555555555555/resourcegroups/rg-demo/providers/microsoft.operationalinsights/workspaces/demo-la-workspace
"[{""id"": ""proj-106"", ""name"": ""production""}]",2026-08-28T00:00:00Z,2026-08-26T18:05:00Z,https://app.wiz.io/issues#~(issue~'issue-9006),2026-08-26T18:00:00Z,OPEN,2026-08-26T18:05:00Z,"{""id"": ""rule-706"", ""name"": ""Confirmed ransomware behavior detected on compute instance"", ""description"": ""Wiz correlated file encryption activity consistent with known ransomware behavior on a compute instance."", ""resolutionRecommendation"": ""Isolate the instance immediately, restore from clean backups, and rotate credentials."", ""sourceType"": ""THREAT_INTEL""}",[],CRITICAL,"{""id"": ""ent-8006"", ""name"": ""batch-worker-11"", ""type"": ""VIRTUAL_MACHINE"", ""nativeType"": ""AWS::EC2::Instance"", ""externalId"": ""arn:aws:ec2:us-east-1:123456789012:instance/i-0f1e2d3c4b5a69788"", ""providerId"": """", ""cloudPlatform"": ""AWS"", ""subscriptionExternalId"": """", ""subscriptionName"": """"}","{""encryptedFileCount"": 184, ""ransomNoteFound"": true}",,THREAT_DETECTION,issue-9006,[],2026-08-26T18:05:10Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,WizIssuesV3_CL,/subscriptions/11111111-2222-3333-4444-555555555555/resourcegroups/rg-demo/providers/microsoft.operationalinsights/workspaces/demo-la-workspace
"[{""id"": ""proj-107"", ""name"": ""production""}]",,2026-08-27T20:35:00Z,https://app.wiz.io/issues#~(issue~'issue-9007),2026-08-27T20:00:00Z,RESOLVED,2026-08-27T20:35:00Z,"{""id"": ""rule-707"", ""name"": ""Service account role targeted by repeated brute force sign-in attempts"", ""description"": ""A toxic combination correlating repeated failed authentication attempts against a service account with an attached high-privilege role."", ""resolutionRecommendation"": ""Rotate the service account credentials and enable adaptive lockout."", ""sourceType"": ""TOXIC_COMBINATION_RULE""}","[{""author"": ""rwong@example-corp.com"", ""text"": ""Credentials rotated and lockout policy enabled; closing as resolved.""}]",MEDIUM,"{""id"": ""ent-8007"", ""name"": ""svc-ci-runner-role"", ""type"": ""SERVICE_ACCOUNT"", ""nativeType"": ""AWS::IAM::Role"", ""externalId"": ""arn:aws:iam::123456789012:role/svc-ci-runner"", ""providerId"": """", ""cloudPlatform"": ""AWS"", ""subscriptionExternalId"": """", ""subscriptionName"": """"}",{},2026-08-27T20:35:00Z,TOXIC_COMBINATION,issue-9007,"[{""id"": ""tick-200"", ""system"": ""ServiceNow"", ""url"": ""https://example-corp.service-now.com/tickets/tick-200""}]",2026-08-27T20:35:10Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,WizIssuesV3_CL,/subscriptions/11111111-2222-3333-4444-555555555555/resourcegroups/rg-demo/providers/microsoft.operationalinsights/workspaces/demo-la-workspace
"[{""id"": ""proj-108"", ""name"": ""production""}]",2026-09-02T00:00:00Z,2026-08-28T22:15:00Z,https://app.wiz.io/issues#~(issue~'issue-9008),2026-08-28T22:10:00Z,OPEN,2026-08-28T22:15:00Z,"{""id"": ""rule-708"", ""name"": ""Storage account allows public network access"", ""description"": ""This rule checks whether public network access is disabled on the storage account."", ""resolutionRecommendation"": ""Disable public network access and use private endpoints."", ""sourceType"": ""CONFIGURATION_RULE""}",[],LOW,"{""id"": ""ent-8008"", ""name"": ""corpstorageacct02"", ""type"": ""STORAGE_ACCOUNT"", ""nativeType"": ""Microsoft.Storage/storageAccounts"", ""externalId"": ""/subscriptions/11111111-2222-3333-4444-555555555555/resourcegroups/rg-demo/providers/microsoft.storage/storageaccounts/corpstorageacct02"", ""providerId"": """", ""cloudPlatform"": ""Azure"", ""subscriptionExternalId"": ""11111111-2222-3333-4444-555555555555"", ""subscriptionName"": ""demo-subscription""}",{},,CLOUD_CONFIGURATION,issue-9008,[],2026-08-28T22:15:10Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,WizIssuesV3_CL,/subscriptions/11111111-2222-3333-4444-555555555555/resourcegroups/rg-demo/providers/microsoft.operationalinsights/workspaces/demo-la-workspace
"[{""id"": ""proj-109"", ""name"": ""production""}]",2026-08-31T00:00:00Z,2026-08-29T23:50:00Z,https://app.wiz.io/issues#~(issue~'issue-9009),2026-08-29T23:40:00Z,IN_PROGRESS,2026-08-29T23:50:00Z,"{""id"": ""rule-709"", ""name"": ""Confirmed cryptomining process detected on compute instance"", ""description"": ""A toxic combination correlating an internet-facing compute instance with an actively running cryptomining process."", ""resolutionRecommendation"": ""Terminate the cryptomining process, patch the exposed service, and restrict inbound network access."", ""sourceType"": ""TOXIC_COMBINATION_RULE""}",[],HIGH,"{""id"": ""ent-8009"", ""name"": ""api-worker-24"", ""type"": ""CONTAINER"", ""nativeType"": ""GKE_POD"", ""externalId"": ""//container.googleapis.com/projects/proj-109/zones/us-central1-a/clusters/prod-cluster/pods/api-worker-24"", ""providerId"": """", ""cloudPlatform"": ""GCP"", ""subscriptionExternalId"": """", ""subscriptionName"": """"}","{""process"": ""xmrig"", ""cpuUsagePercent"": 97}",,TOXIC_COMBINATION,issue-9009,[],2026-08-29T23:50:10Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,WizIssuesV3_CL,/subscriptions/11111111-2222-3333-4444-555555555555/resourcegroups/rg-demo/providers/microsoft.operationalinsights/workspaces/demo-la-workspace
