TimeGenerated [Local Time],href,pce_fqdn,created_by,event_type,status,severity,action,resource_changes,notifications,version,TenantId,Type,_ResourceId
"10/7/2024, 6:40:09.965 PM",/orgs/1/events/56c08656-619d-4355-a81c-ca75419c3d65,2x2testvc308.ilabs.io,"{""user"":{""href"":""/users/1"",""username"":""selfserve@illumio.com""}}",user.authenticate,success,info,,"[{""uuid"":""9c0d2aa0-dec0-4f42-9401-b767a2a51d0c"",""resource"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}},""changes"":{""sign_in_attempts_count"":{""before"":235,""after"":236}},""change_type"":""update""}]","[{""uuid"":""55666bf0-e088-4613-8ac6-580610ae0d77"",""notification_type"":""user.login_session_created"",""info"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}}}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"10/7/2024, 6:40:09.965 PM",/orgs/1/events/56c08656-619d-4355-a81c-ca75419c3d65,2x2testvc308.ilabs.io,"{""user"":{""href"":""/users/1"",""username"":""selfserve@illumio.com""}}",user.authenticate,success,info,,"[{""uuid"":""9c0d2aa0-dec0-4f42-9401-b767a2a51d0c"",""resource"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}},""changes"":{""sign_in_attempts_count"":{""before"":235,""after"":236}},""change_type"":""update""},{""uuid"":""4d886019-f2e8-4d05-a8c0-caef0132315a"",""resource"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}},""changes"":{""sign_in_attempts_count"":{""before"":235,""after"":236}},""change_type"":""update""}]","[{""uuid"":""55666bf0-e088-4613-8ac6-580610ae0d77"",""notification_type"":""user.login_session_created"",""info"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}}},{""uuid"":""f292fd9d-876d-492c-930c-0870acc0133e"",""notification_type"":""user.login_session_created"",""info"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}}}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"10/7/2024, 6:40:09.965 PM",/orgs/1/events/56c08656-619d-4355-a81c-ca75419c3d65,2x2testvc308.ilabs.io,"{""user"":{""href"":""/users/1"",""username"":""selfserve@illumio.com""}}",user.authenticate,success,info,"{""uuid"":""31e95625-8dca-4bf4-9514-6d27d05743a9"",""api_endpoint"":""/api/v2/login_users/authenticate"",""api_method"":""POST"",""http_status_code"":201,""src_ip"":""10.6.16.64""}","[{""uuid"":""9c0d2aa0-dec0-4f42-9401-b767a2a51d0c"",""resource"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}},""changes"":{""sign_in_attempts_count"":{""before"":235,""after"":236}},""change_type"":""update""},{""uuid"":""4d886019-f2e8-4d05-a8c0-caef0132315a"",""resource"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}},""changes"":{""sign_in_attempts_count"":{""before"":235,""after"":236}},""change_type"":""update""}]","[{""uuid"":""55666bf0-e088-4613-8ac6-580610ae0d77"",""notification_type"":""user.login_session_created"",""info"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}}},{""uuid"":""f292fd9d-876d-492c-930c-0870acc0133e"",""notification_type"":""user.login_session_created"",""info"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}}}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"10/7/2024, 6:40:11.319 PM",/orgs/1/events/629cbd5d-b23d-4e1e-9117-a61dd1d096fe,2x2testvc308.ilabs.io,"{""user"":{""href"":""/users/1"",""username"":""selfserve@illumio.com""}}",user.login,success,info,,[],"[{""uuid"":""59842369-b34c-4c6f-81bf-d21a1a342967"",""notification_type"":""user.pce_session_created"",""info"":{""user"":{""href"":""/users/1"",""username"":""selfserve@illumio.com""}}}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"10/7/2024, 6:40:11.319 PM",/orgs/1/events/629cbd5d-b23d-4e1e-9117-a61dd1d096fe,2x2testvc308.ilabs.io,"{""user"":{""href"":""/users/1"",""username"":""selfserve@illumio.com""}}",user.login,success,info,"{""uuid"":""45622adc-d77b-4652-96e6-e1fe41ca3dd8"",""api_endpoint"":""/api/v2/users/login"",""api_method"":""GET"",""http_status_code"":200,""src_ip"":""10.6.16.64""}",[],"[{""uuid"":""59842369-b34c-4c6f-81bf-d21a1a342967"",""notification_type"":""user.pce_session_created"",""info"":{""user"":{""href"":""/users/1"",""username"":""selfserve@illumio.com""}}}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"10/7/2024, 6:40:19.242 PM",/orgs/1/events/a8f91353-5dc1-4dec-8f17-8d3f44777c64,2x2testvc308.ilabs.io,"{""user"":{""href"":""/users/1"",""username"":""selfserve@illumio.com""}}",user.authenticate,success,info,,"[{""uuid"":""5b7053f9-061d-44ff-9aee-4ea38d2aee97"",""resource"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}},""changes"":{""sign_in_attempts_count"":{""before"":236,""after"":237}},""change_type"":""update""}]","[{""uuid"":""9fcd132a-7a9b-4671-92b8-2eb29c24ae26"",""notification_type"":""user.login_session_created"",""info"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}}}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"10/7/2024, 6:40:19.242 PM",/orgs/1/events/a8f91353-5dc1-4dec-8f17-8d3f44777c64,2x2testvc308.ilabs.io,"{""user"":{""href"":""/users/1"",""username"":""selfserve@illumio.com""}}",user.authenticate,success,info,,"[{""uuid"":""5b7053f9-061d-44ff-9aee-4ea38d2aee97"",""resource"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}},""changes"":{""sign_in_attempts_count"":{""before"":236,""after"":237}},""change_type"":""update""},{""uuid"":""289e870a-115e-42fc-9dcd-3d8d554c6990"",""resource"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}},""changes"":{""sign_in_attempts_count"":{""before"":236,""after"":237}},""change_type"":""update""}]","[{""uuid"":""9fcd132a-7a9b-4671-92b8-2eb29c24ae26"",""notification_type"":""user.login_session_created"",""info"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}}},{""uuid"":""4ca2dd07-6598-4b1a-a5fb-4a96e7732122"",""notification_type"":""user.login_session_created"",""info"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}}}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"10/7/2024, 6:40:19.242 PM",/orgs/1/events/a8f91353-5dc1-4dec-8f17-8d3f44777c64,2x2testvc308.ilabs.io,"{""user"":{""href"":""/users/1"",""username"":""selfserve@illumio.com""}}",user.authenticate,success,info,"{""uuid"":""69c2fa20-44eb-49aa-89b0-bcdad47bbc50"",""api_endpoint"":""/api/v2/login_users/authenticate"",""api_method"":""POST"",""http_status_code"":201,""src_ip"":""10.6.16.64""}","[{""uuid"":""5b7053f9-061d-44ff-9aee-4ea38d2aee97"",""resource"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}},""changes"":{""sign_in_attempts_count"":{""before"":236,""after"":237}},""change_type"":""update""},{""uuid"":""289e870a-115e-42fc-9dcd-3d8d554c6990"",""resource"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}},""changes"":{""sign_in_attempts_count"":{""before"":236,""after"":237}},""change_type"":""update""}]","[{""uuid"":""9fcd132a-7a9b-4671-92b8-2eb29c24ae26"",""notification_type"":""user.login_session_created"",""info"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}}},{""uuid"":""4ca2dd07-6598-4b1a-a5fb-4a96e7732122"",""notification_type"":""user.login_session_created"",""info"":{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}}}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"10/7/2024, 6:40:19.933 PM",/orgs/1/events/4b914f89-3db9-4955-b1f8-4387181994d2,2x2testvc308.ilabs.io,"{""user"":{""href"":""/users/1"",""username"":""selfserve@illumio.com""}}",user.login,success,info,,[],"[{""uuid"":""8a90853c-e9a1-42e6-a943-680b18b6e085"",""notification_type"":""user.pce_session_created"",""info"":{""user"":{""href"":""/users/1"",""username"":""selfserve@illumio.com""}}}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"10/7/2024, 6:40:19.933 PM",/orgs/1/events/4b914f89-3db9-4955-b1f8-4387181994d2,2x2testvc308.ilabs.io,"{""user"":{""href"":""/users/1"",""username"":""selfserve@illumio.com""}}",user.login,success,info,"{""uuid"":""97dd97fc-eaae-4163-9fec-90a9c2e6bc3b"",""api_endpoint"":""/api/v2/users/login"",""api_method"":""GET"",""http_status_code"":200,""src_ip"":""10.6.16.64""}",[],"[{""uuid"":""8a90853c-e9a1-42e6-a943-680b18b6e085"",""notification_type"":""user.pce_session_created"",""info"":{""user"":{""href"":""/users/1"",""username"":""selfserve@illumio.com""}}}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
