TenantId,TimeGenerated,SourceSystem,MG,Computer,EventTime,ReceiptTime,DeviceVendor,DeviceProduct,DeviceVersion,DeviceEventClassID,Activity,LogSeverity,OriginalLogSeverity,Protocol,SourceIP,SourcePort,DestinationIP,DestinationPort,DeviceAction,SimplifiedDeviceAction,DeviceInboundInterface,DeviceOutboundInterface,ReceivedBytes,SentBytes,AdditionalExtensions,Type,_ResourceId,_ItemId,DeviceExternalID
12345678-1234-1234-1234-123456789012,2025-11-05T10:30:00.000Z,OpsManager,,FortiGate-VM64,2025-11-05T10:30:00.000Z,2025-11-05T10:30:05.000Z,Fortinet,FortiGate,v7.2.0,00013,traffic:forward accept,4,Low,6,192.168.1.100,45123,203.0.113.50,443,accept,Allow,port1,port2,2048,4096,FTNTFGTstart=2025-11-05T10:29:58.000Z;FTNTFGTsrcintfrole=lan;FTNTFGTdstintfrole=wan;FTNTFGTexternalID=12345;FTNTFGTpolicyid=1;FTNTFGTdstcountry=US;FTNTFGTsrccountry=US;FTNTFGTcrscore=10;FTNTFGTduration=120;FTNTFGTsentpkt=10;FTNTFGTrcvdpkt=15;FTNTFGTutmaction=allow;cat=traffic,CommonSecurityLog,/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/test-rg/providers/Microsoft.OperationalInsights/workspaces/test-workspace,abc123def456,FG-VM64-001
12345678-1234-1234-1234-123456789012,2025-11-05T10:31:00.000Z,OpsManager,,FortiGate-VM64,2025-11-05T10:31:00.000Z,2025-11-05T10:31:05.000Z,Fortinet,FortiGate,v7.2.0,00013,traffic:forward deny,6,High,6,10.0.0.50,35789,192.168.100.200,22,deny,Deny,port3,port1,0,512,FTNTFGTstart=2025-11-05T10:30:58.000Z;FTNTFGTsrcintfrole=wan;FTNTFGTdstintfrole=dmz;FTNTFGTexternalID=12346;FTNTFGTpolicyid=5;FTNTFGTdstcountry=US;FTNTFGTsrccountry=CN;FTNTFGTcrscore=85;FTNTFGTduration=5;FTNTFGTsentpkt=2;FTNTFGTrcvdpkt=0;FTNTFGTutmaction=block;cat=traffic,CommonSecurityLog,/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/test-rg/providers/Microsoft.OperationalInsights/workspaces/test-workspace,def456ghi789,FG-VM64-001
12345678-1234-1234-1234-123456789012,2025-11-05T10:32:00.000Z,OpsManager,,FortiGate-VM64,2025-11-05T10:32:00.000Z,2025-11-05T10:32:05.000Z,Fortinet,FortiGate,v7.2.0,00013,traffic:forward close,2,info,6,192.168.1.105,53,8.8.8.8,53,close,Allow,port1,port2,64,128,FTNTFGTstart=2025-11-05T10:31:55.000Z;FTNTFGTsrcintfrole=lan;FTNTFGTdstintfrole=wan;FTNTFGTexternalID=12347;FTNTFGTpolicyid=2;FTNTFGTdstcountry=US;FTNTFGTsrccountry=US;FTNTFGTcrscore=5;FTNTFGTduration=3;FTNTFGTsentpkt=1;FTNTFGTrcvdpkt=1;FTNTFGTutmaction=allow;cat=traffic,CommonSecurityLog,/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/test-rg/providers/Microsoft.OperationalInsights/workspaces/test-workspace,ghi789jkl012,FG-VM64-001
12345678-1234-1234-1234-123456789012,2025-11-05T10:33:00.000Z,OpsManager,,FortiGate-VM64,2025-11-05T10:33:00.000Z,2025-11-05T10:33:05.000Z,Fortinet,FortiGate,v7.2.0,00013,traffic:forward client-rst,5,Low,6,172.16.0.25,8080,198.51.100.10,80,client-rst,Reset,port4,port2,1024,0,FTNTFGTstart=2025-11-05T10:32:50.000Z;FTNTFGTsrcintfrole=dmz;FTNTFGTdstintfrole=wan;FTNTFGTexternalID=12348;FTNTFGTpolicyid=3;FTNTFGTdstcountry=US;FTNTFGTsrccountry=US;FTNTFGTcrscore=25;FTNTFGTduration=10;FTNTFGTsentpkt=5;FTNTFGTrcvdpkt=3;FTNTFGTutmaction=allow;cat=traffic,CommonSecurityLog,/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/test-rg/providers/Microsoft.OperationalInsights/workspaces/test-workspace,jkl012mno345,FG-VM64-001
12345678-1234-1234-1234-123456789012,2025-11-05T10:34:00.000Z,OpsManager,,FortiGate-VM64,2025-11-05T10:34:00.000Z,2025-11-05T10:34:05.000Z,Fortinet,FortiGate,v7.2.0,00013,traffic:forward server-rst,4,Low,6,192.168.1.110,12345,203.0.113.100,993,server-rst,Reset,port1,port2,512,2048,FTNTFGTstart=2025-11-05T10:33:45.000Z;FTNTFGTsrcintfrole=lan;FTNTFGTdstintfrole=wan;FTNTFGTexternalID=12349;FTNTFGTpolicyid=1;FTNTFGTdstcountry=US;FTNTFGTsrccountry=US;FTNTFGTcrscore=15;FTNTFGTduration=15;FTNTFGTsentpkt=3;FTNTFGTrcvdpkt=4;FTNTFGTutmaction=allow;cat=traffic,CommonSecurityLog,/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/test-rg/providers/Microsoft.OperationalInsights/workspaces/test-workspace,mno345pqr678,FG-VM64-001
12345678-1234-1234-1234-123456789012,2025-11-05T10:35:00.000Z,OpsManager,,FortiGate-VM64,2025-11-05T10:35:00.000Z,2025-11-05T10:35:05.000Z,Fortinet,FortiGate,v7.2.0,00013,traffic:forward timeout,4,Low,6,10.10.10.15,49152,172.217.164.110,443,timeout,Block,port5,port2,256,1024,FTNTFGTstart=2025-11-05T10:34:30.000Z;FTNTFGTsrcintfrole=guest;FTNTFGTdstintfrole=wan;FTNTFGTexternalID=12350;FTNTFGTpolicyid=8;FTNTFGTdstcountry=US;FTNTFGTsrccountry=US;FTNTFGTcrscore=0;FTNTFGTduration=30;FTNTFGTsentpkt=2;FTNTFGTrcvdpkt=1;FTNTFGTutmaction=allow;cat=traffic,CommonSecurityLog,/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/test-rg/providers/Microsoft.OperationalInsights/workspaces/test-workspace,pqr678stu901,FG-VM64-001
12345678-1234-1234-1234-123456789012,2025-11-05T10:36:00.000Z,OpsManager,,FortiGate-VM64,2025-11-05T10:36:00.000Z,2025-11-05T10:36:05.000Z,Fortinet,FortiGate,v7.2.0,00013,traffic:forward deny,6,High,6,192.168.50.75,,8.8.4.4,,deny,Deny,port1,port2,0,32,FTNTFGTstart=2025-11-05T10:35:58.000Z;FTNTFGTsrcintfrole=lan;FTNTFGTdstintfrole=wan;FTNTFGTexternalID=12351;FTNTFGTpolicyid=10;FTNTFGTdstcountry=US;FTNTFGTsrccountry=US;FTNTFGTcrscore=0;FTNTFGTduration=2;FTNTFGTsentpkt=1;FTNTFGTrcvdpkt=0;FTNTFGTutmaction=block;cat=traffic,CommonSecurityLog,/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/test-rg/providers/Microsoft.OperationalInsights/workspaces/test-workspace,stu901vwx234,FG-VM64-001
12345678-1234-1234-1234-123456789012,2025-11-05T10:37:00.000Z,OpsManager,,FortiGate-VM64-HQ,2025-11-05T10:37:00.000Z,2025-11-05T10:37:05.000Z,Fortinet,FortiGate,v7.2.1,00013,traffic:forward accept,2,Informational,6,fd12:3456:789a:1::100,55432,2001:db8:85a3::8a2e:370:7334,443,accept,Allow,port6,port7,4096,8192,start=2025-11-05T10:36:55.000Z;srcintfrole=internal;dstintfrole=external;externalID=12352;policyid=15;dstcountry=DE;srccountry=US;crscore=5;duration=180;sentpkt=20;rcvdpkt=25;utmaction=allow;cat=traffic,CommonSecurityLog,/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/test-rg/providers/Microsoft.OperationalInsights/workspaces/test-workspace,vwx234yza567,FG-VM64-HQ-001
12345678-1234-1234-1234-123456789012,2025-11-05T10:38:00.000Z,OpsManager,,FortiGate-VM64-HQ,2025-11-05T10:38:00.000Z,2025-11-05T10:38:05.000Z,Fortinet,FortiGate,v7.2.1,00013,traffic:forward deny,1,Informational,6,203.0.113.200,6666,192.168.100.50,3389,deny,Deny,port8,port9,128,0,start=2025-11-05T10:37:55.000Z;srcintfrole=wan;dstintfrole=dmz;externalID=12353;policyid=20;dstcountry=US;srccountry=RU;crscore=95;duration=1;sentpkt=1;rcvdpkt=0;utmaction=block;cat=traffic,CommonSecurityLog,/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/test-rg/providers/Microsoft.OperationalInsights/workspaces/test-workspace,yza567bcd890,FG-VM64-HQ-001
12345678-1234-1234-1234-123456789012,2025-11-05T10:39:00.000Z,OpsManager,,FortiGate-VM64-HQ,2025-11-05T10:39:00.000Z,2025-11-05T10:39:05.000Z,Fortinet,FortiGate,v7.2.1,00013,traffic:forward accept,4,Low,6,192.168.200.20,123,129.6.15.28,123,accept,Allow,port10,port11,76,76,start=2025-11-05T10:38:58.000Z;srcintfrole=servers;dstintfrole=wan;externalID=12354;policyid=12;dstcountry=US;srccountry=US;crscore=0;duration=1;sentpkt=1;rcvdpkt=1;utmaction=allow;cat=traffic,CommonSecurityLog,/subscriptions/12345678-1234-1234-1234-123456789012/resourceGroups/test-rg/providers/Microsoft.OperationalInsights/workspaces/test-workspace,bcd890efg123,FG-VM64-HQ-001
