ColumnName,ColumnOrdinal,DataType,ColumnType
TenantId,0,"System.String",string
SourceSystem,1,"System.String",string
TimeGenerated,2,"System.DateTime",datetime
Source,3,"System.String",string
EventLog,4,"System.String",string
Computer,5,"System.String",string
EventLevel,6,"System.Int32",int
EventLevelName,7,"System.String",string
ParameterXml,8,"System.String",string
EventData,9,"System.String",string
EventID,10,"System.Int32",int
RenderedDescription,11,"System.String",string
AzureDeploymentID,12,"System.String",string
Role,13,"System.String",string
EventCategory,14,"System.Int32",int
UserName,15,"System.String",string
Message,16,"System.String",string
MG,17,"System.String",string
ManagementGroupName,18,"System.String",string
Type,19,"System.String",string
"_ResourceId",20,"System.String",string
