"TenantId","TimeGenerated","Protocol","SourceIp","SourcePort","DestinationIp","DestinationPort","Fqdn","TargetUrl","Action","ThreatDescription","IsTlsInspected","SourceSystem","Type","_ResourceId"
"11111111-2222-3333-4444-555555555555","2025-11-10 14:43:47.7659340","HTTP/1.1","10.1.190.216","29825","","80","test-malware-domain.com","","Deny","ThreatIntel: Destination reported by Threat Intelligence","0","","AZFWThreatIntel","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus3/providers/microsoft.network/azurefirewalls/test-lab-wus3-fw-01"
"11111111-2222-3333-4444-555555555555","2025-11-10 14:43:33.4919840","HTTP/1.1","10.1.190.194","36332","","80","test-phishing-site.org","","Deny","ThreatIntel: Destination reported by Threat Intelligence","0","","AZFWThreatIntel","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus3/providers/microsoft.network/azurefirewalls/test-lab-wus3-fw-01"
"11111111-2222-3333-4444-555555555555","2025-11-10 14:43:33.4751220","HTTPS/1.1","10.1.190.194","36332","","443","test-suspicious-domain.net","","Deny","ThreatIntel: Destination reported by Threat Intelligence","1","","AZFWThreatIntel","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus3/providers/microsoft.network/azurefirewalls/test-lab-wus3-fw-01"
"11111111-2222-3333-4444-555555555555","2025-11-10 14:43:50.0194500","HTTP/1.1","10.1.190.216","29825","","80","test-botnet-command.com","","Deny","ThreatIntel: Destination reported by Threat Intelligence","0","","AZFWThreatIntel","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus3/providers/microsoft.network/azurefirewalls/test-lab-wus3-fw-01"
"11111111-2222-3333-4444-555555555555","2025-11-10 14:43:44.3847590","HTTP/1.1","10.1.190.214","29115","","80","test-spam-relay.info","","Deny","ThreatIntel: Destination reported by Threat Intelligence","0","","AZFWThreatIntel","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus3/providers/microsoft.network/azurefirewalls/test-lab-wus3-fw-01"
"11111111-2022-3333-4444-555555555555","2025-11-10 14:44:36.6688220","HTTPS/1.1","10.2.175.115","44264","","443","test-ransomware-c2.biz","","Deny","ThreatIntel: Destination reported by Threat Intelligence","1","","AZFWThreatIntel","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-10 14:45:42.1322440","HTTP/1.1","10.1.190.214","29115","","8080","test-exploit-kit.click","","Deny","ThreatIntel: Destination reported by Threat Intelligence","0","","AZFWThreatIntel","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus3/providers/microsoft.network/azurefirewalls/test-lab-wus3-fw-01"
"11111111-2222-3333-4444-555555555555","2025-11-10 14:46:35.5852090","HTTP/1.1","192.168.145.94","36332","","80","test-crypto-miner.tech","","Deny","ThreatIntel: Destination reported by Threat Intelligence","0","","AZFWThreatIntel","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-04"
"11111111-2222-3333-4444-555555555555","2025-11-10 14:47:38.1315010","HTTPS/1.1","10.3.142.215","44264","","443","test-data-exfil.space","","Deny","ThreatIntel: Destination reported by Threat Intelligence","1","","AZFWThreatIntel","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus2/providers/microsoft.network/azurefirewalls/test-lab-wus2-fw-01"
"11111111-2222-3333-4444-555555555555","2025-11-10 14:48:34.2393360","HTTP/1.1","10.1.190.194","36332","","80","test-trojan-dropper.xyz","","Deny","ThreatIntel: Destination reported by Threat Intelligence","0","","AZFWThreatIntel","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus3/providers/microsoft.network/azurefirewalls/test-lab-wus3-fw-01"
