"TenantId","TimeGenerated","Protocol","SourceIp","SourcePort","DestinationIp","DestinationPort","TranslatedIp","TranslatedPort","Policy","RuleCollectionGroup","RuleCollection","Rule","SourceSystem","Type","_IsBillable","_BilledSize","_TimeReceived","_ItemId","_ResourceId","_SubscriptionId"
"11111111-2222-3333-4444-555555555555","2025-09-29 22:05:03.0706750","TCP","203.0.113.100","38778","203.0.113.55","22","10.0.0.4","22","test-vnet-001-firewall-policy","DefaultDnatRuleCollectionGroup","test-rulecollection-001","test-rule-001","","AZFWNatRule","True","170","2025-09-29 22:06:23.0629433","8899880d-9d80-11f0-8705-00224803a257","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/test-vnet-rg/providers/microsoft.network/azurefirewalls/test-vnet-001-firewall","aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee"
"11111111-2222-3333-4444-555555555555","2025-10-02 06:34:45.1232810","TCP","198.51.100.200","32846","203.0.113.55","22","10.0.0.4","22","test-vnet-001-firewall-policy","DefaultDnatRuleCollectionGroup","test-rulecollection-001","test-rule-001","","AZFWNatRule","True","170","2025-10-02 06:35:20.3318966","f70316d9-9f59-11f0-8705-000d3a5a4e7c","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/test-vnet-rg/providers/microsoft.network/azurefirewalls/test-vnet-001-firewall","aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee"
"11111111-2222-3333-4444-555555555555","2025-10-02 13:43:32.1999950","TCP","198.51.100.200","42808","203.0.113.55","22","10.0.0.4","22","test-vnet-001-firewall-policy","DefaultDnatRuleCollectionGroup","test-rulecollection-001","test-rule-001","","AZFWNatRule","True","170","2025-10-02 13:44:19.9001294","e4e785d6-9f95-11f0-802d-00224809853e","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/test-vnet-rg/providers/microsoft.network/azurefirewalls/test-vnet-001-firewall","aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee"
"11111111-2222-3333-4444-555555555555","2025-10-01 11:07:14.8223420","TCP","203.0.113.101","51436","203.0.113.55","22","10.0.0.4","22","test-vnet-001-firewall-policy","DefaultDnatRuleCollectionGroup","test-rulecollection-001","test-rule-001","","AZFWNatRule","True","169","2025-10-01 11:08:22.3296350","f0f315bc-9eb6-11f0-8705-00224803a5e6","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/test-vnet-rg/providers/microsoft.network/azurefirewalls/test-vnet-001-firewall","aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee"
"11111111-2222-3333-4444-555555555555","2025-10-01 11:45:00.5960860","TCP","203.0.113.102","44112","203.0.113.55","22","10.0.0.4","22","test-vnet-001-firewall-policy","DefaultDnatRuleCollectionGroup","test-rulecollection-001","test-rule-001","","AZFWNatRule","True","172","2025-10-01 11:46:19.1384766","3e08fea0-9ebc-11f0-802d-002248098f2d","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/test-vnet-rg/providers/microsoft.network/azurefirewalls/test-vnet-001-firewall","aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee"
"11111111-2222-3333-4444-555555555555","2025-09-30 05:46:10.0784750","TCP","203.0.113.103","39348","203.0.113.55","22","10.0.0.4","22","test-vnet-001-firewall-policy","DefaultDnatRuleCollectionGroup","test-rulecollection-001","test-rule-001","","AZFWNatRule","True","169","2025-09-30 05:47:18.0124634","ec135b76-9dc0-11f0-802d-0022480981e0","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/test-vnet-rg/providers/microsoft.network/azurefirewalls/test-vnet-001-firewall","aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee"
"11111111-2222-3333-4444-555555555555","2025-10-02 02:52:10.0282090","TCP","203.0.113.104","48282","203.0.113.55","22","10.0.0.4","22","test-vnet-001-firewall-policy","DefaultDnatRuleCollectionGroup","test-rulecollection-001","test-rule-001","","AZFWNatRule","True","171","2025-10-02 02:53:20.9206876","f40cceec-9f3a-11f0-8705-00224803a42c","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/test-vnet-rg/providers/microsoft.network/azurefirewalls/test-vnet-001-firewall","aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee"
"11111111-2222-3333-4444-555555555555","2025-09-30 05:44:00.0639940","TCP","203.0.113.105","18137","203.0.113.55","22","10.0.0.4","22","test-vnet-001-firewall-policy","DefaultDnatRuleCollectionGroup","test-rulecollection-001","test-rule-001","","AZFWNatRule","True","169","2025-09-30 05:45:17.9608141","a49e23a3-9dc0-11f0-8705-000d3a5a52ca","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/test-vnet-rg/providers/microsoft.network/azurefirewalls/test-vnet-001-firewall","aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee"
"11111111-2222-3333-4444-555555555555","2025-09-30 23:31:38.8831430","TCP","203.0.113.106","40482","203.0.113.55","22","10.0.0.4","22","test-vnet-001-firewall-policy","DefaultDnatRuleCollectionGroup","test-rulecollection-001","test-rule-001","","AZFWNatRule","True","170","2025-09-30 23:32:19.8444807","b4b5dafd-9e55-11f0-8705-000d3a5a42e3","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/test-vnet-rg/providers/microsoft.network/azurefirewalls/test-vnet-001-firewall","aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee"
"11111111-2222-3333-4444-555555555555","2025-10-01 12:06:42.2368830","TCP","203.0.113.107","56380","203.0.113.55","22","10.0.0.4","22","test-vnet-001-firewall-policy","DefaultDnatRuleCollectionGroup","test-rulecollection-001","test-rule-001","","AZFWNatRule","True","171","2025-10-01 12:07:17.1483591","2bf6e94e-9ebf-11f0-8705-000d3a304166","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/test-vnet-rg/providers/microsoft.network/azurefirewalls/test-vnet-001-firewall","aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee"
