"TenantId","TimeGenerated","Protocol","SourceIp","SourcePort","DestinationIp","DestinationPort","Action","SignatureId","Category","Description","Severity","SourceSystem","Type","_ResourceId"
"11111111-2222-3333-4444-555555555555","2025-11-21 19:45:05.1564430","TCP","192.168.97.142","3830","203.0.113.56","443","alert","2063118","Misc activity","INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI","3","","AZFWIdpsSignature","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-14 14:33:11.6861880","TCP","192.168.97.135","2218","203.0.113.56","443","alert","2063118","Misc activity","INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI","3","","AZFWIdpsSignature","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:11:12.2327680","TCP","192.168.97.133","57992","203.0.113.56","443","alert","2063118","Misc activity","INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI","3","","AZFWIdpsSignature","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:05:37.7432290","TCP","192.168.97.134","2214","203.0.113.56","443","alert","2063118","Misc activity","INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI","3","","AZFWIdpsSignature","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 17:13:11.7481960","TCP","192.168.97.136","56994","203.0.113.56","443","alert","2063118","Misc activity","INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI","3","","AZFWIdpsSignature","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 19:46:23.6799540","TCP","192.168.97.142","38904","203.0.113.56","443","alert","2063118","Misc activity","INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI","3","","AZFWIdpsSignature","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 18:22:28.0416700","TCP","192.168.97.138","8566","203.0.113.56","443","alert","2063118","Misc activity","INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI","3","","AZFWIdpsSignature","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 18:19:21.1866670","TCP","192.168.216.176","62813","10.1.192.48","445","alert","2027204","Potentially Bad Traffic","HUNTING Possible Powershell .ps1 Script Use Over SMB","2","","AZFWIdpsSignature","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/southeastasia/providers/microsoft.network/azurefirewalls/test-lab-sea-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 19:09:00.8816750","TCP","192.168.97.134","47020","203.0.113.56","443","alert","2063118","Misc activity","INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI","3","","AZFWIdpsSignature","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 17:28:06.8063500","TCP","192.168.97.137","50284","203.0.113.56","443","alert","2063118","Misc activity","INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI","3","","AZFWIdpsSignature","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:00:10.1435890","TCP","192.168.97.140","4072","203.0.113.56","443","alert","2063118","Misc activity","INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI","3","","AZFWIdpsSignature","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-16 04:02:14.3815450","TCP","10.2.83.112","22","172.16.131.34","49422","alert","2054407","Large Scale Information Leak","INFO Server Responded with Vulnerable OpenSSH Version (CVE-2024-6409)","2","","AZFWIdpsSignature","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 17:49:34.8697350","TCP","192.168.97.145","50258","203.0.113.56","443","alert","2063118","Misc activity","INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI","3","","AZFWIdpsSignature","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 19:44:18.5310880","TCP","192.168.216.220","51435","10.2.214.49","445","alert","2027204","Potentially Bad Traffic","HUNTING Possible Powershell .ps1 Script Use Over SMB","2","","AZFWIdpsSignature","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/southeastasia/providers/microsoft.network/azurefirewalls/test-lab-sea-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:07:31.4709050","TCP","192.168.97.142","18360","203.0.113.23","443","alert","2063118","Misc activity","INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI","3","","AZFWIdpsSignature","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 17:45:48.9823010","TCP","192.168.97.138","57170","203.0.113.56","443","alert","2063118","Misc activity","INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI","3","","AZFWIdpsSignature","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
