"TimeGenerated [UTC]",EventCount,EventVendor,EventProduct,EventSchema,EventSchemaVersion,EventUid,"EventStartTime [UTC]","EventEndTime [UTC]",TargetUsername,TargetUserId,DvcFQDN,DvcIpAddr,DvcDomainType,DvcId,DvcAction,EventMessage,EventOriginalResultDetails,EventProductVersion,EventOriginalType,TargetIpAddr,HttpUserAgent,TargetAppName,TargetAppType,Type,EventResult,EventType,EventResultDetails,EventSeverity,EventSubType,TargetUsernameType,TargetUserType,Dvc,DvcHostname,Dst,SrcIpAddr,Src,IpAddr,DvcDomain,Application
"4/26/2024, 4:45:01.327 AM",1,Okta,Auth0,Authentication,"0.1.3","bd475a5a-0387-11ef-b626-cc60c88def8e","4/26/2024, 4:40:00.301 AM","4/26/2024, 4:45:01.327 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.156.88.122",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.156.88.122","4.156.88.122","4.156.88.122","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 4:50:01.266 AM",1,Okta,Auth0,Authentication,"0.1.3","7010a9d9-0388-11ef-b626-0050f237d474","4/26/2024, 4:45:00.374 AM","4/26/2024, 4:50:01.266 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.171.132.38",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.171.132.38","172.171.132.38","172.171.132.38","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 5:30:01.338 AM",1,Okta,Auth0,Authentication,"0.1.3","069775fa-038e-11ef-b626-cc60c88ddd83","4/26/2024, 5:25:00.382 AM","4/26/2024, 5:30:01.338 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.156.241.25",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.156.241.25","4.156.241.25","4.156.241.25","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 5:35:01.420 AM",1,Okta,Auth0,Authentication,"0.1.3","b9746d1d-038e-11ef-b626-0050f259337d","4/26/2024, 5:30:00.401 AM","4/26/2024, 5:35:01.420 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.156.241.25",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.156.241.25","4.156.241.25","4.156.241.25","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 6:00:00.875 AM",1,Okta,Auth0,Authentication,"0.1.3","36557445-0392-11ef-b626-a88c3efa08b3","4/26/2024, 5:55:00.309 AM","4/26/2024, 6:00:00.875 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.156.84.36",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.156.84.36","4.156.84.36","4.156.84.36","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 6:35:01.016 AM",1,Okta,Auth0,Authentication,"0.1.3","19e695c9-0397-11ef-b626-14cb652f38d2","4/26/2024, 6:30:00.340 AM","4/26/2024, 6:35:01.016 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.212.115.156",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.212.115.156","172.212.115.156","172.212.115.156","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 6:40:01.105 AM",1,Okta,Auth0,Authentication,"0.1.3","ccdc80b8-0397-11ef-b626-14cb652f3452","4/26/2024, 6:35:00.339 AM","4/26/2024, 6:40:01.105 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.212.115.156",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.212.115.156","172.212.115.156","172.212.115.156","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 6:45:01.524 AM",1,Okta,Auth0,Authentication,"0.1.3","80d659fe-0398-11ef-b626-cc60c860c601","4/26/2024, 6:40:00.322 AM","4/26/2024, 6:45:01.524 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","57.151.33.243",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"57.151.33.243","57.151.33.243","57.151.33.243","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 4:55:01.141 AM",1,Okta,Auth0,Authentication,"0.1.3","2185227a-0389-11ef-b626-14cb655b35b2","4/26/2024, 4:50:00.372 AM","4/26/2024, 4:55:01.141 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.171.132.38",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.171.132.38","172.171.132.38","172.171.132.38","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 6:50:01.721 AM",1,Okta,Auth0,Authentication,"0.1.3","33d580fc-0399-11ef-b626-cc60c88d8388","4/26/2024, 6:45:00.312 AM","4/26/2024, 6:50:01.721 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","57.151.33.243",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"57.151.33.243","57.151.33.243","57.151.33.243","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
