"TimeGenerated [UTC]",AwsEventId,EventVersion,EventSource,EventTypeName,EventName,UserIdentityType,UserIdentityPrincipalid,UserIdentityArn,UserIdentityAccountId,UserIdentityInvokedBy,UserIdentityAccessKeyId,UserIdentityUserName,SessionMfaAuthenticated,"SessionCreationDate [UTC]",SessionIssuerType,SessionIssuerPrincipalId,SessionIssuerArn,SessionIssuerAccountId,SessionIssuerUserName,AWSRegion,SourceIpAddress,UserAgent,ErrorCode,ErrorMessage,RequestParameters,ResponseElements,AdditionalEventData,AwsRequestId,"AwsRequestId_",Resources,APIVersion,ReadOnly,RecipientAccountId,ServiceEventDetails,SharedEventId,VpcEndpointId,ManagementEvent,TenantId,SourceSystem,OperationName,Category,EC2RoleDelivery,TlsVersion,CipherSuite,ClientProvidedHostHeader,IpProtocol,SourcePort,DestinationPort,CidrIp,UserIdentityUserId,UserIdentityStoreArn,Type
"01/04/2025, 09:00:00.000","uuid-0001","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,IAMUser,AIDAFAKE001,"arn:aws:iam::111111111111:user/user01",111111111111,,,user01,,,,,,,,"us-east-1","34.201.10.1","Mozilla/5.0 Chrome/120.0",,,,"{""ConsoleLogin"":""Success""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,111111111111,,,,true,"tenant-001",,,,,"TLSv1.3","TLS_AES_128_GCM_SHA256","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"01/04/2025, 10:00:00.000","uuid-0002","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,IAMUser,AIDAFAKE002,"arn:aws:iam::111111111112:user/user02",111111111112,,,user02,,,,,,,,"us-west-2","52.10.20.2","Mozilla/5.0 Chrome/121.0",,,,"{""ConsoleLogin"":""Failure""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,111111111112,,,,true,"tenant-002",,,,,"TLSv1.3","TLS_AES_256_GCM_SHA384","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"01/04/2025, 11:00:00.000","uuid-0003","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,Root,111111111113,"arn:aws:iam::111111111113:root",111111111113,,,,,,,,,"eu-west-1","18.130.40.3","Mozilla/5.0 Chrome/122.0",,,,"{""ConsoleLogin"":""Success""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,111111111113,,,,true,"tenant-003",,,,,"TLSv1.3","TLS_AES_128_GCM_SHA256","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"02/04/2025, 09:00:00.000","uuid-0004","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,IAMUser,AIDAFAKE004,"arn:aws:iam::111111111114:user/user04",111111111114,,,user04,,,,,,,,"ap-south-1","13.233.45.4","Mozilla/5.0 Chrome/123.0",,,,"{""ConsoleLogin"":""Success""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,111111111114,,,,true,"tenant-004",,,,,"TLSv1.3","TLS_AES_256_GCM_SHA384","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"02/04/2025, 10:00:00.000","uuid-0005","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,IAMUser,AIDAFAKE005,"arn:aws:iam::111111111115:user/user05",111111111115,,,user05,,,,,,,,"eu-central-1","3.122.55.5","Mozilla/5.0 Chrome/124.0",,,,"{""ConsoleLogin"":""Failure""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,111111111115,,,,true,"tenant-005",,,,,"TLSv1.3","TLS_AES_128_GCM_SHA256","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"02/04/2025, 11:00:00.000","uuid-0006","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,IAMUser,AIDAFAKE006,"arn:aws:iam::111111111116:user/user06",111111111116,,,user06,,,,,,,,"us-east-2","18.216.66.6","Mozilla/5.0 Chrome/120.1",,,,"{""ConsoleLogin"":""Success""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,111111111116,,,,true,"tenant-006",,,,,"TLSv1.3","TLS_AES_256_GCM_SHA384","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"03/04/2025, 09:00:00.000","uuid-0007","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,IAMUser,AIDAFAKE007,"arn:aws:iam::111111111117:user/user07",111111111117,,,user07,,,,,,,,"ap-northeast-1","54.199.77.7","Mozilla/5.0 Chrome/121.1",,,,"{""ConsoleLogin"":""Success""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,111111111117,,,,true,"tenant-007",,,,,"TLSv1.3","TLS_AES_128_GCM_SHA256","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"03/04/2025, 10:00:00.000","uuid-0008","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,IAMUser,AIDAFAKE008,"arn:aws:iam::111111111118:user/user08",111111111118,,,user08,,,,,,,,"ap-southeast-1","18.141.88.8","Mozilla/5.0 Chrome/122.1",,,,"{""ConsoleLogin"":""Failure""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,111111111118,,,,true,"tenant-008",,,,,"TLSv1.3","TLS_AES_256_GCM_SHA384","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"03/04/2025, 11:00:00.000","uuid-0009","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,IAMUser,AIDAFAKE009,"arn:aws:iam::111111111119:user/user09",111111111119,,,user09,,,,,,,,"sa-east-1","18.231.99.9","Mozilla/5.0 Chrome/123.1",,,,"{""ConsoleLogin"":""Success""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,111111111119,,,,true,"tenant-009",,,,,"TLSv1.3","TLS_AES_128_GCM_SHA256","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"04/04/2025, 09:00:00.000","uuid-0010","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,IAMUser,AIDAFAKE010,"arn:aws:iam::222222222201:user/appuser01",222222222201,,,appuser01,,,,,,,,"us-east-1","44.201.10.10","Mozilla/5.0 Chrome/121.0",,,,"{""ConsoleLogin"":""Success""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,222222222201,,,,true,"tenant-010",,,,,"TLSv1.3","TLS_AES_128_GCM_SHA256","signin.aws.amazon.com",,,,,,,AWSCloudTrail
