AccountId,ActivityType,Arn,Description,Id,Partition,Region,ResourceDetails,SchemaVersion,ServiceDetails,Severity,SourceSystem,TenantId,TimeCreated,TimeGenerated,Title,Type
111122223333,Recon:EC2/PortProbeUnprotectedPort,arn:aws:guardduty:us-east-1:111122223333:detector/example/finding/finding-001,An EC2 instance has an unprotected port being probed.,finding-001,aws,us-east-1,"{""resourceType"":""Instance"",""instanceDetails"":{""instanceId"":""i-00000000000000001"",""networkInterfaces"":[{""privateIpAddress"":""10.0.1.10""}]}}",2.0,"{""count"":3,""archived"":false,""resourceRole"":""TARGET"",""action"":{""actionType"":""PORT_PROBE"",""portProbeAction"":{""portProbeDetails"":[{""remoteIpDetails"":{""ipAddressV4"":""198.51.100.10""}}]}}}",5,AWS,00000000-0000-0000-0000-000000000001,2026-08-25T10:00:00Z,2026-08-25T10:05:00Z,Unprotected port probe,AWSGuardDuty
111122223334,CredentialAccess:IAMUser/AnomalousBehavior,arn:aws:guardduty:us-west-2:111122223334:detector/example/finding/finding-002,An IAM user made anomalous API calls.,finding-002,aws,us-west-2,"{""resourceType"":""AccessKey"",""accessKeyDetails"":{""accessKeyId"":""AKIAEXAMPLE00000001"",""principalId"":""AIDAEXAMPLE00000001"",""userType"":""IAMUser"",""userName"":""sample-analyst""}}",2.0,"{""count"":1,""archived"":false,""resourceRole"":""ACTOR"",""action"":{""actionType"":""AWS_API_CALL"",""awsApiCallAction"":{""api"":""ListBuckets"",""remoteIpDetails"":{""ipAddressV4"":""198.51.100.20""}}}}",8,AWS,00000000-0000-0000-0000-000000000001,2026-08-26T11:00:00Z,2026-08-26T11:01:00Z,Anomalous IAM activity,AWSGuardDuty
111122223335,Backdoor:EC2/C&CActivity.B,arn:aws:guardduty:eu-west-1:111122223335:detector/example/finding/finding-003,An instance communicated with a suspected command and control server.,finding-003,aws,eu-west-1,"{""resourceType"":""Instance"",""instanceDetails"":{""instanceId"":""i-00000000000000003"",""networkInterfaces"":[{""privateIpAddress"":""10.0.3.10""}]}}",2.0,"{""count"":4,""archived"":false,""resourceRole"":""ACTOR"",""action"":{""actionType"":""NETWORK_CONNECTION"",""networkConnectionAction"":{""remoteIpDetails"":{""ipAddressV4"":""203.0.113.30""}}}}",9,AWS,00000000-0000-0000-0000-000000000001,2026-08-27T12:00:00Z,2026-08-27T12:10:00Z,Command and control activity,AWSGuardDuty
111122223336,Policy:S3/BucketBlockPublicAccessDisabled,arn:aws:guardduty:ap-southeast-1:111122223336:detector/example/finding/finding-004,Public access protections were disabled for an S3 bucket.,finding-004,aws,ap-southeast-1,"{""resourceType"":""S3Bucket"",""s3BucketDetails"":[{""name"":""sample-security-bucket-004"",""arn"":""arn:aws:s3:::sample-security-bucket-004""}]}",2.0,"{""count"":1,""archived"":false,""resourceRole"":""TARGET"",""action"":{""actionType"":""AWS_API_CALL"",""awsApiCallAction"":{""api"":""PutPublicAccessBlock"",""remoteIpDetails"":{""ipAddressV4"":""192.0.2.40""}}}}",4,AWS,00000000-0000-0000-0000-000000000001,2026-08-28T13:00:00Z,2026-08-28T13:00:30Z,S3 public access protection disabled,AWSGuardDuty
111122223337,Execution:Runtime/NewBinaryExecuted,arn:aws:guardduty:us-east-2:111122223337:detector/example/finding/finding-005,A newly created binary was executed in a container.,finding-005,aws,us-east-2,"{""resourceType"":""Container"",""containerDetails"":{""id"":""container-0005"",""name"":""sample-api-container""}}",2.0,"{""count"":2,""archived"":false,""resourceRole"":""TARGET"",""action"":{""actionType"":""RUNTIME_MONITORING""}}",7,AWS,00000000-0000-0000-0000-000000000001,2026-08-29T14:00:00Z,2026-08-29T14:02:00Z,New binary executed in container,AWSGuardDuty
111122223338,Discovery:Kubernetes/SuccessfulAnonymousAccess,arn:aws:guardduty:eu-central-1:111122223338:detector/example/finding/finding-006,Anonymous access to a Kubernetes workload succeeded.,finding-006,aws,eu-central-1,"{""resourceType"":""KubernetesCluster"",""kubernetesDetails"":{""kubernetesWorkloadDetails"":{""uid"":""workload-0006"",""name"":""sample-web-pod""},""kubernetesUserDetails"":{""uid"":""user-0006"",""username"":""system:anonymous""}}}",2.0,"{""count"":1,""archived"":false,""resourceRole"":""TARGET"",""action"":{""actionType"":""KUBERNETES_API_CALL""}}",6,AWS,00000000-0000-0000-0000-000000000001,2026-08-30T15:00:00Z,2026-08-30T15:00:10Z,Anonymous Kubernetes access,AWSGuardDuty
111122223339,CryptoCurrency:ECSCluster/BitcoinTool.B,arn:aws:guardduty:us-west-1:111122223339:detector/example/finding/finding-007,An ECS cluster workload communicated with a cryptocurrency endpoint.,finding-007,aws,us-west-1,"{""resourceType"":""ECSCluster"",""ecsClusterDetails"":{""arn"":""arn:aws:ecs:us-west-1:111122223339:cluster/sample-cluster-007"",""name"":""sample-cluster-007""}}",2.0,"{""count"":5,""archived"":false,""resourceRole"":""ACTOR"",""action"":{""actionType"":""NETWORK_CONNECTION"",""networkConnectionAction"":{""remoteIpDetails"":{""ipAddressV4"":""203.0.113.70""}}}}",8,AWS,00000000-0000-0000-0000-000000000001,2026-08-31T16:00:00Z,2026-08-31T16:15:00Z,Cryptocurrency activity in ECS,AWSGuardDuty
111122223340,CredentialAccess:RDS/AnomalousLogin.Successful,arn:aws:guardduty:ca-central-1:111122223340:detector/example/finding/finding-008,An anomalous database login succeeded.,finding-008,aws,ca-central-1,"{""resourceType"":""RDSDBInstance"",""rdsDbInstanceDetails"":{""dbInstanceIdentifier"":""sample-db-008"",""dbInstanceArn"":""arn:aws:rds:ca-central-1:111122223340:db:sample-db-008""},""rdsDbUserDetails"":{""user"":""sample_db_user""}}",2.0,"{""count"":1,""archived"":false,""resourceRole"":""TARGET"",""action"":{""actionType"":""RDS_LOGIN_ATTEMPT""}}",7,AWS,00000000-0000-0000-0000-000000000001,2026-09-01T09:00:00Z,2026-09-01T09:00:05Z,Anomalous RDS login,AWSGuardDuty
111122223341,Trojan:Lambda/BlackholeTraffic,arn:aws:guardduty:ap-northeast-1:111122223341:detector/example/finding/finding-009,A Lambda function communicated with a known blackhole address.,finding-009,aws,ap-northeast-1,"{""resourceType"":""Lambda"",""lambdaDetails"":{""functionName"":""sample-function-009"",""functionArn"":""arn:aws:lambda:ap-northeast-1:111122223341:function:sample-function-009""}}",2.0,"{""count"":2,""archived"":true,""resourceRole"":""ACTOR"",""action"":{""actionType"":""NETWORK_CONNECTION"",""networkConnectionAction"":{""remoteIpDetails"":{""ipAddressV4"":""192.0.2.90""}}}}",2,AWS,00000000-0000-0000-0000-000000000001,2026-09-01T17:00:00Z,2026-09-01T17:30:00Z,Lambda blackhole traffic,AWSGuardDuty
111122223342,Impact:RDSLimitlessDB/SuspiciousActivity,arn:aws-us-gov:guardduty:us-gov-west-1:111122223342:detector/example/finding/finding-010,Suspicious activity affected an RDS Limitless Database shard group.,finding-010,aws-us-gov,us-gov-west-1,"{""resourceType"":""RDSLimitlessDB"",""rdsLimitlessDbDetails"":{""dbShardGroupIdentifier"":""sample-shard-group-010"",""dbShardGroupArn"":""arn:aws-us-gov:rds:us-gov-west-1:111122223342:shard-group:sample-shard-group-010""}}",2.0,"{""count"":1,""archived"":false,""resourceRole"":""TARGET"",""action"":{""actionType"":""AWS_API_CALL"",""awsApiCallAction"":{""api"":""ModifyDBShardGroup"",""remoteIpDetails"":{""ipAddressV4"":""198.51.100.100""}}}}",10,AWS,00000000-0000-0000-0000-000000000001,2026-09-02T18:00:00Z,2026-09-02T18:00:20Z,RDS Limitless DB suspicious activity,AWSGuardDuty
