TenantId,TimeGenerated [Local Time],DeviceVendor,DeviceProduct,DeviceVersion,DeviceEventClassID,Activity,LogSeverity,OriginalLogSeverity,AdditionalExtensions,DeviceAction,ApplicationProtocol,EventCount,DestinationDnsDomain,DestinationServiceName,DestinationTranslatedAddress,DestinationTranslatedPort,CommunicationDirection,DeviceDnsDomain,DeviceExternalID,DeviceFacility,DeviceInboundInterface,DeviceNtDomain,DeviceOutboundInterface,DevicePayloadId,ProcessName,DeviceTranslatedAddress,DestinationHostName,DestinationMACAddress,DestinationNTDomain,DestinationProcessId,DestinationUserPrivileges,DestinationProcessName,DestinationPort,DestinationIP,DeviceTimeZone,DestinationUserID,DestinationUserName,DeviceAddress,DeviceName,DeviceMacAddress,ProcessID,EndTime [Local Time],ExternalID,ExtID,FileCreateTime,FileHash,FileID,FileModificationTime,FilePath,FilePermission,FileType,FileName,FileSize,ReceivedBytes,Message,OldFileCreateTime,OldFileHash,OldFileID,OldFileModificationTime,OldFileName,OldFilePath,OldFilePermission,OldFileSize,OldFileType,SentBytes,EventOutcome,Protocol,Reason,RequestURL,RequestClientApplication,RequestContext,RequestCookies,RequestMethod,ReceiptTime,SourceHostName,SourceMACAddress,SourceNTDomain,SourceDnsDomain,SourceServiceName,SourceTranslatedAddress,SourceTranslatedPort,SourceProcessId,SourceUserPrivileges,SourceProcessName,SourcePort,SourceIP,StartTime [Local Time],SourceUserID,SourceUserName,EventType,DeviceEventCategory,DeviceCustomIPv6Address1,DeviceCustomIPv6Address1Label,DeviceCustomIPv6Address2,DeviceCustomIPv6Address2Label,DeviceCustomIPv6Address3,DeviceCustomIPv6Address3Label,DeviceCustomIPv6Address4,DeviceCustomIPv6Address4Label,DeviceCustomFloatingPoint1,DeviceCustomFloatingPoint1Label,DeviceCustomFloatingPoint2,DeviceCustomFloatingPoint2Label,DeviceCustomFloatingPoint3,DeviceCustomFloatingPoint3Label,DeviceCustomFloatingPoint4,DeviceCustomFloatingPoint4Label,DeviceCustomNumber1,FieldDeviceCustomNumber1,DeviceCustomNumber1Label,DeviceCustomNumber2,FieldDeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomNumber3,FieldDeviceCustomNumber3,DeviceCustomNumber3Label,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString2,DeviceCustomString2Label,DeviceCustomString3,DeviceCustomString3Label,DeviceCustomString4,DeviceCustomString4Label,DeviceCustomString5,DeviceCustomString5Label,DeviceCustomString6,DeviceCustomString6Label,DeviceCustomDate1,DeviceCustomDate1Label,DeviceCustomDate2,DeviceCustomDate2Label,FlexDate1,FlexDate1Label,FlexNumber1,FlexNumber1Label,FlexNumber2,FlexNumber2Label,FlexString1,FlexString1Label,FlexString2,FlexString2Label,RemoteIP,RemotePort,MaliciousIP,ThreatSeverity,IndicatorThreatType,ThreatDescription,ThreatConfidence,ReportReferenceLink,MaliciousIPLongitude,MaliciousIPLatitude,MaliciousIPCountry,Computer,SourceSystem,SimplifiedDeviceAction,CollectorHostName,Type,_ResourceId,_ItemId
1a0e2567-2e58-4989-ad18-206108185325,"8/24/2023, 1:06:13 PM",Citrix,NetScaler,NS11.0,APPFW,APPFW_SQL,6,,geolocation=Unknown;method=POST,blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Keyword check failed for field text_area=('),,,,,,,,,,,,,,http://aaron.stratum8.net/FFC/login_post.php,,,,,,,,,,,,,,,,9459,10.217.253.62,,,,,,,,,,,,,,,,,,,,,,,78,,,834,,,,,pr_ffc,,PPE1,,eVJMMPtZ2XgylGrHjkx3rZLfBCI0002,,ALERT,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,localhost,OpsManager,blocked,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba6
1a0e2567-2e58-4989-ad18-206108185325,"8/24/2023, 1:17:05 PM",Citrix,NetScaler,NS11.0,APPFW,**APPFW_cross-site scripting**,6,,"geolocation=Unknown;method=GET;abc=\""Bad tag: def""**",**not blocked**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,**Cross-site script check failed for field,,,,,,,,,,,,,,http://aaron.stratum8.net/FFC/CreditCardMind.html?abc=%3Cdef%3E,,,,,,,,,,,,,,,,4840,10.217.253.62,,,,,,,,,,,,,,,,,,,,,,,133,,,294,,,,,pr_ffc,,PPE1,,eUljypvLa0BbabwfGVE52Sewg9U0001,,ALERT,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,localhost,OpsManager,**not blocked**,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba6
1a0e2567-2e58-4989-ad18-206108185325,"8/24/2023, 2:51:03 PM",Citrix,NetScaler,NS11.0,APPFW,**APPFW_BUFFEROVERFLOW_COOKIE**,6,,geolocation=Unknown;method=GET,**not blocked**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,**Cookie header length(43) is greater than maximum allowed(16).**,,,,,,,,,,,,,,http://aaron.stratum8.net/FFC/sc11.html ,,,,,,,,,,,,,,,,41198,10.217.253.62,,,,,,,,,,,,,,,,,,,,,,,119,,,465,,,,,owa_profile,,PPE1,,wvOOOb+cJ2ZRbstZpyeNXIqLj7Y0001,,ALERT,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,localhost,OpsManager,**not blocked**,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba6
1a0e2567-2e58-4989-ad18-206108185325,"8/24/2023, 12:56:03 PM",Citrix,NetScaler,NS11.0,APPFW,APPFW_SQL,6,,geolocation=Unknown;method=GET,transformed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Special characters seen in fields,,,,,,,,,,,,,,http://aaron.stratum8.net/FFC/login.php?login_name=%27+or&passwd=and+%3B&drinking_pref=on&text_area=select+*+from+%5C+%3B&loginButton=ClickToLogin&as_sfid=AAAAAAXjnGN5gLH-hvhTOpIySEIqES7BjFRs5Mq0fwPp-3ZHDi5yWlRWByj0cVbMyy-Ens2vaaiULKOcUri4OD4kbXWwSY5s7I3QkDsrvIgCYMC9BMvBwY2wbNcSqCwk52lfE0k%3D&as_fid=feeec8758b41740eedeeb6b35b85dfd3d5def30c,,,,,,,,,,,,,,,,54001,10.217.253.62,,,,,,,,,,,,,,,,,,,,,,,74,,,762,,,,,pr_ffc,,PPE1,,9ztIlf9p1H7p6Xtzn6NMygTv/QM0002,,ALERT,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,localhost,OpsManager,transformed,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba7
1a0e2567-2e58-4989-ad18-206108185325,"8/24/2023, 1:18:11 PM",Citrix,NetScaler,NS11.0,APPFW,**APPFW_cross-site scripting**,6,,geolocation=Unknown;method=GET;abc=\'Bad tag: def'**,**not blocked**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,**Cross-site script check failed for field,,,,,,,,,,,,,,http://aaron.stratum8.net/FFC/CreditCardMind.html?abc=%3Cdef%3E,,,,,,,,,,,,,,,,4840,10.217.253.62,,,,,,,,,,,,,,,,,,,,,,,133,,,294,,,,,pr_ffc,,PPE1,,eUljypvLa0BbabwfGVE52Sewg9U0001,,ALERT,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,localhost,OpsManager,**not blocked**,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba8
1a0e2567-2e58-4989-ad18-206108185325,"8/24/2023, 3:04:22 PM",Citrix,NetScaler,NS11.0,APPFW,**APPFW_BUFFEROVERFLOW_URL**,6,,geolocation=Unknown;method=GET,**not blocked**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,**URL length(39) is greater than maximum allowed(20).**,,,,,,,,,,,,,,http://aaron.stratum8.net/FFC/sc11.html,,,,,,,,,,,,,,,,19171,10.217.253.62,,,,,,,,,,,,,,,,,,,,,,,707,,,402,,,,,owa_profile,,PPE0,,kW49GcKbnwKByByi3+jeNzfgWa80000,,ALERT,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,localhost,OpsManager,**not blocked**,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba9
1a0e2567-2e58-4989-ad18-206108185325,"8/22/2023, 10:48:57 AM",Citrix,NetScaler,NS11.0,APPFW,APPFW_XML_cross-site scripting,4,,geolocation=Unknown;method=GET;script=Bad tag: script,**not blocked**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cross-site script check failed for field,,,,,,,,,,,,,,http://10.217.31.101/FFC/login.html,,,,,,,,,,,,,,,,33141,10.217.30.17,,,,,,,,,,,,,,,,,,,,,,,1607,,,3538,,,,,owa_profile,,PPE0,,,,ERROR,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,localhost,OpsManager,**not blocked**,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba11
1a0e2567-2e58-4989-ad18-206108185325,"8/23/2023, 10:37:03 AM",Citrix,NetScaler,NS10.0,APPFW,APPFW_SAFECOMMERCE,6,,method=GET,transformed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Maximum no. of potential credit card numbers seen,,,,,,,,,,,,,,http://vpx247.example.net/FFC/CreditCardMind.html,,,,,,,,,,,,,,,,56116,10.217.253.78,,,,,,,,,,,,,,,,,,,,,,,653,,,610,,,,,pr_ffc,,PPE0,,li8MdGfW49uG8tGdSV85ech41a0A000,,ALERT,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,localhost,OpsManager,transformed,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba12
1a0e2567-2e58-4989-ad18-206108185325,"8/23/2023, 10:37:36 AM",Citrix,NetScaler,NS10.0,APPFW,APPFW_SIGNATURE_MATCH,6,,method=GET,not blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Signature violation rule ID 807: web-cgi /wwwboard/passwd.txt access,,,,,,,,,,,,,,http://vpx247.example.net/FFC/wwwboard/passwd.txt,,,,,,,,,,,,,,,,56687,10.217.253.78,,,,,,,,,,,,,,,,,,,,,,,224,,,205,,,,,pr_ffc,,PPE0,,POousP7CIMW5nwZ5Rs4nq5DND0sA000,,ALERT,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,localhost,OpsManager,not blocked,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba13
1a0e2567-2e58-4989-ad18-206108185325,"8/23/2023, 3:41:41 PM",Citrix,NetScaler,NS11.0,APPFW,APPFW_SIGNATURE_MATCH,6,,method=GET,blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Signature violation rule ID 807: web-cgi /wwwboard/passwd.txt access ,,,,,,,,,,,,,,http://aaron.stratum8.net/FFC/wwwboard/passwd.txt,,,,,,,,,,,,,,,,61141,10.217.253.62,,,,,,,,,,,,,,,,,,,,,,,140,,,841,,,,,pr_ffc,,PPE0,,OyTgjbXBqcpBFeENKDlde3OkMQ00001,,ALERT,,2015,,web-cgi,,,,,,,,,,,,,,,,,,,,,,,,,,,localhost,OpsManager,blocked,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba14
