ColumnName,ColumnOrdinal,DataType,ColumnType
TimeGenerated,0,"System.DateTime",datetime
EventCount,1,"System.Int32",int
EventSchema,2,"System.String",string
EventProduct,3,"System.String",string
EventVendor,4,"System.String",string
EventSchemaVersion,5,"System.String",string
EventStartTime,6,"System.DateTime",datetime
EventEndTime,7,"System.DateTime",datetime
Organization,8,"System.String",string
Actor,9,"System.String",string
Operation,10,"System.String",string
User,11,"System.String",string
EventResultDetails,12,"System.String",string
EventUid,13,"System.String",string
EventOriginalResultDetails,14,"System.String",string
EventResult,15,"System.String",string
EventType,16,"System.String",string
