TenantId,SourceSystem,"TimeGenerated [UTC]",Computer,"EventTime [UTC]",Facility,HostName,SeverityLevel,SyslogMessage,ProcessID,HostIP,ProcessName,MG,CollectorHostName,Type,"_ResourceId",EventOriginalType
"",Linux,"7/7/2023, 2:07:19.804 PM",demoise000,"6/29/2023, 6:37:32.000 AM",local7,demoise000,notice,"37:32.958 +00:00 0137489632 51102 NOTICE User change password: Invalid new password. Too many repeating characters, ConfigVersionId=375, Device IP Address=10.10.10.10, UserName=iseuser, RequestLatency=19, NetworkDeviceName=DEMOISEWS00, AuthenticationIdentityStore=ISEUsers, IdentityGroup=User Identity Groups:All Groups:IG_FULLADMIN, Step=13013",,"Unknown IP","CISE_Administrative_and_Operatio","00000000-0000-0000-0000-000000000002",,Syslog,,51102
"",Linux,"7/7/2023, 2:07:19.808 PM",demoise000,"6/29/2023, 6:37:32.000 AM",local7,demoise000,notice,"37:32.958 +00:00 0137489632 51103 NOTICE User change password: Invalid new password. Missing required character type, ConfigVersionId=375, Device IP Address=10.10.10.10, UserName=iseuser, RequestLatency=19, NetworkDeviceName=DEMOWS00, AuthenticationIdentityStore=ISEUsers, IdentityGroup=User Identity Groups:All Groups:IG_FULLADMIN, Step=13013",,"Unknown IP","CISE_Administrative_and_Operatio","00000000-0000-0000-0000-000000000002",,Syslog,,51103
"",Linux,"7/7/2023, 2:07:19.812 PM",demoise000,"6/29/2023, 6:37:32.000 AM",local7,demoise000,notice,"37:32.958 +00:00 0137489632 58019 NOTICE System-Management: ISE administrator password reset, ConfigVersionId=375, Device IP Address=10.10.10.10, UserName=admin, RequestLatency=19, NetworkDeviceName=ADDEMOWS00, AuthenticationIdentityStore=Admins, IdentityGroup=User Identity Groups:All Groups:IG_FULLADMIN, Step=13013",,"Unknown IP","CISE_Administrative_and_Operatio","00000000-0000-0000-0000-000000000002",,Syslog,,58019
"",Linux,"7/7/2023, 2:07:19.816 PM",demoise000,"6/29/2023, 6:37:32.000 AM",local7,demoise000,notice,"37:32.958 +00:00 0137489632 60460 INFO System-Management: Account disabled due to inactivity, ConfigVersionId=375, Device IP Address=10.10.10.10, UserName=isemanager, RequestLatency=19, NetworkDeviceName=ADDEMOWS00, Remote-Address=10.1.252.35, AuthenticationIdentityStore=Managers, IdentityGroup=User Identity Groups:All Groups:ISE_FULLREAD",,"Unknown IP","CISE_Administrative_and_Operatio","00000000-0000-0000-0000-000000000002",,Syslog,,60460
"",Linux,"7/7/2023, 2:07:19.820 PM",1.1.1.1,"6/29/2023, 6:37:32.000 AM",local7,demoise000,notice,"37:32.958 +00:00 0137489632 10014 INFO AAC: Admin account set to change password on next login, ConfigVersionId=375, Device IP Address=10.10.10.10, Device Port=58936, DestinationIPAddress=10.174.211.40, DestinationPort=49, UserName=admin, RequestLatency=19, NetworkDeviceName=ADDEMOWS00, User=iseadmin, Remote-Address=10.1.252.35, AuthenticationIdentityStore=Admins, IdentityGroup=User Identity Groups:All Groups:IG_FULLADMIN, Step=13013 Step=15049, Step=15008, Step=15048, Step=15048, Step=15041, Step=15013, Step=24210, Step=24212",,"Unknown IP","CISE_Administrator_Authenticatio","00000000-0000-0000-0000-000000000002",,Syslog,,10014
"",Linux,"7/7/2023, 2:07:19.823 PM",demoise000,"6/29/2023, 6:37:32.000 AM",local7,demoise000,notice,"37:32.958 +00:00 4396320005 86008 INFO Guest: Guest user account is deleted, ConfigVersionId=235, Device IP Address=10.10.10.10, UserName=iseguestuser, RequestLatency=19, NetworkDeviceName=ISEDEMO000, AuthenticationIdentityStore=GUEST Users, Step=13013",,"Unknown IP","CISE_Guest","00000000-0000-0000-0000-000000000002",,Syslog,,86008
"",Linux,"7/7/2023, 2:07:19.827 PM",demoise000,"6/29/2023, 6:37:32.000 AM",local7,demoise000,notice,"37:32.958 +00:00 4296210006 24064 WARN External-LDAP: The user doesn't have sufficient rights to change password, ConfigVersionId=235, Device IP Address=10.10.10.10, UserName=iseuser, RequestLatency=19, NetworkDeviceName=CSCOISE, AuthenticationIdentityStore=Internal Users, FailureReason=24064 The user doesn't have sufficient rights to change password, Step=13013",,"Unknown IP","CISE_Identity_Stores_Diagnostics","00000000-0000-0000-0000-000000000002",,Syslog,,24064
"",Linux,"7/7/2023, 2:07:19.831 PM",demoise000,"6/29/2023, 6:37:32.000 AM",local7,demoise000,notice,"37:32.958 +00:00 4296210007 24347 ERROR External-Active-Directory: Account disabled, ConfigVersionId=235, Device IP Address=10.10.10.10, UserName=demoiseuser, RequestLatency=19, NetworkDeviceName=CSCOISE, AuthenticationIdentityStore=Internal Users, Step=13013",,"Unknown IP","CISE_Identity_Stores_Diagnostics","00000000-0000-0000-0000-000000000002",,Syslog,,24347
"",Linux,"7/7/2023, 2:07:19.834 PM",demoise000,"6/29/2023, 6:37:32.000 AM",local7,demoise000,notice,"37:32.958 +00:00 4296210008 24348 ERROR External-Active-Directory: Account locked, ConfigVersionId=235, Device IP Address=10.10.10.10, UserName=iseuser, RequestLatency=19, NetworkDeviceName=CSCOISE, AuthenticationIdentityStore=Internal Users, Step=13013",,"Unknown IP","CISE_Identity_Stores_Diagnostics","00000000-0000-0000-0000-000000000002",,Syslog,,24348
"",Linux,"7/7/2023, 2:07:19.837 PM",1.1.1.1,"6/29/2023, 6:37:32.000 AM",local7,demoise000,notice,"37:32.958 +00:00 4296210009 24370 ERROR External-Active-Directory: User credentials have been revoked., ConfigVersionId=235, Device IP Address=10.10.10.10, UserName=iseuser, RequestLatency=19, NetworkDeviceName=CSCOISE, AuthenticationIdentityStore=Internal Users, Step=13013",,"Unknown IP","CISE_Identity_Stores_Diagnostics","00000000-0000-0000-0000-000000000002",,Syslog,,24370
"",Linux,"7/7/2023, 2:07:19.841 PM",demoise000,"6/29/2023, 6:37:32.000 AM",local7,demoise000,notice,"37:32.958 +00:00 4296210010 33108 INFO CLI: Reset admin password to its default value, ConfigVersionId=235, Device IP Address=10.181.31.12, UserName=admin, RequestLatency=19, NetworkDeviceName=CSCOISE, AuthenticationIdentityStore=Internal Users, Step=13013",,"Unknown IP","CISE_Internal_Operations_Diagnos","00000000-0000-0000-0000-000000000002",,Syslog,,33108
"",Linux,"7/7/2023, 2:07:19.845 PM",demoise000,"6/29/2023, 6:37:32.000 AM",local7,demoise000,notice,"37:32.958 +00:00 4296210011 33108 INFO CLI: Reset admin password to its default value, ConfigVersionId=235, Device IP Address=10.128.21.62, UserName=iseadmin, RequestLatency=19, NetworkDeviceName=CSCOISE, AuthenticationIdentityStore=Internal Users, Step=13013",,"Unknown IP","CISE_Internal_Operations_Diagnos","00000000-0000-0000-0000-000000000002",,Syslog,,33108
"",Linux,"7/7/2023, 2:07:19.850 PM",demoise000,"6/29/2023, 6:37:32.000 AM",local7,demoise000,notice,"37:32.958 +00:00 0121429621 5204 NOTICE Passed-Authentication: Change password succeeded, ConfigVersionId=110, Device IP Address=10.19.54.40, DestinationIPAddress=10.47.95.16, DestinationPort=49, UserName=ise, Protocol=Tacacs, RequestLatency=21, NetworkDeviceName=ISEWS01, Type=Authentication, Action=Login, Privilege-Level=1, Authen-Type=ASCII, Service=Login, User=ise, Port=, Remote-Address=10.189.133.44, NetworkDeviceProfileId=b0aaff05-4321-c984-d21e-67abc219f56c, AcsSessionID=demoise000/345833857/32459531, AuthenticationIdentityStore=Internal Users, AuthenticationMethod=PAP_ASCII, SelectedAccessService=AllowedProtocols_Device, SelectedShellProfile=ISE_Full, IdentityGroup=User Identity Groups:All Groups:ISE_USERS, Step=13013 Step=15049, Step=15008, Step=15048, Step=15048, Step=15041, Step=15013, Step=13045, Step=13015, Step=13014, Step=15041, Step=15013, Step=24210, Step=24212, Step=22037",,"Unknown IP","CISE_Passed_Authentications","00000000-0000-0000-0000-000000000002",,Syslog,,5204
