"TimeGenerated [UTC]",EventCount,EventProduct,EventVendor,EventSchema,EventSchemaVersion,EventUid,Actor,"EventStartTime [UTC]",EventOriginalResultDetails,EventResult,EventType
"3/26/2024, 5:33:15.806 AM",1,Github,Microsoft,Authentication,"0.1.3","FpmfFy7BlV_BRVzeuBc3Ww",siteshjha11,"4/2/2024, 12:52:48.075 PM","user.login",Success,logon
"3/26/2024, 5:33:15.753 AM",1,Github,Microsoft,Authentication,"0.1.3","gHIXiVxZo6fMOY-lNlCmoQ",siteshjha11,"4/2/2024, 12:52:48.075 PM","user.two_factor_challenge_success",Success,logon
"3/26/2024, 5:32:57.229 AM",1,Github,Microsoft,Authentication,"0.1.3","p-6R121I85MXmIKqcPTYaA",siteshjha11,"4/2/2024, 12:52:48.075 PM","user.two_factor_challenge_failure",Failure,logon
"3/26/2024, 5:32:53.871 AM",1,Github,Microsoft,Authentication,"0.1.3",8jkOSQZtgh6pREt4b8nmFw,siteshjha11,"4/2/2024, 12:52:48.075 PM","user.two_factor_requested",Success,logon
"3/26/2024, 5:32:36.552 AM",1,Github,Microsoft,Authentication,"0.1.3",Jd7UDMw7IllV6Jq5Ll4DZg,siteshjha11,"4/2/2024, 12:52:48.075 PM","user.logout",Success,logoff
"3/26/2024, 4:28:34.744 AM",1,Github,Microsoft,Authentication,"0.1.3",znW6O0cfm4AAhrDbBn3Nbg,siteshjha11,"4/2/2024, 12:52:48.075 PM","user.two_factor_recovery_codes_downloaded",NA,logon
"3/24/2024, 3:02:48.949 PM",1,Github,Microsoft,Authentication,"0.1.3","wNsvewzT9hQ_oTUQK6p8PQ",siteshjha11,"4/2/2024, 12:52:48.075 PM","user.login",Success,logon
"3/24/2024, 3:02:32.634 PM",1,Github,Microsoft,Authentication,"0.1.3",qe87HtUi6iTtw9ZNiZw3NQ,siteshjha11,"4/2/2024, 12:52:48.075 PM","user.logout",Success,logoff
"3/13/2024, 5:04:11.730 PM",1,Github,Microsoft,Authentication,"0.1.3","KwImUYvcRNR9d-eByFyBRg",siteshjha11,"4/2/2024, 12:52:48.075 PM","user.login",Success,logon
"3/13/2024, 5:04:11.716 PM",1,Github,Microsoft,Authentication,"0.1.3","5vz-ZxJx9Se9WOJDrgcQwQ",siteshjha11,"4/2/2024, 12:52:48.075 PM","user.sign_in_from_unrecognized_device",NA,logon
"3/13/2024, 5:03:12.604 PM",1,Github,Microsoft,Authentication,"0.1.3","9VrWHdPhUsQ1-fSB7EyXvQ",siteshjha11,"4/2/2024, 12:52:48.075 PM","user.failed_login",Failure,logon
"3/13/2024, 7:21:40.525 AM",1,Github,Microsoft,Authentication,"0.1.3",8v43v9ooa5ZqL90eCpjVNQ,siteshjha11,"4/2/2024, 12:52:48.075 PM","user.login",Success,logon
"3/13/2024, 7:21:28.105 AM",1,Github,Microsoft,Authentication,"0.1.3",cKxUvW8EnRhI13yVkMsZGg,siteshjha11,"4/2/2024, 12:52:48.075 PM","user.logout",Success,logoff
"2/9/2024, 12:06:46.468 PM",1,Github,Microsoft,Authentication,"0.1.3",0eMrQ5rFmtVAJSwXqQFBPw,siteshjha11,"4/2/2024, 12:52:48.075 PM","user.device_verification_success",Success,logon
"2/9/2024, 12:06:46.409 PM",1,Github,Microsoft,Authentication,"0.1.3",0Cg3WNzjhd0p1lxVupvCUg,siteshjha11,"4/2/2024, 12:52:48.075 PM","user.login",Success,logon
"2/9/2024, 12:06:24.449 PM",1,Github,Microsoft,Authentication,"0.1.3","K1qH9hufogUQ3B8I2C-PBw",siteshjha11,"4/2/2024, 12:52:48.075 PM","user.device_verification_requested",NA,logon
"2/9/2024, 12:06:04.747 PM",1,Github,Microsoft,Authentication,"0.1.3",QBbQvOpdVLZgA422QjGw2A,siteshjha11,"4/2/2024, 12:52:48.075 PM","user.reset_password",Success,logon
"2/9/2024, 12:02:47.952 PM",1,Github,Microsoft,Authentication,"0.1.3",gBL22EYZHlx5V00Lmct03w,,"4/2/2024, 12:52:48.075 PM","user.forgot_password",Success,logon
"2/9/2024, 12:02:12.015 PM",1,Github,Microsoft,Authentication,"0.1.3",0Z0YUPsFj3hsG1mkdT7IIw,siteshjha11,"4/2/2024, 12:52:48.075 PM","user.failed_login",Failure,logon
"1/29/2024, 4:05:19.934 PM",1,Github,Microsoft,Authentication,"0.1.3",7FyFP9ZKisW7vBe9gn2ryA,siteshjha11,"4/2/2024, 12:52:48.075 PM","user.failed_login",Failure,logon
"1/29/2024, 4:05:09.291 PM",1,Github,Microsoft,Authentication,"0.1.3",VvUt2zC9HP2gJycSz53i5A,siteshjha11,"4/2/2024, 12:52:48.075 PM","user.failed_login",Failure,logon
"11/27/2023, 6:18:46.381 AM",1,Github,Microsoft,Authentication,"0.1.3","VXU_NcWj_aBxWzT3w80tYQ",siteshjha11,"4/2/2024, 12:52:48.075 PM","user.device_verification_success",Success,logon
"11/27/2023, 6:18:46.337 AM",1,Github,Microsoft,Authentication,"0.1.3","_YeAf8Dwwg-51esR-chjyQ",siteshjha11,"4/2/2024, 12:52:48.075 PM","user.login",Success,logon
"11/27/2023, 6:18:46.315 AM",1,Github,Microsoft,Authentication,"0.1.3",YgFl4cx0X5oEAROwi8TGwQ,siteshjha11,"4/2/2024, 12:52:48.075 PM","user.sign_in_from_unrecognized_device",NA,logon
"11/27/2023, 6:18:30.243 AM",1,Github,Microsoft,Authentication,"0.1.3",e2LF3nsrfD18a2091vahFQ,siteshjha11,"4/2/2024, 12:52:48.075 PM","user.device_verification_requested",NA,logon
"11/27/2023, 6:18:25.223 AM",1,Github,Microsoft,Authentication,"0.1.3",piPYoxXoPoyHHBLVbekMYQ,siteshjha11,"4/2/2024, 12:52:48.075 PM","user.failed_login",Failure,logon
