"action_s","TimeGenerated [UTC]",TenantId,SourceSystem,MG,ManagementGroupName,Computer,RawData,"modload_md5_s","fileless_scriptload_hash_s","fileless_scriptload_cmdline_length_d","fileless_scriptload_cmdline_s","scriptload_hash_s","scriptload_content_length_d","scriptload_content_s","incidentId_g","alert_id_g","securityEventCode_g","process_fork_pid_d","scriptload_effective_reputation_s","scriptload_publisher_s","scriptload_count_d","scriptload_reputation_s","scriptload_name_s","childproc_publisher_s","crossproc_name_s","crossproc_hash_s","crossproc_guid_s","crossproc_action_s","crossproc_publisher_s","crossproc_target_b","crossproc_reputation_s","process_publisher_s","filemod_name_s","filemod_hash_s","netconn_community_id_s","modload_md5_g","modload_publisher_s","modload_hash_s","modload_effective_reputation_s","modload_name_s","modload_sha256_s","modload_count_d","process_duration_d","crossproc_api_s","regmod_name_s","target_cmdline_s","childproc_username_s","childproc_pid_d","childproc_name_s","childproc_reputation_s","childproc_guid_s","childproc_hash_s","processDetails_targetCommandLine_s","local_ip_s","parent_reputation_s","netconn_inbound_b","createTime_s","eventTime_s","process_username_s","processDetails_parentName_s","type_s","device_name_s","process_path_s","event_origin_s","longDescription_s","parent_cmdline_s","processDetails_fullUserName_s","parent_pid_d","parent_path_s","backend_timestamp_s","device_external_ip_s","device_os_s","processDetails_parentPid_d","deviceDetails_deviceIpAddress_s","parent_hash_s","local_port_d","deviceDetails_msmGroupName_s","deviceDetails_deviceName_s","device_group_s","sensor_action_s","org_key_s","remote_ip_s","processDetails_processId_d","event_description_s","process_terminated_b","processDetails_commandLine_s","event_id_g","device_timestamp_s","deviceDetails_deviceType_s","process_cmdline_s","deviceDetails_deviceId_s","shortDescription_s","process_hash_s","process_guid_s","device_id_s","netconn_protocol_s","schema_d","eventType_s","remote_port_d","processDetails_parentCommandLine_s","eventId_g","process_reputation_s","netFlow_peerFqdn_s","netconn_domain_s","deviceDetails_deviceIpV4Address_s","process_pid_d","parent_guid_s","netFlow_peerIpAddress_s",Type,"_ResourceId"
"ACTION_FILE_CREATE | ACTION_FILE_DELETE | ACTION_FILE_MOD_OPEN | ACTION_FILE_OPEN_READ | ACTION_FILE_OPEN_WRITE","8/9/2023, 2:48:13.637 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Microsoft Windows Publisher"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED | FILE_SIGNATURE_STATE_OS""}]","c:\windows\serviceprofiles\networkservice\appdata\local\microsoft\windows\deliveryoptimization\state\migration.dat.log1","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 02:38:41 +0000 UTC","2023-08-09 02:37:14.4668827 +0000 UTC","NT AUTHORITY\NETWORK SERVICE","c:\windows\system32\services.exe","endpoint.event.filemod","CB-MarkoTest","c:\windows\system32\svchost.exe",EDR,,"C:\Windows\system32\services.exe","NT AUTHORITY\NETWORK SERVICE",676,"c:\windows\system32\services.exe","2023-08-09 02:38:41 +0000 UTC","11.12.1.2",WINDOWS,676,"11.12.1.2","[""d8e577bf078c45954f4531885478d5a9"",""dfbea9e8c316d9bc118b454b0c722cd674c30d0a256340200e2c3a7480cba674""]",,,"CB-MarkoTest",,"ACTION_ALLOW",7DESJ9GN,,3984,,false,"C:\Windows\System32\svchost.exe -k NetworkService -p -s DoSvc",,"2023-08-09 02:37:14.4668827 +0000 UTC",WINDOWS,"C:\Windows\System32\svchost.exe -k NetworkService -p -s DoSvc",6227495,,"[""b7f884c1b74a263f746ee12a5f7c9f6a"",""add683a6910abbbf0e28b557fad0ba998166394932ae2aca069d9aa19ea8fe88""]","7DESJ9GN-005f0627-00000f90-00000000-1d9ca69b52183d4",6227495,,1,"endpoint.event.filemod",,"C:\Windows\System32\svchost.exe -k NetworkService -p -s DoSvc",,"REP_WHITE",,,"11.12.1.2",3984,"7DESJ9GN-005f0627-000002a4-00000000-1d9ca696c7a27b8",,"CarbonBlackEvents_CL",
"ACTION_FILE_CREATE | ACTION_FILE_MOD_OPEN | ACTION_FILE_OPEN_READ | ACTION_FILE_OPEN_WRITE | ACTION_FILE_OPEN_DELETE | ACTION_FILE_OPEN_SET_SECURITY | ACTION_FILE_OPEN_SET_ATTRIBUTES","8/9/2023, 4:10:09.601 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Microsoft Windows"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED | FILE_SIGNATURE_STATE_OS | FILE_SIGNATURE_STATE_CATALOG_SIGNED""}]","c:\windows\winsxs\filemaps\$$_appcompat_backup_981b93d4f1ee6c63.cdf-ms","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 03:56:05 +0000 UTC","2023-08-09 03:55:58.4659258 +0000 UTC","NT AUTHORITY\SYSTEM","c:\windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3266_none_7e25389a7c7bcadb\tiworker.exe","endpoint.event.filemod","RTEST\bvpthrashbox001","c:\windows\system32\poqexec.exe",EDR,,"C:\WINDOWS\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3266_none_7e25389a7c7bcadb\TiWorker.exe -Embedding","NT AUTHORITY\SYSTEM",3132,"c:\windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3266_none_7e25389a7c7bcadb\tiworker.exe","2023-08-09 03:56:05 +0000 UTC","11.12.11.12",WINDOWS,3132,"11.12.11.12","[""9c5605f90e7da67c2f595807a371911f"",""e123d0d9400de9c28a62603e05a84a4bbf54aebdf2d76d1d71238e2f1a3d0f67""]",,,"RTEST\bvpthrashbox001",,"ACTION_ALLOW",7DESJ9GN,,7900,,false,"C:\WINDOWS\System32\poqexec.exe /noreboot /transaction 896 /display_progress \SystemRoot\WinSxS\pending.xml",,"2023-08-09 03:55:58.4659258 +0000 UTC",WINDOWS,"C:\WINDOWS\System32\poqexec.exe /noreboot /transaction 896 /display_progress \SystemRoot\WinSxS\pending.xml",6982429,,"[""c6b5808054d399163913e30598340af9"",""41f2a0a677855cb4aea9e5057fa24be7eb87598f051fd7b523a3150901a8cda6""]","7DESJ9GN-006a8b1d-00001edc-00000000-1d9ca7564531fd5",6982429,,1,"endpoint.event.filemod",,"C:\WINDOWS\System32\poqexec.exe /noreboot /transaction 896 /display_progress \SystemRoot\WinSxS\pending.xml",,"REP_NOT_LISTED",,,"11.12.11.12",7900,"7DESJ9GN-006a8b1d-00000c3c-00000000-1d9ca7522948e21",,"CarbonBlackEvents_CL",
"ACTION_FILE_CREATE | ACTION_FILE_MOD_OPEN | ACTION_FILE_OPEN_READ | ACTION_FILE_OPEN_WRITE | ACTION_FILE_OPEN_SET_SECURITY | ACTION_FILE_OPEN_SET_ATTRIBUTES","8/9/2023, 4:10:16.048 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Microsoft Windows"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED | FILE_SIGNATURE_STATE_OS | FILE_SIGNATURE_STATE_CATALOG_SIGNED""}]","\\?\globalroot\Device\NamedPipe\PSHost.133360272015224054.6432.DefaultAppDomain.powershell","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 04:00:28 +0000 UTC","2023-08-09 04:00:03.0375586 +0000 UTC","NT AUTHORITY\SYSTEM","c:\windows\system32\svchost.exe","endpoint.event.filemod","EIP\WW-20002","c:\windows\system32\windowspowershell\v1.0\powershell.exe",EDR,,"C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule","NT AUTHORITY\SYSTEM",1904,"c:\windows\system32\svchost.exe","2023-08-09 04:00:28 +0000 UTC","1.2.3.4",WINDOWS,1904,"1.2.3.4","[""b7f884c1b74a263f746ee12a5f7c9f6a"",""add683a6910abbbf0e28b557fad0ba998166394932ae2aca069d9aa19ea8fe88""]",,,"EIP\WW-20002",,"ACTION_ALLOW",7DESJ9GN,,6432,,false,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -EP Bypass \\eip.demo\sysvol\EIP.DEMO\scripts\Luminol.ps1",,"2023-08-09 04:00:03.0375586 +0000 UTC",WINDOWS,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -EP Bypass \\eip.demo\sysvol\EIP.DEMO\scripts\Luminol.ps1",6612391,,"[""bcf01e61144d6d6325650134823198b8"",""b4e7bc24bf3f5c3da2eb6e9ec5ec10f90099defa91b820f2f3fc70dd9e4785c4""]","7DESJ9GN-0064e5a7-00001920-00000000-1d9ca75f89decf6",6612391,,1,"endpoint.event.filemod",,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -EP Bypass \\eip.demo\sysvol\EIP.DEMO\scripts\Luminol.ps1",,"REP_WHITE",,,"1.2.3.4",6432,"7DESJ9GN-0064e5a7-00000770-00000000-1d9ca4ace79fb80",,"CarbonBlackEvents_CL",
"ACTION_FILE_UNDELETE","8/9/2023, 3:17:56.712 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Microsoft Corporation"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED""}]","c:\program files (x86)\microsoft\edgecore\115.0.1901.200\visualelements\logo.png","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 03:08:04 +0000 UTC","2023-08-09 03:07:02.4854438 +0000 UTC","NT AUTHORITY\SYSTEM","c:\program files (x86)\microsoft\edgeupdate\download\{56eb18f8-b008-4cbd-b6d2-8c97fe7e9062}\115.0.1901.200\microsoftedge_x64_115.0.1901.200_115.0.1901.188.exe","endpoint.event.filemod","EIP\WW-20002","c:\program files (x86)\microsoft\edgeupdate\install\{c047504d-2655-4d36-bc54-6d97221e567b}\edgemitmp_a6f72.tmp\setup.exe",EDR,,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{C047504D-2655-4D36-BC54-6D97221E567B}\MicrosoftEdge_X64_115.0.1901.200_115.0.1901.188.exe"" --msedge --verbose-logging --do-not-launch-msedge --system-level --channel=stable","NT AUTHORITY\SYSTEM",7000,"c:\program files (x86)\microsoft\edgeupdate\download\{56eb18f8-b008-4cbd-b6d2-8c97fe7e9062}\115.0.1901.200\microsoftedge_x64_115.0.1901.200_115.0.1901.188.exe","2023-08-09 03:08:04 +0000 UTC","1.2.3.4",WINDOWS,7000,"1.2.3.4","[""d00451d95972d8b48aa307601a57653b"",""fdf29dd7d1f168db7038fd995b57485a5d24dbb00218f9aa735a8ed413783485""]",,,"EIP\WW-20002",,"ACTION_ALLOW",7DESJ9GN,,5524,,false,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{C047504D-2655-4D36-BC54-6D97221E567B}\EDGEMITMP_A6F72.tmp\setup.exe"" --install-archive=""C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{C047504D-2655-4D36-BC54-6D97221E567B}\MicrosoftEdge_X64_115.0.1901.200_115.0.1901.188.exe"" --previous-version=""115.0.1901.188"" --msedge --verbose-logging --do-not-launch-msedge --system-level --channel=stable",,"2023-08-09 03:07:02.4854438 +0000 UTC",WINDOWS,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{C047504D-2655-4D36-BC54-6D97221E567B}\EDGEMITMP_A6F72.tmp\setup.exe"" --install-archive=""C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{C047504D-2655-4D36-BC54-6D97221E567B}\MicrosoftEdge_X64_115.0.1901.200_115.0.1901.188.exe"" --previous-version=""115.0.1901.188"" --msedge --verbose-logging --do-not-launch-msedge --system-level --channel=stable",6612391,,"[""a032b1864f3c4408bc1348b3b253e462"",""1c9b3a53e39e6e907e7c3d351eb796d5f0ef36ab97ca08d09e532c44759fcb08""]","7DESJ9GN-0064e5a7-00001594-00000000-1d9ca6e701e0810",6612391,,1,"endpoint.event.filemod",,"""C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{C047504D-2655-4D36-BC54-6D97221E567B}\EDGEMITMP_A6F72.tmp\setup.exe"" --install-archive=""C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{C047504D-2655-4D36-BC54-6D97221E567B}\MicrosoftEdge_X64_115.0.1901.200_115.0.1901.188.exe"" --previous-version=""115.0.1901.188"" --msedge --verbose-logging --do-not-launch-msedge --system-level --channel=stable",,"REP_WHITE",,,"1.2.3.4",5524,"7DESJ9GN-0064e5a7-00001b58-00000000-1d9ca6e6f04cf2b",,"CarbonBlackEvents_CL",
"ACTION_FILE_CREATE | ACTION_FILE_MOD_OPEN | ACTION_FILE_OPEN_READ | ACTION_FILE_OPEN_WRITE | ACTION_FILE_OPEN_DELETE","8/9/2023, 3:56:55.571 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c:\windows\system32\logfiles\wmi\rtbackup\etwrtual_kernelmode_provider.etl","["""",""""]",,,,,,,,,,,,,,,,,,,,,,,"2023-08-09 03:47:41 +0000 UTC","2023-08-09 03:45:36.2395194 +0000 UTC","NT AUTHORITY\SYSTEM",,"endpoint.event.filemod","Kognos-W19-CB-3",SYSTEM,EDR,,,"NT AUTHORITY\SYSTEM",,,"2023-08-09 03:47:41 +0000 UTC","1.2.3.40",WINDOWS,,"1.2.3.40",,,,"Kognos-W19-CB-3",,"ACTION_ALLOW",7DESJ9GN,,4,,false,,,"2023-08-09 03:45:36.2395194 +0000 UTC",WINDOWS,,6948863,,"["""",""""]","7DESJ9GN-006a07ff-00000004-00000000-1d9ca73a884ec49",6948863,,1,"endpoint.event.filemod",,,,"REP_RESOLVING",,,"1.2.3.40",4,,,"CarbonBlackEvents_CL",
"ACTION_FILE_MOD_OPEN | ACTION_FILE_OPEN_READ | ACTION_FILE_OPEN_WRITE | ACTION_FILE_OPEN_DELETE | ACTION_FILE_OPEN_SET_ATTRIBUTES","8/9/2023, 4:11:01.849 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Microsoft Windows Publisher"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED | FILE_SIGNATURE_STATE_OS""}]","c:\windows\softwaredistribution\datastore\logs\edb.chk","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 03:59:41 +0000 UTC","2023-08-09 03:57:50.2754633 +0000 UTC","NT AUTHORITY\SYSTEM","c:\windows\system32\services.exe","endpoint.event.filemod",carbonblack,"c:\windows\system32\svchost.exe",EDR,,"C:\Windows\system32\services.exe","NT AUTHORITY\SYSTEM",624,"c:\windows\system32\services.exe","2023-08-09 03:59:41 +0000 UTC","10.2.3.40",WINDOWS,624,"10.2.3.40","[""14b88ff4833012512278a5f3a5712bd2"",""e6fe9a94e8686e957dbcec2b89c1c1ddcf8e75d76e9200d0cbef74d510c71317""]",,,carbonblack,,"ACTION_ALLOW",7DESJ9GN,,8696,,false,"C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv",,"2023-08-09 03:57:50.2754633 +0000 UTC",WINDOWS,"C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv",5765373,,"[""b7f884c1b74a263f746ee12a5f7c9f6a"",""add683a6910abbbf0e28b557fad0ba998166394932ae2aca069d9aa19ea8fe88""]","7DESJ9GN-0057f8fd-000021f8-00000000-1d9ca75aa0876c9",5765373,,1,"endpoint.event.filemod",,"C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv",,"REP_WHITE",,,"10.2.3.40",8696,"7DESJ9GN-0057f8fd-00000270-00000000-1d9c8880e61c0f5",,"CarbonBlackEvents_CL",
"ACTION_FILE_MOD_OPEN | ACTION_FILE_OPEN_READ | ACTION_FILE_OPEN_WRITE","8/9/2023, 4:09:50.330 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Microsoft Windows"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED | FILE_SIGNATURE_STATE_OS | FILE_SIGNATURE_STATE_CATALOG_SIGNED""}]","c:\windows\system32\smi\store\machine\schema.dat","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 03:56:05 +0000 UTC","2023-08-09 03:55:52.7471932 +0000 UTC","NT AUTHORITY\SYSTEM","c:\windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3266_none_7e25389a7c7bcadb\tiworker.exe","endpoint.event.filemod","RTEST\bvpthrashbox001","c:\windows\system32\poqexec.exe",EDR,,"C:\WINDOWS\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3266_none_7e25389a7c7bcadb\TiWorker.exe -Embedding","NT AUTHORITY\SYSTEM",3132,"c:\windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3266_none_7e25389a7c7bcadb\tiworker.exe","2023-08-09 03:56:05 +0000 UTC","11.12.11.12",WINDOWS,3132,"11.12.11.12","[""9c5605f90e7da67c2f595807a371911f"",""e123d0d9400de9c28a62603e05a84a4bbf54aebdf2d76d1d71238e2f1a3d0f67""]",,,"RTEST\bvpthrashbox001",,"ACTION_ALLOW",7DESJ9GN,,7900,,false,"C:\WINDOWS\System32\poqexec.exe /noreboot /transaction 896 /display_progress \SystemRoot\WinSxS\pending.xml",,"2023-08-09 03:55:52.7471932 +0000 UTC",WINDOWS,"C:\WINDOWS\System32\poqexec.exe /noreboot /transaction 896 /display_progress \SystemRoot\WinSxS\pending.xml",6982429,,"[""c6b5808054d399163913e30598340af9"",""41f2a0a677855cb4aea9e5057fa24be7eb87598f051fd7b523a3150901a8cda6""]","7DESJ9GN-006a8b1d-00001edc-00000000-1d9ca7564531fd5",6982429,,1,"endpoint.event.filemod",,"C:\WINDOWS\System32\poqexec.exe /noreboot /transaction 896 /display_progress \SystemRoot\WinSxS\pending.xml",,"REP_NOT_LISTED",,,"11.12.11.12",7900,"7DESJ9GN-006a8b1d-00000c3c-00000000-1d9ca7522948e21",,"CarbonBlackEvents_CL",
"ACTION_FILE_MOD_OPEN | ACTION_FILE_OPEN_DELETE | ACTION_FILE_OPEN_SET_ATTRIBUTES","8/9/2023, 4:09:46.303 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Microsoft Windows"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED | FILE_SIGNATURE_STATE_OS""}]","c:\windows\cbstemp\31050356_3516323264\wrapper-2b4d5091299fceee3738bab15de0d5f534079dc736a08956963b902dff1f9cec~31bf3856ad364e35~amd64~~10.0.19041.3266.mum","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 03:52:31 +0000 UTC","2023-08-09 03:52:19.3292192 +0000 UTC","NT AUTHORITY\SYSTEM","c:\windows\system32\svchost.exe","endpoint.event.filemod","RTEST\CB-RC-03","c:\windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3205_none_7e1f4da67c811930\tiworker.exe",EDR,,"C:\Windows\system32\svchost.exe -k DcomLaunch -p","NT AUTHORITY\SYSTEM",832,"c:\windows\system32\svchost.exe","2023-08-09 03:52:31 +0000 UTC","11.12.11.12",WINDOWS,832,"11.12.11.12","[""b7f884c1b74a263f746ee12a5f7c9f6a"",""add683a6910abbbf0e28b557fad0ba998166394932ae2aca069d9aa19ea8fe88""]",,,"RTEST\CB-RC-03",,"ACTION_ALLOW",7DESJ9GN,,4144,,false,"C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3205_none_7e1f4da67c811930\TiWorker.exe -Embedding",,"2023-08-09 03:52:19.3292192 +0000 UTC",WINDOWS,"C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3205_none_7e1f4da67c811930\TiWorker.exe -Embedding",6978457,,"[""b2be3b43fd690efa386d9430564fe87b"",""20b814795e95bf20e7c2bf028563deb87304856e96948c17bb47636b32ee5953""]","7DESJ9GN-006a7b99-00001030-00000000-1d9ca73f61fba79",6978457,,1,"endpoint.event.filemod",,"C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3205_none_7e1f4da67c811930\TiWorker.exe -Embedding",,"REP_WHITE",,,"11.12.11.12",4144,"7DESJ9GN-006a7b99-00000340-00000000-1d9c61cb88ac5fb",,"CarbonBlackEvents_CL",
"ACTION_FILE_MOD_OPEN | ACTION_FILE_OPEN_WRITE | ACTION_FILE_OPEN_SET_SECURITY | ACTION_FILE_OPEN_SET_ATTRIBUTES","8/9/2023, 4:10:09.569 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Microsoft Windows"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED | FILE_SIGNATURE_STATE_OS | FILE_SIGNATURE_STATE_CATALOG_SIGNED""}]","c:\windows\winsxs\wow64_microsoft-windows-ntdll_31bf3856ad364e35_10.0.19041.3324_none_d7e2bc61e5cb41db\ntdll.dll","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 03:56:05 +0000 UTC","2023-08-09 03:55:55.9971741 +0000 UTC","NT AUTHORITY\SYSTEM","c:\windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3266_none_7e25389a7c7bcadb\tiworker.exe","endpoint.event.filemod","RTEST\bvpthrashbox001","c:\windows\system32\poqexec.exe",EDR,,"C:\WINDOWS\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3266_none_7e25389a7c7bcadb\TiWorker.exe -Embedding","NT AUTHORITY\SYSTEM",3132,"c:\windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.3266_none_7e25389a7c7bcadb\tiworker.exe","2023-08-09 03:56:05 +0000 UTC","11.12.11.12",WINDOWS,3132,"11.12.11.12","[""9c5605f90e7da67c2f595807a371911f"",""e123d0d9400de9c28a62603e05a84a4bbf54aebdf2d76d1d71238e2f1a3d0f67""]",,,"RTEST\bvpthrashbox001",,"ACTION_ALLOW",7DESJ9GN,,7900,,false,"C:\WINDOWS\System32\poqexec.exe /noreboot /transaction 896 /display_progress \SystemRoot\WinSxS\pending.xml",,"2023-08-09 03:55:55.9971741 +0000 UTC",WINDOWS,"C:\WINDOWS\System32\poqexec.exe /noreboot /transaction 896 /display_progress \SystemRoot\WinSxS\pending.xml",6982429,,"[""c6b5808054d399163913e30598340af9"",""41f2a0a677855cb4aea9e5057fa24be7eb87598f051fd7b523a3150901a8cda6""]","7DESJ9GN-006a8b1d-00001edc-00000000-1d9ca7564531fd5",6982429,,1,"endpoint.event.filemod",,"C:\WINDOWS\System32\poqexec.exe /noreboot /transaction 896 /display_progress \SystemRoot\WinSxS\pending.xml",,"REP_NOT_LISTED",,,"11.12.11.12",7900,"7DESJ9GN-006a8b1d-00000c3c-00000000-1d9ca7522948e21",,"CarbonBlackEvents_CL",
"ACTION_FILE_CREATE | ACTION_FILE_DELETE | ACTION_FILE_MOD_OPEN | ACTION_FILE_TRUNCATE | ACTION_FILE_OPEN_READ | ACTION_FILE_OPEN_WRITE | ACTION_FILE_OPEN_DELETE","8/9/2023, 3:45:06.550 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Microsoft Windows Publisher"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED | FILE_SIGNATURE_STATE_OS""}]","c:\windows\softwaredistribution\sls\2b81f1bf-356c-4fa1-90f1-7581a62c6764\tmp2b78.tmp","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 03:33:20 +0000 UTC","2023-08-09 03:32:06.9594269 +0000 UTC","NT AUTHORITY\SYSTEM","c:\windows\system32\services.exe","endpoint.event.filemod","RTEST\CB-RC-02","c:\windows\system32\svchost.exe",EDR,,"C:\Windows\system32\services.exe","NT AUTHORITY\SYSTEM",696,"c:\windows\system32\services.exe","2023-08-09 03:33:20 +0000 UTC","11.12.11.12",WINDOWS,696,"11.12.11.12","[""14b88ff4833012512278a5f3a5712bd2"",""e6fe9a94e8686e957dbcec2b89c1c1ddcf8e75d76e9200d0cbef74d510c71317""]",,,"RTEST\CB-RC-02",,"ACTION_ALLOW",7DESJ9GN,,6072,,false,"C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv",,"2023-08-09 03:32:06.9594269 +0000 UTC",WINDOWS,"C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv",6784156,,"[""b7f884c1b74a263f746ee12a5f7c9f6a"",""add683a6910abbbf0e28b557fad0ba998166394932ae2aca069d9aa19ea8fe88""]","7DESJ9GN-0067849c-000017b8-00000000-1d9ca71b8059e42",6784156,,1,"endpoint.event.filemod",,"C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv",,"REP_WHITE",,,"11.12.11.12",6072,"7DESJ9GN-0067849c-000002b8-00000000-1d9ca71a505863a",,"CarbonBlackEvents_CL",
