TenantId,TimeGenerated [UTC],DeviceVendor,DeviceProduct,DeviceVersion,DeviceEventClassID,Activity,LogSeverity,OriginalLogSeverity,AdditionalExtensions,DeviceAction,ApplicationProtocol,EventCount,DestinationDnsDomain,DestinationServiceName,DestinationTranslatedAddress,DestinationTranslatedPort,CommunicationDirection,DeviceDnsDomain,DeviceExternalID,DeviceFacility,DeviceInboundInterface,DeviceNtDomain,DeviceOutboundInterface,DevicePayloadId,ProcessName,DeviceTranslatedAddress,DestinationHostName,DestinationMACAddress,DestinationNTDomain,DestinationProcessId,DestinationUserPrivileges,DestinationProcessName,DestinationPort,DestinationIP,DeviceTimeZone,DestinationUserID,DestinationUserName,DeviceAddress,DeviceName,DeviceMacAddress,ProcessID,EndTime [UTC],ExternalID,ExtID,FileCreateTime,FileHash,FileID,FileModificationTime,FilePath,FilePermission,FileType,FileName,FileSize,ReceivedBytes,Message,OldFileCreateTime,OldFileHash,OldFileID,OldFileModificationTime,OldFileName,OldFilePath,OldFilePermission,OldFileSize,OldFileType,SentBytes,EventOutcome,Protocol,Reason,RequestURL,RequestClientApplication,RequestContext,RequestCookies,RequestMethod,ReceiptTime,SourceHostName,SourceMACAddress,SourceNTDomain,SourceDnsDomain,SourceServiceName,SourceTranslatedAddress,SourceTranslatedPort,SourceProcessId,SourceUserPrivileges,SourceProcessName,SourcePort,SourceIP,StartTime [UTC],SourceUserID,SourceUserName,EventType,DeviceEventCategory,DeviceCustomIPv6Address1,DeviceCustomIPv6Address1Label,DeviceCustomIPv6Address2,DeviceCustomIPv6Address2Label,DeviceCustomIPv6Address3,DeviceCustomIPv6Address3Label,DeviceCustomIPv6Address4,DeviceCustomIPv6Address4Label,DeviceCustomFloatingPoint1,DeviceCustomFloatingPoint1Label,DeviceCustomFloatingPoint2,DeviceCustomFloatingPoint2Label,DeviceCustomFloatingPoint3,DeviceCustomFloatingPoint3Label,DeviceCustomFloatingPoint4,DeviceCustomFloatingPoint4Label,DeviceCustomNumber1,FieldDeviceCustomNumber1,DeviceCustomNumber1Label,DeviceCustomNumber2,FieldDeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomNumber3,FieldDeviceCustomNumber3,DeviceCustomNumber3Label,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString2,DeviceCustomString2Label,DeviceCustomString3,DeviceCustomString3Label,DeviceCustomString4,DeviceCustomString4Label,DeviceCustomString5,DeviceCustomString5Label,DeviceCustomString6,DeviceCustomString6Label,DeviceCustomDate1,DeviceCustomDate1Label,DeviceCustomDate2,DeviceCustomDate2Label,FlexDate1,FlexDate1Label,FlexNumber1,FlexNumber1Label,FlexNumber2,FlexNumber2Label,FlexString1,FlexString1Label,FlexString2,FlexString2Label,RemoteIP,RemotePort,MaliciousIP,ThreatSeverity,IndicatorThreatType,ThreatDescription,ThreatConfidence,ReportReferenceLink,MaliciousIPLongitude,MaliciousIPLatitude,MaliciousIPCountry,Computer,SourceSystem,SimplifiedDeviceAction,CollectorHostName,Type,_ResourceId
ad3a,"10/17/2023, 3:17:29.596 PM",SonicWall,NSA 3700,7.0.1-5119-R4713,537,Connection Closed,4,,"gcat=6;fw_action=""NA"";dpi=1",,718,23977492,,,,,,,,,X0,,,,,,,,,,,,1900,1.2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,udp/1900,,,,,,,,,,,,,,,,,,44171,1.2.3.4,,,,,1024,,,,,,,,,,,,,,,,,,,,,,1,,,30000,"""Default Access Rule""",,,,,LAN,,MULTICAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,
ad3a,"10/17/2023, 3:17:29.632 PM",SonicWall,NSA 3700,7.0.1-5119-R4713,98,Connection Opened,4,,"gcat=6;snpt=9714;dnpt=53;appName='General DNS';fw_action=""NA"";dpi=0",,49169,16357611,,,,,,,,,X0,,X1,,,,,a5:a6:a7:a8:a9:a0,,,,,53,1.2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,udp/dns,,,,,,,,,,,,,,,,,,51378,1.2.3.4,,,,,262144,,,,,,,,,,,,,,,,,,,,,,,,,,"""Bypass DPI HOST2""",1.2.3.4,,1.2.3.4,,LAN,,WAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,
ad3a,"10/17/2023, 3:17:29.632 PM",SonicWall,NSA 3700,7.0.1-5119-R4713,98,Connection Opened,4,,"gcat=6;snpt=63675;dnpt=443;appName='General HTTPS';fw_action=""NA"";dpi=0",,49177,16357613,,,,,,,,,X0,,X1,,,,,,,,,,443,1.2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,tcp/https,,,,,,,,,,,,,,,,,,39616,1.2.3.4,,,,,262144,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2.3.4,,1.2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,
ad3a,"10/17/2023, 3:17:29.975 PM",SonicWall,NSA 3700,7.0.1-5119-R4713,98,Connection Opened,4,,"gcat=6;appName='Service V2 Membership Report';fw_action=""NA"";dpi=0",,49337,16357615,,,,,,,,,X0,,,,,,,,,,,,22,1.2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,igmp/22,,,,,,,,,,,,,,,,,,22,1.2.3.4,,,,,262144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,
ad3a,"10/17/2023, 3:17:30.058 PM",SonicWall,NSA 3700,7.0.1-5119-R4713,98,Connection Opened,4,,"gcat=6;appName='Service UPNP AV UDP 1900';fw_action=""NA"";dpi=1",,49454,16357617,,,,,,,,,X0,,,,,,,,,,,,1900,1.2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,,udp/1900,,,,,,,,,,,,,,,,,,43795,1.2.3.4,,,,,262144,,,,,,,,,,,,,,,,,,,,,,,,,,"""Default Access Rule""",,,,,LAN,,MULTICAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,
ad3a,"10/17/2023, 3:17:30.442 PM",SonicWall,NSA 3700,7.0.1-5119-R4713,537,Connection Closed,4,,"gcat=6;appName='General IGMP';fw_action=""NA"";dpi=1",,49204,23977494,,,,,,,,,X0,,,,,,,,,,,,18,1.2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,igmp/18,,,,,,,,,,,,,,,,,,18,1.2.3.4,,,,,1024,,,,,,,,,,,,,,,,,,,,,,1,,,2000,"""Default Access Rule""",,,,,LAN,,MULTICAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,
ad3a,"10/17/2023, 3:17:30.746 PM",SonicWall,NSA 3700,7.0.1-5119-R4713,537,Connection Closed,4,,"gcat=6;appName='General IGMP';fw_action=""NA"";dpi=1",,49204,23977496,,,,,,,,,X0,,,,,,,,,,,,18,1.2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,igmp/18,,,,,,,,,,,,,,,,,,18,1.2.3.4,,,,,1024,,,,,,,,,,,,,,,,,,,,,,1,,,2016,"""Default Access Rule""",,,,,LAN,,MULTICAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,
ad3a,"10/17/2023, 3:17:30.786 PM",SonicWall,NSA 3700,7.0.1-5119-R4713,98,Connection Opened,4,,"gcat=6;susr=""Unknown (external IP)"";appName='General TCP';fw_action=""NA"";dpi=0",,49201,16357619,,,,,,,,,X1,,X1,,,,,,,,,,32005,1.2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,tcp/32005,,,,,,,,,,,,,,,,,,40173,1.2.3.4,,,,,262144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,
ad3a,"10/17/2023, 3:17:30.786 PM",SonicWall,NSA 3700,7.0.1-5119-R4713,537,Connection Closed,4,,"gcat=6;susr=""Unknown (external IP)"";appName='General TCP';fw_action=""NA"";dpi=0",,49201,23977498,,,,,,,,,X1,,X1,,,,,,,,,,32005,1.2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,tcp/32005,,,,,,,,,,,,,,,,,,40173,1.2.3.4,,,,,1024,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,
ad3a,"10/17/2023, 3:17:30.947 PM",SonicWall,NSA 3700,7.0.1-5119-R4713,537,Connection Closed,4,,"gcat=6;snpt=23962;dnpt=53;susr=""Unknown (external IP)"";appName='General DNS';fw_action=""NA"";dpi=0",,49169,23977500,,,,,,,,,X1,,X1,,,,,a5:a6:a7:a8:a9:a0,,,,,53,1.2.3.4,,,,,,,,,,,,,,,,,,,,168,,,,,,,,,,,73,,udp/dns,,,,,,,,,,,,,,,,,,38490,1.2.3.4,,,,,1024,,,,,,,,,,,,,,,,,,,1,,,1,,,32016,,1.2.3.4,,1.2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18CAA1A5A8AA,OpsManager,,,CommonSecurityLog,
