"TenantId","TimeGenerated","Protocol","SourceIp","SourcePort","DestinationIp","DestinationPort","Action","Policy","RuleCollectionGroup","RuleCollection","Rule","ActionReason","SourceSystem","Type","_ResourceId"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:14:51.2132530","UDP","10.1.176.117","59603","10.50.10.50","53","Allow","Global-Policy-Premium","DefaultNetworkRuleCollectionGroup","Corp_to_Spoke_Global_Policies","DNS-from-Spoke-to-DNS_ANYCAST-EGRC#2591142 ","","","AZFWNetworkRule","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus3/providers/microsoft.network/azurefirewalls/test-lab-wus3-fw-04"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:09:26.9480770","TCP","10.2.124.154","64776","192.168.240.12","389","Allow","EUS-Policy-Premium-IDPS","DefaultNetworkRuleCollectionGroup","UnifiedPolicy_9520bcbc-c2b6-4831-9c61-16811d2ef2e0","ACL-11332_CHG0820497_4","","","AZFWNetworkRule","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:15:39.8269850","TCP","192.168.131.10","44185","10.3.122.184","179","Deny","","","","","Default Action","","AZFWNetworkRule","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus2/providers/microsoft.network/azurefirewalls/test-lab-wus2-fw-99"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:12:25.3632550","TCP","192.168.131.4","35934","10.2.253.244","9090","Deny","","","","","Default Action","","AZFWNetworkRule","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus2/providers/microsoft.network/azurefirewalls/test-lab-wus2-fw-06"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:09:07.7659360","TCP","192.168.131.15","63019","10.2.238.223","22","Allow","HBI-Global-Policy-Premium","DefaultNetworkRuleCollectionGroup","Corp_to_Spoke_Global_Policies","SSH-From-Corpnet-EGRC#1804280","","","AZFWNetworkRule","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus2/providers/microsoft.network/azurefirewalls/test-lab-wus2-fw-99"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:12:59.0330530","TCP","192.168.131.7","41431","10.1.198.154","179","Deny","","","","","Default Action","","AZFWNetworkRule","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus3/providers/microsoft.network/azurefirewalls/test-lab-wus3-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:11:17.0892340","UDP","10.1.158.206","49247","10.50.50.50","53","Allow","Global-Policy-Premium","DefaultNetworkRuleCollectionGroup","Corp_to_Spoke_Global_Policies","DNS-from-Spoke-to-DNS_ANYCAST-EGRC#2591142 ","","","AZFWNetworkRule","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus3/providers/microsoft.network/azurefirewalls/test-lab-wus3-fw-04"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:15:44.5689190","TCP","10.3.120.120","51488","10.4.64.46","389","Allow","HBI-Global-Policy-Premium","DefaultNetworkRuleCollectionGroup","CORP_DomainControllers_Global","Corp-DC-TCP-EGRC#1804280-01","","","AZFWNetworkRule","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus2/providers/microsoft.network/azurefirewalls/test-lab-wus2-fw-99"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:12:35.1659650","TCP","192.168.131.27","36043","192.168.167.12","8443","Deny","","","","","Default Action","","AZFWNetworkRule","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-05"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:09:17.4690300","TCP","192.168.131.6","40967","10.1.150.69","389","Deny","","","","","Default Action","","AZFWNetworkRule","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus3/providers/microsoft.network/azurefirewalls/test-lab-wus3-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:11:09.2152890","TCP","192.168.138.167","34307","10.2.80.141","7869","Allow","EUS-Policy-Premium-IDPS","DefaultNetworkRuleCollectionGroup","UnifiedPolicy_9520bcbc-c2b6-4831-9c61-16811d2ef2e0","ACL-12018_ACL-12053_CHG0828889_CHG0829667_2","","","AZFWNetworkRule","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:11:25.4101200","TCP","192.168.131.28","54861","10.1.199.152","6380","Deny","","","","","Default Action","","AZFWNetworkRule","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus3/providers/microsoft.network/azurefirewalls/test-lab-wus3-fw-01"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:08:20.2452640","UDP","10.1.174.122","51951","10.50.10.50","53","Allow","Global-Policy-Premium","DefaultNetworkRuleCollectionGroup","Corp_to_Spoke_Global_Policies","DNS-from-Spoke-to-DNS_ANYCAST-EGRC#2591142 ","","","AZFWNetworkRule","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/westus3/providers/microsoft.network/azurefirewalls/test-lab-wus3-fw-04"
"11111111-2222-3333-4444-555555555555","2025-11-21 20:10:02.0264570","TCP","10.2.124.71","7672","192.168.245.83","41049","Allow","EUS-Policy-Premium-IDPS","DefaultNetworkRuleCollectionGroup","9520bcbc-c2b6-4831-9c61-16811d2ef2e0","SiliconPD-LAB-EUS-VNET-1684_CHG0813504_ACL-10930-E","","","AZFWNetworkRule","/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02"
