TenantId,SourceSystem,"TimeGenerated [UTC]",MG,Computer,"EventTime [UTC]",Facility,HostName,SeverityLevel,SyslogMessage,ProcessID,HostIP,ProcessName,Type,"_ResourceId",EventOriginalType
"",Linux,"6/21/2023, 10:00:10.840 AM","00000000-0000-0000-0000-000000000002",demoisepsn00,"6/14/2023, 9:38:48.000 PM",local7,demoisepsn00,notice,"38:48.984 +00:00 0418577425 51000 NOTICE Administrator-Login: Administrator authentication failed, ConfigVersionId=644, Device IP Address=10.10.10.10, Device Port=18628, DestinationIPAddress=10.10.10.10, DestinationPort=555,UserName=demo-adm, NetworkDeviceName=AASSBX000, FailureReason=51000 Administrator authentication failed, Step=13017",,"Unknown IP","CISE_Administrative_and_Operatio",Syslog,,51000
"",Linux,"6/21/2023, 10:00:10.843 AM","00000000-0000-0000-0000-000000000002",demoisepsn00,"6/14/2023, 9:38:48.000 PM",local7,demoisepsn00,notice,"39:01.139 +00:00 0667198386 51000 NOTICE Administrator-Login: Administrator authentication failed, ConfigVersionId=632, Device IP Address=10.10.10.10, DestinationIPAddress=10.10.10.10, DestinationPort=555, UserName=demo-adm, CmdSet=[ CmdAV= ], Protocol=Tacacs, RequestLatency=17, NetworkDeviceName=AASSBX000, Type=Authorization, Privilege-Level=1, Authen-Type=ASCII, Service=Login, User=demo-adm, Port=tty1, Remote-Address=10.10.10.10, Authen-Method=TacacsPlus, Service-Argument=shell, NetworkDeviceProfileId=d9699505-aa50-ff15-a80e-67abc45bf500, AcsSessionID=demoisepsn00/337333000/000874560, AuthenticationIdentityStore=Internal Users, AuthenticationMethod=Lookup, SelectedAccessService=AllowedProto_Dvc_Admin, SelectedShellProfile=PRIV15, IdentityGroup=User Identity Groups:All Groups:IS_FULLADMIN, FailureReason=51000 Administrator authentication failed, Step=13005, Step=15049, Step=15008, Step=22037",,"Unknown IP","CISE_Administrative_and_Operatio",Syslog,,51000
"",Linux,"6/21/2023, 10:00:10.847 AM","00000000-0000-0000-0000-000000000002",demoisepsn00,"6/14/2023, 9:38:48.000 PM",local7,demoisepsn00,notice,"39:01.139 +00:00 0667198386 51001 NOTICE Administrator-Login: Administrator authentication succeeded, ConfigVersionId=632, Device IP Address=10.10.10.10, DestinationIPAddress=10.10.10.10, DestinationPort=555, UserName=demo-adm, CmdSet=[ CmdAV= ], Protocol=Tacacs, RequestLatency=17, NetworkDeviceName=AASSBX000, Type=Authorization, Privilege-Level=1, Authen-Type=ASCII, Service=Login, User=demo-adm, Port=tty1, Remote-Address=10.10.10.10, Authen-Method=TacacsPlus, Service-Argument=shell, NetworkDeviceProfileId=d9699505-aa50-ff15-a80e-67abc45bf500, AcsSessionID=demoisepsn00/337333000/000874560, AuthenticationIdentityStore=Internal Users, AuthenticationMethod=Lookup, SelectedAccessService=AllowedProto_Dvc_Admin, SelectedShellProfile=PRIV15, IdentityGroup=User Identity Groups:All Groups:IS_FULLADMIN, Step=13005, Step=15049, Step=15008, Step=22037",,"Unknown IP","CISE_Administrative_and_Operatio",Syslog,,51001
"",Linux,"6/21/2023, 10:00:10.851 AM","00000000-0000-0000-0000-000000000002",demoisepsn00,"6/14/2023, 9:38:48.000 PM",local7,demoisepsn00,notice,"39:01.139 +00:00 0667198386 51002 NOTICE Administrator-Login: Administrator logged off, ConfigVersionId=632, Device IP Address=10.10.10.10, DestinationIPAddress=10.10.10.10, DestinationPort=555, UserName=demo-adm, Step=15049, Step=15008, Step=22037",,"Unknown IP","CISE_Administrative_and_Operatio",Syslog,,51002
"",Linux,"6/21/2023, 10:00:10.854 AM","00000000-0000-0000-0000-000000000002",demoisepsn00,"6/14/2023, 9:38:48.000 PM",local7,demoisepsn00,notice,"38:48.984 +00:00 0418577425 51003 NOTICE Administrator-Login: Session Timeout, ConfigVersionId=644, Device IP Address=10.10.10.10, Device Port=18628, DestinationIPAddress=10.10.10.10, DestinationPort=555,UserName=demo-adm, NetworkDeviceName=AASSBX000, FailureReason=51003 Administrator had a session timeout, Step=13017",,"Unknown IP","CISE_Administrative_and_Operatio",Syslog,,51003
"",Linux,"6/21/2023, 10:00:10.858 AM","00000000-0000-0000-0000-000000000002",demoisepsn00,"6/14/2023, 9:38:48.000 PM",local7,demoisepsn00,notice,"39:01.139 +00:00 0667198386 51004 NOTICE Administrator-Login: Rejected administrator session from unauthorized client IP address, ConfigVersionId=632, Device IP Address=10.10.10.10, DestinationIPAddress=10.10.10.10, DestinationPort=555, UserName=demo-adm, CmdSet=[ CmdAV= ], Protocol=Tacacs, RequestLatency=17, NetworkDeviceName=AASSBX000, Type=Authorization, Privilege-Level=1, Authen-Type=ASCII, Service=Login, User=demo-adm, Port=tty1, Remote-Address=10.10.10.10, Authen-Method=TacacsPlus, Service-Argument=shell, NetworkDeviceProfileId=d9699505-aa50-ff15-a80e-67abc45bf500, AcsSessionID=demoisepsn00/337333000/000874560, AuthenticationIdentityStore=Internal Users, AuthenticationMethod=Lookup, SelectedAccessService=DeniedProto_Dvc_Admin, SelectedShellProfile=PRIV15, IdentityGroup=User Identity Groups:All Groups:IS_FULLADMIN, FailureReason=12345 An attempt to start an administration session from an unauthorized client IP address was rejected. Check the client's administration access setting., Step=13005, Step=15049, Step=15008, Step=22037",,"Unknown IP","CISE_Administrative_and_Operatio",Syslog,,51004
"",Linux,"6/21/2023, 10:00:10.862 AM","00000000-0000-0000-0000-000000000002",1.2.3.4,"6/14/2023, 9:38:48.000 PM",local7,demoisepsn00,notice,"39:01.139 +00:00 0667198386 51005 NOTICE Administrator-Login: Administrator authentication failed. Administrator account is disabled, ConfigVersionId=632, Device IP Address=10.10.10.10, DestinationIPAddress=10.10.10.10, DestinationPort=555, UserName=demo-adm, CmdSet=[ CmdAV= ], Protocol=Tacacs, RequestLatency=17, NetworkDeviceName=AASSBX000, Type=Authorization, Privilege-Level=1, Authen-Type=ASCII, Service=Login, User=demo-adm, Port=tty1, Remote-Address=10.10.10.10, Authen-Method=TacacsPlus, Service-Argument=shell, NetworkDeviceProfileId=d9699505-aa50-ff15-a80e-67abc45bf500, AcsSessionID=demoisepsn00/337333000/000874560, AuthenticationIdentityStore=Internal Users, AuthenticationMethod=Lookup, SelectedAccessService=DeniedProto_Dvc_Admin, SelectedShellProfile=PRIV15, IdentityGroup=User Identity Groups:All Groups:IS_FULLADMIN, FailureReason=51005 Administrator authentication failed. Administrator account is disabled., Step=13005, Step=15049, Step=15008, Step=22037",,"Unknown IP","CISE_Administrative_and_Operatio",Syslog,,51005
"",Linux,"6/21/2023, 10:00:10.866 AM","00000000-0000-0000-0000-000000000002",demoisepsn00,"6/14/2023, 9:38:48.000 PM",local7,demoisepsn00,notice,"39:01.139 +00:00 0667198386 51006 NOTICE Administrator-Login: Administrator authentication failed. Account is disabled due to inactivity, ConfigVersionId=632, Device IP Address=10.10.10.10, DestinationIPAddress=10.10.10.10, DestinationPort=555, UserName=demo-adm, CmdSet=[ CmdAV= ], Protocol=Tacacs, RequestLatency=17, NetworkDeviceName=AASSBX000, Type=Authorization, Privilege-Level=1, Authen-Type=ASCII, Service=Login, User=demo-adm, Port=tty1, Remote-Address=10.10.10.10, Authen-Method=TacacsPlus, Service-Argument=shell, NetworkDeviceProfileId=d9699505-aa50-ff15-a80e-67abc45bf500, AcsSessionID=demoisepsn00/337333000/000874560, AuthenticationIdentityStore=Internal Users, AuthenticationMethod=Lookup, SelectedAccessService=DeniedProto_Dvc_Admin, SelectedShellProfile=PRIV15, IdentityGroup=User Identity Groups:All Groups:IS_FULLADMIN, FailureReason=51006 Administrator authentication failed. Account is disabled due to inactivity, Step=13005, Step=15049, Step=15008, Step=22037",,"Unknown IP","CISE_Administrative_and_Operatio",Syslog,,51006
"",Linux,"6/21/2023, 10:00:10.869 AM","00000000-0000-0000-0000-000000000002",demoisepsn00,"6/14/2023, 9:38:48.000 PM",local7,demoisepsn00,notice,"39:01.139 +00:00 0667198386 51007 NOTICE Administrator-Login: Authentication failed. Account is disabled due to password expiration, ConfigVersionId=632, Device IP Address=10.10.10.10, DestinationIPAddress=10.10.10.10, DestinationPort=555, UserName=demo-adm, CmdSet=[ CmdAV= ], Protocol=Tacacs, RequestLatency=17, NetworkDeviceName=AASSBX000, Type=Authorization, Privilege-Level=1, Authen-Type=ASCII, Service=Login, User=demo-adm, Port=tty1, Remote-Address=10.10.10.10, Authen-Method=TacacsPlus, Service-Argument=shell, NetworkDeviceProfileId=d9699505-aa50-ff15-a80e-67abc45bf500, AcsSessionID=demoisepsn00/337333000/000874560, AuthenticationIdentityStore=Internal Users, AuthenticationMethod=Lookup, SelectedAccessService=DeniedProto_Dvc_Admin, SelectedShellProfile=PRIV15, IdentityGroup=User Identity Groups:All Groups:IS_FULLADMIN, FailureReason=51007 Authentication failed. Account is disabled due to password expiration, Step=13005, Step=15049, Step=15008, Step=22037",,"Unknown IP","CISE_Administrative_and_Operatio",Syslog,,51007
"",Linux,"6/21/2023, 10:00:10.873 AM","00000000-0000-0000-0000-000000000002",demoisepsn00,"6/14/2023, 9:38:48.000 PM",local7,demoisepsn00,notice,"39:01.139 +00:00 0667198386 51008 NOTICE Administrator-Login: Administrator authentication failed. Account is disabled due to excessive failed authentication attempts, ConfigVersionId=632, Device IP Address=10.10.10.10, DestinationIPAddress=10.10.10.10, DestinationPort=555, UserName=demo-adm, CmdSet=[ CmdAV= ], Protocol=Tacacs, RequestLatency=17, NetworkDeviceName=AASSBX000, Type=Authorization, Privilege-Level=1, Authen-Type=ASCII, Service=Login, User=demo-adm, Port=tty1, Remote-Address=10.10.10.10, Authen-Method=TacacsPlus, Service-Argument=shell, NetworkDeviceProfileId=d9699505-aa50-ff15-a80e-67abc45bf500, AcsSessionID=demoisepsn00/337333000/000874560, AuthenticationIdentityStore=Internal Users, AuthenticationMethod=Lookup, SelectedAccessService=DeniedProto_Dvc_Admin, SelectedShellProfile=PRIV15, IdentityGroup=User Identity Groups:All Groups:IS_FULLADMIN, FailureReason=51008 Administrator authentication failed. Account is disabled due to excessive failed authentication attempts, Step=13005, Step=15049, Step=15008, Step=22037",,"Unknown IP","CISE_Administrative_and_Operatio",Syslog,,51008
"",Linux,"6/21/2023, 10:00:10.877 AM","00000000-0000-0000-0000-000000000002",1.2.3.4,"6/14/2023, 9:38:48.000 PM",local7,demoisepsn00,notice,"39:01.139 +00:00 0667198386 51009 NOTICE Administrator-Login: Authentication failed. ISE Runtime is not running, ConfigVersionId=632, Device IP Address=10.10.10.10, DestinationIPAddress=10.10.10.10, DestinationPort=555, UserName=demo-adm, CmdSet=[ CmdAV= ], Protocol=Tacacs, RequestLatency=17, NetworkDeviceName=AASSBX000, Type=Authorization, Privilege-Level=1, Authen-Type=ASCII, Service=Login, User=demo-adm, Port=tty1, Remote-Address=10.10.10.10, Authen-Method=TacacsPlus, Service-Argument=shell, NetworkDeviceProfileId=d9699505-aa50-ff15-a80e-67abc45bf500, AcsSessionID=demoisepsn00/337333000/000874560, AuthenticationIdentityStore=Internal Users, AuthenticationMethod=Lookup, SelectedAccessService=DeniedProto_Dvc_Admin, SelectedShellProfile=PRIV15, IdentityGroup=User Identity Groups:All Groups:IS_FULLADMIN, FailureReason=51009 Authentication failed. ISE Runtime is not running, Step=13005, Step=15049, Step=15008, Step=22037",,"Unknown IP","CISE_Administrative_and_Operatio",Syslog,,51009
"",Linux,"6/21/2023, 10:00:10.881 AM","00000000-0000-0000-0000-000000000002",1.2.3.4,"6/14/2023, 9:38:48.000 PM",local7,demoisepsn00,notice,"39:01.139 +00:00 0667198386 51020 NOTICE Administrator-Login: Administrator authentication failed. Login username does not exist, ConfigVersionId=632, Device IP Address=10.10.10.10, DestinationIPAddress=10.10.10.10, DestinationPort=555, UserName=demo-adm, CmdSet=[ CmdAV= ], Protocol=Tacacs, RequestLatency=17, NetworkDeviceName=AASSBX000, Type=Authorization, Privilege-Level=1, Authen-Type=ASCII, Service=Login, User=demo-adm, Port=tty1, Remote-Address=10.10.10.10, Authen-Method=TacacsPlus, Service-Argument=shell, NetworkDeviceProfileId=d9699505-aa50-ff15-a80e-67abc45bf500, AcsSessionID=demoisepsn00/337333000/000874560, AuthenticationIdentityStore=Internal Users, AuthenticationMethod=Lookup, SelectedAccessService=DeniedProto_Dvc_Admin, SelectedShellProfile=PRIV15, IdentityGroup=User Identity Groups:All Groups:IS_FULLADMIN, FailureReason=51020 Administrator authentication failed. Login username does not exist, Step=13005, Step=15049, Step=15008, Step=22037",,"Unknown IP","CISE_Administrative_and_Operatio",Syslog,,51020
"",Linux,"6/21/2023, 10:00:10.885 AM","00000000-0000-0000-0000-000000000002",1.2.3.4,"6/14/2023, 9:38:48.000 PM",local7,demoisepsn00,notice,"39:01.139 +00:00 0667198386 51021 NOTICE Administrator-Login: Administrator authentication failed. Wrong password., ConfigVersionId=632, Device IP Address=10.10.10.10, DestinationIPAddress=10.10.10.10, DestinationPort=555, UserName=demo-adm, CmdSet=[ CmdAV= ], Protocol=Tacacs, RequestLatency=17, NetworkDeviceName=AASSBX000, Type=Authorization, Privilege-Level=1, Authen-Type=ASCII, Service=Login, User=demo-adm, Port=tty1, Remote-Address=10.10.10.10, Authen-Method=TacacsPlus, Service-Argument=shell, NetworkDeviceProfileId=d9699505-aa50-ff15-a80e-67abc45bf500, AcsSessionID=demoisepsn00/337333000/000874560, AuthenticationIdentityStore=Internal Users, AuthenticationMethod=Lookup, SelectedAccessService=DeniedProto_Dvc_Admin, SelectedShellProfile=PRIV15, IdentityGroup=User Identity Groups:All Groups:IS_FULLADMIN, FailureReason=51021 Administrator authentication failed. Wrong password., Step=13005, Step=15049, Step=15008, Step=22037",,"Unknown IP","CISE_Administrative_and_Operatio",Syslog,,51021
"",Linux,"6/21/2023, 10:00:10.889 AM","00000000-0000-0000-0000-000000000002",1.2.3.4,"6/14/2023, 9:38:48.000 PM",local7,demoisepsn00,notice,"39:01.139 +00:00 0667198386 51022 NOTICE Administrator-Login: Administrator authentication failed. System Error, ConfigVersionId=632, Device IP Address=10.10.10.10, DestinationIPAddress=10.10.10.10, DestinationPort=555, UserName=demo-adm, CmdSet=[ CmdAV= ], Protocol=Tacacs, RequestLatency=17, NetworkDeviceName=AASSBX000, Type=Authorization, Privilege-Level=1, Authen-Type=ASCII, Service=Login, User=demo-adm, Port=tty1, Remote-Address=10.10.10.10, Authen-Method=TacacsPlus, Service-Argument=shell, NetworkDeviceProfileId=d9699505-aa50-ff15-a80e-67abc45bf500, AcsSessionID=demoisepsn00/337333000/000874560, AuthenticationIdentityStore=Internal Users, AuthenticationMethod=Lookup, SelectedAccessService=DeniedProto_Dvc_Admin, SelectedShellProfile=PRIV15, IdentityGroup=User Identity Groups:All Groups:IS_FULLADMIN, FailureReason=51022 Administrator authentication failed. System Error, Step=13005, Step=15049, Step=15008, Step=22037",,"Unknown IP","CISE_Administrative_and_Operatio",Syslog,,51022
