TenantId,TimeGenerated [UTC],DeviceVendor,DeviceProduct,DeviceVersion,DeviceEventClassID,Activity,LogSeverity,OriginalLogSeverity,AdditionalExtensions,DeviceAction,ApplicationProtocol,EventCount,DestinationDnsDomain,DestinationServiceName,DestinationTranslatedAddress,DestinationTranslatedPort,CommunicationDirection,DeviceDnsDomain,DeviceExternalID,DeviceFacility,DeviceInboundInterface,DeviceNtDomain,DeviceOutboundInterface,DevicePayloadId,ProcessName,DeviceTranslatedAddress,DestinationHostName,DestinationMACAddress,DestinationNTDomain,DestinationProcessId,DestinationUserPrivileges,DestinationProcessName,DestinationPort,DestinationIP,DeviceTimeZone,DestinationUserID,DestinationUserName,DeviceAddress,DeviceName,DeviceMacAddress,ProcessID,EndTime [UTC],ExternalID,ExtID,FileCreateTime,FileHash,FileID,FileModificationTime,FilePath,FilePermission,FileType,FileName,FileSize,ReceivedBytes,Message,OldFileCreateTime,OldFileHash,OldFileID,OldFileModificationTime,OldFileName,OldFilePath,OldFilePermission,OldFileSize,OldFileType,SentBytes,EventOutcome,Protocol,Reason,RequestURL,RequestClientApplication,RequestContext,RequestCookies,RequestMethod,ReceiptTime,SourceHostName,SourceMACAddress,SourceNTDomain,SourceDnsDomain,SourceServiceName,SourceTranslatedAddress,SourceTranslatedPort,SourceProcessId,SourceUserPrivileges,SourceProcessName,SourcePort,SourceIP,StartTime [UTC],SourceUserID,SourceUserName,EventType,DeviceEventCategory,DeviceCustomIPv6Address1,DeviceCustomIPv6Address1Label,DeviceCustomIPv6Address2,DeviceCustomIPv6Address2Label,DeviceCustomIPv6Address3,DeviceCustomIPv6Address3Label,DeviceCustomIPv6Address4,DeviceCustomIPv6Address4Label,DeviceCustomFloatingPoint1,DeviceCustomFloatingPoint1Label,DeviceCustomFloatingPoint2,DeviceCustomFloatingPoint2Label,DeviceCustomFloatingPoint3,DeviceCustomFloatingPoint3Label,DeviceCustomFloatingPoint4,DeviceCustomFloatingPoint4Label,DeviceCustomNumber1,FieldDeviceCustomNumber1,DeviceCustomNumber1Label,DeviceCustomNumber2,FieldDeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomNumber3,FieldDeviceCustomNumber3,DeviceCustomNumber3Label,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString2,DeviceCustomString2Label,DeviceCustomString3,DeviceCustomString3Label,DeviceCustomString4,DeviceCustomString4Label,DeviceCustomString5,DeviceCustomString5Label,DeviceCustomString6,DeviceCustomString6Label,DeviceCustomDate1,DeviceCustomDate1Label,DeviceCustomDate2,DeviceCustomDate2Label,FlexDate1,FlexDate1Label,FlexNumber1,FlexNumber1Label,FlexNumber2,FlexNumber2Label,FlexString1,FlexString1Label,FlexString2,FlexString2Label,RemoteIP,RemotePort,MaliciousIP,ThreatSeverity,IndicatorThreatType,ThreatDescription,ThreatConfidence,ReportReferenceLink,MaliciousIPLongitude,MaliciousIPLatitude,MaliciousIPCountry,Computer,SourceSystem,SimplifiedDeviceAction,Type,_ResourceId
11111111-1111-1111-1111-111111111111,"9/15/2026, 8:00:00.100 AM",Aruba Networks,ClearPass,6.11.11.261865,2000,Logged in users,1,1,,,,,,Corp-WiFi,,,,,,,,,,,,,,,,,Employee,,,,,,alex.nguyen,10.1.1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.10.1.10,,,,,Session Logs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lab-collector,OpsManager,,CommonSecurityLog,/subscriptions/11111111-1111-1111-1111-111111111111/resourcegroups/lab/providers/microsoft.hybridcompute/machines/lab-collector
11111111-1111-1111-1111-111111111111,"9/15/2026, 8:01:00.100 AM",Aruba Networks,ClearPass,6.11.11.261865,2001,Failed Authentications,5,5,,,,,,Corp-WiFi,,,,,,,,,,,,,,,,,[Allow Access Profile],,,,,,sam.rivera,10.1.1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Allow Access Profile],,,,,,,"EAP-PEAP,EAP-MSCHAPv2",,,,,,,,,,,,,10.10.1.11,,,,,Session Logs,,,,,,,,,,,,,,,,,,,Error Code,,,,,,,,,Corporate-AD,Auth Source,,,UNKNOWN,System Posture Token,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lab-collector,OpsManager,,CommonSecurityLog,/subscriptions/11111111-1111-1111-1111-111111111111/resourcegroups/lab/providers/microsoft.hybridcompute/machines/lab-collector
11111111-1111-1111-1111-111111111111,"9/15/2026, 8:02:00.100 AM",Aruba Networks,ClearPass,6.11.11.261865,2001,Failed Authentications,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jordan.lee,10.1.1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RADIUS: User not found.,,,,,,,,,,,,,,,,,,10.10.1.12,,,,,Session Logs,,,,,,,,,,,,,,,,,,,Error Code,,,,,,,,,Corporate-AD,Auth Source,,,UNKNOWN,System Posture Token,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lab-collector,OpsManager,,CommonSecurityLog,/subscriptions/11111111-1111-1111-1111-111111111111/resourcegroups/lab/providers/microsoft.hybridcompute/machines/lab-collector
11111111-1111-1111-1111-111111111111,"9/15/2026, 8:03:00.100 AM",Aruba Networks,ClearPass,6.11.11.261865,2001,Failed Authentications,5,5,,,,,,,,,,,,,,,,,,,,,,,[Deny Access Profile],,,,,,taylor.morgan,10.1.1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Deny Access Profile],,RADIUS: Client did not complete EAP transaction,,,,,EAP,,,,,,,,,,,,,10.10.1.13,,,,,Session Logs,,,,,,,,,,,,,,,,,,,Error Code,,,,,,,,,Corporate-AD,Auth Source,,,UNKNOWN,System Posture Token,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lab-collector,OpsManager,,CommonSecurityLog,/subscriptions/11111111-1111-1111-1111-111111111111/resourcegroups/lab/providers/microsoft.hybridcompute/machines/lab-collector
11111111-1111-1111-1111-111111111111,"9/15/2026, 8:04:00.100 AM",Aruba Networks,ClearPass,6.11.11.261865,2001,Failed Authentications,5,5,,,,,,,,,,,,,,,,,,,,,,,[Deny Access Profile],,,,,,00-1B-44-11-3A-B7,10.1.1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Deny Access Profile],,RADIUS: User not found.,,,,,MAC-AUTH,,,,,,,,,,,,,10.10.1.14,,,,,Session Logs,,,,,,,,,,,,,,,,,,,Error Code,,,,,,,,,Corporate-AD,Auth Source,,,UNKNOWN,System Posture Token,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lab-collector,OpsManager,,CommonSecurityLog,/subscriptions/11111111-1111-1111-1111-111111111111/resourcegroups/lab/providers/microsoft.hybridcompute/machines/lab-collector
11111111-1111-1111-1111-111111111111,"9/15/2026, 8:05:00.100 AM",Aruba Networks,ClearPass,6.11.11.261865,2006,Guest Access,1,1,,,,,,,,,,,,,,,,,,,,,,,[Allow Access Profile],,,,,,00-1B-44-22-9C-D4,10.1.1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Allow Access Profile],,,,,,,"EAP-PEAP,EAP-MSCHAPv2",,,,,,,,,,,,,,,,,,Session Logs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,System Posture Token,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lab-collector,OpsManager,,CommonSecurityLog,/subscriptions/11111111-1111-1111-1111-111111111111/resourcegroups/lab/providers/microsoft.hybridcompute/machines/lab-collector
11111111-1111-1111-1111-111111111111,"9/15/2026, 8:06:00.100 AM",Aruba Networks,ClearPass,6.11.11.261865,2006,Guest Access,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,casey.brooks,10.1.1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Session Logs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,System Posture Token,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lab-collector,OpsManager,,CommonSecurityLog,/subscriptions/11111111-1111-1111-1111-111111111111/resourcegroups/lab/providers/microsoft.hybridcompute/machines/lab-collector
11111111-1111-1111-1111-111111111111,"9/15/2026, 8:07:00.100 AM",Aruba Networks,ClearPass,6.11.11.261865,2006,Guest Access,1,1,,,,,,,,,,,,,,,,,,,,,,,[Deny Access Profile],,,,,,00-1B-44-33-5D-E1,10.1.1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Deny Access Profile],,,,,,,MAC-AUTH,,,,,,,,,,,,,,,,,,Session Logs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,System Posture Token,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lab-collector,OpsManager,,CommonSecurityLog,/subscriptions/11111111-1111-1111-1111-111111111111/resourcegroups/lab/providers/microsoft.hybridcompute/machines/lab-collector
11111111-1111-1111-1111-111111111111,"9/15/2026, 8:08:00.100 AM",Aruba Networks,ClearPass,6.11.9.259693,2000,Logged in users,1,1,,,,,,Corp-WiFi,,,,,,,,,,,,,,,,,Employee,,,,,,alex.nguyen@contoso.example,10.1.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.20.1.10,,,,,Session Logs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lab-collector,OpsManager,,CommonSecurityLog,/subscriptions/11111111-1111-1111-1111-111111111111/resourcegroups/lab/providers/microsoft.hybridcompute/machines/lab-collector
11111111-1111-1111-1111-111111111111,"9/15/2026, 8:09:00.100 AM",Aruba Networks,ClearPass,6.11.9.259693,2001,Failed Authentications,5,5,ArubaClearpassCommonNASName=sw-access-01,,,,,,,,,,,,,,,,,,,,,,[Allow Access Profile],,,,,,00-1B-44-44-6E-F2,10.1.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Allow Access Profile],,,,,,,MAC-AUTH,,,,,,,,,,,,,10.20.1.11,,,,,Session Logs,,,,,,,,,,,,,,,,,,,Error Code,,,,,,,ACCEPT,Login Status,Corporate-AD,Auth Source,,,UNKNOWN,System Posture Token,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lab-collector,OpsManager,,CommonSecurityLog,/subscriptions/11111111-1111-1111-1111-111111111111/resourcegroups/lab/providers/microsoft.hybridcompute/machines/lab-collector
