TimeGenerated [Local Time],href,pce_fqdn,created_by,event_type,status,severity,action,resource_changes,notifications,version,TenantId,Type,_ResourceId
"9/16/2024, 5:13:27.340 AM",/orgs/1/events/49836586-288d-4837-a204-fe781017200d,2x2testvc308.ilabs.io,"{""agent"":{""href"":""/orgs/1/agents/25"",""hostname"":""self-serve-mnc-1-vm03""},""ven"":{""href"":""/orgs/1/vens/89a37812-660c-440a-9744-ea4fe18670af"",""hostname"":""self-serve-mnc-1-vm03""}}",agent.update,failure,err,,[],"[{""uuid"":""22eaaea2-e0a8-4fe7-85b4-177098162ab5"",""notification_type"":""agent.policy_deploy_failed"",""info"":null}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"9/16/2024, 5:13:27.340 AM",/orgs/1/events/49836586-288d-4837-a204-fe781017200d,2x2testvc308.ilabs.io,"{""agent"":{""href"":""/orgs/1/agents/25"",""hostname"":""self-serve-mnc-1-vm03""},""ven"":{""href"":""/orgs/1/vens/89a37812-660c-440a-9744-ea4fe18670af"",""hostname"":""self-serve-mnc-1-vm03""}}",agent.update,failure,err,,"[{""uuid"":""b5a16a21-620c-4485-8fed-642c3ee9ca41"",""resource"":{""ven"":{""href"":""/orgs/1/vens/89a37812-660c-440a-9744-ea4fe18670af"",""hostname"":""self-serve-mnc-1-vm03""},""agent"":{""href"":""/orgs/1/agents/25"",""hostname"":""self-serve-mnc-1-vm03"",""name"":null}},""changes"":{""security_policy_apply_status"":{""before"":""success"",""after"":""failure""}},""change_type"":""update""}]","[{""uuid"":""22eaaea2-e0a8-4fe7-85b4-177098162ab5"",""notification_type"":""agent.policy_deploy_failed"",""info"":null}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"9/16/2024, 5:13:27.340 AM",/orgs/1/events/49836586-288d-4837-a204-fe781017200d,2x2testvc308.ilabs.io,"{""agent"":{""href"":""/orgs/1/agents/25"",""hostname"":""self-serve-mnc-1-vm03""},""ven"":{""href"":""/orgs/1/vens/89a37812-660c-440a-9744-ea4fe18670af"",""hostname"":""self-serve-mnc-1-vm03""}}",agent.update,failure,err,"{""uuid"":""5600a69f-297a-4642-8744-a8f083636fed"",""api_endpoint"":""FILTERED"",""api_method"":""PUT"",""http_status_code"":204,""src_ip"":""10.2.20.243""}","[{""uuid"":""b5a16a21-620c-4485-8fed-642c3ee9ca41"",""resource"":{""ven"":{""href"":""/orgs/1/vens/89a37812-660c-440a-9744-ea4fe18670af"",""hostname"":""self-serve-mnc-1-vm03""},""agent"":{""href"":""/orgs/1/agents/25"",""hostname"":""self-serve-mnc-1-vm03"",""name"":null}},""changes"":{""security_policy_apply_status"":{""before"":""success"",""after"":""failure""}},""change_type"":""update""}]","[{""uuid"":""22eaaea2-e0a8-4fe7-85b4-177098162ab5"",""notification_type"":""agent.policy_deploy_failed"",""info"":null}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"9/16/2024, 5:12:21.562 AM",/orgs/1/events/dcaa0c83-931a-43fe-a0ec-4428198ca76e,2x2testvc308.ilabs.io,"{""agent"":{""href"":""/orgs/1/agents/23"",""hostname"":""self-serve-mnc-1-vm01""},""ven"":{""href"":""/orgs/1/vens/67a2a4df-0b51-4fa6-97e2-406cc898d293"",""hostname"":""self-serve-mnc-1-vm01""}}",agent.update,failure,err,,[],"[{""uuid"":""fd528f18-a69e-459d-9f1e-bf0f15fd3c97"",""notification_type"":""agent.policy_deploy_failed"",""info"":null}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"9/16/2024, 5:12:21.562 AM",/orgs/1/events/dcaa0c83-931a-43fe-a0ec-4428198ca76e,2x2testvc308.ilabs.io,"{""agent"":{""href"":""/orgs/1/agents/23"",""hostname"":""self-serve-mnc-1-vm01""},""ven"":{""href"":""/orgs/1/vens/67a2a4df-0b51-4fa6-97e2-406cc898d293"",""hostname"":""self-serve-mnc-1-vm01""}}",agent.update,failure,err,,"[{""uuid"":""63f8b209-752e-4bd5-844c-25f4ec58a6a7"",""resource"":{""ven"":{""href"":""/orgs/1/vens/67a2a4df-0b51-4fa6-97e2-406cc898d293"",""hostname"":""self-serve-mnc-1-vm01""},""agent"":{""href"":""/orgs/1/agents/23"",""hostname"":""self-serve-mnc-1-vm01"",""name"":null}},""changes"":{""security_policy_apply_status"":{""before"":""success"",""after"":""failure""}},""change_type"":""update""}]","[{""uuid"":""fd528f18-a69e-459d-9f1e-bf0f15fd3c97"",""notification_type"":""agent.policy_deploy_failed"",""info"":null}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"9/16/2024, 5:12:21.562 AM",/orgs/1/events/dcaa0c83-931a-43fe-a0ec-4428198ca76e,2x2testvc308.ilabs.io,"{""agent"":{""href"":""/orgs/1/agents/23"",""hostname"":""self-serve-mnc-1-vm01""},""ven"":{""href"":""/orgs/1/vens/67a2a4df-0b51-4fa6-97e2-406cc898d293"",""hostname"":""self-serve-mnc-1-vm01""}}",agent.update,failure,err,"{""uuid"":""0727f30f-cc02-4bf6-ac98-9fa2c15e25aa"",""api_endpoint"":""FILTERED"",""api_method"":""PUT"",""http_status_code"":204,""src_ip"":""10.2.20.240""}","[{""uuid"":""63f8b209-752e-4bd5-844c-25f4ec58a6a7"",""resource"":{""ven"":{""href"":""/orgs/1/vens/67a2a4df-0b51-4fa6-97e2-406cc898d293"",""hostname"":""self-serve-mnc-1-vm01""},""agent"":{""href"":""/orgs/1/agents/23"",""hostname"":""self-serve-mnc-1-vm01"",""name"":null}},""changes"":{""security_policy_apply_status"":{""before"":""success"",""after"":""failure""}},""change_type"":""update""}]","[{""uuid"":""fd528f18-a69e-459d-9f1e-bf0f15fd3c97"",""notification_type"":""agent.policy_deploy_failed"",""info"":null}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"9/24/2024, 7:36:03.369 PM",/orgs/1/events/69b09d8d-5487-46f5-ba2a-c9e3a241cf66,2x2testvc308.ilabs.io,"{""agent"":{""href"":""/orgs/1/agents/60"",""hostname"":""perf-workload-60""},""ven"":{""href"":""/orgs/1/vens/4316d5e8-4f7f-45c2-9b4a-aeaee49759b0"",""hostname"":""perf-workload-60""}}",request.invalid,failure,err,,[],"[{""uuid"":""2ac06126-7331-4e68-abdb-48365d33c6d5"",""notification_type"":""request.invalid"",""info"":{""api_endpoint"":""/api/v21/orgs/1/agents/60/running_containers"",""api_method"":""PUT"",""src_ip"":""10.6.16.96""}}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"9/24/2024, 7:36:03.369 PM",/orgs/1/events/69b09d8d-5487-46f5-ba2a-c9e3a241cf66,2x2testvc308.ilabs.io,"{""agent"":{""href"":""/orgs/1/agents/60"",""hostname"":""perf-workload-60""},""ven"":{""href"":""/orgs/1/vens/4316d5e8-4f7f-45c2-9b4a-aeaee49759b0"",""hostname"":""perf-workload-60""}}",agent.update_running_containers,failure,err,"{""uuid"":""77cb9e7d-66d0-4a7c-be8a-112593af3cc9"",""api_endpoint"":""FILTERED"",""api_method"":""PUT"",""http_status_code"":406,""src_ip"":""10.6.16.96"",""errors"":[{""token"":""container_update_disallowed"",""message"":""Containers cannot be added or updated when container mode if off""}]}",[],"[{""uuid"":""2ac06126-7331-4e68-abdb-48365d33c6d5"",""notification_type"":""request.invalid"",""info"":{""api_endpoint"":""/api/v21/orgs/1/agents/60/running_containers"",""api_method"":""PUT"",""src_ip"":""10.6.16.96""}}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"9/24/2024, 7:36:03.379 PM",/orgs/1/events/b03ffe37-5373-4a91-b934-a4e1ee7b3825,2x2testvc308.ilabs.io,"{""agent"":{""href"":""/orgs/1/agents/59"",""hostname"":""perf-workload-59""},""ven"":{""href"":""/orgs/1/vens/5852011d-7a0c-44f6-81e3-6acd33341748"",""hostname"":""perf-workload-59""}}",request.invalid,failure,err,,[],"[{""uuid"":""1da63c15-cb71-4912-a812-d1b65ef8f118"",""notification_type"":""request.invalid"",""info"":{""api_endpoint"":""/api/v21/orgs/1/agents/59/running_containers"",""api_method"":""PUT"",""src_ip"":""10.6.16.96""}}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
"9/24/2024, 7:36:03.379 PM",/orgs/1/events/b03ffe37-5373-4a91-b934-a4e1ee7b3825,2x2testvc308.ilabs.io,"{""agent"":{""href"":""/orgs/1/agents/59"",""hostname"":""perf-workload-59""},""ven"":{""href"":""/orgs/1/vens/5852011d-7a0c-44f6-81e3-6acd33341748"",""hostname"":""perf-workload-59""}}",agent.update_running_containers,failure,err,"{""uuid"":""9f8c5eb3-b2fc-41c5-80d0-e81b44d32ddc"",""api_endpoint"":""FILTERED"",""api_method"":""PUT"",""http_status_code"":406,""src_ip"":""10.6.16.96"",""errors"":[{""token"":""container_update_disallowed"",""message"":""Containers cannot be added or updated when container mode if off""}]}",[],"[{""uuid"":""1da63c15-cb71-4912-a812-d1b65ef8f118"",""notification_type"":""request.invalid"",""info"":{""api_endpoint"":""/api/v21/orgs/1/agents/59/running_containers"",""api_method"":""PUT"",""src_ip"":""10.6.16.96""}}]",2,d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19,Illumio_Auditable_Events_CL,
