ColumnName,ColumnType
TimeGenerated,datetime
event_simpleName,string
timestamp,long
aip,string
aid,string
UserName,string
event_platform,string
ContextTimeStamp,real
name,string
ConfigBuild,string
CrowdStrikeId,string
ConfigStateHash,string
ContextProcessId,string
ContextThreadId,string
BoundingLimitCount,long
BoundingLimitDuration,string
Entitlements,string
EffectiveTransmissionClass,string
cid,string
OciContainerId,string
TreeId,string
RegObjectName,string
RegValueName,string
RegClassificationFlags,string
RegOperationType,string
TokenType,string
RegStringValue,string
RegType,string
RegClassificationIndex,string
AuthenticationId,string
RegNumericValue,int
RegBinaryValue,string
AdditionalFields,dynamic
