TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,Message,Type,"_ResourceId"
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/9/2023, 10:45:31.952 AM",,,"1380664994.337961231 MX84 events type=vpn_connectivity_change vpn_type='site-to-site' peer_contact='98.68.191.209:51856' peer_ident='2814ee002c075181bb1b7478ee073860' connectivity='true'","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/9/2023, 10:44:59.405 AM",,,"1380664922.583851938 MX84 events type=vpn_connectivity_change vpn_type='site-to-site' peer_contact='98.68.191.209:51856' peer_ident='2814ee002c075181bb1b7478ee073860' connectivity='false'","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/9/2023, 10:46:30.885 AM",,,"2019-07-16 05:00:10 Local0.Info 172.33.222.111 1 1563253210.025977456 main_branch_appliance events type=vpn_connectivity_change vpn_type='site-to-site' peer_contact='108.176.1.238:57357' peer_ident='449bc8f664862e11df74de400df333df' connectivity='false'","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/13/2023, 1:46:38.985 PM",,,"<134>1 1686663976.577357710 CDSASF5_SW01 events Port 34 changed STP role from disabled to designated","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/16/2023, 4:52:40.482 PM",,,"<134>1 1686934331.557161116 CDSASF7_SW01 events Port 48 changed STP role from disabled to designated","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/14/2023, 12:16:40.218 PM",,,"<134>1 1686744974.984319316 CDSASF5_SW01 events Port 34 changed STP role from designated to disabled","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/12/2023, 2:36:14.357 PM",,,"<134>1 1686580546.995566400 CDSASF7_SW01 events port 48 status changed from down to 2.5Gfdx","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/15/2023, 8:14:35.753 AM",,,"<134>1 1686816851.747757649 CDSASF5_SW01 events port 34 status changed from 100fdx to down","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/13/2023, 1:46:38.985 PM",,,"<134>1 1686663976.577166670 CDSASF5_SW01 events port 34 status changed from down to 100fdx","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/12/2023, 2:36:14.357 PM",,,"1578424543.894083034 labs_appliance events Site-to-site VPN: purging ISAKMP-SA spi=9d1bb66d7ddc5cf0:d98cd0ed59e82f13","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/12/2023, 2:36:14.357 PM",,,"1578424543.907937833 labs_appliance events Site-to-site VPN: purged ISAKMP-SA spi=9d1bb66d7ddc5cf0:d98cd0ed59e82f13","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/12/2023, 2:36:14.357 PM",,,"1578424543.918665436 labs_appliance events Site-to-site VPN: ISAKMP-SA deleted 172.24.23.6[4500]-172.24.23.10[4500] spi:9d1bb66d7ddc5cf0:d98cd0ed59e82f13","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/12/2023, 2:36:14.357 PM",,,"1578424549.917669303 labs_appliance events Site-to-site VPN: IPsec-SA request for 172.24.23.10 queued due to no phase1 found","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/12/2023, 2:36:14.357 PM",,,"1578426208.915091184 labs_Z1 events Site-to-site VPN: failed to pre-process ph2 packet (side: 1, status: 1)","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/12/2023, 2:36:14.357 PM",,,"1578424408.321445408 labs_appliance events Site-to-site VPN: phase2 negotiation failed due to time up waiting for phase1. ESP 172.24.23.10[0]->172.24.23.6[0]","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/12/2023, 2:36:14.357 PM",,,"1578424549.931720602 labs_appliance events Site-to-site VPN: initiate new phase 1 negotiation: 172.24.23.6[500]<=>172.24.23.10[500]","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/12/2023, 2:36:14.357 PM",,,"1578424550.965202127 labs_appliance events Site-to-site VPN: ISAKMP-SA established 172.24.23.6[4500]-172.24.23.10[4500] spi:fb903f191f1c7566:4dc90bd31c7884c1","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/12/2023, 2:36:14.357 PM",,,"1578424550.975495647 labs_appliance events Site-to-site VPN: initiate new phase 2 negotiation: 172.24.23.6[4500]<=>172.24.23.10[4500]","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/12/2023, 2:36:14.357 PM",,,"1578424551.120459981 labs_appliance events Site-to-site VPN: IPsec-SA established: ESP/Tunnel 172.24.23.6[4500]->172.24.23.10[4500] spi=241280704(0xe61a6c0)","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/12/2023, 2:36:14.357 PM",,,"1379988354.643337272 MS320_24P events changed from VRRP passive to VRRP active because it has not received packets from the active","meraki_CL",
"1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,"6/12/2023, 2:36:14.357 PM",,,"1578426208.829677788 labs_Z1 events Site-to-site VPN: failed to get sainfo","meraki_CL",
