<134>MAR  1 16:23:11 TestDevice CEF:0|Cisco|Firepower|6.0|File:500:1|description|5|rt=1687855290000;start=1687855290000 ;src=1.2.3.4;dst=2.3.4.5;deviceExternalId=12;dvchost=10.2.3.4;externalId=1;suser=abc;request=www.google.com;cs2=Malware;cs1=policyid;cs3=ingressid;dvcpid=1234;act=Block;fileHash=6b88c6ac55bbd6fea0ebe5a760d1ad2cfce251c59d0151a1400701cb927e36ea;fileType=json;fname=testabc;fsize=256;deviceDirection=1;app=HTTP;cs4=signature;spt=80;dpt=90;proto=17;requestClientApplication=ABC;cs1Label=filePolicy;cs2Label=disposition;cs3Label=speroDisposition
<134>MAR  1 16:23:11 localhost.localdomain CEF:0|Cisco|Firepower|6.0|FileMalware:502:1|File Malware Event|0|rt=1691729229000;start=1691729228000 ;src=10.30.40.50;dst=1.2.3.4;deviceExternalId=1;dvchost=10.50.30.18;suser={'blockType': 0, 'blockLength': 35, 'data': 'No Authentication Required'};cs2=Clean;cs1=Test File policy;cs3=Spero detection not performed on file;dvcpid=3;act=Malware Cloud Lookup;fileHash=112e476505aab51b05aeb2246c02a11df03e1187e886f7c55d4e9935c290ade;fileType=MSCAB;fname=/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?6bba297208c1b082;fsize=4817;deviceDirection=1;app=HTTP;spt=55672;dpt=80;proto=6;requestClientApplication=Microsoft CryptoAPI;cs1Label=filePolicy;cs2Label=disposition;cs3Label=speroDisposition
<134>MAR  1 16:23:11 localhost.localdomain CEF:0|Cisco|Firepower|6.0|FileMalware:502:1|File Malware Event|0|rt=1691729229000;start=1691729228000 ;src=10.30.40.50;dst=1.2.3.4;deviceExternalId=1;dvchost=10.50.30.18;suser={'blockType': 0, 'blockLength': 35, 'data': 'No Authentication Required'};cs2=Clean;cs1=Test File policy;cs3=Spero detection not performed on file;dvcpid=3;act=Malware Cloud Lookup;fileHash=112e476505aab51b05aeb2246c02a11df03e1187e886f7c55d4e9935c290ade;fileType=MSCAB;fname=/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?6bba297208c1b082;fsize=4817;deviceDirection=1;app=HTTP;spt=55672;dpt=80;proto=6;requestClientApplication=Microsoft CryptoAPI;cs1Label=filePolicy;cs2Label=disposition;cs3Label=speroDisposition
<134>MAR  1 16:23:11 localhost.localdomain CEF:0|Cisco|Firepower|6.0|FileMalware:502:1|File Malware Event|0|rt=1691731769000;"/filestreamingservice/files/e9b426b9-07f8-4b29-935c-d91a59bb78ba?P1=;1692336263&P2=;404&P3=;2&P4=;fW+ZTrgY2L4oJ8V5IdLCFShZ2I2PuZPQ9gstxMJd/SsJBBw8JWU5BN+XPcUd7FZ90j8sxDlqTUrHOU6ZkHRtMg=;start=1691731767000 ;src=10.30.40.50;dst=1.2.3.4;deviceExternalId=1;dvchost=10.50.30.18;suser={'blockType': 0, 'blockLength': 35, 'data': 'No Authentication Required'};cs2=Unknown;cs1=Test File policy;cs3=Spero detection not performed on file;dvcpid=2;act=Malware Cloud Lookup;fileHash=a86d9f7c545953074b8b9c18474e953db73a9ba8e9ca50cbb3e5d97a7347fe4d;fileType=MSEXE;fsize=1598944;deviceDirection=1;app=HTTP;spt=54638;dpt=80;proto=6;requestClientApplication=Web browser;cs1Label=filePolicy;cs2Label=disposition;cs3Label=speroDisposition
<134>MAR  1 16:23:11 localhost.localdomain CEF:0|Cisco|Firepower|6.0|FileMalware:502:1|File Malware Event|0|rt=1691731769000;"/filestreamingservice/files/e9b426b9-07f8-4b29-935c-d91a59bb78ba?P1=;1692336263&P2=;404&P3=;2&P4=;fW+ZTrgY2L4oJ8V5IdLCFShZ2I2PuZPQ9gstxMJd/SsJBBw8JWU5BN+XPcUd7FZ90j8sxDlqTUrHOU6ZkHRtMg=;start=1691731767000 ;src=10.30.40.50;dst=1.2.3.4;deviceExternalId=1;dvchost=10.50.30.18;suser={'blockType': 0, 'blockLength': 35, 'data': 'No Authentication Required'};cs2=Unknown;cs1=Test File policy;cs3=Spero detection not performed on file;dvcpid=2;act=Malware Cloud Lookup;fileHash=a86d9f7c545953074b8b9c18474e953db73a9ba8e9ca50cbb3e5d97a7347fe4d;fileType=MSEXE;fsize=1598944;deviceDirection=1;app=HTTP;spt=54638;dpt=80;proto=6;requestClientApplication=Web browser;cs1Label=filePolicy;cs2Label=disposition;cs3Label=speroDisposition
<134>MAR  1 16:23:11 localhost.localdomain CEF:0|Cisco|Firepower|6.0|FileMalware:502:1|File Malware Event|0|rt=1691732992000;"/filestreamingservice/files/d2453fd1-a8c5-46fb-a1ad-d6e4dd39dc41?P1=;1692336873&P2=;404&P3=;2&P4=;mNWM2uG4L60Rt+JDR+hzxuSjhCAT3Diw5//FFrRRQPl8QIHu8TF6IqaN3aiJHYBsnqwv1GdRjnuaVuCmN+ZjGA=;start=1691732977000 ;src=10.30.40.50;dst=1.2.3.4;deviceExternalId=1;dvchost=10.50.30.18;suser={'blockType': 0, 'blockLength': 35, 'data': 'No Authentication Required'};cs2=N/A;cs1=Test File policy;cs3=N/A;dvcpid=1;act=Malware Cloud Lookup;fileHash=0;fileType=MSEXE;deviceDirection=1;app=HTTP;spt=61571;dpt=80;proto=6;requestClientApplication=Web browser;cs1Label=filePolicy;cs2Label=disposition;cs3Label=speroDisposition
<134>MAR  1 16:23:11 localhost.localdomain CEF:0|Cisco|Firepower|6.0|FileMalware:502:1|File Malware Event|0|rt=1691732992000;"/filestreamingservice/files/d2453fd1-a8c5-46fb-a1ad-d6e4dd39dc41?P1=;1692336873&P2=;404&P3=;2&P4=;mNWM2uG4L60Rt+JDR+hzxuSjhCAT3Diw5//FFrRRQPl8QIHu8TF6IqaN3aiJHYBsnqwv1GdRjnuaVuCmN+ZjGA=;start=1691732977000 ;src=10.30.40.50;dst=1.2.3.4;deviceExternalId=1;dvchost=10.50.30.18;suser={'blockType': 0, 'blockLength': 35, 'data': 'No Authentication Required'};cs2=N/A;cs1=Test File policy;cs3=N/A;dvcpid=1;act=Malware Cloud Lookup;fileHash=0;fileType=MSEXE;deviceDirection=1;app=HTTP;spt=61571;dpt=80;proto=6;requestClientApplication=Web browser;cs1Label=filePolicy;cs2Label=disposition;cs3Label=speroDisposition
<134>MAR  1 16:23:11 localhost.localdomain CEF:0|Cisco|Firepower|6.0|FileMalware:502:1|File Malware Event|0|rt=1691988234000;start=1691988232000 ;src=10.30.40.50;dst=1.2.3.4;deviceExternalId=1;dvchost=10.50.30.18;suser={'blockType': 0, 'blockLength': 35, 'data': 'No Authentication Required'};cs2=Clean;cs1=Test File policy;cs3=Spero detection not performed on file;dvcpid=1;act=Malware Cloud Lookup;fileHash=112e476505aab51b05aeb2246c02a11df03e1187e886f7c55d4e9935c290ade;fileType=MSCAB;fname=/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?c5f4d4794c0bcfd5;fsize=4817;deviceDirection=1;app=HTTP;spt=63148;dpt=80;proto=6;requestClientApplication=Microsoft CryptoAPI;cs1Label=filePolicy;cs2Label=disposition;cs3Label=speroDisposition
<134>MAR  1 16:23:11 localhost.localdomain CEF:0|Cisco|Firepower|6.0|FileMalware:502:1|File Malware Event|0|rt=1691988234000;start=1691988232000 ;src=10.30.40.50;dst=1.2.3.4;deviceExternalId=1;dvchost=10.50.30.18;suser={'blockType': 0, 'blockLength': 35, 'data': 'No Authentication Required'};cs2=Clean;cs1=Test File policy;cs3=Spero detection not performed on file;dvcpid=1;act=Malware Cloud Lookup;fileHash=112e476505aab51b05aeb2246c02a11df03e1187e886f7c55d4e9935c290ade;fileType=MSCAB;fname=/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?f9b7adfebf633c5e;fsize=4817;deviceDirection=1;app=HTTP;spt=63150;dpt=80;proto=6;requestClientApplication=Microsoft CryptoAPI;cs1Label=filePolicy;cs2Label=disposition;cs3Label=speroDisposition
<134>MAR  1 16:23:11 localhost.localdomain CEF:0|Cisco|Firepower|6.0|FileMalware:502:1|File Malware Event|0|rt=1691988234000;start=1691988233000 ;src=10.30.40.50;dst=1.2.3.4;deviceExternalId=1;dvchost=10.50.30.18;suser={'blockType': 0, 'blockLength': 35, 'data': 'No Authentication Required'};request=http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?320fedae153447e9;cs2=Clean;cs1=Test File policy;cs3=Spero detection not performed on file;dvcpid=3;act=Malware Cloud Lookup;fileHash=112e476505aab51b05aeb2246c02a11df03e1187e886f7c55d4e9935c290ade;fileType=MSCAB;fname=disallowedcertstl.cab;fsize=4817;deviceDirection=1;app=HTTP;spt=56984;dpt=80;proto=6;requestClientApplication=Microsoft CryptoAPI;cs1Label=filePolicy;cs2Label=disposition;cs3Label=speroDisposition
<134>MAR  1 16:23:11 localhost.localdomain CEF:0|Cisco|Firepower|6.0|FireAMP:125:1|FireAMP Event|8|rt=1691988234000;start=1691988233000 ;src=10.30.40.50;dst=1.2.3.4;deviceExternalId=1;dvchost=10.50.30.18;suser={'blockType': 0, 'blockLength': 35, 'data': 'No Authentication Required'};request=http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?320fedae153447e9;outcome=1234;msg=Test Message;cs1=Test File policy;cs2=virus;cs3=Malware;cs4=N/A;dvcpid=3;act=Malware Cloud Lookup;fileHash=112e476505aab51b05aeb2246c02a11df03e1187e886f7c55d4e9935c290ade;fileType=MSCAB;fname=disallowedcertstl.cab;fsize=4817;deviceDirection=1;app=HTTP;spt=56984;dpt=80;proto=6;requestClientApplication=Microsoft CryptoAPI;cs1Label=policy;cs2Label=virusName;cs3Label=disposition;filePath=;fileCreateTime=;sproc=;cs4Label=speroDisposition;cs5Label=eventDescription;duser=user2
