TimeGenerated [Local Time],Type,CollectorHostName,DvcAction,EventResult,EventSeverity,EventStartTime [Local Time],Url,SrcIpAddr,SrcPortNumber,DstIpAddr,DstPortNumber,EventType,HttpUserAgent,HttpRequestMethod,FileSHA256,FileName,DvcMacAddr,EventOriginalType,EventOriginalSubType,EventUid,DvcHostname,DvcDomainType,DvcFQDN,DvcDomain,Dst,Src,Dvc,IpAddr,UserAgent,EventEndTime [Local Time],EventCount,EventProduct,EventVendor,EventSchema,EventSchemaVersion
"7/16/2025, 3:35:24.454 PM",meraki_CL,,,Success,Informational,"6/15/2023, 5:25:56.000 PM",https://test.google.com/...,172.40.10.178,54792,172.10.41.13,443,HTTPsession,, UNKNOWN,,,33:22:AA:BB:CC:DD,urls,,,CDSAPGF_08,,,,172.10.41.13,172.40.10.178,CDSAPGF_08,172.30.20.167,,"6/15/2023, 5:25:56.000 PM",1,Meraki,Cisco,WebSession,0.2.6
"7/17/2025, 3:35:24.454 PM",meraki_CL,,,Success,Informational,"6/15/2023, 5:25:56.000 PM",https://test.google.com/...,172.40.10.178,54792,172.10.41.13,443,HTTPsession,, UNKNOWN,,,33:22:AA:BB:CC:DD,urls,,,CDSAPGF_08,,,,172.10.41.13,172.40.10.178,CDSAPGF_08,172.30.20.167,,"6/15/2023, 5:25:56.000 PM",1,Meraki,Cisco,WebSession,0.2.6
"7/18/2025, 3:35:24.454 PM",meraki_CL,,,Success,Informational,"6/15/2023, 5:25:56.000 PM",https://test.google.com/...,172.40.10.178,54792,172.10.41.13,443,HTTPsession,, UNKNOWN,,,33:22:AA:BB:CC:DD,urls,,,CDSAPGF_08,,,,172.10.41.13,172.40.10.178,CDSAPGF_08,172.30.20.167,,"6/15/2023, 5:25:56.000 PM",1,Meraki,Cisco,WebSession,0.2.6
"7/19/2025, 3:35:24.454 PM",meraki_CL,,,Success,Informational,"6/15/2023, 5:25:56.000 PM",https://test.google.com/...,172.40.10.178,54792,172.10.41.13,443,HTTPsession,, UNKNOWN,,,33:22:AA:BB:CC:DD,urls,,,CDSAPGF_08,,,,172.10.41.13,172.40.10.178,CDSAPGF_08,172.30.20.167,,"6/15/2023, 5:25:56.000 PM",1,Meraki,Cisco,WebSession,0.2.6
"7/20/2025, 3:35:24.454 PM",meraki_CL,,,Success,Informational,"6/15/2023, 5:25:56.000 PM",https://test.google.com/...,172.40.10.178,54792,172.10.41.13,443,HTTPsession,, UNKNOWN,,,33:22:AA:BB:CC:DD,urls,,,CDSAPGF_08,,,,172.10.41.13,172.40.10.178,CDSAPGF_08,172.30.20.167,,"6/15/2023, 5:25:56.000 PM",1,Meraki,Cisco,WebSession,0.2.6
"7/22/2025, 3:35:24.454 PM",meraki_CL,,,Success,Informational,"6/15/2023, 5:25:56.000 PM",https://test.google.com/...,172.40.10.178,54792,172.10.41.13,443,HTTPsession,, UNKNOWN,,,33:22:AA:BB:CC:DD,urls,,,CDSAPGF_08,,,,172.10.41.13,172.40.10.178,CDSAPGF_08,172.30.20.167,,"6/15/2023, 5:25:56.000 PM",1,Meraki,Cisco,WebSession,0.2.6
"7/22/2025, 3:35:24.454 PM",meraki_CL,,,Success,Informational,"6/15/2023, 5:25:56.000 PM",https://test.google.com/...,172.40.10.178,54792,172.10.41.13,443,HTTPsession,, UNKNOWN,,,33:22:AA:BB:CC:DD,urls,,,CDSAPGF_08,,,,172.10.41.13,172.40.10.178,CDSAPGF_08,172.30.20.167,,"6/15/2023, 5:25:56.000 PM",1,Meraki,Cisco,WebSession,0.2.6
"7/22/2025, 3:35:24.454 PM",meraki_CL,,,Success,Informational,"6/15/2023, 5:25:56.000 PM",https://test.google.com/...,172.40.10.178,54792,172.10.41.13,443,HTTPsession,, UNKNOWN,,,33:22:AA:BB:CC:DD,urls,,,CDSAPGF_08,,,,172.10.41.13,172.40.10.178,CDSAPGF_08,172.30.20.167,,"6/15/2023, 5:25:56.000 PM",1,Meraki,Cisco,WebSession,0.2.6
"7/22/2025, 3:35:24.454 PM",meraki_CL,,,Success,Informational,"6/15/2023, 5:25:56.000 PM",https://test.google.com/...,172.40.10.178,54792,172.10.41.13,443,HTTPsession,, UNKNOWN,,,33:22:AA:BB:CC:DD,urls,,,CDSAPGF_08,,,,172.10.41.13,172.40.10.178,CDSAPGF_08,172.30.20.167,,"6/15/2023, 5:25:56.000 PM",1,Meraki,Cisco,WebSession,0.2.6
"7/22/2025, 3:35:24.454 PM",meraki_CL,,,Success,Informational,"6/15/2023, 5:25:56.000 PM",https://test.google.com/...,172.40.10.178,54792,172.10.41.13,443,HTTPsession,, UNKNOWN,,,33:22:AA:BB:CC:DD,urls,,,CDSAPGF_08,,,,172.10.41.13,172.40.10.178,CDSAPGF_08,172.30.20.167,,"6/15/2023, 5:25:56.000 PM",1,Meraki,Cisco,WebSession,0.2.6
"7/22/2025, 3:35:24.454 PM",meraki_CL,,,Success,Informational,"6/15/2023, 5:25:56.000 PM",https://test.google.com/...,172.40.10.178,54792,172.10.41.13,443,HTTPsession,, UNKNOWN,,,33:22:AA:BB:CC:DD,urls,,,CDSAPGF_08,,,,172.10.41.13,172.40.10.178,CDSAPGF_08,172.30.20.167,,"6/15/2023, 5:25:56.000 PM",1,Meraki,Cisco,WebSession,0.2.6
"7/22/2025, 3:35:24.454 PM",meraki_CL,,,Success,Informational,"6/15/2023, 5:25:56.000 PM",https://test.google.com/...,172.40.10.178,54792,172.10.41.13,443,HTTPsession,, UNKNOWN,,,33:22:AA:BB:CC:DD,urls,,,CDSAPGF_08,,,,172.10.41.13,172.40.10.178,CDSAPGF_08,172.30.20.167,,"6/15/2023, 5:25:56.000 PM",1,Meraki,Cisco,WebSession,0.2.6
"7/22/2025, 3:35:24.454 PM",meraki_CL,,,Success,Informational,"6/15/2023, 5:25:56.000 PM",https://test.google.com/...,172.40.10.178,54792,172.10.41.13,443,HTTPsession,, UNKNOWN,,,33:22:AA:BB:CC:DD,urls,,,CDSAPGF_08,,,,172.10.41.13,172.40.10.178,CDSAPGF_08,172.30.20.167,,"6/15/2023, 5:25:56.000 PM",1,Meraki,Cisco,WebSession,0.2.6
"7/22/2025, 3:35:24.454 PM",meraki_CL,,,Success,Informational,"6/15/2023, 5:25:56.000 PM",https://test.google.com/...,172.40.10.178,54792,172.10.41.13,443,HTTPsession,, UNKNOWN,,,33:22:AA:BB:CC:DD,urls,,,CDSAPGF_08,,,,172.10.41.13,172.40.10.178,CDSAPGF_08,172.30.20.167,,"6/15/2023, 5:25:56.000 PM",1,Meraki,Cisco,WebSession,0.2.6
"7/29/2025, 3:35:24.454 PM",meraki_CL,,,Success,Informational,"6/15/2023, 5:25:56.000 PM",https://test.google.com/...,172.40.10.178,54792,172.10.41.13,443,HTTPsession,, UNKNOWN,,,33:22:AA:BB:CC:DD,urls,,,CDSAPGF_08,,,,172.10.41.13,172.40.10.178,CDSAPGF_08,172.30.20.167,,"6/15/2023, 5:25:56.000 PM",1,Meraki,Cisco,WebSession,0.2.6
