TenantId,TimeGenerated,Protocol,SourceIp,SourcePort,DestinationIp,DestinationPort,Action,SignatureId,Category,Description,Severity,SourceSystem,Type,_ResourceId,TranslatedIp,TranslatedPort,Policy,RuleCollectionGroup,RuleCollection,Rule,_IsBillable,_BilledSize,_TimeReceived,_ItemId,_SubscriptionId,ActionReason,Fqdn,TargetUrl,ThreatDescription,IsTlsInspected
11111111-2222-3333-4444-555555555555,2025-11-21 19:45:05.1564430,TCP,192.168.97.142,3830,203.0.113.56,443,drop,2063118.0,Misc activity,INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI,3.0,,AZFWIdpsSignature,/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02,,,,,,,,,,,,,,,,
11111111-2222-3333-4444-555555555555,2025-11-14 14:33:11.6861880,TCP,192.168.97.135,2218,203.0.113.56,443,drop,2063118.0,Misc activity,INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI,3.0,,AZFWIdpsSignature,/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02,,,,,,,,,,,,,,,,
11111111-2222-3333-4444-555555555555,2025-11-21 20:11:12.2327680,TCP,192.168.97.133,57992,203.0.113.56,443,drop,2063118.0,Misc activity,INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI,3.0,,AZFWIdpsSignature,/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02,,,,,,,,,,,,,,,,
11111111-2222-3333-4444-555555555555,2025-11-21 20:05:37.7432290,TCP,192.168.97.134,2214,203.0.113.56,443,drop,2063118.0,Misc activity,INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI,3.0,,AZFWIdpsSignature,/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02,,,,,,,,,,,,,,,,
11111111-2222-3333-4444-555555555555,2025-11-21 17:13:11.7481960,TCP,192.168.97.136,56994,203.0.113.56,443,drop,2063118.0,Misc activity,INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI,3.0,,AZFWIdpsSignature,/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02,,,,,,,,,,,,,,,,
11111111-2222-3333-4444-555555555555,2025-11-21 19:46:23.6799540,TCP,192.168.97.142,38904,203.0.113.56,443,drop,2063118.0,Misc activity,INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI,3.0,,AZFWIdpsSignature,/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02,,,,,,,,,,,,,,,,
11111111-2222-3333-4444-555555555555,2025-11-21 18:22:28.0416700,TCP,192.168.97.138,8566,203.0.113.56,443,drop,2063118.0,Misc activity,INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI,3.0,,AZFWIdpsSignature,/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02,,,,,,,,,,,,,,,,
11111111-2222-3333-4444-555555555555,2025-11-21 18:19:21.1866670,TCP,192.168.216.176,62813,10.1.192.48,445,drop,2027204.0,Potentially Bad Traffic,HUNTING Possible Powershell .ps1 Script Use Over SMB,2.0,,AZFWIdpsSignature,/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/southeastasia/providers/microsoft.network/azurefirewalls/test-lab-sea-fw-02,,,,,,,,,,,,,,,,
11111111-2222-3333-4444-555555555555,2025-11-21 19:09:00.8816750,TCP,192.168.97.134,47020,203.0.113.56,443,drop,2063118.0,Misc activity,INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI,3.0,,AZFWIdpsSignature,/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02,,,,,,,,,,,,,,,,
11111111-2222-3333-4444-555555555555,2025-11-21 17:28:06.8063500,TCP,192.168.97.137,50284,203.0.113.56,443,drop,2063118.0,Misc activity,INFO Abused Hosting Domain (azurewebsites .net) in TLS SNI,3.0,,AZFWIdpsSignature,/subscriptions/aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee/resourcegroups/eastus/providers/microsoft.network/azurefirewalls/test-lab-eus-fw-02,,,,,,,,,,,,,,,,
